SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCC(NC)C(F)(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.250586,0.000205,19.256531,-330.625000,-3.308380,0.004704,16.216003,-635.431641,-2.509895,0.001510
CCCC(NC)C(F)(F)F,CC(=O)Nc1ccc(C=O)cc1,0.259491,0.000210,18.135986,284.542969,-3.144951,0.003994,13.480316,-229.527344,-2.317337,0.003205
CCCC(NC)C(F)(F)F,Cc1cccc(CO)c1,0.249058,0.000200,18.486633,-326.517578,-3.186424,0.004587,15.451752,-635.687500,-2.416054,0.001649
CCCC(NC)C(F)(F)F,COC(C)CO,0.250241,0.000207,18.623352,-355.847656,-3.290901,0.004926,17.785278,-722.966797,-2.702118,0.001633
CCCC(NC)C(F)(F)F,Nc1nc(=O)c2ccccc2o1,0.243014,0.000165,18.541290,684.287109,-2.995529,0.002482,9.260284,-63.181641,-1.765160,0.004443
CCCC(NC)C(F)(F)F,CC(Cl)Br,0.261021,0.000220,16.929138,-393.302734,-3.049690,0.005442,16.772156,-527.035156,-2.555763,0.001088
CCCC(NC)C(F)(F)F,CCCOC(F)F,0.264764,0.000230,17.348114,-413.841797,-3.116104,0.005569,17.131104,-612.105469,-2.655205,0.001277
CCCC(NC)C(F)(F)F,COC1CC2CCC1(C)C2(C)C,0.257043,0.000213,17.289154,-416.140625,-3.026291,0.004963,17.006378,-624.880859,-2.672485,0.001480
CCCC(NC)C(F)(F)F,CCC(=O)C1=NCCC1,0.249740,0.000203,18.322235,-542.910156,-3.177734,0.004931,17.788361,-764.152344,-2.683662,0.001073
CCCC(NC)C(F)(F)F,NC(CF)(CF)CF,0.252963,0.000205,17.771698,-307.968750,-3.238144,0.005430,17.541016,-586.142578,-2.632820,0.001680
CCCC(NC)C(F)(F)F,CC(C)CCCC(C)CC=O,0.256604,0.000217,18.123444,-442.224609,-3.175781,0.005149,17.153046,-711.330078,-2.669701,0.001400
CCCC(NC)C(F)(F)F,Cc1coc(C)n1,0.244925,0.000198,19.082550,-587.117188,-3.296532,0.004863,18.432434,-800.593750,-2.751060,0.000943
CCCC(NC)C(F)(F)F,NC(=S)NC(N)=S,0.240651,0.000156,17.347260,686.791016,-2.966805,0.003979,11.789948,-11.126953,-1.860771,0.003355
CCCC(NC)C(F)(F)F,FC(F)C(Cl)C(F)F,0.250505,0.000203,18.244171,-560.994141,-3.197754,0.005129,17.428802,-668.281250,-2.592064,0.000819
CCCC(NC)C(F)(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.252320,0.000199,16.342926,-274.894531,-2.804039,0.004441,15.886841,-535.154297,-2.500076,0.001507
CCCC(NC)C(F)(F)F,NNC(=O)c1ccccc1,0.263406,0.000212,17.299683,538.765625,-3.131752,0.004284,13.214569,-53.652344,-2.293190,0.003895
CCCC(NC)C(F)(F)F,ClC=CBr,0.260615,0.000218,16.737274,-448.044922,-3.019005,0.005557,17.234955,-506.644531,-2.626389,0.000960
CCCC(NC)C(F)(F)F,CN(C)N=O,0.250003,0.000194,17.610718,-223.289062,-3.229790,0.005271,17.043365,-453.140625,-2.452126,0.001583
CCCC(NC)C(F)(F)F,c1ccc(C2CCCCC2)cc1,0.268964,0.000233,16.547485,-227.929688,-2.986298,0.005480,15.673004,-542.656250,-2.537468,0.001957
CCCC(NC)C(F)(F)F,N#Cc1ccncc1,0.245385,0.000193,18.551331,-487.882812,-3.170776,0.004546,17.368103,-746.621094,-2.617714,0.001280
CCCC(NC)C(F)(F)F,CN(C)C(=S)Nc1ccccc1,0.241125,0.000174,18.052704,-79.210938,-2.996033,0.003649,14.741882,-426.445312,-2.321449,0.001863
CCCC(NC)C(F)(F)F,CCC(N)CC,0.237129,0.000181,19.036224,-568.638672,-3.260078,0.004708,18.108673,-847.478516,-2.716217,0.001090
CCCC(NC)C(F)(F)F,COC(=O)CO,0.245649,0.000188,17.877686,-316.955078,-3.238731,0.004866,16.304108,-504.775391,-2.332596,0.001355
CCCC(NC)C(F)(F)F,Cc1c(N)cccc1Cl,0.243510,0.000192,18.545868,-432.472656,-3.141785,0.004346,17.038391,-725.771484,-2.589539,0.001304
CCCC(NC)C(F)(F)F,CC1CCC(C(C)(C)OO)CC1,0.233552,0.000170,18.467621,-568.886719,-3.047684,0.004002,15.885620,-780.716797,-2.424278,0.001024
CCCC(NC)C(F)(F)F,CC(F)(Cl)CF,0.262050,0.000226,17.735046,-409.242188,-3.196724,0.005579,17.183594,-590.486328,-2.612091,0.001225
CCCC(NC)C(F)(F)F,CCCCC1OC(C)CC(C)(C)O1,0.255133,0.000214,18.061707,-444.722656,-3.139740,0.004967,17.612701,-753.304688,-2.745201,0.001489
CCCC(NC)C(F)(F)F,CC(C)(C)OCC1CO1,0.254614,0.000217,18.736389,-533.337891,-3.280609,0.005246,18.190857,-768.880859,-2.760796,0.001097
CCCC(NC)C(F)(F)F,O=P(O)(O)OP(=O)(O)O,0.177949,0.000003,18.966553,-192.740234,-3.208046,0.005681,0.047852,-896.621094,-0.362450,0.003610
CCCC(NC)C(F)(F)F,CC(=O)Nc1ccc(C)cc1,0.259335,0.000215,18.014618,19.880859,-3.122246,0.004252,14.935852,-419.427734,-2.494919,0.002603
CCCC(NC)C(F)(F)F,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.250763,0.000178,17.610260,615.457031,-3.204002,0.004633,11.966248,325.384766,-1.988731,0.002506
CCCC(NC)C(F)(F)F,CC(C)(O)CCC1CCCCC1,0.262034,0.000225,17.606750,-72.134766,-3.144592,0.004970,16.103058,-500.199219,-2.657990,0.002541
CCCC(NC)C(F)(F)F,COCC(F)(F)F,0.263755,0.000227,17.196533,-385.722656,-3.129784,0.005625,17.064789,-553.988281,-2.618973,0.001316
CCCC(NC)C(F)(F)F,COCC(O)COC,0.248271,0.000204,18.978638,-489.525391,-3.337540,0.005068,18.226807,-760.449219,-2.718849,0.001232
