SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCC(CC)C(=O)OC,O=P(Cl)(c1ccccc1)c1ccccc1,0.249601,0.000204,19.969055,-382.957031,-3.379784,0.004647,15.620209,-594.126953,-2.417992,0.001174
CCCCC(CC)C(=O)OC,CC(=O)Nc1ccc(C=O)cc1,0.263542,0.000214,17.880646,420.353516,-3.136002,0.004004,12.688446,-109.509766,-2.222763,0.003434
CCCCC(CC)C(=O)OC,Cc1cccc(CO)c1,0.250416,0.000206,18.844696,-266.347656,-3.276733,0.004651,15.913452,-625.486328,-2.484581,0.001696
CCCCC(CC)C(=O)OC,COC(C)CO,0.261220,0.000217,17.141632,-69.416016,-3.219948,0.005471,16.591614,-443.636719,-2.586357,0.002338
CCCCC(CC)C(=O)OC,Nc1nc(=O)c2ccccc2o1,0.245935,0.000170,18.163269,996.457031,-2.955589,0.002123,8.496063,286.236328,-1.742111,0.004822
CCCCC(CC)C(=O)OC,CC(Cl)Br,0.251072,0.000206,18.146393,-627.476562,-3.196732,0.005451,18.140839,-647.849609,-2.721695,0.000575
CCCCC(CC)C(=O)OC,CCCOC(F)F,0.261178,0.000226,17.784424,-489.802734,-3.178558,0.005588,17.264801,-635.236328,-2.632515,0.000985
CCCCC(CC)C(=O)OC,COC1CC2CCC1(C)C2(C)C,0.259802,0.000219,17.450378,-401.412109,-3.074425,0.005203,16.579102,-621.523438,-2.613930,0.001562
CCCCC(CC)C(=O)OC,CCC(=O)C1=NCCC1,0.254604,0.000211,18.082733,-453.552734,-3.189346,0.005182,16.916687,-671.392578,-2.569229,0.001295
CCCCC(CC)C(=O)OC,NC(CF)(CF)CF,0.251726,0.000200,17.549042,-215.136719,-3.266357,0.005629,16.634674,-406.341797,-2.443413,0.001488
CCCCC(CC)C(=O)OC,CC(C)CCCC(C)CC=O,0.261753,0.000226,17.988495,-388.830078,-3.191521,0.005424,16.670746,-687.566406,-2.617935,0.001628
CCCCC(CC)C(=O)OC,Cc1coc(C)n1,0.253025,0.000210,18.360046,-438.205078,-3.302574,0.005459,17.656342,-660.210938,-2.654663,0.001269
CCCCC(CC)C(=O)OC,NC(=S)NC(N)=S,0.223493,0.000122,18.287933,-35.751953,-3.141106,0.004508,14.309998,-337.947266,-2.062378,0.002099
CCCCC(CC)C(=O)OC,FC(F)C(Cl)C(F)F,0.231966,0.000164,19.770264,-851.257812,-3.429123,0.004827,18.804871,-780.158203,-2.655998,0.000386
CCCCC(CC)C(=O)OC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.241660,0.000174,16.087433,-218.142578,-2.713097,0.004079,15.162903,-431.076172,-2.422264,0.001570
CCCCC(CC)C(=O)OC,NNC(=O)c1ccccc1,0.265822,0.000214,16.921326,536.087891,-3.168945,0.004704,12.778076,43.466797,-2.195450,0.003676
CCCCC(CC)C(=O)OC,ClC=CBr,0.247750,0.000193,18.068420,-792.195312,-3.168541,0.005326,18.919006,-645.976562,-2.879372,0.000664
CCCCC(CC)C(=O)OC,CN(C)N=O,0.254997,0.000197,17.137695,-57.490234,-3.258095,0.005589,15.474823,-191.222656,-2.248589,0.001589
CCCCC(CC)C(=O)OC,c1ccc(C2CCCCC2)cc1,0.261797,0.000224,17.529144,-402.318359,-3.102562,0.005329,16.511383,-630.886719,-2.610291,0.001566
CCCCC(CC)C(=O)OC,N#Cc1ccncc1,0.244777,0.000195,19.258179,-484.042969,-3.322823,0.004800,17.332214,-695.888672,-2.583954,0.001049
CCCCC(CC)C(=O)OC,CN(C)C(=S)Nc1ccccc1,0.240530,0.000178,19.114563,-202.259766,-3.172882,0.003719,14.870178,-517.134766,-2.288483,0.001640
CCCCC(CC)C(=O)OC,CCC(N)CC,0.254387,0.000208,17.341644,-260.781250,-3.219650,0.006076,17.562988,-571.330078,-2.723251,0.001830
CCCCC(CC)C(=O)OC,COC(=O)CO,0.255789,0.000205,17.040802,-103.242188,-3.218040,0.005274,15.908936,-226.955078,-2.293686,0.001574
