SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCCCC1CCCC1=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.245713,0.000198,20.043854,-450.458984,-3.416512,0.004709,15.942322,-595.328125,-2.417175,0.000893
CCCCCCCC1CCCC1=O,CC(=O)Nc1ccc(C=O)cc1,0.250334,0.000192,18.574463,104.730469,-3.181885,0.003867,13.138245,-282.585938,-2.136192,0.002361
CCCCCCCC1CCCC1=O,Cc1cccc(CO)c1,0.239190,0.000184,19.051971,-438.611328,-3.262344,0.004416,15.849243,-686.345703,-2.391083,0.001177
CCCCCCCC1CCCC1=O,COC(C)CO,0.255646,0.000208,17.295044,-143.183594,-3.239601,0.005499,16.874664,-438.312500,-2.550224,0.001901
CCCCCCCC1CCCC1=O,Nc1nc(=O)c2ccccc2o1,0.233916,0.000150,19.189178,699.957031,-3.001579,0.001987,8.548309,70.410156,-1.599098,0.003911
CCCCCCCC1CCCC1=O,CC(Cl)Br,0.245256,0.000196,18.629913,-700.128906,-3.247520,0.005278,18.223663,-707.517578,-2.686256,0.000329
CCCCCCCC1CCCC1=O,CCCOC(F)F,0.258583,0.000220,17.705292,-498.291016,-3.162125,0.005524,17.111664,-606.236328,-2.581856,0.000832
CCCCCCCC1CCCC1=O,COC1CC2CCC1(C)C2(C)C,0.256823,0.000214,17.548004,-432.515625,-3.080833,0.005142,16.476410,-577.527344,-2.597168,0.001463
CCCCCCCC1CCCC1=O,CCC(=O)C1=NCCC1,0.253002,0.000209,18.113800,-498.800781,-3.219536,0.005267,17.134521,-632.050781,-2.559692,0.001014
CCCCCCCC1CCCC1=O,NC(CF)(CF)CF,0.246637,0.000190,17.342102,-191.960938,-3.275101,0.005718,16.762146,-295.617188,-2.371971,0.001268
CCCCCCCC1CCCC1=O,CC(C)CCCC(C)CC=O,0.257660,0.000220,18.266937,-441.849609,-3.222641,0.005355,16.734924,-695.054688,-2.593437,0.001366
CCCCCCCC1CCCC1=O,Cc1coc(C)n1,0.250660,0.000206,18.375610,-449.697266,-3.332367,0.005570,17.732239,-610.878906,-2.629326,0.001083
CCCCCCCC1CCCC1=O,NC(=S)NC(N)=S,0.215574,0.000103,18.451233,-88.449219,-3.134789,0.004516,13.354523,-324.892578,-1.902618,0.001958
CCCCCCCC1CCCC1=O,FC(F)C(Cl)C(F)F,0.226112,0.000150,19.866272,-894.615234,-3.440071,0.004727,18.706543,-769.103516,-2.583572,0.000280
CCCCCCCC1CCCC1=O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.234304,0.000159,16.206268,-248.164062,-2.737930,0.004018,15.019257,-359.982422,-2.372620,0.001353
CCCCCCCC1CCCC1=O,NNC(=O)c1ccccc1,0.256762,0.000199,17.530518,390.757812,-3.165825,0.004477,13.326080,-23.632812,-2.185303,0.002955
CCCCCCCC1CCCC1=O,ClC=CBr,0.243269,0.000184,18.272186,-839.529297,-3.182892,0.005245,18.890259,-674.224609,-2.831856,0.000465
CCCCCCCC1CCCC1=O,CN(C)N=O,0.247637,0.000185,17.139008,-90.539062,-3.299614,0.005672,16.144653,-128.248047,-2.253792,0.001124
CCCCCCCC1CCCC1=O,c1ccc(C2CCCCC2)cc1,0.258388,0.000219,17.829803,-465.005859,-3.136322,0.005259,16.654877,-635.150391,-2.599663,0.001335
CCCCCCCC1CCCC1=O,N#Cc1ccncc1,0.239766,0.000184,19.258179,-562.083984,-3.319984,0.004725,17.463257,-684.089844,-2.569756,0.000823
CCCCCCCC1CCCC1=O,CN(C)C(=S)Nc1ccccc1,0.224375,0.000146,19.625275,-469.736328,-3.204819,0.003574,14.661926,-641.927734,-2.154228,0.000982
CCCCCCCC1CCCC1=O,CCC(N)CC,0.251225,0.000201,17.025452,-237.679688,-3.232033,0.006367,17.528839,-467.896484,-2.707603,0.001822
CCCCCCCC1CCCC1=O,COC(=O)CO,0.248904,0.000192,17.114502,-160.134766,-3.207001,0.005182,15.845215,-209.248047,-2.203796,0.001211
CCCCCCCC1CCCC1=O,Cc1c(N)cccc1Cl,0.217995,0.000139,20.729675,-906.521484,-3.408752,0.003935,18.482452,-966.998047,-2.656120,0.000558
CCCCCCCC1CCCC1=O,CC1CCC(C(C)(C)OO)CC1,0.218910,0.000145,19.766449,-803.048828,-3.184006,0.003654,16.063263,-864.832031,-2.347427,0.000371
CCCCCCCC1CCCC1=O,CC(F)(Cl)CF,0.251170,0.000207,18.241333,-551.765625,-3.262199,0.005482,17.570129,-605.134766,-2.588745,0.000648
CCCCCCCC1CCCC1=O,CCCCC1OC(C)CC(C)(C)O1,0.258911,0.000221,18.035950,-400.158203,-3.169205,0.005252,16.630737,-703.091797,-2.609131,0.001607
CCCCCCCC1CCCC1=O,CC(C)(C)OCC1CO1,0.259862,0.000224,18.222290,-443.304688,-3.277420,0.005603,17.203247,-639.634766,-2.619263,0.001245
CCCCCCCC1CCCC1=O,O=P(O)(O)OP(=O)(O)O,0.165853,-0.000022,18.725739,-626.666016,-3.060600,0.005294,2.822662,-864.673828,-0.672882,0.002373
CCCCCCCC1CCCC1=O,CC(=O)Nc1ccc(C)cc1,0.250888,0.000200,18.746185,-191.250000,-3.196922,0.004288,14.954803,-553.658203,-2.367271,0.001788
CCCCCCCC1CCCC1=O,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.234019,0.000149,18.139740,478.386719,-3.320679,0.004986,12.954498,428.822266,-1.970062,0.001233
CCCCCCCC1CCCC1=O,CC(C)(O)CCC1CCCCC1,0.251906,0.000207,18.347443,-200.974609,-3.230827,0.005003,15.817841,-585.130859,-2.526840,0.002027
CCCCCCCC1CCCC1=O,COCC(F)(F)F,0.257005,0.000214,17.117859,-399.169922,-3.174171,0.005739,16.976013,-436.378906,-2.493774,0.000921
CCCCCCCC1CCCC1=O,COCC(O)COC,0.254826,0.000206,17.363068,-278.154297,-3.272964,0.005856,17.121918,-431.503906,-2.479271,0.001342
CCCCCCCC1CCCC1=O,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.245034,0.000185,19.763000,505.550781,-3.147194,0.002403,11.904022,-176.287109,-2.147552,0.003536
CCCCCCCC1CCCC1=O,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.195696,0.000081,20.717010,-755.691406,-3.253151,0.002953,13.225952,-914.703125,-1.897697,0.001205
CCCCCCCC1CCCC1=O,CC(C)C(F)F,0.261137,0.000222,17.164307,-448.408203,-3.117577,0.005673,16.835052,-555.734375,-2.560135,0.000965
CCCCCCCC1CCCC1=O,CCCCC1C=C(C)CC(C)O1,0.256131,0.000215,17.896729,-413.830078,-3.130836,0.005118,16.455719,-663.574219,-2.575211,0.001438
CCCCCCCC1CCCC1=O,COc1ccc(C(C)=O)cc1,0.258311,0.000213,18.256531,-295.687500,-3.301575,0.005653,15.929138,-448.515625,-2.430748,0.001366
CCCCCCCC1CCCC1=O,Oc1cc(O)ncn1,0.212713,0.000110,18.452942,-341.615234,-3.086853,0.003617,12.551086,-696.498047,-1.832253,0.001821
CCCCCCCC1CCCC1=O,COCCCCl,0.259920,0.000220,17.401031,-430.220703,-3.162888,0.005633,16.874268,-584.560547,-2.558296,0.001149
CCCCCCCC1CCCC1=O,CCCOC,0.256750,0.000213,17.039673,-456.826172,-3.084862,0.005423,17.011871,-586.580078,-2.641968,0.001270
CCCCCCCC1CCCC1=O,Fc1c(F)c(F)c(F)c(F)c1F,0.255776,0.000207,16.505829,-363.578125,-2.975838,0.005239,15.551178,-418.349609,-2.424446,0.001232
CCCCCCCC1CCCC1=O,CCP(CC)CC,0.256589,0.000216,17.823975,-465.494141,-3.162483,0.005482,16.810760,-636.400391,-2.581642,0.001140
CCCCCCCC1CCCC1=O,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.260232,0.000223,18.230835,-313.960938,-3.208366,0.005224,16.416351,-727.148438,-2.622581,0.002044
CCCCCCCC1CCCC1=O,Fc1cc(F)c(F)cc1F,0.244873,0.000193,18.563171,-670.591797,-3.203621,0.005026,17.384430,-733.916016,-2.620605,0.000663
CCCCCCCC1CCCC1=O,CCCCc1ccc(C(=O)O)cc1,0.210650,0.000121,19.667633,-941.566406,-3.137672,0.003543,15.530151,-942.787109,-2.232269,0.000336
