SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCCCCCOC(C)=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.247403,0.000198,19.980560,-412.283203,-3.404686,0.004683,15.685364,-539.156250,-2.380081,0.000896
CCCCCCCCCOC(C)=O,CC(=O)Nc1ccc(C=O)cc1,0.257720,0.000203,18.009949,307.185547,-3.165390,0.003944,12.962219,-109.275391,-2.170013,0.002905
CCCCCCCCCOC(C)=O,Cc1cccc(CO)c1,0.247057,0.000200,18.841125,-342.583984,-3.299721,0.004689,16.208344,-597.541016,-2.458366,0.001310
CCCCCCCCCOC(C)=O,COC(C)CO,0.257705,0.000210,17.185059,-89.591797,-3.243080,0.005403,16.591736,-372.789062,-2.524635,0.002050
CCCCCCCCCOC(C)=O,Nc1nc(=O)c2ccccc2o1,0.239960,0.000159,18.250427,928.447266,-2.994553,0.002197,8.472168,354.875000,-1.630531,0.004232
CCCCCCCCCOC(C)=O,CC(Cl)Br,0.249225,0.000203,18.265228,-664.283203,-3.233887,0.005446,18.404114,-650.167969,-2.726906,0.000462
CCCCCCCCCOC(C)=O,CCCOC(F)F,0.258975,0.000222,17.899292,-518.607422,-3.217056,0.005603,17.477814,-611.527344,-2.621735,0.000811
CCCCCCCCCOC(C)=O,COC1CC2CCC1(C)C2(C)C,0.257689,0.000216,17.686768,-444.234375,-3.118752,0.005229,16.723785,-627.179688,-2.606110,0.001354
CCCCCCCCCOC(C)=O,CCC(=O)C1=NCCC1,0.253020,0.000208,18.083160,-463.845703,-3.230247,0.005259,17.151367,-624.806641,-2.559906,0.001168
CCCCCCCCCOC(C)=O,NC(CF)(CF)CF,0.248671,0.000193,17.263000,-207.277344,-3.273048,0.005762,16.699036,-273.662109,-2.342606,0.001185
CCCCCCCCCOC(C)=O,CC(C)CCCC(C)CC=O,0.260499,0.000225,18.302368,-413.078125,-3.257874,0.005516,16.861938,-699.517578,-2.621155,0.001506
CCCCCCCCCOC(C)=O,Cc1coc(C)n1,0.250739,0.000206,18.494019,-449.388672,-3.331932,0.005411,17.576660,-594.958984,-2.603981,0.001039
