SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCOC(=O)CCC(C)CC,O=P(Cl)(c1ccccc1)c1ccccc1,0.246054,0.000199,20.194550,-445.820312,-3.409103,0.004596,16.135406,-640.593750,-2.463493,0.000977
CCOC(=O)CCC(C)CC,CC(=O)Nc1ccc(C=O)cc1,0.259913,0.000209,18.151550,285.736328,-3.157738,0.004002,13.180023,-192.083984,-2.230949,0.002954
CCOC(=O)CCC(C)CC,Cc1cccc(CO)c1,0.246125,0.000197,18.840820,-383.218750,-3.253349,0.004601,16.087036,-675.121094,-2.456345,0.001329
CCOC(=O)CCC(C)CC,COC(C)CO,0.259217,0.000214,17.309875,-97.873047,-3.236725,0.005426,16.708984,-454.191406,-2.582672,0.002200
CCOC(=O)CCC(C)CC,Nc1nc(=O)c2ccccc2o1,0.243271,0.000164,18.578796,790.478516,-2.978981,0.002254,7.980042,136.619141,-1.569405,0.004340
CCOC(=O)CCC(C)CC,CC(Cl)Br,0.245944,0.000197,18.475494,-710.058594,-3.214462,0.005266,18.377869,-693.093750,-2.719704,0.000360
CCOC(=O)CCC(C)CC,CCCOC(F)F,0.257356,0.000219,17.971588,-545.525391,-3.187202,0.005480,17.416168,-645.054688,-2.618881,0.000728
CCOC(=O)CCC(C)CC,COC1CC2CCC1(C)C2(C)C,0.257583,0.000216,17.558044,-434.884766,-3.079063,0.005141,16.666809,-629.419922,-2.605698,0.001387
CCOC(=O)CCC(C)CC,CCC(=O)C1=NCCC1,0.252322,0.000208,18.304474,-490.365234,-3.207405,0.005113,17.100708,-688.279297,-2.579224,0.001139
CCOC(=O)CCC(C)CC,NC(CF)(CF)CF,0.250907,0.000199,17.642670,-238.669922,-3.277985,0.005617,16.707916,-408.314453,-2.439461,0.001376
CCOC(=O)CCC(C)CC,CC(C)CCCC(C)CC=O,0.259481,0.000223,18.148651,-417.990234,-3.204208,0.005363,16.783325,-693.757812,-2.617989,0.001480
CCOC(=O)CCC(C)CC,Cc1coc(C)n1,0.251359,0.000209,18.687317,-478.960938,-3.327316,0.005342,17.833038,-697.232422,-2.669571,0.001153
CCOC(=O)CCC(C)CC,NC(=S)NC(N)=S,0.220888,0.000116,18.392303,-144.880859,-3.113876,0.004347,14.105560,-417.673828,-2.023155,0.001997
CCOC(=O)CCC(C)CC,FC(F)C(Cl)C(F)F,0.226245,0.000153,20.236816,-922.949219,-3.481384,0.004670,18.972443,-840.876953,-2.625732,0.000222
CCOC(=O)CCC(C)CC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.239062,0.000168,16.181610,-279.371094,-2.701813,0.003967,15.227112,-459.369141,-2.407112,0.001407
CCOC(=O)CCC(C)CC,NNC(=O)c1ccccc1,0.263653,0.000210,17.212524,488.763672,-3.174721,0.004514,12.811066,14.900391,-2.175491,0.003456
CCOC(=O)CCC(C)CC,ClC=CBr,0.242800,0.000184,18.360840,-855.660156,-3.186218,0.005135,19.003113,-676.951172,-2.843285,0.000438
CCOC(=O)CCC(C)CC,CN(C)N=O,0.253923,0.000196,17.148407,-66.310547,-3.262108,0.005590,15.685669,-207.226562,-2.267479,0.001590
CCOC(=O)CCC(C)CC,c1ccc(C2CCCCC2)cc1,0.259177,0.000220,17.694672,-455.835938,-3.116104,0.005281,16.699738,-647.554688,-2.606468,0.001310
CCOC(=O)CCC(C)CC,N#Cc1ccncc1,0.243323,0.000192,19.320587,-518.859375,-3.316841,0.004751,17.349518,-716.273438,-2.583054,0.000982
CCOC(=O)CCC(C)CC,CN(C)C(=S)Nc1ccccc1,0.235598,0.000169,19.292175,-273.062500,-3.177864,0.003593,15.032440,-546.962891,-2.273071,0.001361
CCOC(=O)CCC(C)CC,CCC(N)CC,0.255461,0.000209,17.288116,-245.083984,-3.210350,0.006083,17.497681,-567.982422,-2.720161,0.001893
CCOC(=O)CCC(C)CC,COC(=O)CO,0.253852,0.000202,17.197510,-139.318359,-3.218117,0.005140,15.925812,-270.591797,-2.279686,0.001441
CCOC(=O)CCC(C)CC,Cc1c(N)cccc1Cl,0.225272,0.000155,20.167877,-809.351562,-3.338409,0.004100,18.310638,-923.107422,-2.676842,0.000703
CCOC(=O)CCC(C)CC,CC1CCC(C(C)(C)OO)CC1,0.228578,0.000166,19.401733,-695.679688,-3.185837,0.003943,16.486084,-823.486328,-2.449417,0.000585
CCOC(=O)CCC(C)CC,CC(F)(Cl)CF,0.251237,0.000209,18.614990,-580.912109,-3.289619,0.005404,17.788361,-669.648438,-2.630325,0.000654
CCOC(=O)CCC(C)CC,CCCCC1OC(C)CC(C)(C)O1,0.259016,0.000221,17.968506,-403.167969,-3.149673,0.005201,16.827026,-710.166016,-2.642662,0.001613
CCOC(=O)CCC(C)CC,CC(C)(C)OCC1CO1,0.259824,0.000225,18.462250,-456.724609,-3.283951,0.005520,17.369568,-700.921875,-2.657661,0.001324
CCOC(=O)CCC(C)CC,O=P(O)(O)OP(=O)(O)O,0.172627,-0.000008,18.018280,-598.328125,-2.996078,0.004492,4.583557,-900.378906,-0.759247,0.002426
CCOC(=O)CCC(C)CC,CC(=O)Nc1ccc(C)cc1,0.259891,0.000217,18.680054,-46.652344,-3.225044,0.004432,14.957153,-482.455078,-2.441826,0.002240
CCOC(=O)CCC(C)CC,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.242487,0.000166,18.037933,415.173828,-3.314171,0.005027,12.619568,326.677734,-1.957253,0.001507
CCOC(=O)CCC(C)CC,CC(C)(O)CCC1CCCCC1,0.258570,0.000221,18.307251,-110.777344,-3.259621,0.005073,16.110840,-561.537109,-2.618408,0.002398
CCOC(=O)CCC(C)CC,COCC(F)(F)F,0.257092,0.000216,17.620789,-448.501953,-3.195358,0.005520,17.162933,-533.808594,-2.557304,0.000902
CCOC(=O)CCC(C)CC,COCC(O)COC,0.258407,0.000213,17.486420,-270.849609,-3.262428,0.005752,16.952606,-496.982422,-2.531761,0.001555
CCOC(=O)CCC(C)CC,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.251717,0.000195,19.198853,526.027344,-3.159897,0.002754,11.935913,-172.738281,-2.167030,0.003750
CCOC(=O)CCC(C)CC,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.204865,0.000100,20.470642,-634.472656,-3.214325,0.002910,14.053436,-873.697266,-2.050591,0.001414
CCOC(=O)CCC(C)CC,CC(C)C(F)F,0.261115,0.000224,17.422913,-476.054688,-3.133705,0.005641,17.005402,-608.056641,-2.594231,0.000961
CCOC(=O)CCC(C)CC,CCCCC1C=C(C)CC(C)O1,0.256271,0.000215,17.717041,-427.939453,-3.100792,0.005102,16.748718,-676.005859,-2.614822,0.001381
CCOC(=O)CCC(C)CC,COc1ccc(C(C)=O)cc1,0.258025,0.000214,18.555908,-294.187500,-3.289886,0.005319,15.965302,-531.648438,-2.469231,0.001504
CCOC(=O)CCC(C)CC,Oc1cc(O)ncn1,0.224766,0.000135,18.467377,-98.232422,-3.149132,0.003760,13.713379,-589.775391,-2.063568,0.002447
CCOC(=O)CCC(C)CC,COCCCCl,0.261303,0.000222,17.441467,-433.291016,-3.144669,0.005583,17.011932,-637.748047,-2.602135,0.001275
CCOC(=O)CCC(C)CC,CCCOC,0.258668,0.000217,17.271027,-463.953125,-3.107376,0.005483,17.241547,-644.800781,-2.644768,0.001183
CCOC(=O)CCC(C)CC,Fc1c(F)c(F)c(F)c(F)c1F,0.258054,0.000212,16.585205,-377.199219,-2.952454,0.005041,15.795563,-504.445312,-2.477463,0.001345
CCOC(=O)CCC(C)CC,CCP(CC)CC,0.257785,0.000219,17.848145,-451.800781,-3.157578,0.005376,16.924988,-668.052734,-2.612961,0.001211
CCOC(=O)CCC(C)CC,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.261091,0.000226,18.231323,-329.380859,-3.209526,0.005231,16.829865,-745.089844,-2.687309,0.002031
CCOC(=O)CCC(C)CC,Fc1cc(F)c(F)cc1F,0.245141,0.000194,18.706635,-699.494141,-3.223640,0.004998,17.742828,-768.998047,-2.670197,0.000685
CCOC(=O)CCC(C)CC,CCCCc1ccc(C(=O)O)cc1,0.221832,0.000141,19.032318,-825.279297,-3.113808,0.003895,15.603790,-866.851562,-2.271271,0.000550
CCOC(=O)CCC(C)CC,C=Cc1c(C)cc(C)cc1C,0.260002,0.000223,17.823029,-461.785156,-3.162766,0.005467,17.006012,-674.175781,-2.632858,0.001241
CCOC(=O)CCC(C)CC,C=C(C)C(=O)OC(C)(C)C,0.258321,0.000223,18.521118,-464.740234,-3.272942,0.005450,17.010345,-695.228516,-2.626251,0.001237
CCOC(=O)CCC(C)CC,FC1CCCN1,0.248291,0.000202,18.573914,-445.009766,-3.309158,0.005109,17.590179,-608.513672,-2.574905,0.000966
CCOC(=O)CCC(C)CC,CCCCCCCC(=O)NC,0.264729,0.000226,18.299408,127.957031,-3.180275,0.004528,14.784515,-434.023438,-2.532326,0.003026
CCOC(=O)CCC(C)CC,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.256892,0.000206,15.961578,-80.371094,-2.904617,0.005092,15.109009,-362.488281,-2.437149,0.002048
CCOC(=O)CCC(C)CC,C1=CC2C=CC1C2,0.258019,0.000217,17.434784,-515.173828,-3.107140,0.005476,17.366821,-587.595703,-2.666252,0.000992
CCOC(=O)CCC(C)CC,CCC(C)(O)CCC=C(C)C,0.254776,0.000216,18.535736,-260.103516,-3.272041,0.005064,16.555389,-655.738281,-2.620262,0.001903
CCOC(=O)CCC(C)CC,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.255345,0.000225,19.378021,-344.285156,-3.283264,0.004584,18.384949,-882.888672,-3.022903,0.002292
CCOC(=O)CCC(C)CC,CCC(C)CCF,0.263096,0.000224,17.081757,-441.332031,-3.068039,0.005556,16.838104,-585.662109,-2.616623,0.001289
CCOC(=O)CCC(C)CC,C=Cc1cccc(CC)c1,0.258166,0.000221,18.138153,-497.621094,-3.207146,0.005452,17.277252,-697.863281,-2.651466,0.001118
CCOC(=O)CCC(C)CC,CC(C)(C(O)(F)F)C(F)(F)F,0.150113,-0.000020,21.456024,-1767.220703,-3.345345,0.003415,13.589233,-1418.847656,-1.828911,-0.000386
CCOC(=O)CCC(C)CC,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.262194,0.000216,16.426270,-454.666016,-2.928551,0.004976,16.528351,-478.279297,-2.663681,0.001750
CCOC(=O)CCC(C)CC,CCN(CC)c1ccc(N)cc1,0.249602,0.000204,19.498810,-339.787109,-3.317757,0.004543,16.593597,-664.570312,-2.576225,0.001562
CCOC(=O)CCC(C)CC,FC(F)CC(F)(F)F,0.250479,0.000202,17.875214,-503.207031,-3.188477,0.005288,16.937408,-552.960938,-2.516922,0.000841
