SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
COC(Cl)(Cl)C(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.248662,0.000206,19.502411,-406.322266,-3.314880,0.004752,17.144653,-866.355469,-2.715256,0.001961
COC(Cl)(Cl)C(F)F,CC(=O)Nc1ccc(C=O)cc1,0.278100,0.000237,16.846893,813.683594,-2.993858,0.003989,12.126160,-75.431641,-2.421394,0.005321
COC(Cl)(Cl)C(F)F,Cc1cccc(CO)c1,0.275274,0.000240,16.403809,431.802734,-3.084045,0.005136,13.958557,-248.613281,-2.552658,0.004364
COC(Cl)(Cl)C(F)F,COC(C)CO,0.256091,0.000206,17.680817,-149.562500,-3.117630,0.004697,17.137543,-791.792969,-2.790009,0.003047
COC(Cl)(Cl)C(F)F,Nc1nc(=O)c2ccccc2o1,0.268475,0.000216,16.165009,1632.845703,-2.856750,0.002188,9.779419,579.734375,-2.313469,0.006998
COC(Cl)(Cl)C(F)F,CC(Cl)Br,0.268710,0.000234,16.759186,-332.517578,-3.041756,0.005727,16.043610,-550.650391,-2.521423,0.001538
COC(Cl)(Cl)C(F)F,CCCOC(F)F,0.267611,0.000233,17.083527,-390.287109,-3.078308,0.005685,16.614685,-635.990234,-2.613556,0.001585
COC(Cl)(Cl)C(F)F,COC1CC2CCC1(C)C2(C)C,0.255238,0.000200,16.351013,-310.810547,-2.786652,0.004304,16.263916,-574.566406,-2.645752,0.002336
COC(Cl)(Cl)C(F)F,CCC(=O)C1=NCCC1,0.247077,0.000190,17.988434,-568.597656,-3.052773,0.004660,17.880737,-869.296875,-2.800865,0.001631
COC(Cl)(Cl)C(F)F,NC(CF)(CF)CF,0.261833,0.000218,17.167603,-175.185547,-3.117165,0.005389,16.570099,-658.160156,-2.619797,0.002372
COC(Cl)(Cl)C(F)F,CC(C)CCCC(C)CC=O,0.253921,0.000205,17.487183,-353.351562,-3.027679,0.004869,16.741119,-774.691406,-2.680069,0.002051
COC(Cl)(Cl)C(F)F,Cc1coc(C)n1,0.245871,0.000189,18.438416,-579.173828,-3.158096,0.004766,18.105042,-873.255859,-2.800392,0.001578
COC(Cl)(Cl)C(F)F,NC(=S)NC(N)=S,0.261992,0.000190,15.271271,1037.541016,-3.085754,0.005771,12.507751,442.369141,-2.164795,0.004123
COC(Cl)(Cl)C(F)F,FC(F)C(Cl)C(F)F,0.264289,0.000229,17.559235,-392.835938,-3.201515,0.006004,16.780334,-577.839844,-2.579178,0.001321
