SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
COc1cc(C)cc(O)c1,O=P(Cl)(c1ccccc1)c1ccccc1,0.220944,0.000142,18.772644,-822.509766,-3.123856,0.004460,14.520325,-900.236328,-2.166626,0.000435
COc1cc(C)cc(O)c1,CC(=O)Nc1ccc(C=O)cc1,0.216287,0.000124,18.198700,-654.664062,-3.077789,0.004320,12.984467,-904.566406,-1.949944,0.001161
COc1cc(C)cc(O)c1,Cc1cccc(CO)c1,0.234546,0.000167,17.954163,-584.328125,-3.055725,0.004588,14.856506,-765.839844,-2.250046,0.000969
COc1cc(C)cc(O)c1,COC(C)CO,0.200256,0.000094,20.001251,-1041.267578,-3.158234,0.003840,15.001862,-1194.384766,-2.296654,0.000972
COc1cc(C)cc(O)c1,Nc1nc(=O)c2ccccc2o1,0.223116,0.000139,18.038727,-381.708984,-3.039284,0.004021,12.714081,-768.330078,-1.988983,0.001873
COc1cc(C)cc(O)c1,CC(Cl)Br,0.280772,0.000245,13.944458,-171.943359,-2.790543,0.007140,16.560699,352.570312,-2.834007,0.001577
COc1cc(C)cc(O)c1,CCCOC(F)F,0.277761,0.000239,14.337799,-170.623047,-2.744476,0.006354,16.118774,224.865234,-2.784668,0.001919
COc1cc(C)cc(O)c1,COC1CC2CCC1(C)C2(C)C,0.240044,0.000157,15.130341,-573.871094,-2.441254,0.003755,14.828461,-279.675781,-2.407944,0.001727
COc1cc(C)cc(O)c1,CCC(=O)C1=NCCC1,0.203718,0.000096,18.144623,-1114.230469,-2.800934,0.003707,14.458069,-1013.673828,-2.207542,0.000387
COc1cc(C)cc(O)c1,NC(CF)(CF)CF,0.204606,0.000098,17.447174,-913.390625,-2.935699,0.004319,12.959137,-923.662109,-1.837555,0.000128
COc1cc(C)cc(O)c1,CC(C)CCCC(C)CC=O,0.227620,0.000142,16.897003,-784.466797,-2.777290,0.004239,14.974274,-714.087891,-2.308151,0.000891
COc1cc(C)cc(O)c1,Cc1coc(C)n1,0.182887,0.000053,19.221588,-1262.275391,-3.048912,0.003730,13.311951,-1203.558594,-1.912247,0.000171
COc1cc(C)cc(O)c1,NC(=S)NC(N)=S,0.246449,0.000179,16.056580,139.933594,-2.946068,0.005191,16.940765,-243.298828,-2.504776,0.001788
COc1cc(C)cc(O)c1,FC(F)C(Cl)C(F)F,0.273173,0.000234,14.511139,-197.906250,-2.832886,0.006740,16.332062,151.998047,-2.692848,0.001187
COc1cc(C)cc(O)c1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.265906,0.000199,11.231995,847.355469,-2.209160,0.004788,12.182526,1055.623047,-2.492661,0.004003
