SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
COc1ccnc2ccccc12,O=P(Cl)(c1ccccc1)c1ccccc1,0.253443,0.000217,19.453156,-442.003906,-3.355537,0.005043,17.094910,-799.089844,-2.666496,0.001602
COc1ccnc2ccccc12,CC(=O)Nc1ccc(C=O)cc1,0.235387,0.000168,19.110382,-443.291016,-3.177727,0.004231,13.692535,-763.582031,-2.146439,0.001516
COc1ccnc2ccccc12,Cc1cccc(CO)c1,0.230293,0.000162,18.738251,-698.613281,-3.115311,0.004322,14.850342,-759.472656,-2.207909,0.000551
COc1ccnc2ccccc12,COC(C)CO,0.243518,0.000188,18.177795,-507.341797,-3.145309,0.004826,16.459076,-722.089844,-2.495781,0.001085
COc1ccnc2ccccc12,Nc1nc(=O)c2ccccc2o1,0.223482,0.000132,19.658325,70.390625,-3.040031,0.002861,8.926727,-605.148438,-1.600922,0.003053
COc1ccnc2ccccc12,CC(Cl)Br,0.257454,0.000213,17.036865,-585.265625,-3.053406,0.005671,18.304688,-571.626953,-2.815552,0.000873
COc1ccnc2ccccc12,CCCOC(F)F,0.266433,0.000226,16.335114,-370.035156,-2.939331,0.005423,16.728516,-503.107422,-2.655045,0.001594
COc1ccnc2ccccc12,COC1CC2CCC1(C)C2(C)C,0.256631,0.000196,15.247070,-225.224609,-2.648361,0.004381,15.176910,-267.187500,-2.570114,0.002712
COc1ccnc2ccccc12,CCC(=O)C1=NCCC1,0.253419,0.000207,17.620941,-522.923828,-3.052528,0.004925,17.068512,-677.423828,-2.633766,0.001174
COc1ccnc2ccccc12,NC(CF)(CF)CF,0.250898,0.000200,17.575867,-325.968750,-3.139229,0.005217,16.788269,-580.181641,-2.547745,0.001517
COc1ccnc2ccccc12,CC(C)CCCC(C)CC=O,0.257287,0.000208,16.458710,-308.876953,-2.890297,0.004827,16.195374,-517.769531,-2.636925,0.002117
COc1ccnc2ccccc12,Cc1coc(C)n1,0.252172,0.000207,17.885712,-517.714844,-3.126053,0.005128,17.162018,-688.068359,-2.612587,0.000982
COc1ccnc2ccccc12,NC(=S)NC(N)=S,0.202622,0.000076,19.375793,-589.830078,-3.060028,0.003470,11.562103,-992.453125,-1.748695,0.002208
COc1ccnc2ccccc12,FC(F)C(Cl)C(F)F,0.244044,0.000179,18.129700,-745.648438,-3.172897,0.005031,18.681152,-700.101562,-2.775688,0.000940
COc1ccnc2ccccc12,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.244323,0.000169,14.615814,278.308594,-2.436874,0.003454,13.946289,-185.039062,-2.441986,0.003054
COc1ccnc2ccccc12,NNC(=O)c1ccccc1,0.253241,0.000202,18.853058,2.232422,-3.150513,0.004255,14.787933,-541.546875,-2.430817,0.002446
COc1ccnc2ccccc12,ClC=CBr,0.255864,0.000203,16.769928,-657.289062,-2.976288,0.005390,18.668915,-538.228516,-2.915924,0.001179
COc1ccnc2ccccc12,CN(C)N=O,0.256188,0.000210,17.541931,-313.261719,-3.220345,0.005537,16.976257,-528.544922,-2.521523,0.001512
COc1ccnc2ccccc12,c1ccc(C2CCCCC2)cc1,0.265910,0.000215,15.443237,-243.953125,-2.733719,0.004875,15.509186,-312.574219,-2.615746,0.002630
COc1ccnc2ccccc12,N#Cc1ccncc1,0.247918,0.000202,18.644623,-594.916016,-3.194984,0.004830,17.650970,-775.511719,-2.649475,0.000915
COc1ccnc2ccccc12,CN(C)C(=S)Nc1ccccc1,0.217803,0.000138,19.652863,-869.109375,-3.165733,0.003798,16.117218,-963.361328,-2.333656,0.000518
COc1ccnc2ccccc12,CCC(N)CC,0.248423,0.000190,15.840607,-178.349609,-2.977837,0.006079,16.972504,-428.031250,-2.709999,0.002104
COc1ccnc2ccccc12,COC(=O)CO,0.235851,0.000170,18.185425,-668.023438,-3.172806,0.004928,15.393280,-715.183594,-2.211456,0.000505
COc1ccnc2ccccc12,Cc1c(N)cccc1Cl,0.217594,0.000136,20.295349,-1010.853516,-3.332993,0.004012,17.891663,-1005.431641,-2.563484,0.000351
COc1ccnc2ccccc12,CC1CCC(C(C)(C)OO)CC1,0.201282,0.000102,18.741058,-999.816406,-2.982414,0.003490,13.995026,-925.562500,-2.000900,-0.000120
COc1ccnc2ccccc12,CC(F)(Cl)CF,0.259804,0.000219,17.330933,-454.974609,-3.106049,0.005527,17.347717,-622.470703,-2.677361,0.001181
COc1ccnc2ccccc12,CCCCC1OC(C)CC(C)(C)O1,0.257697,0.000205,16.168427,-260.748047,-2.806610,0.004552,15.843262,-478.041016,-2.632317,0.002525
COc1ccnc2ccccc12,CC(C)(C)OCC1CO1,0.256877,0.000214,17.431305,-453.287109,-3.073380,0.005170,17.092987,-652.617188,-2.670815,0.001424
COc1ccnc2ccccc12,O=P(O)(O)OP(=O)(O)O,0.122018,-0.000106,22.458832,-1424.646484,-3.716980,0.007435,-1.350342,-1609.505859,-0.384705,0.003037
COc1ccnc2ccccc12,CC(=O)Nc1ccc(C)cc1,0.237197,0.000174,18.527893,-571.570312,-3.074631,0.004262,14.855011,-777.996094,-2.287025,0.001190
COc1ccnc2ccccc12,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.258711,0.000207,18.389923,-74.126953,-3.197739,0.004764,14.443878,-363.060547,-2.276802,0.001790
COc1ccnc2ccccc12,CC(C)(O)CCC1CCCCC1,0.238212,0.000173,17.457916,-411.703125,-2.945396,0.004438,14.686768,-670.839844,-2.300819,0.001470
COc1ccnc2ccccc12,COCC(F)(F)F,0.263783,0.000222,16.413147,-329.289062,-2.960777,0.005339,16.501862,-485.955078,-2.581810,0.001454
COc1ccnc2ccccc12,COCC(O)COC,0.243678,0.000194,18.892517,-588.783203,-3.252701,0.004864,17.464996,-797.123047,-2.614655,0.000908
COc1ccnc2ccccc12,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.229760,0.000166,20.977875,-119.779297,-3.221291,0.002669,13.943970,-749.550781,-2.331581,0.002465
COc1ccnc2ccccc12,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.175581,0.000046,21.017639,-1183.226562,-3.339836,0.003538,12.542023,-1299.726562,-1.737801,0.000586
COc1ccnc2ccccc12,CC(C)C(F)F,0.270408,0.000230,15.759003,-347.994141,-2.863693,0.005520,16.603333,-372.537109,-2.697220,0.001876
COc1ccnc2ccccc12,CCCCC1C=C(C)CC(C)O1,0.255226,0.000198,15.756683,-240.406250,-2.727264,0.004426,15.442505,-364.398438,-2.591179,0.002542
COc1ccnc2ccccc12,COc1ccc(C(C)=O)cc1,0.257383,0.000218,18.252777,-428.824219,-3.209724,0.005220,17.036743,-729.500000,-2.647545,0.001538
COc1ccnc2ccccc12,Oc1cc(O)ncn1,0.188592,0.000062,18.759033,-776.464844,-3.142761,0.003815,10.048248,-1009.966797,-1.463318,0.001001
COc1ccnc2ccccc12,COCCCCl,0.261411,0.000217,16.464691,-433.345703,-2.962708,0.005368,16.892914,-518.242188,-2.662567,0.001501
COc1ccnc2ccccc12,CCCOC,0.253253,0.000197,15.778473,-395.369141,-2.819061,0.004955,16.552124,-362.955078,-2.656898,0.001790
COc1ccnc2ccccc12,Fc1c(F)c(F)c(F)c(F)c1F,0.258314,0.000198,14.557281,-53.546875,-2.615128,0.004915,15.152039,-86.259766,-2.599731,0.002527
COc1ccnc2ccccc12,CCP(CC)CC,0.254621,0.000198,15.946747,-304.404297,-2.772209,0.004547,15.893433,-382.765625,-2.612892,0.002250
COc1ccnc2ccccc12,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.258462,0.000207,16.289886,-160.318359,-2.813881,0.004423,15.788147,-518.257812,-2.669640,0.002948
COc1ccnc2ccccc12,Fc1cc(F)c(F)cc1F,0.260427,0.000215,16.426239,-358.474609,-2.938164,0.005337,16.310883,-540.363281,-2.558456,0.001457
COc1ccnc2ccccc12,CCCCc1ccc(C(=O)O)cc1,0.193743,0.000082,18.778198,-1208.734375,-3.033287,0.003951,13.569946,-1013.871094,-1.904846,-0.000411
COc1ccnc2ccccc12,C=Cc1c(C)cc(C)cc1C,0.265167,0.000216,15.583588,-233.501953,-2.781090,0.005018,15.493469,-339.814453,-2.596924,0.002556
COc1ccnc2ccccc12,C=C(C)C(=O)OC(C)(C)C,0.258251,0.000212,16.839447,-361.439453,-2.951309,0.004923,16.238159,-510.003906,-2.627159,0.001893
COc1ccnc2ccccc12,FC1CCCN1,0.243354,0.000194,18.916992,-612.285156,-3.244789,0.004803,17.804657,-766.720703,-2.641014,0.000701
COc1ccnc2ccccc12,CCCCCCCC(=O)NC,0.247430,0.000195,18.066559,-285.802734,-3.089699,0.004623,15.972473,-731.667969,-2.551804,0.002094
COc1ccnc2ccccc12,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.256738,0.000192,14.083496,366.974609,-2.563675,0.004553,14.300262,6.812500,-2.599434,0.003632
COc1ccnc2ccccc12,C1=CC2C=CC1C2,0.264918,0.000211,14.820068,-282.447266,-2.705750,0.005247,16.179138,-142.488281,-2.722809,0.002494
COc1ccnc2ccccc12,CCC(C)(O)CCC=C(C)C,0.235967,0.000169,17.562592,-458.636719,-2.939636,0.004330,14.451965,-678.482422,-2.252731,0.001296
COc1ccnc2ccccc12,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.246700,0.000185,17.049438,218.958984,-2.777420,0.003276,16.951660,-568.074219,-3.054848,0.004249
COc1ccnc2ccccc12,CCC(C)CCF,0.266503,0.000214,14.732605,-223.929688,-2.693588,0.005176,15.729523,-213.017578,-2.648056,0.002627
COc1ccnc2ccccc12,C=Cc1cccc(CC)c1,0.266453,0.000220,15.946411,-278.957031,-2.839378,0.005093,15.907379,-415.677734,-2.619667,0.002335
COc1ccnc2ccccc12,CC(C)(C(O)(F)F)C(F)(F)F,0.128636,-0.000073,21.352631,-1973.568359,-3.617752,0.004548,10.369385,-1538.761719,-1.340508,-0.000685
COc1ccnc2ccccc12,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.264931,0.000208,14.681610,-257.210938,-2.649651,0.004975,15.719269,-175.039062,-2.655960,0.002790
COc1ccnc2ccccc12,CCN(CC)c1ccc(N)cc1,0.247207,0.000206,19.619629,-400.011719,-3.318283,0.004494,17.511414,-829.908203,-2.735611,0.001746
COc1ccnc2ccccc12,FC(F)CC(F)(F)F,0.262267,0.000217,16.158478,-277.199219,-2.923126,0.005343,15.889313,-471.312500,-2.473969,0.001490
COc1ccnc2ccccc12,N#CCCOCCC#N,0.258828,0.000214,18.645844,-224.468750,-3.249657,0.004981,14.698792,-396.052734,-2.286125,0.001391
COc1ccnc2ccccc12,CCC(C)C(C)C(C)C,0.254687,0.000182,13.245972,30.652344,-2.368950,0.004218,15.317383,251.828125,-2.794693,0.003859
COc1ccnc2ccccc12,Cn1c(=O)ccc2ccccc21,0.254430,0.000213,18.553131,-404.691406,-3.247948,0.005033,17.226257,-715.015625,-2.649345,0.001600
COc1ccnc2ccccc12,CCOC(=O)c1ccccc1N,0.228407,0.000161,18.973450,-761.945312,-3.107582,0.004058,16.356262,-885.644531,-2.423576,0.000614
COc1ccnc2ccccc12,ClC1CN2CCC1CC2,0.254067,0.000206,16.994354,-471.802734,-2.974380,0.004969,16.873383,-652.794922,-2.621719,0.001275
COc1ccnc2ccccc12,CC=CCCCCCCCC#N,0.260241,0.000219,17.326233,-294.898438,-3.045097,0.005070,16.328339,-694.945312,-2.624603,0.002081
COc1ccnc2ccccc12,COCCl,0.261300,0.000222,17.266083,-424.111328,-3.129967,0.005636,17.170685,-610.007812,-2.620628,0.001159
COc1ccnc2ccccc12,NCCc1cccnc1,0.258597,0.000213,17.696381,-139.970703,-3.281578,0.005970,16.985565,-563.115234,-2.670113,0.002455
COc1ccnc2ccccc12,Cc1cccc(C(=O)O)c1,0.187306,0.000072,19.609650,-1337.570312,-3.176102,0.003931,14.067261,-1074.177734,-1.879051,-0.000799
COc1ccnc2ccccc12,C=CCNC,0.252880,0.000202,16.641876,-339.759766,-3.040825,0.005791,16.976135,-537.027344,-2.649376,0.001533
COc1ccnc2ccccc12,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.218401,0.000117,11.585297,747.019531,-2.008904,0.002768,13.839233,1006.755859,-2.771530,0.004075
COc1ccnc2ccccc12,CC(CO)C(F)(F)F,0.235326,0.000168,17.828430,-609.640625,-3.031960,0.004593,14.784241,-690.697266,-2.213875,0.000631
