SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
Cc1ccc(Cl)c(N)c1,O=P(Cl)(c1ccccc1)c1ccccc1,0.235623,0.000178,20.079559,-652.212891,-3.347382,0.004501,17.446136,-933.349609,-2.696259,0.001314
Cc1ccc(Cl)c(N)c1,CC(=O)Nc1ccc(C=O)cc1,0.250861,0.000200,18.306366,-197.382812,-3.118752,0.004384,15.512817,-674.267578,-2.510277,0.002320
Cc1ccc(Cl)c(N)c1,Cc1cccc(CO)c1,0.258419,0.000218,17.787415,-182.986328,-3.134140,0.004851,16.134766,-606.490234,-2.609154,0.002213
Cc1ccc(Cl)c(N)c1,COC(C)CO,0.229960,0.000161,19.633026,-716.673828,-3.221664,0.004055,17.801971,-964.988281,-2.730042,0.001319
Cc1ccc(Cl)c(N)c1,Nc1nc(=O)c2ccccc2o1,0.249653,0.000193,18.643463,237.285156,-3.140106,0.003458,13.056244,-438.820312,-2.286598,0.003574
Cc1ccc(Cl)c(N)c1,CC(Cl)Br,0.267253,0.000227,16.181885,-360.468750,-2.969994,0.005801,17.102722,-445.177734,-2.712730,0.001601
Cc1ccc(Cl)c(N)c1,CCCOC(F)F,0.269257,0.000230,16.127350,-293.521484,-2.925201,0.005550,16.352997,-438.724609,-2.648109,0.001905
Cc1ccc(Cl)c(N)c1,COC1CC2CCC1(C)C2(C)C,0.242599,0.000173,16.606689,-519.365234,-2.738434,0.003800,16.753540,-539.681641,-2.660027,0.001710
Cc1ccc(Cl)c(N)c1,CCC(=O)C1=NCCC1,0.227724,0.000153,18.857178,-872.537109,-3.035324,0.003947,18.176239,-928.656250,-2.760597,0.000735
Cc1ccc(Cl)c(N)c1,NC(CF)(CF)CF,0.237217,0.000174,18.140717,-604.599609,-3.047775,0.004253,16.991180,-759.257812,-2.531334,0.000877
Cc1ccc(Cl)c(N)c1,CC(C)CCCC(C)CC=O,0.240940,0.000178,17.818512,-603.369141,-2.977684,0.004310,17.249359,-788.732422,-2.689453,0.001347
Cc1ccc(Cl)c(N)c1,Cc1coc(C)n1,0.220051,0.000134,19.499634,-937.462891,-3.167610,0.003977,17.701721,-982.748047,-2.626884,0.000746
Cc1ccc(Cl)c(N)c1,NC(=S)NC(N)=S,0.242283,0.000172,17.196228,127.849609,-3.115410,0.004997,17.154510,-404.261719,-2.568306,0.002454
Cc1ccc(Cl)c(N)c1,FC(F)C(Cl)C(F)F,0.264003,0.000220,16.159088,-255.027344,-2.943352,0.005423,16.035156,-488.957031,-2.512024,0.001680
Cc1ccc(Cl)c(N)c1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.254394,0.000183,13.104675,634.296875,-2.385780,0.003974,12.375824,278.029297,-2.326469,0.003960
Cc1ccc(Cl)c(N)c1,NNC(=O)c1ccccc1,0.254430,0.000213,18.503510,-219.552734,-3.200005,0.004620,17.035034,-733.394531,-2.699959,0.002239
Cc1ccc(Cl)c(N)c1,ClC=CBr,0.270330,0.000229,15.618195,-344.507812,-2.893639,0.005864,17.233826,-346.287109,-2.772385,0.001836
Cc1ccc(Cl)c(N)c1,CN(C)N=O,0.228432,0.000155,19.753204,-721.347656,-3.294815,0.004384,18.733459,-970.138672,-2.804192,0.001263
Cc1ccc(Cl)c(N)c1,c1ccc(C2CCCCC2)cc1,0.273286,0.000228,15.122131,-104.519531,-2.720940,0.005070,15.276154,-235.804688,-2.655640,0.003108
Cc1ccc(Cl)c(N)c1,N#Cc1ccncc1,0.231213,0.000160,19.018555,-810.025391,-3.121841,0.004169,18.089386,-929.742188,-2.717407,0.000891
Cc1ccc(Cl)c(N)c1,CN(C)C(=S)Nc1ccccc1,0.237150,0.000178,19.011139,-555.253906,-3.171135,0.004196,17.339569,-833.582031,-2.641747,0.001284
Cc1ccc(Cl)c(N)c1,CCC(N)CC,0.208144,0.000107,18.647644,-982.166016,-2.934006,0.003274,16.279114,-1005.462891,-2.357201,0.000608
Cc1ccc(Cl)c(N)c1,COC(=O)CO,0.240042,0.000183,19.156158,-512.921875,-3.279419,0.004454,17.443451,-814.511719,-2.640060,0.001491
Cc1ccc(Cl)c(N)c1,Cc1c(N)cccc1Cl,0.253796,0.000212,18.117432,-406.876953,-3.150986,0.004953,16.902588,-694.820312,-2.632347,0.001432
Cc1ccc(Cl)c(N)c1,CC1CCC(C(C)(C)OO)CC1,0.251756,0.000203,17.540588,-223.445312,-3.023354,0.004459,16.159607,-693.093750,-2.611130,0.002253
Cc1ccc(Cl)c(N)c1,CC(F)(Cl)CF,0.267670,0.000229,16.617126,-286.492188,-3.037712,0.005724,16.470184,-490.513672,-2.614502,0.001774
Cc1ccc(Cl)c(N)c1,CCCCC1OC(C)CC(C)(C)O1,0.237452,0.000166,17.409851,-588.859375,-2.835236,0.003743,17.340759,-774.085938,-2.736214,0.001677
Cc1ccc(Cl)c(N)c1,CC(C)(C)OCC1CO1,0.233356,0.000165,18.759644,-746.068359,-3.087059,0.004127,18.154633,-905.998047,-2.770081,0.001052
Cc1ccc(Cl)c(N)c1,O=P(O)(O)OP(=O)(O)O,0.211223,0.000079,16.194702,134.062500,-2.963356,0.005114,7.430328,-585.187500,-1.242897,0.003954
Cc1ccc(Cl)c(N)c1,CC(=O)Nc1ccc(C)cc1,0.253434,0.000206,17.855865,-350.943359,-3.075233,0.004723,16.121277,-701.023438,-2.551422,0.001816
Cc1ccc(Cl)c(N)c1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.242371,0.000184,19.675171,-265.246094,-3.257164,0.004138,15.648193,-631.271484,-2.453354,0.001589
Cc1ccc(Cl)c(N)c1,CC(C)(O)CCC1CCCCC1,0.252807,0.000201,17.142365,-189.539062,-2.961334,0.004413,15.594849,-604.371094,-2.555695,0.002391
Cc1ccc(Cl)c(N)c1,COCC(F)(F)F,0.259630,0.000213,16.350403,-322.285156,-2.906517,0.005058,16.065674,-490.585938,-2.500359,0.001391
Cc1ccc(Cl)c(N)c1,COCC(O)COC,0.218505,0.000136,20.793274,-945.767578,-3.331795,0.003945,18.557007,-1081.726562,-2.826447,0.001053
Cc1ccc(Cl)c(N)c1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.252383,0.000208,18.959564,38.935547,-3.195381,0.003759,15.983276,-696.794922,-2.716301,0.003377
Cc1ccc(Cl)c(N)c1,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.243039,0.000184,18.512451,-191.154297,-3.174667,0.004249,15.550293,-723.009766,-2.432701,0.002286
Cc1ccc(Cl)c(N)c1,CC(C)C(F)F,0.273103,0.000231,15.395325,-260.666016,-2.823166,0.005611,16.253601,-300.091797,-2.695602,0.002249
Cc1ccc(Cl)c(N)c1,CCCCC1C=C(C)CC(C)O1,0.240325,0.000170,16.817261,-544.804688,-2.736160,0.003645,16.819519,-620.433594,-2.672615,0.001652
Cc1ccc(Cl)c(N)c1,COc1ccc(C(C)=O)cc1,0.237414,0.000176,19.198151,-714.173828,-3.203178,0.004424,18.107147,-900.519531,-2.747139,0.001098
Cc1ccc(Cl)c(N)c1,Oc1cc(O)ncn1,0.255655,0.000196,16.483673,375.277344,-3.004761,0.004484,13.791595,-402.642578,-2.359772,0.004184
Cc1ccc(Cl)c(N)c1,COCCCCl,0.245851,0.000185,17.237640,-615.925781,-2.932755,0.004546,17.447906,-716.771484,-2.669312,0.001069
Cc1ccc(Cl)c(N)c1,CCCOC,0.234268,0.000159,17.381561,-736.892578,-2.858665,0.003932,17.738464,-730.656250,-2.698830,0.001000
Cc1ccc(Cl)c(N)c1,Fc1c(F)c(F)c(F)c(F)c1F,0.266129,0.000209,13.913635,30.496094,-2.567215,0.005096,14.670105,71.957031,-2.592232,0.003030
Cc1ccc(Cl)c(N)c1,CCP(CC)CC,0.243191,0.000172,16.225067,-579.519531,-2.705605,0.003967,17.521027,-465.267578,-2.767387,0.001663
Cc1ccc(Cl)c(N)c1,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.231952,0.000155,17.783234,-601.080078,-2.850800,0.003527,17.243317,-881.966797,-2.733810,0.001894
Cc1ccc(Cl)c(N)c1,Fc1cc(F)c(F)cc1F,0.271383,0.000226,15.022583,-168.593750,-2.747047,0.005455,15.354828,-279.412109,-2.547928,0.002327
Cc1ccc(Cl)c(N)c1,CCCCc1ccc(C(=O)O)cc1,0.249708,0.000195,17.371368,-312.294922,-2.986977,0.004544,15.566925,-717.955078,-2.494408,0.002015
Cc1ccc(Cl)c(N)c1,C=Cc1c(C)cc(C)cc1C,0.273274,0.000230,15.388275,-123.843750,-2.787758,0.005287,15.577515,-279.146484,-2.672531,0.002948
Cc1ccc(Cl)c(N)c1,C=C(C)C(=O)OC(C)(C)C,0.243223,0.000185,18.095673,-612.478516,-3.053703,0.004528,17.365417,-772.574219,-2.691544,0.001189
Cc1ccc(Cl)c(N)c1,FC1CCCN1,0.232897,0.000171,19.810059,-766.001953,-3.297844,0.004330,18.774323,-899.576172,-2.811180,0.000787
Cc1ccc(Cl)c(N)c1,CCCCCCCC(=O)NC,0.234675,0.000167,18.703156,-528.585938,-3.068108,0.003879,16.796265,-889.417969,-2.642799,0.001786
Cc1ccc(Cl)c(N)c1,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.263375,0.000200,13.215912,537.125000,-2.520325,0.004823,13.177063,261.455078,-2.507584,0.004274
Cc1ccc(Cl)c(N)c1,C1=CC2C=CC1C2,0.270646,0.000221,14.654663,-229.384766,-2.681450,0.005399,16.051971,-138.634766,-2.740952,0.002694
Cc1ccc(Cl)c(N)c1,CCC(C)(O)CCC=C(C)C,0.248762,0.000194,17.404694,-327.095703,-2.983246,0.004490,15.686951,-682.498047,-2.508110,0.001947
Cc1ccc(Cl)c(N)c1,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.233963,0.000169,18.241180,-121.869141,-2.920509,0.003375,18.959778,-936.496094,-3.246719,0.003240
Cc1ccc(Cl)c(N)c1,CCC(C)CCF,0.268470,0.000221,15.389648,-254.619141,-2.769753,0.005183,16.095520,-329.195312,-2.677521,0.002412
Cc1ccc(Cl)c(N)c1,C=Cc1cccc(CC)c1,0.274516,0.000232,15.318237,-134.902344,-2.790276,0.005385,15.643402,-275.464844,-2.674637,0.002876
Cc1ccc(Cl)c(N)c1,CC(C)(C(O)(F)F)C(F)(F)F,0.193985,0.000078,18.442200,-1033.318359,-2.973236,0.003657,13.044037,-1004.666016,-1.870872,0.000213
Cc1ccc(Cl)c(N)c1,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.270216,0.000218,14.504486,-186.875000,-2.627678,0.005174,15.666443,-131.195312,-2.686897,0.002822
Cc1ccc(Cl)c(N)c1,CCN(CC)c1ccc(N)cc1,0.237245,0.000187,20.041046,-586.507812,-3.336754,0.004320,18.520233,-948.304688,-2.857559,0.001371
Cc1ccc(Cl)c(N)c1,FC(F)CC(F)(F)F,0.271680,0.000227,14.880219,46.097656,-2.817741,0.005594,14.196777,-199.435547,-2.332420,0.002435
Cc1ccc(Cl)c(N)c1,N#CCCOCCC#N,0.242937,0.000189,19.751007,-380.095703,-3.291527,0.004385,15.957062,-650.595703,-2.471581,0.001212
Cc1ccc(Cl)c(N)c1,CCC(C)C(C)C(C)C,0.270774,0.000210,13.198090,161.304688,-2.440277,0.004743,14.390961,246.056641,-2.714767,0.004435
Cc1ccc(Cl)c(N)c1,Cn1c(=O)ccc2ccccc21,0.218205,0.000130,19.986877,-940.748047,-3.227791,0.003938,17.630768,-1065.478516,-2.626778,0.001013
Cc1ccc(Cl)c(N)c1,CCOC(=O)c1ccccc1N,0.252468,0.000213,18.643799,-445.384766,-3.203247,0.004845,17.556763,-768.761719,-2.748184,0.001475
Cc1ccc(Cl)c(N)c1,ClC1CN2CCC1CC2,0.217896,0.000127,18.425476,-960.361328,-2.937057,0.003597,16.995514,-954.015625,-2.483253,0.000508
Cc1ccc(Cl)c(N)c1,CC=CCCCCCCCC#N,0.243837,0.000189,18.709290,-535.417969,-3.166321,0.004593,17.554596,-854.962891,-2.760338,0.001627
Cc1ccc(Cl)c(N)c1,COCCl,0.261751,0.000222,17.292328,-413.416016,-3.118103,0.005605,17.222412,-520.011719,-2.674789,0.001288
Cc1ccc(Cl)c(N)c1,NCCc1cccnc1,0.210846,0.000118,20.970062,-905.185547,-3.292969,0.003555,17.643188,-1196.285156,-2.745796,0.001634
Cc1ccc(Cl)c(N)c1,Cc1cccc(C(=O)O)c1,0.245317,0.000188,17.810181,-401.355469,-3.075790,0.004610,15.732819,-737.302734,-2.449608,0.001637
Cc1ccc(Cl)c(N)c1,C=CCNC,0.220110,0.000133,18.354156,-915.101562,-2.957359,0.003734,16.997955,-931.369141,-2.489014,0.000541
Cc1ccc(Cl)c(N)c1,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.238501,0.000149,10.868256,906.142578,-2.125412,0.003909,12.124420,1109.593750,-2.545868,0.004538
Cc1ccc(Cl)c(N)c1,CC(CO)C(F)(F)F,0.263576,0.000222,16.750702,37.662109,-3.073776,0.005224,15.625580,-408.888672,-2.573463,0.002735
Cc1ccc(Cl)c(N)c1,CC(C)C(=O)C(F)(F)F,0.263568,0.000219,16.227020,-296.185547,-2.864456,0.004983,15.707733,-452.416016,-2.533752,0.001789
Cc1ccc(Cl)c(N)c1,O=C(C(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0.248856,0.000172,13.376404,551.259766,-2.392662,0.003803,13.283905,264.279297,-2.524635,0.004058
Cc1ccc(Cl)c(N)c1,CC(C)CC(C#N)(CC(C)C)C(C#N)(CC(C)C)CC(C)C,0.246452,0.000193,18.093689,-352.513672,-3.030571,0.004371,17.225250,-859.175781,-2.824928,0.002301
