SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C=CC(=C)CCC=C(C)C,O=P(Cl)(c1ccccc1)c1ccccc1,0.255067,0.000204,19.379791,-153.582031,-3.311516,0.004629,13.555359,-383.955078,-2.157158,0.001511
C=CC(=C)CCC=C(C)C,CC(=O)Nc1ccc(C=O)cc1,0.263140,0.000197,15.563080,1699.982422,-2.883621,0.002562,9.160095,857.642578,-2.100143,0.006159
C=CC(=C)CCC=C(C)C,Cc1cccc(CO)c1,0.280102,0.000240,15.803162,679.000000,-3.094139,0.004712,11.701233,58.173828,-2.195450,0.004643
C=CC(=C)CCC=C(C)C,COC(C)CO,0.270914,0.000225,16.005432,310.009766,-3.127441,0.005141,14.642456,-226.927734,-2.427460,0.003558
C=CC(=C)CCC=C(C)C,Nc1nc(=O)c2ccccc2o1,0.223356,0.000126,14.677795,3053.501953,-2.586472,-0.000646,6.610504,2036.525391,-2.068367,0.008102
C=CC(=C)CCC=C(C)C,CC(Cl)Br,0.263756,0.000227,17.368347,-429.355469,-3.184387,0.005780,16.369965,-473.095703,-2.456680,0.000900
C=CC(=C)CCC=C(C)C,CCCOC(F)F,0.269058,0.000236,17.152832,-345.763672,-3.156204,0.005884,16.178894,-510.294922,-2.493668,0.001356
C=CC(=C)CCC=C(C)C,COC1CC2CCC1(C)C2(C)C,0.258355,0.000219,17.952484,-423.898438,-3.164337,0.005269,16.528442,-676.742188,-2.579529,0.001439
C=CC(=C)CCC=C(C)C,CCC(=O)C1=NCCC1,0.260935,0.000217,17.819305,-221.029297,-3.235359,0.005260,15.877716,-551.498047,-2.470772,0.001932
C=CC(=C)CCC=C(C)C,NC(CF)(CF)CF,0.267257,0.000214,15.385193,334.341797,-3.111610,0.005835,13.808990,54.730469,-2.185738,0.002922
C=CC(=C)CCC=C(C)C,CC(C)CCCC(C)CC=O,0.262170,0.000226,18.411835,-325.111328,-3.266243,0.005403,16.119568,-677.115234,-2.553497,0.001833
C=CC(=C)CCC=C(C)C,Cc1coc(C)n1,0.258779,0.000213,17.718567,-244.271484,-3.255402,0.005402,16.401215,-528.773438,-2.509285,0.001723
C=CC(=C)CCC=C(C)C,NC(=S)NC(N)=S,0.199981,0.000076,14.188782,2220.228516,-3.030235,0.003939,11.346954,1831.712891,-2.103523,0.004195
C=CC(=C)CCC=C(C)C,FC(F)C(Cl)C(F)F,0.259368,0.000216,17.565369,-336.697266,-3.256966,0.005685,16.138336,-334.398438,-2.329758,0.000895
C=CC(=C)CCC=C(C)C,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.263120,0.000212,15.008972,248.001953,-2.847710,0.004959,13.246307,-32.970703,-2.217316,0.002891
C=CC(=C)CCC=C(C)C,NNC(=O)c1ccccc1,0.262526,0.000193,14.299286,1629.861328,-3.028847,0.003900,10.254425,941.748047,-2.149040,0.005847
C=CC(=C)CCC=C(C)C,ClC=CBr,0.266593,0.000231,16.864288,-435.250000,-3.122749,0.005844,16.635101,-509.193359,-2.525734,0.001096
