SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C=CCOC(=O)CC(C)=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.252426,0.000213,18.915527,-414.675781,-3.280052,0.005029,16.848633,-759.521484,-2.632164,0.001574
C=CCOC(=O)CC(C)=O,CC(=O)Nc1ccc(C=O)cc1,0.262778,0.000223,17.780762,70.982422,-3.116699,0.004539,15.131897,-476.578125,-2.568573,0.002997
C=CCOC(=O)CC(C)=O,Cc1cccc(CO)c1,0.252610,0.000207,17.546478,-301.257812,-3.064857,0.004857,16.013092,-593.646484,-2.523506,0.001536
C=CCOC(=O)CC(C)=O,COC(C)CO,0.259308,0.000216,16.881561,-143.658203,-3.091141,0.005517,16.808960,-505.919922,-2.675827,0.002082
C=CCOC(=O)CC(C)=O,Nc1nc(=O)c2ccccc2o1,0.249658,0.000189,18.648804,381.220703,-3.081841,0.003254,11.544220,-285.453125,-2.150024,0.003903
C=CCOC(=O)CC(C)=O,CC(Cl)Br,0.255642,0.000204,16.943726,-684.095703,-3.005409,0.005586,18.780609,-440.015625,-2.928291,0.001007
C=CCOC(=O)CC(C)=O,CCCOC(F)F,0.267531,0.000223,16.010895,-431.847656,-2.878204,0.005474,17.095917,-339.882812,-2.755775,0.001819
C=CCOC(=O)CC(C)=O,COC1CC2CCC1(C)C2(C)C,0.255276,0.000187,14.200043,6.669922,-2.471169,0.004205,13.950531,-30.779297,-2.485870,0.003449
C=CCOC(=O)CC(C)=O,CCC(=O)C1=NCCC1,0.256733,0.000210,16.942139,-453.425781,-2.927536,0.004801,16.668732,-577.210938,-2.619881,0.001462
C=CCOC(=O)CC(C)=O,NC(CF)(CF)CF,0.251856,0.000206,17.867035,-409.441406,-3.212967,0.005626,17.528839,-635.144531,-2.647194,0.001121
C=CCOC(=O)CC(C)=O,CC(C)CCCC(C)CC=O,0.259832,0.000205,15.369171,-97.988281,-2.731583,0.004810,14.934845,-294.923828,-2.560852,0.002915
C=CCOC(=O)CC(C)=O,Cc1coc(C)n1,0.253427,0.000207,17.365540,-439.339844,-3.088493,0.005352,17.081635,-638.056641,-2.610764,0.001145
C=CCOC(=O)CC(C)=O,NC(=S)NC(N)=S,0.198363,0.000075,19.974426,-976.769531,-3.146469,0.003530,17.324310,-1110.476562,-2.575928,0.001490
C=CCOC(=O)CC(C)=O,FC(F)C(Cl)C(F)F,0.230766,0.000149,19.341827,-1011.453125,-3.352486,0.005120,20.343658,-765.630859,-3.019104,0.000804
C=CCOC(=O)CC(C)=O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.247875,0.000169,13.556915,41.261719,-2.230194,0.003278,15.243073,127.613281,-2.679688,0.003196
C=CCOC(=O)CC(C)=O,NNC(=O)c1ccccc1,0.264892,0.000224,17.499146,217.794922,-3.176353,0.005078,14.889435,-361.550781,-2.533211,0.003220
C=CCOC(=O)CC(C)=O,ClC=CBr,0.253100,0.000190,16.582672,-737.195312,-2.919785,0.005300,18.707031,-344.119141,-2.966805,0.001437
C=CCOC(=O)CC(C)=O,CN(C)N=O,0.256726,0.000213,17.510651,-310.730469,-3.192833,0.005444,17.063904,-591.613281,-2.587570,0.001594
C=CCOC(=O)CC(C)=O,c1ccc(C2CCCCC2)cc1,0.267437,0.000211,14.652710,-104.472656,-2.598846,0.004819,14.914856,-71.921875,-2.646004,0.003350
C=CCOC(=O)CC(C)=O,N#Cc1ccncc1,0.246329,0.000198,18.497437,-642.125000,-3.155312,0.004752,18.010956,-796.710938,-2.739922,0.000883
C=CCOC(=O)CC(C)=O,CN(C)C(=S)Nc1ccccc1,0.230033,0.000165,19.150787,-722.843750,-3.139961,0.003997,17.490570,-872.007812,-2.618202,0.000753
C=CCOC(=O)CC(C)=O,CCC(N)CC,0.249845,0.000188,14.690521,-61.167969,-2.851318,0.006343,16.230286,-289.587891,-2.611603,0.002303
C=CCOC(=O)CC(C)=O,COC(=O)CO,0.255681,0.000215,17.752289,-387.564453,-3.166405,0.005204,17.301208,-609.714844,-2.627701,0.001164
C=CCOC(=O)CC(C)=O,Cc1c(N)cccc1Cl,0.227372,0.000156,19.167328,-859.369141,-3.181198,0.004199,18.597900,-899.791016,-2.745041,0.000534
C=CCOC(=O)CC(C)=O,CC1CCC(C(C)(C)OO)CC1,0.240905,0.000179,17.005920,-421.111328,-2.847809,0.004197,15.591827,-636.164062,-2.459793,0.001441
C=CCOC(=O)CC(C)=O,CC(F)(Cl)CF,0.259516,0.000220,17.516083,-591.041016,-3.124084,0.005724,18.338562,-599.193359,-2.840851,0.000962
C=CCOC(=O)CC(C)=O,CCCCC1OC(C)CC(C)(C)O1,0.256525,0.000195,15.091217,-58.166016,-2.608780,0.004271,14.790649,-264.312500,-2.569756,0.003218
C=CCOC(=O)CC(C)=O,CC(C)(C)OCC1CO1,0.260879,0.000217,16.669281,-339.734375,-2.959801,0.005138,16.536316,-531.730469,-2.656898,0.001895
C=CCOC(=O)CC(C)=O,O=P(O)(O)OP(=O)(O)O,0.154279,-0.000040,18.990967,-1233.183594,-3.054756,0.004232,6.854034,-1284.794922,-1.163010,0.001581
C=CCOC(=O)CC(C)=O,CC(=O)Nc1ccc(C)cc1,0.261362,0.000221,17.228149,-167.701172,-3.019478,0.004793,15.846680,-530.308594,-2.598328,0.002254
C=CCOC(=O)CC(C)=O,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.259771,0.000214,18.131317,-137.828125,-3.225792,0.005132,15.253052,-454.376953,-2.406914,0.001882
C=CCOC(=O)CC(C)=O,CC(C)(O)CCC1CCCCC1,0.261065,0.000210,14.981445,359.894531,-2.834167,0.005324,14.112427,-96.724609,-2.508148,0.003783
C=CCOC(=O)CC(C)=O,COCC(F)(F)F,0.260054,0.000217,16.909241,-437.824219,-2.998108,0.005089,17.021149,-520.187500,-2.656410,0.001343
C=CCOC(=O)CC(C)=O,COCC(O)COC,0.258321,0.000218,17.705048,-347.294922,-3.204224,0.005766,17.568726,-660.048828,-2.712372,0.001544
C=CCOC(=O)CC(C)=O,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.257452,0.000216,18.709869,305.906250,-3.203392,0.003706,14.600555,-395.441406,-2.597015,0.003691
C=CCOC(=O)CC(C)=O,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.200880,0.000099,20.581787,-962.849609,-3.230537,0.003264,16.781372,-1097.070312,-2.479843,0.000881
C=CCOC(=O)CC(C)=O,CC(C)C(F)F,0.272809,0.000229,15.326752,-344.738281,-2.805038,0.005634,16.540344,-213.296875,-2.749123,0.002280
C=CCOC(=O)CC(C)=O,CCCCC1C=C(C)CC(C)O1,0.253552,0.000188,14.811707,-43.958984,-2.551292,0.004146,14.655457,-165.404297,-2.562515,0.003195
C=CCOC(=O)CC(C)=O,COc1ccc(C(C)=O)cc1,0.260756,0.000221,17.560608,-343.179688,-3.129204,0.005424,16.525085,-663.380859,-2.591789,0.001722
C=CCOC(=O)CC(C)=O,Oc1cc(O)ncn1,0.227212,0.000143,17.927887,-221.509766,-3.018196,0.003555,14.897369,-718.574219,-2.325890,0.002612
C=CCOC(=O)CC(C)=O,COCCCCl,0.262900,0.000215,15.729309,-359.271484,-2.848938,0.005305,16.404419,-387.207031,-2.644989,0.001879
C=CCOC(=O)CC(C)=O,CCCOC,0.254997,0.000195,14.805237,-264.478516,-2.700188,0.005021,15.661957,-191.617188,-2.576630,0.002266
C=CCOC(=O)CC(C)=O,Fc1c(F)c(F)c(F)c(F)c1F,0.262678,0.000200,14.051270,-99.289062,-2.537010,0.004882,14.974091,35.931641,-2.627434,0.003061
C=CCOC(=O)CC(C)=O,CCP(CC)CC,0.258190,0.000197,14.773193,-163.710938,-2.600861,0.004592,14.712860,-179.529297,-2.501335,0.002754
C=CCOC(=O)CC(C)=O,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.256280,0.000195,15.296356,116.355469,-2.646843,0.004213,14.615723,-293.490234,-2.608421,0.003767
C=CCOC(=O)CC(C)=O,Fc1cc(F)c(F)cc1F,0.257630,0.000202,16.317230,-511.380859,-2.877823,0.005126,17.092987,-410.205078,-2.745041,0.001757
C=CCOC(=O)CC(C)=O,CCCCc1ccc(C(=O)O)cc1,0.235796,0.000164,17.213226,-650.011719,-2.901093,0.004506,15.648865,-649.757812,-2.408104,0.001007
C=CCOC(=O)CC(C)=O,C=Cc1c(C)cc(C)cc1C,0.268391,0.000216,14.947083,-127.388672,-2.685219,0.005050,15.170563,-148.087891,-2.655251,0.003240
C=CCOC(=O)CC(C)=O,C=C(C)C(=O)OC(C)(C)C,0.259917,0.000209,15.889893,-205.214844,-2.828156,0.004964,15.157288,-327.859375,-2.543739,0.002511
C=CCOC(=O)CC(C)=O,FC1CCCN1,0.251752,0.000209,18.095398,-490.167969,-3.184326,0.005193,17.631012,-669.023438,-2.654388,0.000857
C=CCOC(=O)CC(C)=O,CCCCCCCC(=O)NC,0.266617,0.000224,16.047089,294.402344,-2.907677,0.004775,14.552307,-302.212891,-2.560822,0.003774
C=CCOC(=O)CC(C)=O,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.255116,0.000187,13.652252,236.849609,-2.466606,0.004457,14.571350,88.556641,-2.655586,0.003648
C=CCOC(=O)CC(C)=O,C1=CC2C=CC1C2,0.265369,0.000207,14.300232,-228.841797,-2.615669,0.005243,15.929169,49.224609,-2.771202,0.002987
C=CCOC(=O)CC(C)=O,CCC(C)(O)CCC=C(C)C,0.257102,0.000204,15.288177,206.214844,-2.855782,0.005367,14.384399,-195.468750,-2.483948,0.003252
C=CCOC(=O)CC(C)=O,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.232131,0.000157,15.911469,890.527344,-2.548996,0.001788,14.392059,54.673828,-2.955887,0.005997
C=CCOC(=O)CC(C)=O,CCC(C)CCF,0.269080,0.000214,14.116699,-153.505859,-2.598053,0.005279,15.380066,12.359375,-2.706429,0.003171
C=CCOC(=O)CC(C)=O,C=Cc1cccc(CC)c1,0.269188,0.000220,15.530945,-238.648438,-2.767769,0.005098,15.683319,-259.392578,-2.664963,0.002844
C=CCOC(=O)CC(C)=O,CC(C)(C(O)(F)F)C(F)(F)F,0.160679,-0.000007,19.484436,-1790.146484,-3.012726,0.003882,14.524902,-1101.687500,-2.062332,-0.000475
C=CCOC(=O)CC(C)=O,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.266646,0.000204,13.651703,-133.582031,-2.469269,0.004828,15.021088,53.480469,-2.655037,0.003466
C=CCOC(=O)CC(C)=O,CCN(CC)c1ccc(N)cc1,0.251220,0.000212,18.992371,-322.486328,-3.286705,0.004830,17.340607,-780.791016,-2.731995,0.001880
C=CCOC(=O)CC(C)=O,FC(F)CC(F)(F)F,0.256170,0.000204,16.796631,-576.373047,-2.957344,0.005138,17.619110,-504.894531,-2.785812,0.001288
