SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(=O)Nc1ccccc1Cl,O=P(Cl)(c1ccccc1)c1ccccc1,0.255055,0.000220,18.992767,-399.712891,-3.306808,0.005121,17.116791,-712.509766,-2.665176,0.001432
CC(=O)Nc1ccccc1Cl,CC(=O)Nc1ccc(C=O)cc1,0.248036,0.000196,18.583954,-289.402344,-3.227119,0.004856,15.587128,-734.076172,-2.460358,0.002047
CC(=O)Nc1ccccc1Cl,Cc1cccc(CO)c1,0.248709,0.000199,18.157410,-397.628906,-3.200516,0.005245,16.075043,-687.146484,-2.487053,0.001440
CC(=O)Nc1ccccc1Cl,COC(C)CO,0.244641,0.000192,18.533447,-438.076172,-3.249969,0.005081,17.211823,-780.009766,-2.622345,0.001459
CC(=O)Nc1ccccc1Cl,Nc1nc(=O)c2ccccc2o1,0.235691,0.000164,18.904663,-109.050781,-3.124306,0.003738,12.394470,-662.791016,-2.052704,0.002503
CC(=O)Nc1ccccc1Cl,CC(Cl)Br,0.269398,0.000232,15.926514,-457.232422,-2.969917,0.006408,18.337860,-214.457031,-2.941742,0.001238
CC(=O)Nc1ccccc1Cl,CCCOC(F)F,0.278601,0.000244,14.998505,-239.333984,-2.827980,0.006283,16.680695,-127.781250,-2.778786,0.001972
CC(=O)Nc1ccccc1Cl,COC1CC2CCC1(C)C2(C)C,0.263184,0.000208,15.009949,-214.607422,-2.641968,0.004696,16.022491,-268.412109,-2.667404,0.002453
CC(=O)Nc1ccccc1Cl,CCC(=O)C1=NCCC1,0.247413,0.000196,17.443451,-571.927734,-2.982094,0.004697,17.833130,-728.386719,-2.708969,0.000850
CC(=O)Nc1ccccc1Cl,NC(CF)(CF)CF,0.251564,0.000200,17.098114,-268.117188,-3.101204,0.005361,17.059326,-564.892578,-2.592331,0.001587
CC(=O)Nc1ccccc1Cl,CC(C)CCCC(C)CC=O,0.256487,0.000209,16.573090,-377.140625,-2.921692,0.005077,16.890930,-570.681641,-2.641449,0.001441
CC(=O)Nc1ccccc1Cl,Cc1coc(C)n1,0.234898,0.000172,18.618164,-663.777344,-3.157410,0.004505,17.451477,-830.605469,-2.600243,0.000772
CC(=O)Nc1ccccc1Cl,NC(=S)NC(N)=S,0.218327,0.000118,18.693390,-474.349609,-3.125389,0.004082,15.832397,-850.117188,-2.362320,0.002000
CC(=O)Nc1ccccc1Cl,FC(F)C(Cl)C(F)F,0.255684,0.000202,17.009460,-571.689453,-3.023499,0.005594,18.200073,-473.587891,-2.855759,0.001211
CC(=O)Nc1ccccc1Cl,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.257299,0.000189,13.063629,398.757812,-2.348335,0.004454,13.433990,427.988281,-2.468552,0.003079
CC(=O)Nc1ccccc1Cl,NNC(=O)c1ccccc1,0.253144,0.000205,17.951599,-174.695312,-3.242661,0.005445,16.743347,-612.324219,-2.612823,0.002130
CC(=O)Nc1ccccc1Cl,ClC=CBr,0.269628,0.000225,15.537598,-504.193359,-2.865875,0.006042,18.397858,-188.539062,-3.003090,0.001728
CC(=O)Nc1ccccc1Cl,CN(C)N=O,0.248308,0.000198,18.202484,-413.751953,-3.220596,0.005130,17.891266,-726.080078,-2.682304,0.001360
CC(=O)Nc1ccccc1Cl,c1ccc(C2CCCCC2)cc1,0.280699,0.000240,14.415283,-135.308594,-2.708992,0.006008,16.093933,28.402344,-2.817238,0.002943
CC(=O)Nc1ccccc1Cl,N#Cc1ccncc1,0.238658,0.000178,18.420013,-687.281250,-3.106804,0.004643,17.237335,-844.160156,-2.593597,0.000812
CC(=O)Nc1ccccc1Cl,CN(C)C(=S)Nc1ccccc1,0.234247,0.000173,18.874603,-621.644531,-3.124275,0.004147,16.822662,-807.445312,-2.538597,0.000878
CC(=O)Nc1ccccc1Cl,CCC(N)CC,0.231761,0.000159,17.023804,-448.441406,-3.007477,0.005039,17.185577,-677.945312,-2.613136,0.001402
CC(=O)Nc1ccccc1Cl,COC(=O)CO,0.244448,0.000191,18.287781,-441.179688,-3.308838,0.005239,16.966339,-653.039062,-2.493324,0.001225
CC(=O)Nc1ccccc1Cl,Cc1c(N)cccc1Cl,0.238974,0.000186,19.213898,-665.789062,-3.240227,0.004622,17.915863,-824.656250,-2.726326,0.000770
CC(=O)Nc1ccccc1Cl,CC1CCC(C(C)(C)OO)CC1,0.239922,0.000180,17.972290,-491.148438,-3.029076,0.004359,15.714508,-757.339844,-2.437355,0.001316
CC(=O)Nc1ccccc1Cl,CC(F)(Cl)CF,0.273214,0.000240,15.984222,-315.185547,-3.010818,0.006472,17.256409,-235.154297,-2.781219,0.001499
CC(=O)Nc1ccccc1Cl,CCCCC1OC(C)CC(C)(C)O1,0.258344,0.000207,15.887512,-221.279297,-2.773560,0.004572,16.362396,-555.539062,-2.642075,0.002170
CC(=O)Nc1ccccc1Cl,CC(C)(C)OCC1CO1,0.253775,0.000206,17.176300,-378.867188,-3.010864,0.004886,17.189697,-677.271484,-2.669891,0.001491
CC(=O)Nc1ccccc1Cl,O=P(O)(O)OP(=O)(O)O,0.155383,-0.000035,19.347046,-927.210938,-3.307327,0.005783,4.015747,-1317.894531,-0.902092,0.002243
CC(=O)Nc1ccccc1Cl,CC(=O)Nc1ccc(C)cc1,0.249951,0.000203,18.409576,-417.175781,-3.166267,0.004766,16.186279,-757.753906,-2.546814,0.001644
CC(=O)Nc1ccccc1Cl,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.259288,0.000209,17.972137,-36.953125,-3.161659,0.004797,14.874207,-344.818359,-2.335129,0.001832
