SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(=O)c1cccc(N)c1,O=P(Cl)(c1ccccc1)c1ccccc1,0.256053,0.000213,17.566956,-384.927734,-3.071526,0.005094,16.737488,-599.187500,-2.651680,0.001545
CC(=O)c1cccc(N)c1,CC(=O)Nc1ccc(C=O)cc1,0.251995,0.000199,17.093933,-340.134766,-2.970589,0.004821,15.523315,-660.951172,-2.452568,0.001706
CC(=O)c1cccc(N)c1,Cc1cccc(CO)c1,0.252240,0.000200,16.690948,-377.033203,-2.930603,0.005030,15.907715,-585.177734,-2.468117,0.001255
CC(=O)c1cccc(N)c1,COC(C)CO,0.239149,0.000177,17.699036,-577.193359,-3.022545,0.004538,17.148102,-770.925781,-2.588501,0.001007
CC(=O)c1cccc(N)c1,Nc1nc(=O)c2ccccc2o1,0.240184,0.000175,17.886719,-281.855469,-3.013779,0.004167,14.245911,-699.611328,-2.259109,0.002104
CC(=O)c1cccc(N)c1,CC(Cl)Br,0.280505,0.000239,14.005249,-195.960938,-2.725441,0.006649,17.604370,327.275391,-3.036850,0.002285
CC(=O)c1cccc(N)c1,CCCOC(F)F,0.285591,0.000246,13.565918,11.292969,-2.628967,0.006066,16.498047,432.861328,-2.993538,0.003313
CC(=O)c1cccc(N)c1,COC1CC2CCC1(C)C2(C)C,0.263425,0.000196,12.870667,3.250000,-2.254486,0.003750,16.234894,415.167969,-2.883873,0.003850
CC(=O)c1cccc(N)c1,CCC(=O)C1=NCCC1,0.250327,0.000187,15.560455,-658.166016,-2.682732,0.004199,18.436035,-262.927734,-2.840424,0.001509
CC(=O)c1cccc(N)c1,NC(CF)(CF)CF,0.243817,0.000183,16.732697,-546.410156,-2.887825,0.004635,16.844910,-651.740234,-2.503006,0.000705
CC(=O)c1cccc(N)c1,CC(C)CCCC(C)CC=O,0.265528,0.000208,14.353394,-192.388672,-2.510544,0.004298,15.978668,-77.726562,-2.685837,0.002924
CC(=O)c1cccc(N)c1,Cc1coc(C)n1,0.238602,0.000167,16.741913,-669.824219,-2.818352,0.004134,16.899109,-600.861328,-2.542702,0.000933
CC(=O)c1cccc(N)c1,NC(=S)NC(N)=S,0.210952,0.000106,18.384644,-786.576172,-3.001984,0.004127,16.546814,-918.695312,-2.408867,0.001066
CC(=O)c1cccc(N)c1,FC(F)C(Cl)C(F)F,0.266467,0.000214,15.209595,-420.830078,-2.820709,0.006139,18.139893,-84.707031,-2.970970,0.001665
CC(=O)c1cccc(N)c1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.261429,0.000188,11.274628,792.203125,-2.162148,0.004414,13.335724,986.890625,-2.668121,0.004482
CC(=O)c1cccc(N)c1,NNC(=O)c1ccccc1,0.252689,0.000206,17.695587,-352.488281,-3.101662,0.005066,17.150391,-682.955078,-2.669930,0.001596
CC(=O)c1cccc(N)c1,ClC=CBr,0.279596,0.000233,13.452759,-190.068359,-2.630493,0.006386,17.846863,396.119141,-3.064949,0.002603
CC(=O)c1cccc(N)c1,CN(C)N=O,0.248320,0.000190,17.379486,-536.597656,-3.064445,0.005154,18.083588,-634.529297,-2.760788,0.001258
CC(=O)c1cccc(N)c1,c1ccc(C2CCCCC2)cc1,0.285993,0.000235,12.173798,330.242188,-2.358620,0.005304,15.227509,825.138672,-2.991470,0.004853
CC(=O)c1cccc(N)c1,N#Cc1ccncc1,0.246053,0.000187,17.138458,-675.236328,-2.905357,0.004576,17.971069,-614.798828,-2.739265,0.000824
CC(=O)c1cccc(N)c1,CN(C)C(=S)Nc1ccccc1,0.241463,0.000178,17.204620,-573.832031,-2.911118,0.004521,16.498108,-575.021484,-2.539322,0.000978
CC(=O)c1cccc(N)c1,CCC(N)CC,0.217062,0.000114,15.901978,-718.439453,-2.589882,0.003169,15.412842,-624.212891,-2.258698,0.001298
CC(=O)c1cccc(N)c1,COC(=O)CO,0.238775,0.000180,18.369751,-644.789062,-3.154030,0.004824,16.517761,-750.603516,-2.442917,0.000554
CC(=O)c1cccc(N)c1,Cc1c(N)cccc1Cl,0.249862,0.000200,17.149994,-513.013672,-2.964767,0.004869,17.861938,-592.625000,-2.759987,0.000953
CC(=O)c1cccc(N)c1,CC1CCC(C(C)(C)OO)CC1,0.243906,0.000177,16.160858,-441.470703,-2.752525,0.004533,15.168488,-530.591797,-2.413452,0.001535
CC(=O)c1cccc(N)c1,CC(F)(Cl)CF,0.284356,0.000249,14.325439,-94.736328,-2.807228,0.006687,16.887421,276.349609,-2.948288,0.002599
CC(=O)c1cccc(N)c1,CCCCC1OC(C)CC(C)(C)O1,0.258536,0.000193,13.949005,-187.333984,-2.385017,0.003568,16.454529,-59.623047,-2.713547,0.003056
CC(=O)c1cccc(N)c1,CC(C)(C)OCC1CO1,0.255534,0.000198,15.626038,-480.957031,-2.735138,0.004343,18.071198,-288.554688,-2.823296,0.001862
CC(=O)c1cccc(N)c1,O=P(O)(O)OP(=O)(O)O,0.148358,-0.000046,19.767212,-1226.037109,-3.464951,0.005841,6.066010,-1327.171875,-1.052254,0.001034
CC(=O)c1cccc(N)c1,CC(=O)Nc1ccc(C)cc1,0.254389,0.000203,16.595703,-392.861328,-2.889984,0.004955,15.807404,-578.367188,-2.504982,0.001495
CC(=O)c1cccc(N)c1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.256387,0.000214,18.328705,-214.333984,-3.191917,0.004887,16.459656,-583.134766,-2.573303,0.001631
CC(=O)c1cccc(N)c1,CC(C)(O)CCC1CCCCC1,0.251785,0.000185,14.745697,-24.916016,-2.638229,0.004665,14.208313,-261.970703,-2.393494,0.002793
CC(=O)c1cccc(N)c1,COCC(F)(F)F,0.277706,0.000235,14.190796,-100.167969,-2.678909,0.005823,16.505280,266.101562,-2.861130,0.002451
CC(=O)c1cccc(N)c1,COCC(O)COC,0.230787,0.000160,18.594788,-789.750000,-3.092407,0.004287,17.803558,-914.587891,-2.661308,0.000770
CC(=O)c1cccc(N)c1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.248542,0.000204,18.678070,-158.705078,-3.202400,0.004307,17.364349,-785.507812,-2.806229,0.002576
CC(=O)c1cccc(N)c1,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.205535,0.000110,19.431519,-913.349609,-3.175064,0.003931,15.550446,-1015.009766,-2.266670,0.000417
CC(=O)c1cccc(N)c1,CC(C)C(F)F,0.288237,0.000246,12.514923,158.166016,-2.533638,0.006200,16.425781,773.574219,-3.073486,0.003765
CC(=O)c1cccc(N)c1,CCCCC1C=C(C)CC(C)O1,0.260620,0.000194,13.372192,-82.275391,-2.287766,0.003362,16.336945,181.074219,-2.790955,0.003545
CC(=O)c1cccc(N)c1,COc1ccc(C(C)=O)cc1,0.255922,0.000207,16.712494,-449.166016,-2.889709,0.004741,17.215088,-556.849609,-2.687363,0.001371
CC(=O)c1cccc(N)c1,Oc1cc(O)ncn1,0.226472,0.000140,16.806122,-351.355469,-2.918442,0.004581,13.760986,-758.072266,-2.110718,0.001793
CC(=O)c1cccc(N)c1,COCCCCl,0.266008,0.000213,14.275726,-363.185547,-2.577347,0.004623,18.415344,-0.523438,-2.970856,0.002311
CC(=O)c1cccc(N)c1,CCCOC,0.253117,0.000185,13.999603,-357.898438,-2.443970,0.003821,18.006805,55.548828,-2.896408,0.002423
CC(=O)c1cccc(N)c1,Fc1c(F)c(F)c(F)c(F)c1F,0.271677,0.000207,11.339935,442.888672,-2.254097,0.005323,15.054657,1080.087891,-2.971291,0.004291
CC(=O)c1cccc(N)c1,CCP(CC)CC,0.260144,0.000190,12.962341,-179.910156,-2.248344,0.003860,17.426666,391.494141,-2.989204,0.003244
CC(=O)c1cccc(N)c1,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.255381,0.000186,14.114838,-136.570312,-2.358406,0.003315,15.984070,-147.404297,-2.679893,0.003342
CC(=O)c1cccc(N)c1,Fc1cc(F)c(F)cc1F,0.283809,0.000237,13.015778,57.455078,-2.545807,0.006170,15.671448,469.802734,-2.851746,0.003300
CC(=O)c1cccc(N)c1,CCCCc1ccc(C(=O)O)cc1,0.235200,0.000157,16.338013,-606.339844,-2.785004,0.004652,14.638550,-625.949219,-2.272110,0.001138
CC(=O)c1cccc(N)c1,C=Cc1c(C)cc(C)cc1C,0.286315,0.000238,12.595673,294.638672,-2.443222,0.005533,15.543793,733.621094,-3.022141,0.004674
CC(=O)c1cccc(N)c1,C=C(C)C(=O)OC(C)(C)C,0.266945,0.000215,14.937469,-245.787109,-2.635681,0.004602,16.621674,-67.023438,-2.800873,0.002813
CC(=O)c1cccc(N)c1,FC1CCCN1,0.249365,0.000198,17.594391,-596.707031,-3.081764,0.005085,19.069702,-598.542969,-2.920326,0.001013
CC(=O)c1cccc(N)c1,CCCCCCCC(=O)NC,0.245419,0.000183,16.346375,-326.070312,-2.773560,0.004221,15.946442,-637.617188,-2.514175,0.001715
CC(=O)c1cccc(N)c1,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.263717,0.000193,11.005676,832.160156,-2.198166,0.004798,14.093903,1213.544922,-2.946060,0.005009
CC(=O)c1cccc(N)c1,C1=CC2C=CC1C2,0.280359,0.000224,11.699463,183.333984,-2.324036,0.005542,16.441986,966.605469,-3.113304,0.004243
CC(=O)c1cccc(N)c1,CCC(C)(O)CCC=C(C)C,0.249940,0.000182,14.839233,-123.044922,-2.645760,0.004785,14.191956,-314.886719,-2.341667,0.002424
CC(=O)c1cccc(N)c1,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.237111,0.000157,15.002777,780.123047,-2.320068,0.001454,15.542419,149.875000,-3.082504,0.005831
CC(=O)c1cccc(N)c1,CCC(C)CCF,0.284024,0.000233,12.046570,245.738281,-2.384560,0.005455,15.774536,796.267578,-2.989456,0.004377
CC(=O)c1cccc(N)c1,C=Cc1cccc(CC)c1,0.287305,0.000241,12.745026,224.791016,-2.471420,0.005665,15.742950,662.847656,-3.018585,0.004452
CC(=O)c1cccc(N)c1,CC(C)(C(O)(F)F)C(F)(F)F,0.166552,0.000000,18.054993,-1536.671875,-3.010750,0.004740,11.801270,-936.634766,-1.784798,-0.000411
CC(=O)c1cccc(N)c1,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.274703,0.000212,11.365234,203.324219,-2.198006,0.004846,16.411621,985.513672,-3.114471,0.004385
CC(=O)c1cccc(N)c1,CCN(CC)c1ccc(N)cc1,0.245853,0.000197,18.121429,-431.121094,-3.104073,0.004549,17.648590,-756.750000,-2.732521,0.001346
CC(=O)c1cccc(N)c1,FC(F)CC(F)(F)F,0.281355,0.000240,13.666534,76.179688,-2.679756,0.006282,15.494659,370.777344,-2.740517,0.002755
CC(=O)c1cccc(N)c1,N#CCCOCCC#N,0.255426,0.000212,17.980621,-325.091797,-3.114388,0.004874,16.356873,-537.572266,-2.532791,0.001226
CC(=O)c1cccc(N)c1,CCC(C)C(C)C(C)C,0.255765,0.000174,9.294708,771.205078,-1.892731,0.004069,14.935760,1854.246094,-3.193733,0.005321
CC(=O)c1cccc(N)c1,Cn1c(=O)ccc2ccccc21,0.236915,0.000167,17.654572,-729.300781,-2.971642,0.004500,16.740936,-804.169922,-2.491325,0.000731
CC(=O)c1cccc(N)c1,CCOC(=O)c1ccccc1N,0.253269,0.000204,16.716614,-415.205078,-2.890549,0.004749,17.066132,-590.013672,-2.668068,0.001307
CC(=O)c1cccc(N)c1,ClC1CN2CCC1CC2,0.239123,0.000157,14.947083,-655.486328,-2.568008,0.003506,16.926849,-361.373047,-2.400505,0.001321
CC(=O)c1cccc(N)c1,CC=CCCCCCCCC#N,0.267302,0.000220,15.558014,-100.275391,-2.745392,0.004693,15.931427,-279.166016,-2.721153,0.002923
CC(=O)c1cccc(N)c1,COCCl,0.278685,0.000243,15.035278,-256.697266,-2.890114,0.006718,17.596466,142.845703,-2.965996,0.001910
CC(=O)c1cccc(N)c1,NCCc1cccnc1,0.219711,0.000134,18.965637,-809.972656,-3.082848,0.003801,17.049347,-1051.722656,-2.555428,0.001256
CC(=O)c1cccc(N)c1,Cc1cccc(C(=O)O)c1,0.224715,0.000141,17.395508,-832.019531,-2.953506,0.004655,15.144440,-717.470703,-2.258751,0.000418
CC(=O)c1cccc(N)c1,C=CCNC,0.231082,0.000145,16.158325,-690.767578,-2.657700,0.003649,15.943024,-633.468750,-2.370079,0.001091
