SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(C)=C1CCC(C)CC1,O=P(Cl)(c1ccccc1)c1ccccc1,0.247388,0.000182,19.360046,127.544922,-3.323563,0.004517,12.803802,-117.007812,-2.087181,0.001398
CC(C)=C1CCC(C)CC1,CC(=O)Nc1ccc(C=O)cc1,0.251465,0.000173,15.573334,2020.289062,-2.821899,0.001847,8.852753,1150.472656,-2.109329,0.006336
CC(C)=C1CCC(C)CC1,Cc1cccc(CO)c1,0.279072,0.000234,15.639099,807.306641,-3.070885,0.004513,11.389984,157.636719,-2.169014,0.004843
CC(C)=C1CCC(C)CC1,COC(C)CO,0.273286,0.000225,15.687714,438.820312,-3.083542,0.004956,13.886688,-101.035156,-2.329140,0.003778
CC(C)=C1CCC(C)CC1,Nc1nc(=O)c2ccccc2o1,0.206890,0.000097,14.988098,3410.033203,-2.468864,-0.001628,6.316589,2286.019531,-2.088425,0.008127
CC(C)=C1CCC(C)CC1,CC(Cl)Br,0.265167,0.000227,17.492920,-325.968750,-3.210884,0.005697,15.796234,-403.888672,-2.393517,0.001063
CC(C)=C1CCC(C)CC1,CCCOC(F)F,0.271199,0.000236,17.005920,-226.466797,-3.141800,0.005784,15.468658,-408.501953,-2.409401,0.001507
CC(C)=C1CCC(C)CC1,COC1CC2CCC1(C)C2(C)C,0.260752,0.000224,18.017548,-407.164062,-3.201637,0.005373,16.752869,-685.421875,-2.603951,0.001544
CC(C)=C1CCC(C)CC1,CCC(=O)C1=NCCC1,0.262824,0.000215,17.500214,-75.888672,-3.182808,0.005056,14.956543,-424.892578,-2.346565,0.002148
CC(C)=C1CCC(C)CC1,NC(CF)(CF)CF,0.263779,0.000202,15.126099,582.312500,-3.126633,0.005623,13.117371,247.806641,-2.147102,0.003342
CC(C)=C1CCC(C)CC1,CC(C)CCCC(C)CC=O,0.264892,0.000227,18.283539,-256.595703,-3.239143,0.005313,15.530853,-612.029297,-2.482018,0.001893
CC(C)=C1CCC(C)CC1,Cc1coc(C)n1,0.259927,0.000211,17.556458,-140.421875,-3.213844,0.005142,15.580170,-438.882812,-2.402756,0.001854
CC(C)=C1CCC(C)CC1,NC(=S)NC(N)=S,0.183328,0.000047,14.016724,2705.435547,-2.915611,0.002810,10.727203,2200.898438,-2.125946,0.004792
CC(C)=C1CCC(C)CC1,FC(F)C(Cl)C(F)F,0.260953,0.000213,17.051117,-161.269531,-3.255623,0.005855,14.951416,-133.888672,-2.168785,0.001008
CC(C)=C1CCC(C)CC1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.265859,0.000214,15.050232,357.253906,-2.880463,0.004970,12.656433,95.875000,-2.132736,0.002943
CC(C)=C1CCC(C)CC1,NNC(=O)c1ccccc1,0.252332,0.000172,14.154358,1947.271484,-2.973518,0.003110,9.883423,1166.740234,-2.179688,0.006268
CC(C)=C1CCC(C)CC1,ClC=CBr,0.266129,0.000229,16.813141,-379.699219,-3.130592,0.005886,16.466736,-475.734375,-2.481949,0.001147
CC(C)=C1CCC(C)CC1,CN(C)N=O,0.246395,0.000168,16.676361,583.089844,-3.184074,0.004793,12.747803,366.216797,-2.027390,0.002141
CC(C)=C1CCC(C)CC1,c1ccc(C2CCCCC2)cc1,0.276060,0.000250,17.297516,-253.291016,-3.180763,0.005990,15.192810,-527.451172,-2.449142,0.001952
CC(C)=C1CCC(C)CC1,N#Cc1ccncc1,0.255364,0.000196,17.922974,39.789062,-3.176971,0.004478,14.398529,-337.857422,-2.247559,0.002179
CC(C)=C1CCC(C)CC1,CN(C)C(=S)Nc1ccccc1,0.246380,0.000170,17.787292,983.111328,-3.173325,0.003482,10.600525,523.449219,-2.022972,0.003448
CC(C)=C1CCC(C)CC1,CCC(N)CC,0.261345,0.000215,17.009888,-68.486328,-3.199837,0.005642,16.148163,-501.521484,-2.556923,0.002439
CC(C)=C1CCC(C)CC1,COC(=O)CO,0.259232,0.000196,15.741577,610.025391,-3.160202,0.004786,12.925690,348.646484,-2.042824,0.002875
CC(C)=C1CCC(C)CC1,Cc1c(N)cccc1Cl,0.264165,0.000209,16.621765,385.443359,-3.123817,0.004644,13.320831,-151.761719,-2.242119,0.003419
CC(C)=C1CCC(C)CC1,CC1CCC(C(C)(C)OO)CC1,0.277803,0.000241,16.326508,548.171875,-3.096596,0.004560,13.033966,-214.789062,-2.409752,0.004610
CC(C)=C1CCC(C)CC1,CC(F)(Cl)CF,0.267335,0.000226,17.147400,-203.746094,-3.180161,0.005657,14.810425,-273.390625,-2.236465,0.001280
CC(C)=C1CCC(C)CC1,CCCCC1OC(C)CC(C)(C)O1,0.263128,0.000226,18.059631,-289.671875,-3.206268,0.005235,16.294312,-698.412109,-2.591133,0.002104
CC(C)=C1CCC(C)CC1,CC(C)(C)OCC1CO1,0.267154,0.000226,17.444946,-182.552734,-3.189842,0.005409,15.657043,-503.589844,-2.462379,0.002010
CC(C)=C1CCC(C)CC1,O=P(O)(O)OP(=O)(O)O,0.159688,0.000017,12.359528,4844.873047,-1.832405,-0.002619,5.706055,3590.312500,-2.014992,0.008965
CC(C)=C1CCC(C)CC1,CC(=O)Nc1ccc(C)cc1,0.274256,0.000220,15.950897,1231.781250,-2.984276,0.003504,10.211761,452.562500,-2.142723,0.005543
CC(C)=C1CCC(C)CC1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.205481,0.000090,17.176636,1809.193359,-3.237267,0.002830,9.732483,1512.746094,-1.975510,0.003303
CC(C)=C1CCC(C)CC1,CC(C)(O)CCC1CCCCC1,0.284856,0.000252,16.282013,644.107422,-3.071648,0.004637,11.895569,-53.023438,-2.310738,0.004709
CC(C)=C1CCC(C)CC1,COCC(F)(F)F,0.268928,0.000227,16.413574,-64.308594,-3.104874,0.005570,14.943481,-238.677734,-2.294991,0.001791
CC(C)=C1CCC(C)CC1,COCC(O)COC,0.267322,0.000216,16.428070,102.269531,-3.120056,0.005143,14.649536,-263.134766,-2.270317,0.002521
CC(C)=C1CCC(C)CC1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.236592,0.000147,14.950714,2523.433594,-2.801430,0.000586,8.875458,1370.201172,-2.311012,0.007813
CC(C)=C1CCC(C)CC1,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.225426,0.000125,14.249329,2475.759766,-2.832886,0.000891,9.114288,1506.744141,-2.185349,0.007237
CC(C)=C1CCC(C)CC1,CC(C)C(F)F,0.274496,0.000244,16.747040,-251.794922,-3.157204,0.006089,15.555908,-402.578125,-2.423325,0.001545
CC(C)=C1CCC(C)CC1,CCCCC1C=C(C)CC(C)O1,0.261022,0.000223,18.138641,-364.259766,-3.202995,0.005258,16.504700,-686.345703,-2.597168,0.001732
CC(C)=C1CCC(C)CC1,COc1ccc(C(C)=O)cc1,0.264941,0.000212,17.475739,104.322266,-3.151253,0.004922,13.225342,-196.605469,-2.131599,0.002154
CC(C)=C1CCC(C)CC1,Oc1cc(O)ncn1,0.245497,0.000158,12.026184,2582.859375,-2.731308,0.002123,9.906525,1518.421875,-2.309288,0.008236
CC(C)=C1CCC(C)CC1,COCCCCl,0.268477,0.000226,16.777130,-164.472656,-3.113319,0.005524,15.488495,-438.177734,-2.419830,0.001896
CC(C)=C1CCC(C)CC1,CCCOC,0.262302,0.000224,17.428436,-358.052734,-3.178040,0.005498,17.149292,-666.779297,-2.634865,0.001640
CC(C)=C1CCC(C)CC1,Fc1c(F)c(F)c(F)c(F)c1F,0.273438,0.000239,16.052643,-182.562500,-2.999672,0.005906,14.420044,-351.033203,-2.296745,0.001754
CC(C)=C1CCC(C)CC1,CCP(CC)CC,0.260316,0.000224,18.146301,-392.529297,-3.233948,0.005390,16.709778,-677.439453,-2.591385,0.001535
CC(C)=C1CCC(C)CC1,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.265217,0.000227,18.359589,-212.041016,-3.215256,0.005091,15.640839,-667.142578,-2.546364,0.002307
CC(C)=C1CCC(C)CC1,Fc1cc(F)c(F)cc1F,0.269151,0.000234,17.178833,-242.564453,-3.186577,0.005833,15.192719,-410.054688,-2.364586,0.001567
CC(C)=C1CCC(C)CC1,CCCCc1ccc(C(=O)O)cc1,0.276017,0.000232,16.338837,818.158203,-3.076866,0.004119,11.647888,6.691406,-2.289917,0.005071
CC(C)=C1CCC(C)CC1,C=Cc1c(C)cc(C)cc1C,0.275642,0.000249,17.330444,-268.154297,-3.189819,0.005990,15.365265,-520.722656,-2.461632,0.001856
CC(C)=C1CCC(C)CC1,C=C(C)C(=O)OC(C)(C)C,0.263699,0.000226,18.319183,-303.328125,-3.253563,0.005392,15.619598,-584.355469,-2.465210,0.001580
CC(C)=C1CCC(C)CC1,FC1CCCN1,0.266245,0.000219,16.764526,87.478516,-3.146194,0.005059,14.425049,-184.578125,-2.285233,0.002289
CC(C)=C1CCC(C)CC1,CCCCCCCC(=O)NC,0.276742,0.000231,16.769318,968.150391,-2.983269,0.003553,10.736664,174.519531,-2.187630,0.005093
CC(C)=C1CCC(C)CC1,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.275455,0.000236,15.129730,221.099609,-2.964615,0.005956,13.597076,-53.023438,-2.285385,0.002837
CC(C)=C1CCC(C)CC1,C1=CC2C=CC1C2,0.275490,0.000249,16.852844,-288.748047,-3.153923,0.006207,15.848267,-508.671875,-2.500618,0.001674
CC(C)=C1CCC(C)CC1,CCC(C)(O)CCC=C(C)C,0.280812,0.000248,16.487915,465.339844,-3.113205,0.004846,12.722595,-191.373047,-2.359108,0.004256
CC(C)=C1CCC(C)CC1,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.261529,0.000218,18.568298,50.652344,-3.210495,0.004438,15.419342,-589.410156,-2.704742,0.003048
CC(C)=C1CCC(C)CC1,CCC(C)CCF,0.274783,0.000247,16.998993,-282.669922,-3.161598,0.006073,16.038055,-560.640625,-2.536240,0.001832
CC(C)=C1CCC(C)CC1,C=Cc1cccc(CC)c1,0.274400,0.000246,17.309875,-264.490234,-3.195427,0.005959,15.389740,-508.619141,-2.450401,0.001848
CC(C)=C1CCC(C)CC1,CC(C)(C(O)(F)F)C(F)(F)F,0.252408,0.000196,16.694366,98.007812,-3.160301,0.005030,15.163513,-248.378906,-2.351746,0.002460
CC(C)=C1CCC(C)CC1,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.274376,0.000245,16.442932,-337.607422,-3.022949,0.005913,15.487244,-497.097656,-2.488625,0.001567
CC(C)=C1CCC(C)CC1,CCN(CC)c1ccc(N)cc1,0.264148,0.000208,16.829773,466.748047,-3.150452,0.004461,13.393280,-140.953125,-2.294693,0.003731
CC(C)=C1CCC(C)CC1,FC(F)CC(F)(F)F,0.268399,0.000224,16.270325,8.591797,-3.163330,0.005938,13.992126,-14.341797,-2.099297,0.001499
CC(C)=C1CCC(C)CC1,N#CCCOCCC#N,0.214554,0.000110,18.075897,1330.824219,-3.261986,0.003309,9.839081,1135.628906,-1.875130,0.002164
