SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(N)(CN)C(F)(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.255295,0.000202,16.391541,162.011719,-2.889961,0.004520,15.815216,-414.748047,-2.652901,0.002839
CC(N)(CN)C(F)(F)F,CC(=O)Nc1ccc(C=O)cc1,0.221801,0.000130,16.540863,-706.847656,-2.834412,0.004738,12.626312,-690.259766,-1.900078,0.000614
CC(N)(CN)C(F)(F)F,Cc1cccc(CO)c1,0.219912,0.000132,17.206329,-816.628906,-2.882896,0.004419,14.164581,-716.001953,-2.090614,0.000214
CC(N)(CN)C(F)(F)F,COC(C)CO,0.234287,0.000167,17.584778,-689.066406,-2.967285,0.004472,16.379150,-758.265625,-2.419510,0.000444
CC(N)(CN)C(F)(F)F,Nc1nc(=O)c2ccccc2o1,0.208211,0.000103,17.583771,-614.855469,-2.908638,0.004112,11.527374,-880.632812,-1.758659,0.001579
CC(N)(CN)C(F)(F)F,CC(Cl)Br,0.272880,0.000227,14.352753,-172.568359,-2.671646,0.005652,16.971771,-12.273438,-2.837128,0.002250
CC(N)(CN)C(F)(F)F,CCCOC(F)F,0.277764,0.000237,14.699280,-100.527344,-2.707901,0.005420,16.391846,-121.820312,-2.807205,0.002861
CC(N)(CN)C(F)(F)F,COC1CC2CCC1(C)C2(C)C,0.264026,0.000198,13.697052,286.833984,-2.346153,0.003695,14.870483,209.658203,-2.770767,0.004259
CC(N)(CN)C(F)(F)F,CCC(=O)C1=NCCC1,0.258843,0.000202,15.118103,-277.953125,-2.561493,0.004167,16.667969,-313.441406,-2.730873,0.002092
CC(N)(CN)C(F)(F)F,NC(CF)(CF)CF,0.245763,0.000195,17.648041,-544.458984,-2.987579,0.004412,18.050323,-716.164062,-2.735947,0.000832
CC(N)(CN)C(F)(F)F,CC(C)CCCC(C)CC=O,0.261871,0.000202,14.725433,153.751953,-2.536087,0.003978,15.142090,-102.154297,-2.694633,0.003444
CC(N)(CN)C(F)(F)F,Cc1coc(C)n1,0.253185,0.000199,16.018463,-366.640625,-2.756813,0.004481,16.603729,-495.322266,-2.591293,0.001358
