SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCC(F)(F)C(C)(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.260338,0.000219,18.612061,-155.546875,-3.253944,0.005018,14.784790,-518.810547,-2.395699,0.002086
CCC(F)(F)C(C)(F)F,CC(=O)Nc1ccc(C=O)cc1,0.280216,0.000235,15.362305,1361.726562,-2.909492,0.003673,10.230103,501.726562,-2.290634,0.006253
CCC(F)(F)C(C)(F)F,Cc1cccc(CO)c1,0.283483,0.000252,15.627960,627.119141,-3.089317,0.005319,12.606873,-16.679688,-2.378189,0.004781
CCC(F)(F)C(C)(F)F,COC(C)CO,0.273447,0.000236,16.375671,170.240234,-3.133118,0.005460,15.554565,-444.197266,-2.605614,0.003618
CCC(F)(F)C(C)(F)F,Nc1nc(=O)c2ccccc2o1,0.261740,0.000199,14.279327,2361.138672,-2.693192,0.001257,8.113190,1311.171875,-2.203072,0.008284
CCC(F)(F)C(C)(F)F,CC(Cl)Br,0.268138,0.000233,16.761322,-338.441406,-3.048012,0.005707,15.633789,-464.251953,-2.433159,0.001336
CCC(F)(F)C(C)(F)F,CCCOC(F)F,0.272596,0.000245,17.277924,-376.316406,-3.144974,0.005996,16.373291,-593.109375,-2.584213,0.001569
CCC(F)(F)C(C)(F)F,COC1CC2CCC1(C)C2(C)C,0.267954,0.000228,16.445679,-179.589844,-2.924370,0.005172,15.235596,-514.724609,-2.523392,0.002431
CCC(F)(F)C(C)(F)F,CCC(=O)C1=NCCC1,0.264821,0.000227,17.501648,-258.376953,-3.148117,0.005408,16.261658,-648.423828,-2.592209,0.002179
CCC(F)(F)C(C)(F)F,NC(CF)(CF)CF,0.273926,0.000236,16.145935,47.728516,-3.134560,0.006140,15.418152,-384.849609,-2.493851,0.002798
CCC(F)(F)C(C)(F)F,CC(C)CCCC(C)CC=O,0.269844,0.000237,17.327087,-135.966797,-3.122337,0.005555,15.484192,-621.208984,-2.551941,0.002571
CCC(F)(F)C(C)(F)F,Cc1coc(C)n1,0.265482,0.000229,17.469391,-271.058594,-3.225433,0.005973,16.949402,-607.351562,-2.650276,0.001986
CCC(F)(F)C(C)(F)F,NC(=S)NC(N)=S,0.240867,0.000151,14.976807,1466.265625,-3.094711,0.005138,11.509003,945.703125,-2.104301,0.004231
CCC(F)(F)C(C)(F)F,FC(F)C(Cl)C(F)F,0.261696,0.000229,18.369995,-511.308594,-3.292641,0.005748,17.266663,-646.435547,-2.612686,0.001001
CCC(F)(F)C(C)(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.267454,0.000227,16.263824,-171.197266,-2.847404,0.004942,15.140320,-478.570312,-2.507362,0.002352
CCC(F)(F)C(C)(F)F,NNC(=O)c1ccccc1,0.284985,0.000242,14.300476,1196.496094,-2.985130,0.004855,10.984039,481.455078,-2.241203,0.005896
CCC(F)(F)C(C)(F)F,ClC=CBr,0.266982,0.000230,16.494659,-356.259766,-2.994003,0.005682,15.601532,-457.189453,-2.420830,0.001178
CCC(F)(F)C(C)(F)F,CN(C)N=O,0.266947,0.000218,16.796356,-8.261719,-3.130096,0.005509,15.360046,-388.990234,-2.389648,0.002449
CCC(F)(F)C(C)(F)F,c1ccc(C2CCCCC2)cc1,0.278717,0.000249,16.116730,-117.884766,-2.948006,0.005775,14.629333,-397.371094,-2.472809,0.002509
CCC(F)(F)C(C)(F)F,N#Cc1ccncc1,0.263289,0.000222,18.237122,-198.031250,-3.238129,0.005191,15.855530,-602.275391,-2.527695,0.002273
CCC(F)(F)C(C)(F)F,CN(C)C(=S)Nc1ccccc1,0.267302,0.000220,17.515564,306.736328,-3.127632,0.004572,13.130005,-190.771484,-2.298248,0.003286
CCC(F)(F)C(C)(F)F,CCC(N)CC,0.262011,0.000216,16.151367,-74.783203,-3.085373,0.006319,16.361816,-453.271484,-2.642914,0.002523
CCC(F)(F)C(C)(F)F,COC(=O)CO,0.272798,0.000231,16.318848,257.755859,-3.167366,0.005090,14.064789,-176.371094,-2.344879,0.003350
CCC(F)(F)C(C)(F)F,Cc1c(N)cccc1Cl,0.270488,0.000232,16.623444,126.326172,-3.119209,0.005363,14.484009,-362.441406,-2.434067,0.003120
CCC(F)(F)C(C)(F)F,CC1CCC(C(C)(C)OO)CC1,0.282221,0.000255,15.962555,530.169922,-3.084145,0.005243,13.796448,-226.146484,-2.574097,0.004915
CCC(F)(F)C(C)(F)F,CC(F)(Cl)CF,0.268639,0.000239,17.784912,-402.589844,-3.231560,0.005892,16.673370,-592.669922,-2.576324,0.001424
CCC(F)(F)C(C)(F)F,CCCCC1OC(C)CC(C)(C)O1,0.267430,0.000231,17.078094,-167.355469,-3.029266,0.005228,15.642029,-659.427734,-2.586678,0.002596
CCC(F)(F)C(C)(F)F,CC(C)(C)OCC1CO1,0.268551,0.000237,17.709442,-262.275391,-3.197189,0.005639,16.631744,-690.335938,-2.667923,0.002253
CCC(F)(F)C(C)(F)F,O=P(O)(O)OP(=O)(O)O,0.199262,0.000084,12.092987,4154.560547,-2.160553,-0.001087,6.732239,2723.408203,-2.202621,0.010261
CCC(F)(F)C(C)(F)F,CC(=O)Nc1ccc(C)cc1,0.288483,0.000258,15.968872,802.857422,-3.015709,0.004702,11.544800,75.843750,-2.329437,0.005192
CCC(F)(F)C(C)(F)F,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.262631,0.000199,16.888184,731.568359,-3.262199,0.005198,11.584625,343.054688,-2.076508,0.003332
CCC(F)(F)C(C)(F)F,CC(C)(O)CCC1CCCCC1,0.286448,0.000258,15.394714,795.587891,-3.031113,0.005316,12.469788,10.923828,-2.460083,0.005472
CCC(F)(F)C(C)(F)F,COCC(F)(F)F,0.269554,0.000239,17.531128,-339.714844,-3.191818,0.005828,16.614441,-600.791016,-2.606163,0.001750
CCC(F)(F)C(C)(F)F,COCC(O)COC,0.268851,0.000231,17.105164,-167.728516,-3.176407,0.005632,16.630341,-637.769531,-2.630272,0.002545
CCC(F)(F)C(C)(F)F,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.272747,0.000222,14.914612,1652.375000,-2.910469,0.002860,10.454346,623.437500,-2.438286,0.007167
CCC(F)(F)C(C)(F)F,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.267268,0.000210,14.609283,1500.460938,-2.934387,0.003093,10.380737,597.316406,-2.241745,0.006604
