SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCC1OC(C)C(=O)C1O,O=P(Cl)(c1ccccc1)c1ccccc1,0.240994,0.000189,18.939941,-603.867188,-3.201744,0.004686,16.191040,-753.472656,-2.474709,0.000816
CCC1OC(C)C(=O)C1O,CC(=O)Nc1ccc(C=O)cc1,0.244995,0.000187,17.880463,-394.703125,-3.049469,0.004619,14.601959,-700.726562,-2.297249,0.001628
CCC1OC(C)C(=O)C1O,Cc1cccc(CO)c1,0.245006,0.000191,17.812653,-520.234375,-3.069229,0.004850,15.833038,-675.054688,-2.422035,0.000914
CCC1OC(C)C(=O)C1O,COC(C)CO,0.234848,0.000168,18.161377,-604.773438,-3.105911,0.004693,15.867035,-792.263672,-2.370361,0.000901
CCC1OC(C)C(=O)C1O,Nc1nc(=O)c2ccccc2o1,0.226482,0.000150,18.755219,-422.300781,-3.074471,0.003873,13.226593,-776.246094,-2.097969,0.001848
CCC1OC(C)C(=O)C1O,CC(Cl)Br,0.272215,0.000231,14.989136,-459.615234,-2.812172,0.006404,18.287476,66.000000,-3.000206,0.001309
CCC1OC(C)C(=O)C1O,CCCOC(F)F,0.274441,0.000235,15.193268,-402.867188,-2.778419,0.005880,17.527466,-70.419922,-2.913223,0.001774
CCC1OC(C)C(=O)C1O,COC1CC2CCC1(C)C2(C)C,0.254893,0.000187,14.779541,-348.277344,-2.467247,0.004070,15.378876,-123.269531,-2.579758,0.002269
CCC1OC(C)C(=O)C1O,CCC(=O)C1=NCCC1,0.231975,0.000160,17.302643,-868.990234,-2.852463,0.004409,16.056885,-665.345703,-2.389297,0.000106
CCC1OC(C)C(=O)C1O,NC(CF)(CF)CF,0.221569,0.000143,18.232086,-825.705078,-3.064537,0.004474,14.930267,-816.208984,-2.152100,0.000029
CCC1OC(C)C(=O)C1O,CC(C)CCCC(C)CC=O,0.251590,0.000189,15.892517,-448.423828,-2.701637,0.004515,15.320038,-396.478516,-2.480965,0.001682
CCC1OC(C)C(=O)C1O,Cc1coc(C)n1,0.214141,0.000127,18.431946,-983.250000,-3.055069,0.004368,15.124573,-929.115234,-2.167053,-0.000154
CCC1OC(C)C(=O)C1O,NC(=S)NC(N)=S,0.212726,0.000103,17.971283,-899.298828,-2.909203,0.003742,16.989777,-794.164062,-2.478096,0.001154
CCC1OC(C)C(=O)C1O,FC(F)C(Cl)C(F)F,0.252312,0.000193,16.975037,-788.267578,-3.015778,0.005501,19.733917,-353.431641,-3.064133,0.000920
CCC1OC(C)C(=O)C1O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.258316,0.000184,12.644226,207.197266,-2.193092,0.003987,15.140320,547.087891,-2.761986,0.003318
CCC1OC(C)C(=O)C1O,NNC(=O)c1ccccc1,0.235597,0.000173,18.919312,-516.531250,-3.211357,0.004522,15.532227,-839.285156,-2.371269,0.001434
CCC1OC(C)C(=O)C1O,ClC=CBr,0.271555,0.000222,14.531433,-495.046875,-2.697838,0.005944,18.087646,118.136719,-3.036919,0.001813
CCC1OC(C)C(=O)C1O,CN(C)N=O,0.233096,0.000168,18.698578,-698.587891,-3.189667,0.004760,16.610352,-789.568359,-2.422829,0.000468
CCC1OC(C)C(=O)C1O,c1ccc(C2CCCCC2)cc1,0.280080,0.000235,13.902740,-85.314453,-2.576340,0.005624,15.645630,228.267578,-2.822151,0.003146
CCC1OC(C)C(=O)C1O,N#Cc1ccncc1,0.219525,0.000142,19.417847,-1064.494141,-3.130051,0.004152,17.070374,-963.761719,-2.468025,-0.000162
CCC1OC(C)C(=O)C1O,CN(C)C(=S)Nc1ccccc1,0.244980,0.000186,16.966339,-550.738281,-2.868057,0.004471,16.664764,-537.886719,-2.554810,0.000853
CCC1OC(C)C(=O)C1O,CCC(N)CC,0.190895,0.000070,17.372375,-968.472656,-2.913757,0.004127,12.094391,-1014.263672,-1.728455,0.000069
CCC1OC(C)C(=O)C1O,COC(=O)CO,0.241808,0.000188,18.482147,-604.212891,-3.193985,0.004893,16.408569,-710.876953,-2.427414,0.000590
CCC1OC(C)C(=O)C1O,Cc1c(N)cccc1Cl,0.236009,0.000170,17.803040,-824.468750,-2.977379,0.004621,17.816650,-666.388672,-2.713371,0.000446
CCC1OC(C)C(=O)C1O,CC1CCC(C(C)(C)OO)CC1,0.243096,0.000180,16.677948,-525.517578,-2.825775,0.004570,15.973053,-556.226562,-2.512085,0.001201
CCC1OC(C)C(=O)C1O,CC(F)(Cl)CF,0.273027,0.000238,15.647430,-416.542969,-2.929016,0.006420,17.916748,-99.912109,-2.913582,0.001261
CCC1OC(C)C(=O)C1O,CCCCC1OC(C)CC(C)(C)O1,0.245748,0.000177,15.797729,-428.449219,-2.587692,0.003771,15.208618,-402.486328,-2.471153,0.001805
CCC1OC(C)C(=O)C1O,CC(C)(C)OCC1CO1,0.243431,0.000185,17.190033,-612.181641,-2.915924,0.004574,16.664642,-630.675781,-2.531395,0.000680
CCC1OC(C)C(=O)C1O,O=P(O)(O)OP(=O)(O)O,0.144990,-0.000060,18.617767,-1589.521484,-3.335205,0.005206,6.620026,-1247.207031,-0.860474,0.000403
CCC1OC(C)C(=O)C1O,CC(=O)Nc1ccc(C)cc1,0.246707,0.000189,17.259766,-496.435547,-2.943039,0.004725,14.902374,-644.306641,-2.332672,0.001200
CCC1OC(C)C(=O)C1O,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.254171,0.000209,18.632904,-145.177734,-3.176476,0.004512,15.626770,-504.384766,-2.471497,0.001642
CCC1OC(C)C(=O)C1O,CC(C)(O)CCC1CCCCC1,0.247618,0.000182,15.873688,-157.671875,-2.787056,0.004746,13.820984,-474.093750,-2.247719,0.002189
CCC1OC(C)C(=O)C1O,COCC(F)(F)F,0.267047,0.000225,15.568909,-415.570312,-2.808525,0.005569,17.346466,-126.919922,-2.809509,0.001236
CCC1OC(C)C(=O)C1O,COCC(O)COC,0.228382,0.000162,19.124023,-806.699219,-3.200073,0.004560,16.608368,-890.039062,-2.428642,0.000345
CCC1OC(C)C(=O)C1O,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.233243,0.000174,19.755219,-449.341797,-3.220306,0.003884,15.887573,-919.107422,-2.501671,0.001882
CCC1OC(C)C(=O)C1O,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.208375,0.000115,19.586243,-968.003906,-3.131279,0.003579,16.445068,-931.500000,-2.362183,0.000268
CCC1OC(C)C(=O)C1O,CC(C)C(F)F,0.280376,0.000240,14.265869,-285.482422,-2.703224,0.006273,16.994202,152.576172,-2.917046,0.002198
CCC1OC(C)C(=O)C1O,CCCCC1C=C(C)CC(C)O1,0.248164,0.000176,15.176025,-400.558594,-2.487167,0.003785,14.910797,-269.990234,-2.465759,0.002095
CCC1OC(C)C(=O)C1O,COc1ccc(C(C)=O)cc1,0.240104,0.000179,17.887146,-652.080078,-3.046227,0.004706,15.803986,-737.765625,-2.362556,0.000662
CCC1OC(C)C(=O)C1O,Oc1cc(O)ncn1,0.225316,0.000141,17.833191,-452.494141,-3.000282,0.004079,14.930786,-786.720703,-2.241013,0.001603
CCC1OC(C)C(=O)C1O,COCCCCl,0.254781,0.000197,15.878296,-593.878906,-2.775055,0.005074,16.645020,-379.361328,-2.604980,0.001049
CCC1OC(C)C(=O)C1O,CCCOC,0.245774,0.000176,15.724182,-592.843750,-2.663719,0.004428,15.820679,-385.517578,-2.472748,0.001154
CCC1OC(C)C(=O)C1O,Fc1c(F)c(F)c(F)c(F)c1F,0.276409,0.000221,13.255005,-1.716797,-2.464523,0.005288,15.292023,296.931641,-2.782494,0.003215
CCC1OC(C)C(=O)C1O,CCP(CC)CC,0.246221,0.000171,15.191254,-566.791016,-2.533791,0.004299,15.641693,-176.089844,-2.551987,0.001621
CCC1OC(C)C(=O)C1O,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.239876,0.000166,16.017120,-358.544922,-2.596687,0.003525,14.278107,-547.849609,-2.316162,0.002042
CCC1OC(C)C(=O)C1O,Fc1cc(F)c(F)cc1F,0.273606,0.000228,14.695770,-359.447266,-2.709465,0.005786,17.098572,-7.576172,-2.889374,0.002101
CCC1OC(C)C(=O)C1O,CCCCc1ccc(C(=O)O)cc1,0.242188,0.000172,16.206818,-655.398438,-2.778175,0.004943,15.599762,-505.453125,-2.419922,0.000956
CCC1OC(C)C(=O)C1O,C=Cc1c(C)cc(C)cc1C,0.278038,0.000233,14.303192,-129.785156,-2.639236,0.005622,16.029724,85.572266,-2.829422,0.002992
CCC1OC(C)C(=O)C1O,C=C(C)C(=O)OC(C)(C)C,0.258686,0.000208,16.182312,-422.445312,-2.826218,0.005025,16.176147,-339.404297,-2.620308,0.001600
CCC1OC(C)C(=O)C1O,FC1CCCN1,0.240320,0.000186,18.541992,-779.845703,-3.191025,0.005155,17.704498,-630.742188,-2.645172,0.000249
CCC1OC(C)C(=O)C1O,CCCCCCCC(=O)NC,0.235934,0.000168,17.561005,-462.902344,-2.934044,0.004212,14.420044,-732.109375,-2.259270,0.001397
CCC1OC(C)C(=O)C1O,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.273932,0.000217,13.111298,357.871094,-2.431198,0.004851,14.576996,376.136719,-2.773270,0.004045
CCC1OC(C)C(=O)C1O,C1=CC2C=CC1C2,0.277437,0.000228,13.661102,-214.552734,-2.572296,0.006033,16.362213,289.207031,-2.861847,0.002534
CCC1OC(C)C(=O)C1O,CCC(C)(O)CCC=C(C)C,0.244226,0.000179,16.317932,-294.666016,-2.816902,0.004679,14.069427,-562.302734,-2.228127,0.001683
CCC1OC(C)C(=O)C1O,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.231592,0.000157,17.068054,458.023438,-2.668915,0.002220,15.946014,-309.111328,-2.956650,0.004409
CCC1OC(C)C(=O)C1O,CCC(C)CCF,0.278885,0.000232,13.920288,-180.220703,-2.584167,0.005675,16.189087,145.482422,-2.836319,0.002823
CCC1OC(C)C(=O)C1O,C=Cc1cccc(CC)c1,0.277601,0.000235,14.621185,-207.587891,-2.691673,0.005774,16.487244,41.685547,-2.862724,0.002700
CCC1OC(C)C(=O)C1O,CC(C)(C(O)(F)F)C(F)(F)F,0.166898,-0.000005,17.469299,-1825.076172,-2.847076,0.004550,13.370483,-721.810547,-1.925522,-0.000798
CCC1OC(C)C(=O)C1O,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.279499,0.000225,13.096741,-117.158203,-2.409698,0.005255,15.541016,292.945312,-2.818970,0.003440
CCC1OC(C)C(=O)C1O,CCN(CC)c1ccc(N)cc1,0.222566,0.000152,19.451691,-792.636719,-3.222824,0.004350,16.106689,-949.894531,-2.402840,0.000513
CCC1OC(C)C(=O)C1O,FC(F)CC(F)(F)F,0.270980,0.000231,15.346466,-419.667969,-2.811020,0.005859,17.492310,-84.359375,-2.895966,0.001494
CCC1OC(C)C(=O)C1O,N#CCCOCCC#N,0.244005,0.000196,19.088837,-492.318359,-3.248909,0.004672,16.426483,-637.466797,-2.460159,0.000709
CCC1OC(C)C(=O)C1O,CCC(C)C(C)C(C)C,0.277087,0.000215,12.365021,217.812500,-2.310196,0.005176,14.383209,647.566406,-2.812622,0.004357
