SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCC(=O)OC(=O)CCC,O=P(Cl)(c1ccccc1)c1ccccc1,0.244246,0.000202,20.281921,-526.306641,-3.439064,0.004750,16.892365,-775.236328,-2.580093,0.001050
CCCC(=O)OC(=O)CCC,CC(=O)Nc1ccc(C=O)cc1,0.260789,0.000216,18.372375,195.771484,-3.222237,0.004487,14.027496,-285.083984,-2.405075,0.002928
CCCC(=O)OC(=O)CCC,Cc1cccc(CO)c1,0.253604,0.000214,18.529755,-207.292969,-3.300125,0.005255,16.379150,-555.148438,-2.600006,0.001897
CCCC(=O)OC(=O)CCC,COC(C)CO,0.256069,0.000214,17.788696,-149.101562,-3.282028,0.005626,17.194336,-514.277344,-2.688042,0.002100
CCCC(=O)OC(=O)CCC,Nc1nc(=O)c2ccccc2o1,0.248410,0.000184,18.972321,607.074219,-3.112442,0.002883,10.287109,11.304688,-1.960190,0.003988
CCCC(=O)OC(=O)CCC,CC(Cl)Br,0.243983,0.000192,18.453339,-773.041016,-3.207420,0.005304,18.539154,-677.218750,-2.757088,0.000233
CCCC(=O)OC(=O)CCC,CCCOC(F)F,0.257667,0.000219,17.737946,-548.351562,-3.135803,0.005414,17.365417,-602.314453,-2.649445,0.000817
CCCC(=O)OC(=O)CCC,COC1CC2CCC1(C)C2(C)C,0.252831,0.000198,16.197754,-275.404297,-2.864861,0.004923,15.586823,-319.242188,-2.574959,0.002171
CCCC(=O)OC(=O)CCC,CCC(=O)C1=NCCC1,0.251595,0.000209,18.312408,-530.251953,-3.172119,0.005027,17.108612,-716.621094,-2.611992,0.001015
CCCC(=O)OC(=O)CCC,NC(CF)(CF)CF,0.249298,0.000202,18.021271,-339.750000,-3.334869,0.005941,17.424744,-503.144531,-2.576431,0.001213
CCCC(=O)OC(=O)CCC,CC(C)CCCC(C)CC=O,0.257095,0.000215,17.304230,-333.076172,-3.090347,0.005422,16.269348,-555.560547,-2.601288,0.001748
CCCC(=O)OC(=O)CCC,Cc1coc(C)n1,0.249993,0.000207,18.545563,-505.470703,-3.298965,0.005507,17.858063,-686.373047,-2.685165,0.000973
CCCC(=O)OC(=O)CCC,NC(=S)NC(N)=S,0.212081,0.000111,19.942230,-520.568359,-3.291519,0.004278,17.402069,-776.021484,-2.580513,0.001631
CCCC(=O)OC(=O)CCC,FC(F)C(Cl)C(F)F,0.224369,0.000145,20.593414,-1024.111328,-3.520706,0.004842,19.586334,-877.048828,-2.810165,0.000396
