SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCC(C)(O)CC(=O)O,O=P(Cl)(c1ccccc1)c1ccccc1,0.252254,0.000195,16.458862,-508.019531,-2.879105,0.005227,16.771332,-403.302734,-2.681404,0.001419
CCCC(C)(O)CC(=O)O,CC(=O)Nc1ccc(C=O)cc1,0.245812,0.000184,17.127441,-442.529297,-2.965630,0.004767,15.435120,-695.298828,-2.369385,0.001386
CCCC(C)(O)CC(=O)O,Cc1cccc(CO)c1,0.247378,0.000189,16.665619,-481.515625,-2.905228,0.004874,16.278931,-664.160156,-2.477753,0.001089
CCCC(C)(O)CC(=O)O,COC(C)CO,0.240043,0.000173,17.039032,-531.013672,-2.922989,0.004568,16.489227,-785.414062,-2.487381,0.001211
CCCC(C)(O)CC(=O)O,Nc1nc(=O)c2ccccc2o1,0.235835,0.000162,17.593384,-449.373047,-2.989754,0.004443,15.130829,-778.791016,-2.325195,0.001799
CCCC(C)(O)CC(=O)O,CC(Cl)Br,0.282196,0.000236,12.054718,-146.007812,-2.495323,0.007475,17.791351,962.703125,-3.149429,0.001743
CCCC(C)(O)CC(=O)O,CCCOC(F)F,0.286952,0.000241,11.268768,25.097656,-2.356499,0.006807,17.061798,1109.076172,-3.177124,0.002660
CCCC(C)(O)CC(=O)O,COC1CC2CCC1(C)C2(C)C,0.260992,0.000184,11.842590,-82.775391,-2.133270,0.004738,15.119476,666.294922,-2.702698,0.002881
CCCC(C)(O)CC(=O)O,CCC(=O)C1=NCCC1,0.238196,0.000160,15.437164,-679.822266,-2.589165,0.004258,16.169891,-458.375000,-2.481110,0.001051
CCCC(C)(O)CC(=O)O,NC(CF)(CF)CF,0.227038,0.000142,16.435913,-663.984375,-2.810638,0.004453,14.860901,-748.062500,-2.178123,0.000608
CCCC(C)(O)CC(=O)O,CC(C)CCCC(C)CC=O,0.262547,0.000196,13.389404,-299.779297,-2.420692,0.005214,15.447754,143.857422,-2.595428,0.002138
