SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCC(CCOC(C)=O)SC,O=P(Cl)(c1ccccc1)c1ccccc1,0.246455,0.000203,20.033356,-499.640625,-3.418915,0.004815,16.850250,-733.210938,-2.572266,0.001068
CCCC(CCOC(C)=O)SC,CC(=O)Nc1ccc(C=O)cc1,0.259806,0.000212,17.900970,176.392578,-3.177162,0.004462,14.550201,-365.832031,-2.441040,0.003040
CCCC(CCOC(C)=O)SC,Cc1cccc(CO)c1,0.247302,0.000198,18.297180,-376.218750,-3.177002,0.004736,16.038208,-662.251953,-2.478027,0.001385
CCCC(CCOC(C)=O)SC,COC(C)CO,0.257778,0.000213,17.185730,-135.666016,-3.213531,0.005610,17.225067,-507.394531,-2.665863,0.002138
CCCC(CCOC(C)=O)SC,Nc1nc(=O)c2ccccc2o1,0.246017,0.000173,18.590912,634.998047,-2.997192,0.002532,9.253815,-34.482422,-1.781136,0.004176
CCCC(CCOC(C)=O)SC,CC(Cl)Br,0.247762,0.000198,18.025818,-722.455078,-3.148865,0.005188,18.520477,-701.353516,-2.784859,0.000494
CCCC(CCOC(C)=O)SC,CCCOC(F)F,0.259940,0.000220,17.279602,-521.541016,-3.082428,0.005402,17.463074,-610.099609,-2.666161,0.000947
CCCC(CCOC(C)=O)SC,COC1CC2CCC1(C)C2(C)C,0.257057,0.000205,16.099426,-309.308594,-2.862564,0.004993,15.926331,-358.093750,-2.605927,0.002103
CCCC(CCOC(C)=O)SC,CCC(=O)C1=NCCC1,0.252638,0.000208,17.952087,-535.306641,-3.140724,0.005138,17.441833,-722.849609,-2.638611,0.001017
CCCC(CCOC(C)=O)SC,NC(CF)(CF)CF,0.249569,0.000198,17.221405,-265.435547,-3.245605,0.005938,17.114563,-415.500000,-2.520409,0.001390
CCCC(CCOC(C)=O)SC,CC(C)CCCC(C)CC=O,0.259007,0.000217,17.193634,-353.363281,-3.090981,0.005505,16.587311,-579.664062,-2.627449,0.001690
CCCC(CCOC(C)=O)SC,Cc1coc(C)n1,0.251838,0.000207,18.096130,-475.425781,-3.261559,0.005568,17.870361,-669.652344,-2.680092,0.001065
CCCC(CCOC(C)=O)SC,NC(=S)NC(N)=S,0.213828,0.000104,19.011688,-437.056641,-3.157455,0.004192,15.308960,-672.542969,-2.204025,0.001738
CCCC(CCOC(C)=O)SC,FC(F)C(Cl)C(F)F,0.224059,0.000144,20.059723,-977.701172,-3.434631,0.004620,19.312500,-865.419922,-2.710403,0.000270
CCCC(CCOC(C)=O)SC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.234705,0.000154,14.967224,-129.109375,-2.494278,0.003533,14.839966,-152.958984,-2.452148,0.001936
CCCC(CCOC(C)=O)SC,NNC(=O)c1ccccc1,0.262760,0.000212,17.317200,374.675781,-3.187508,0.004807,13.861694,-122.820312,-2.336761,0.003280
