SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCOc1ccccc1C(=O)O,O=P(Cl)(c1ccccc1)c1ccccc1,0.233316,0.000171,18.737976,-684.240234,-3.123024,0.004338,17.308868,-774.628906,-2.602966,0.000568
CCOc1ccccc1C(=O)O,CC(=O)Nc1ccc(C=O)cc1,0.232277,0.000166,18.299591,-423.406250,-3.222923,0.004999,16.629517,-636.826172,-2.544609,0.001388
CCOc1ccccc1C(=O)O,Cc1cccc(CO)c1,0.229728,0.000159,17.060120,-370.539062,-3.108894,0.005422,16.789551,-440.113281,-2.585175,0.001278
CCOc1ccccc1C(=O)O,COC(C)CO,0.232698,0.000165,17.442780,-309.388672,-3.085793,0.004925,16.790710,-561.359375,-2.615150,0.001651
CCOc1ccccc1C(=O)O,Nc1nc(=O)c2ccccc2o1,0.228432,0.000153,18.390106,-287.402344,-3.154198,0.004354,15.657501,-691.060547,-2.382477,0.001799
CCOc1ccccc1C(=O)O,CC(Cl)Br,0.247000,0.000179,16.032227,-719.429688,-2.749863,0.004626,18.099945,-468.216797,-2.814629,0.000955
CCOc1ccccc1C(=O)O,CCCOC(F)F,0.255506,0.000196,15.152710,-505.683594,-2.610893,0.004486,16.463104,-318.457031,-2.623642,0.001323
CCOc1ccccc1C(=O)O,COC1CC2CCC1(C)C2(C)C,0.231226,0.000145,13.700775,-202.001953,-2.234161,0.003161,14.307739,2.849609,-2.387901,0.002279
CCOc1ccccc1C(=O)O,CCC(=O)C1=NCCC1,0.229604,0.000156,16.784912,-563.617188,-2.763062,0.003800,16.210022,-614.220703,-2.453667,0.000746
CCOc1ccccc1C(=O)O,NC(CF)(CF)CF,0.228979,0.000151,16.519897,-414.589844,-2.937111,0.004900,16.278168,-495.865234,-2.458252,0.001123
CCOc1ccccc1C(=O)O,CC(C)CCCC(C)CC=O,0.239153,0.000168,15.024231,-305.654297,-2.564995,0.004081,15.075623,-242.564453,-2.444725,0.001666
CCOc1ccccc1C(=O)O,Cc1coc(C)n1,0.221186,0.000140,17.252289,-560.916016,-2.903122,0.003957,16.343994,-579.583984,-2.463379,0.000849
CCOc1ccccc1C(=O)O,NC(=S)NC(N)=S,0.187732,0.000042,20.831268,-1060.476562,-3.254868,0.003921,16.088074,-1174.867188,-2.378746,0.001785
CCOc1ccccc1C(=O)O,FC(F)C(Cl)C(F)F,0.221761,0.000124,18.596100,-932.205078,-3.164581,0.004275,18.780609,-872.943359,-2.727654,0.000885
CCOc1ccccc1C(=O)O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.217000,0.000108,14.238861,-72.212891,-2.179008,0.002689,15.207153,-120.986328,-2.576607,0.002346
CCOc1ccccc1C(=O)O,NNC(=O)c1ccccc1,0.239824,0.000179,17.487091,-213.585938,-3.152351,0.005372,17.226929,-574.666016,-2.664894,0.001895
CCOc1ccccc1C(=O)O,ClC=CBr,0.239607,0.000156,16.074646,-837.277344,-2.716217,0.004029,18.373413,-437.341797,-2.843460,0.001316
CCOc1ccccc1C(=O)O,CN(C)N=O,0.233734,0.000166,18.239075,-601.992188,-3.117455,0.004587,17.364349,-737.880859,-2.551346,0.000723
CCOc1ccccc1C(=O)O,c1ccc(C2CCCCC2)cc1,0.243806,0.000164,13.567200,-207.761719,-2.297195,0.003496,15.280945,51.447266,-2.559952,0.002493
CCOc1ccccc1C(=O)O,N#Cc1ccncc1,0.234162,0.000166,18.020355,-726.945312,-2.987068,0.004108,17.810516,-810.875000,-2.685013,0.000757
CCOc1ccccc1C(=O)O,CN(C)C(=S)Nc1ccccc1,0.203440,0.000106,20.311127,-1131.058594,-3.178612,0.003516,17.853577,-1058.453125,-2.592468,0.000077
CCOc1ccccc1C(=O)O,CCC(N)CC,0.201558,0.000089,15.729126,-528.773438,-2.683754,0.004149,14.625092,-493.082031,-2.232407,0.001407
CCOc1ccccc1C(=O)O,COC(=O)CO,0.239106,0.000181,18.092804,-387.599609,-3.210510,0.005135,16.701508,-596.500000,-2.517990,0.001199
CCOc1ccccc1C(=O)O,Cc1c(N)cccc1Cl,0.207247,0.000108,20.040710,-1044.380859,-3.262299,0.003919,18.792480,-1005.667969,-2.723633,0.000465
CCOc1ccccc1C(=O)O,CC1CCC(C(C)(C)OO)CC1,0.218864,0.000134,17.183807,-470.761719,-2.968475,0.004395,16.120026,-579.500000,-2.455780,0.001286
CCOc1ccccc1C(=O)O,CC(F)(Cl)CF,0.251071,0.000191,16.273224,-596.380859,-2.812210,0.004823,17.278229,-514.378906,-2.687431,0.001022
CCOc1ccccc1C(=O)O,CCCCC1OC(C)CC(C)(C)O1,0.230459,0.000149,14.993286,-215.564453,-2.417175,0.003094,14.870087,-335.988281,-2.423080,0.002172
CCOc1ccccc1C(=O)O,CC(C)(C)OCC1CO1,0.235715,0.000165,16.161285,-359.138672,-2.737450,0.004050,15.718964,-536.630859,-2.461540,0.001418
CCOc1ccccc1C(=O)O,O=P(O)(O)OP(=O)(O)O,0.132031,-0.000088,20.847504,-1640.535156,-3.515816,0.005442,7.606506,-1614.011719,-1.110947,0.001965
CCOc1ccccc1C(=O)O,CC(=O)Nc1ccc(C)cc1,0.232687,0.000166,17.723602,-493.818359,-3.089386,0.004738,16.627777,-618.951172,-2.539780,0.001095
