SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCc1ccc(O)c(OC)c1,O=P(Cl)(c1ccccc1)c1ccccc1,0.243667,0.000199,19.555908,-538.808594,-3.330215,0.004680,17.662598,-806.966797,-2.679398,0.001068
CCc1ccc(O)c(OC)c1,CC(=O)Nc1ccc(C=O)cc1,0.250619,0.000190,17.685272,-47.113281,-3.072182,0.004529,14.442200,-523.000000,-2.354698,0.002490
CCc1ccc(O)c(OC)c1,Cc1cccc(CO)c1,0.253890,0.000207,17.471558,-232.587891,-3.104385,0.005055,16.744598,-603.941406,-2.638824,0.001923
CCc1ccc(O)c(OC)c1,COC(C)CO,0.238906,0.000177,18.457184,-465.554688,-3.125130,0.004242,17.154327,-845.638672,-2.618912,0.001670
CCc1ccc(O)c(OC)c1,Nc1nc(=O)c2ccccc2o1,0.251845,0.000191,18.142029,350.769531,-3.119179,0.003863,12.920013,-301.476562,-2.274811,0.003553
CCc1ccc(O)c(OC)c1,CC(Cl)Br,0.268300,0.000232,16.392700,-482.455078,-3.022125,0.006012,17.917236,-398.300781,-2.822861,0.001180
CCc1ccc(O)c(OC)c1,CCCOC(F)F,0.271297,0.000236,16.154297,-405.109375,-2.931877,0.005675,16.963867,-363.642578,-2.741928,0.001569
CCc1ccc(O)c(OC)c1,COC1CC2CCC1(C)C2(C)C,0.248510,0.000186,15.886200,-485.994141,-2.644966,0.003770,16.849365,-378.894531,-2.645889,0.001554
CCc1ccc(O)c(OC)c1,CCC(=O)C1=NCCC1,0.234800,0.000167,17.526215,-676.455078,-2.883774,0.004016,17.028931,-801.544922,-2.552490,0.000782
CCc1ccc(O)c(OC)c1,NC(CF)(CF)CF,0.236630,0.000168,17.439606,-462.164062,-2.968605,0.004305,15.721680,-686.880859,-2.346062,0.001180
CCc1ccc(O)c(OC)c1,CC(C)CCCC(C)CC=O,0.243934,0.000187,17.349243,-585.935547,-2.921562,0.004377,17.257538,-699.722656,-2.628174,0.000912
CCc1ccc(O)c(OC)c1,Cc1coc(C)n1,0.215840,0.000129,19.132263,-930.437500,-3.103577,0.003793,16.581390,-983.554688,-2.399979,0.000487
CCc1ccc(O)c(OC)c1,NC(=S)NC(N)=S,0.244254,0.000170,16.577423,146.755859,-3.074196,0.005550,17.404541,-283.851562,-2.514473,0.002149
CCc1ccc(O)c(OC)c1,FC(F)C(Cl)C(F)F,0.256592,0.000210,17.209351,-510.611328,-3.063843,0.005385,17.304718,-561.832031,-2.661110,0.000986
CCc1ccc(O)c(OC)c1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.257289,0.000194,13.990479,308.281250,-2.472862,0.004113,13.310242,68.369141,-2.352654,0.002958
CCc1ccc(O)c(OC)c1,NNC(=O)c1ccccc1,0.247876,0.000189,17.866791,-176.355469,-3.127708,0.004801,16.249817,-652.798828,-2.528404,0.002108
CCc1ccc(O)c(OC)c1,ClC=CBr,0.269418,0.000230,15.988983,-515.490234,-2.936813,0.005761,18.049744,-329.248047,-2.901321,0.001484
CCc1ccc(O)c(OC)c1,CN(C)N=O,0.233612,0.000165,18.431244,-607.568359,-3.135872,0.004528,17.056061,-823.757812,-2.493401,0.000957
