SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCc1nc(C)c(C)nc1C,O=P(Cl)(c1ccccc1)c1ccccc1,0.245846,0.000199,20.368805,-474.916016,-3.403816,0.004557,16.466156,-712.623047,-2.517365,0.000922
CCc1nc(C)c(C)nc1C,CC(=O)Nc1ccc(C=O)cc1,0.248301,0.000179,17.785919,243.097656,-2.942543,0.003308,12.187592,-276.404297,-2.094681,0.002888
CCc1nc(C)c(C)nc1C,Cc1cccc(CO)c1,0.222926,0.000140,17.981384,-778.339844,-2.956772,0.004012,14.870392,-698.390625,-2.159218,0.000389
CCc1nc(C)c(C)nc1C,COC(C)CO,0.243245,0.000185,17.538055,-421.382812,-3.064079,0.004525,16.412354,-638.820312,-2.446609,0.001138
CCc1nc(C)c(C)nc1C,Nc1nc(=O)c2ccccc2o1,0.220621,0.000107,18.646454,760.382812,-2.749275,0.001967,3.187042,-150.546875,-0.879761,0.004678
CCc1nc(C)c(C)nc1C,CC(Cl)Br,0.248964,0.000199,18.015320,-766.033203,-3.165611,0.005423,19.182556,-631.244141,-2.863762,0.000411
CCc1nc(C)c(C)nc1C,CCCOC(F)F,0.260102,0.000220,17.189880,-510.681641,-3.062973,0.005459,17.625458,-583.892578,-2.686081,0.000922
CCc1nc(C)c(C)nc1C,COC1CC2CCC1(C)C2(C)C,0.259128,0.000214,17.041168,-401.996094,-2.978622,0.004917,16.870087,-574.050781,-2.682579,0.001729
CCc1nc(C)c(C)nc1C,CCC(=O)C1=NCCC1,0.252427,0.000208,17.989258,-531.927734,-3.139290,0.005078,17.244843,-687.248047,-2.605408,0.000925
CCc1nc(C)c(C)nc1C,NC(CF)(CF)CF,0.249373,0.000196,17.907806,-205.019531,-3.116943,0.004478,15.732819,-477.927734,-2.395210,0.001436
CCc1nc(C)c(C)nc1C,CC(C)CCCC(C)CC=O,0.257637,0.000217,17.650421,-432.080078,-3.112938,0.005199,17.081329,-702.015625,-2.661530,0.001447
CCc1nc(C)c(C)nc1C,Cc1coc(C)n1,0.252572,0.000210,18.390839,-468.816406,-3.236076,0.005148,17.472107,-704.324219,-2.645668,0.001176
CCc1nc(C)c(C)nc1C,NC(=S)NC(N)=S,0.219217,0.000086,17.398682,50.710938,-2.416519,0.002062,5.545563,-380.320312,-0.917015,0.003191
CCc1nc(C)c(C)nc1C,FC(F)C(Cl)C(F)F,0.230740,0.000150,19.101105,-853.664062,-3.330032,0.004703,18.698700,-740.205078,-2.630730,0.000811
CCc1nc(C)c(C)nc1C,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.240202,0.000165,15.638397,-157.941406,-2.591095,0.003747,15.204315,-365.552734,-2.477982,0.001858
CCc1nc(C)c(C)nc1C,NNC(=O)c1ccccc1,0.253315,0.000189,18.499847,865.388672,-2.970413,0.002346,10.783752,13.695312,-2.045288,0.004409
CCc1nc(C)c(C)nc1C,ClC=CBr,0.247221,0.000187,17.761688,-839.539062,-3.145676,0.005243,19.657410,-640.583984,-2.938797,0.000698
CCc1nc(C)c(C)nc1C,CN(C)N=O,0.256629,0.000203,17.039673,-130.162109,-3.155632,0.005246,16.053436,-329.427734,-2.342072,0.001639
CCc1nc(C)c(C)nc1C,c1ccc(C2CCCCC2)cc1,0.262766,0.000221,16.940063,-408.242188,-2.993454,0.005200,16.605927,-567.158203,-2.642052,0.001650
