SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
COC(=O)CCCCC(=O)O,O=P(Cl)(c1ccccc1)c1ccccc1,0.247113,0.000188,17.250336,-566.197266,-2.982552,0.005052,16.083221,-567.681641,-2.528870,0.001244
COC(=O)CCCCC(=O)O,CC(=O)Nc1ccc(C=O)cc1,0.245081,0.000184,17.595276,-426.187500,-3.057625,0.004903,14.737823,-716.609375,-2.287537,0.001533
COC(=O)CCCCC(=O)O,Cc1cccc(CO)c1,0.249769,0.000194,16.878113,-369.248047,-2.965759,0.004986,15.502289,-654.134766,-2.410713,0.001507
COC(=O)CCCCC(=O)O,COC(C)CO,0.237133,0.000170,17.838135,-483.054688,-3.068108,0.004618,15.579041,-826.296875,-2.385727,0.001506
COC(=O)CCCCC(=O)O,Nc1nc(=O)c2ccccc2o1,0.226878,0.000147,18.190460,-470.169922,-3.092674,0.004451,13.507080,-890.318359,-2.090225,0.001770
COC(=O)CCCCC(=O)O,CC(Cl)Br,0.282942,0.000242,13.253815,-314.781250,-2.673828,0.007305,17.887207,522.457031,-3.084167,0.001716
COC(=O)CCCCC(=O)O,CCCOC(F)F,0.288032,0.000247,12.701965,-107.337891,-2.545456,0.006707,16.589539,575.726562,-3.024925,0.002736
COC(=O)CCCCC(=O)O,COC1CC2CCC1(C)C2(C)C,0.251067,0.000168,13.407928,-252.175781,-2.238312,0.004095,13.463348,18.927734,-2.329025,0.002715
COC(=O)CCCCC(=O)O,CCC(=O)C1=NCCC1,0.228198,0.000142,16.121826,-660.935547,-2.677315,0.004165,14.239777,-702.449219,-2.161438,0.000892
COC(=O)CCCCC(=O)O,NC(CF)(CF)CF,0.220290,0.000131,16.990417,-727.158203,-2.938263,0.004675,14.152985,-817.935547,-2.053032,0.000395
COC(=O)CCCCC(=O)O,CC(C)CCCC(C)CC=O,0.255397,0.000187,14.514771,-262.710938,-2.499107,0.004510,14.571625,-210.015625,-2.447311,0.002384
COC(=O)CCCCC(=O)O,Cc1coc(C)n1,0.213721,0.000119,17.448273,-806.103516,-2.912933,0.004180,13.868073,-886.099609,-2.030258,0.000430
COC(=O)CCCCC(=O)O,NC(=S)NC(N)=S,0.217542,0.000108,17.892578,-848.078125,-2.919762,0.004197,17.682983,-785.687500,-2.732834,0.001730
COC(=O)CCCCC(=O)O,FC(F)C(Cl)C(F)F,0.266681,0.000208,15.031006,-595.189453,-2.898323,0.006541,19.261505,82.146484,-3.142586,0.001599
COC(=O)CCCCC(=O)O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.267791,0.000193,9.460388,627.353516,-1.905098,0.004500,14.975433,1504.455078,-2.941544,0.004341
COC(=O)CCCCC(=O)O,NNC(=O)c1ccccc1,0.239319,0.000178,18.477020,-438.722656,-3.202675,0.004812,15.756989,-835.955078,-2.425674,0.001671
COC(=O)CCCCC(=O)O,ClC=CBr,0.278922,0.000228,12.785034,-393.720703,-2.551208,0.006799,18.002716,606.683594,-3.117142,0.001979
COC(=O)CCCCC(=O)O,CN(C)N=O,0.235925,0.000168,17.954132,-631.521484,-3.099129,0.004904,16.726837,-727.402344,-2.478889,0.000821
COC(=O)CCCCC(=O)O,c1ccc(C2CCCCC2)cc1,0.289373,0.000238,11.198792,263.062500,-2.265991,0.006214,14.654755,1034.449219,-2.927170,0.004042
COC(=O)CCCCC(=O)O,N#Cc1ccncc1,0.225713,0.000147,18.087250,-877.828125,-3.002899,0.004411,16.562622,-892.855469,-2.452988,0.000416
COC(=O)CCCCC(=O)O,CN(C)C(=S)Nc1ccccc1,0.247185,0.000185,16.943634,-595.626953,-2.923325,0.004911,17.945251,-471.232422,-2.813377,0.001286
COC(=O)CCCCC(=O)O,CCC(N)CC,0.192521,0.000060,15.817139,-696.277344,-2.873764,0.004711,9.841370,-876.617188,-1.517471,0.000814
COC(=O)CCCCC(=O)O,COC(=O)CO,0.249470,0.000199,17.897461,-437.304688,-3.153816,0.005069,16.705841,-704.400391,-2.535301,0.001252
COC(=O)CCCCC(=O)O,Cc1c(N)cccc1Cl,0.239886,0.000169,17.128265,-742.732422,-2.929672,0.004876,17.787689,-615.578125,-2.744583,0.000960
COC(=O)CCCCC(=O)O,CC1CCC(C(C)(C)OO)CC1,0.252405,0.000193,15.957062,-232.332031,-2.786942,0.004726,15.446838,-518.898438,-2.514404,0.002197
COC(=O)CCCCC(=O)O,CC(F)(Cl)CF,0.287441,0.000255,13.597198,-189.458984,-2.769615,0.007379,17.376221,447.712891,-3.032127,0.001983
COC(=O)CCCCC(=O)O,CCCCC1OC(C)CC(C)(C)O1,0.237060,0.000149,14.657104,-349.972656,-2.358223,0.003477,13.199829,-462.136719,-2.170525,0.002244
COC(=O)CCCCC(=O)O,CC(C)(C)OCC1CO1,0.241705,0.000173,16.311981,-475.953125,-2.753448,0.004310,15.595459,-624.173828,-2.424774,0.001327
COC(=O)CCCCC(=O)O,O=P(O)(O)OP(=O)(O)O,0.157305,-0.000037,18.356323,-1400.771484,-3.044197,0.004770,8.655579,-1317.796875,-1.348679,0.001377
COC(=O)CCCCC(=O)O,CC(=O)Nc1ccc(C)cc1,0.245694,0.000183,16.820923,-514.867188,-2.919510,0.004974,15.029724,-625.210938,-2.326782,0.001204
COC(=O)CCCCC(=O)O,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.258569,0.000214,17.903351,-34.566406,-3.130234,0.004678,15.982147,-460.855469,-2.552071,0.002051
COC(=O)CCCCC(=O)O,CC(C)(O)CCC1CCCCC1,0.242463,0.000162,14.262329,54.187500,-2.610588,0.004864,12.269806,-354.732422,-2.120438,0.003085
COC(=O)CCCCC(=O)O,COCC(F)(F)F,0.271210,0.000224,14.024475,-274.802734,-2.665100,0.006130,16.642578,152.429688,-2.783134,0.001444
COC(=O)CCCCC(=O)O,COCC(O)COC,0.226832,0.000152,18.766296,-710.160156,-3.142426,0.004418,16.169769,-962.501953,-2.434387,0.001065
COC(=O)CCCCC(=O)O,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.237432,0.000177,19.106598,-336.755859,-3.173569,0.004096,15.599701,-920.621094,-2.495506,0.002396
COC(=O)CCCCC(=O)O,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.218626,0.000134,19.461029,-884.822266,-3.206978,0.004034,17.828735,-954.800781,-2.619141,0.000728
COC(=O)CCCCC(=O)O,CC(C)C(F)F,0.290636,0.000248,11.799866,59.328125,-2.469978,0.006936,16.172150,914.863281,-3.049110,0.003114
