SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
Cc1cc2ccccc2oc1=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.248458,0.000210,19.560547,-520.929688,-3.366913,0.005040,17.165924,-782.156250,-2.636971,0.001136
Cc1cc2ccccc2oc1=O,CC(=O)Nc1ccc(C=O)cc1,0.256070,0.000211,17.877869,-47.144531,-3.145752,0.004865,15.296112,-536.833984,-2.519913,0.002591
Cc1cc2ccccc2oc1=O,Cc1cccc(CO)c1,0.244503,0.000191,17.669525,-337.953125,-3.126564,0.005226,15.957947,-570.730469,-2.498634,0.001434
Cc1cc2ccccc2oc1=O,COC(C)CO,0.252309,0.000205,17.307098,-251.128906,-3.116135,0.005475,17.184265,-566.748047,-2.695450,0.001718
Cc1cc2ccccc2oc1=O,Nc1nc(=O)c2ccccc2o1,0.245775,0.000184,18.605560,333.208984,-3.097061,0.003405,12.262817,-347.976562,-2.211517,0.003786
Cc1cc2ccccc2oc1=O,CC(Cl)Br,0.253916,0.000203,17.142822,-639.228516,-3.032768,0.005472,18.324432,-487.126953,-2.831146,0.000934
Cc1cc2ccccc2oc1=O,CCCOC(F)F,0.267495,0.000224,16.030182,-395.820312,-2.878555,0.005314,16.613403,-364.058594,-2.674721,0.001756
Cc1cc2ccccc2oc1=O,COC1CC2CCC1(C)C2(C)C,0.250123,0.000182,14.796875,-226.921875,-2.575859,0.004315,14.805695,-95.699219,-2.503647,0.002642
Cc1cc2ccccc2oc1=O,CCC(=O)C1=NCCC1,0.249074,0.000199,17.538849,-621.677734,-2.976562,0.004593,17.213440,-590.210938,-2.635750,0.000829
Cc1cc2ccccc2oc1=O,NC(CF)(CF)CF,0.250026,0.000196,16.491180,-250.089844,-3.113022,0.006080,17.063324,-405.904297,-2.609047,0.001518
Cc1cc2ccccc2oc1=O,CC(C)CCCC(C)CC=O,0.254107,0.000198,15.971161,-297.519531,-2.802971,0.004743,15.548492,-339.660156,-2.557465,0.002149
Cc1cc2ccccc2oc1=O,Cc1coc(C)n1,0.245351,0.000193,17.301300,-493.193359,-3.091438,0.005428,17.266663,-573.470703,-2.625565,0.000871
Cc1cc2ccccc2oc1=O,NC(=S)NC(N)=S,0.202303,0.000083,19.742096,-804.671875,-3.181259,0.004119,16.923706,-1036.548828,-2.575478,0.001879
Cc1cc2ccccc2oc1=O,FC(F)C(Cl)C(F)F,0.232507,0.000156,18.986969,-870.525391,-3.275833,0.004895,18.921814,-788.761719,-2.786873,0.000761
Cc1cc2ccccc2oc1=O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.235086,0.000150,14.622345,104.054688,-2.399147,0.003267,14.628204,-81.376953,-2.559090,0.002847
Cc1cc2ccccc2oc1=O,NNC(=O)c1ccccc1,0.261438,0.000219,17.115814,98.808594,-3.189194,0.005624,16.234711,-424.673828,-2.641022,0.002962
Cc1cc2ccccc2oc1=O,ClC=CBr,0.250897,0.000188,16.906128,-723.431641,-2.952972,0.005075,18.427002,-447.349609,-2.898186,0.001392
Cc1cc2ccccc2oc1=O,CN(C)N=O,0.252185,0.000205,17.656342,-386.646484,-3.223679,0.005457,17.509216,-581.361328,-2.571037,0.001259
Cc1cc2ccccc2oc1=O,c1ccc(C2CCCCC2)cc1,0.261116,0.000203,14.899353,-233.589844,-2.663780,0.004866,15.452271,-48.544922,-2.650795,0.002836
Cc1cc2ccccc2oc1=O,N#Cc1ccncc1,0.247849,0.000201,18.278229,-594.617188,-3.148933,0.004841,17.746857,-761.683594,-2.688370,0.000894
Cc1cc2ccccc2oc1=O,CN(C)C(=S)Nc1ccccc1,0.228675,0.000163,19.561859,-735.294922,-3.231827,0.004183,16.997711,-888.939453,-2.545479,0.000771
Cc1cc2ccccc2oc1=O,CCC(N)CC,0.239343,0.000172,15.235626,-184.988281,-2.901382,0.006173,16.934937,-283.529297,-2.679550,0.001898
Cc1cc2ccccc2oc1=O,COC(=O)CO,0.250369,0.000202,17.694000,-374.851562,-3.237190,0.005451,17.207397,-563.191406,-2.547432,0.001270
Cc1cc2ccccc2oc1=O,Cc1c(N)cccc1Cl,0.230134,0.000164,19.418213,-811.300781,-3.237991,0.004421,18.358856,-881.177734,-2.742920,0.000575
Cc1cc2ccccc2oc1=O,CC1CCC(C(C)(C)OO)CC1,0.231699,0.000164,17.750153,-539.529297,-2.962204,0.004241,15.506195,-708.500000,-2.358910,0.000924
Cc1cc2ccccc2oc1=O,CC(F)(Cl)CF,0.258785,0.000216,17.267761,-507.222656,-3.093163,0.005662,17.534119,-543.070312,-2.697594,0.001037
Cc1cc2ccccc2oc1=O,CCCCC1OC(C)CC(C)(C)O1,0.251375,0.000190,15.755432,-283.636719,-2.708412,0.004294,15.523010,-345.152344,-2.570442,0.002396
Cc1cc2ccccc2oc1=O,CC(C)(C)OCC1CO1,0.254079,0.000206,17.067322,-464.410156,-2.981003,0.004925,16.939301,-532.539062,-2.661232,0.001408
Cc1cc2ccccc2oc1=O,O=P(O)(O)OP(=O)(O)O,0.164851,-0.000017,18.760101,-836.412109,-3.183784,0.005005,6.593140,-1196.246094,-1.229355,0.002525
Cc1cc2ccccc2oc1=O,CC(=O)Nc1ccc(C)cc1,0.255031,0.000210,17.610413,-288.617188,-3.058426,0.004899,15.909332,-630.218750,-2.538483,0.001788
Cc1cc2ccccc2oc1=O,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.259216,0.000210,17.920807,-98.619141,-3.225151,0.005268,15.312622,-368.273438,-2.391876,0.001858
Cc1cc2ccccc2oc1=O,CC(C)(O)CCC1CCCCC1,0.249704,0.000192,15.282227,87.914062,-2.890930,0.005725,15.338440,-170.320312,-2.578522,0.002724
Cc1cc2ccccc2oc1=O,COCC(F)(F)F,0.262331,0.000217,16.321259,-362.447266,-2.917542,0.005004,16.374603,-415.988281,-2.590073,0.001591
Cc1cc2ccccc2oc1=O,COCC(O)COC,0.249925,0.000204,18.011749,-400.833984,-3.228630,0.005566,17.887054,-678.974609,-2.743370,0.001418
Cc1cc2ccccc2oc1=O,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.252951,0.000213,18.743927,82.025391,-3.217117,0.004105,16.443115,-604.640625,-2.773918,0.003249
Cc1cc2ccccc2oc1=O,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.201485,0.000104,20.585449,-829.642578,-3.268143,0.003363,15.837555,-1085.867188,-2.367416,0.001103
Cc1cc2ccccc2oc1=O,CC(C)C(F)F,0.268184,0.000221,15.249176,-353.322266,-2.807159,0.005593,16.507568,-167.423828,-2.708405,0.002024
Cc1cc2ccccc2oc1=O,CCCCC1C=C(C)CC(C)O1,0.249440,0.000184,15.275757,-247.113281,-2.620537,0.004165,15.087891,-220.906250,-2.534477,0.002515
