SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
Cc1cccc(C)c1N(C)C,O=P(Cl)(c1ccccc1)c1ccccc1,0.253598,0.000207,19.878052,-290.564453,-3.357719,0.004655,14.519958,-522.855469,-2.292900,0.001435
Cc1cccc(C)c1N(C)C,CC(=O)Nc1ccc(C=O)cc1,0.276034,0.000225,16.065521,1272.732422,-2.961334,0.003326,9.325531,511.667969,-2.056458,0.005761
Cc1cccc(C)c1N(C)C,Cc1cccc(CO)c1,0.274192,0.000235,16.762817,527.521484,-3.147766,0.004557,12.116821,-37.722656,-2.243561,0.004151
Cc1cccc(C)c1N(C)C,COC(C)CO,0.264275,0.000218,16.870514,200.595703,-3.177338,0.004877,14.873901,-345.302734,-2.459343,0.003317
Cc1cccc(C)c1N(C)C,Nc1nc(=O)c2ccccc2o1,0.244313,0.000167,15.263763,2521.207031,-2.665100,0.000390,6.932587,1549.738281,-1.943871,0.007746
Cc1cccc(C)c1N(C)C,CC(Cl)Br,0.262006,0.000228,17.913269,-481.765625,-3.242416,0.005802,16.966919,-580.652344,-2.562172,0.000922
Cc1cccc(C)c1N(C)C,CCCOC(F)F,0.269328,0.000238,17.253418,-379.091797,-3.132721,0.005867,16.133026,-541.919922,-2.514984,0.001318
Cc1cccc(C)c1N(C)C,COC1CC2CCC1(C)C2(C)C,0.260419,0.000221,17.423492,-397.648438,-3.085892,0.005336,16.174805,-641.888672,-2.544220,0.001495
Cc1cccc(C)c1N(C)C,CCC(=O)C1=NCCC1,0.259295,0.000218,17.816986,-360.771484,-3.194923,0.005337,16.539703,-671.205078,-2.562263,0.001760
Cc1cccc(C)c1N(C)C,NC(CF)(CF)CF,0.267732,0.000218,15.898346,238.492188,-3.157135,0.005792,14.231140,-76.574219,-2.263000,0.002817
Cc1cccc(C)c1N(C)C,CC(C)CCCC(C)CC=O,0.262141,0.000227,18.209534,-360.271484,-3.233505,0.005434,16.464783,-707.628906,-2.607826,0.001837
Cc1cccc(C)c1N(C)C,Cc1coc(C)n1,0.256305,0.000213,18.145508,-329.634766,-3.278961,0.005385,16.947906,-640.328125,-2.597298,0.001645
Cc1cccc(C)c1N(C)C,NC(=S)NC(N)=S,0.215968,0.000107,14.892120,1980.396484,-3.019196,0.003885,11.114532,1489.500000,-2.070953,0.004483
Cc1cccc(C)c1N(C)C,FC(F)C(Cl)C(F)F,0.259171,0.000217,17.740997,-339.199219,-3.263878,0.005668,16.211304,-381.843750,-2.392197,0.001025
Cc1cccc(C)c1N(C)C,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.261695,0.000207,14.554382,422.177734,-2.759155,0.004697,12.784454,95.996094,-2.224190,0.003374
Cc1cccc(C)c1N(C)C,NNC(=O)c1ccccc1,0.274506,0.000219,14.600006,1400.324219,-3.025536,0.004204,10.074005,691.583984,-2.062538,0.005928
Cc1cccc(C)c1N(C)C,ClC=CBr,0.263042,0.000228,17.508362,-487.757812,-3.173729,0.005686,17.142212,-615.355469,-2.621849,0.001066
Cc1cccc(C)c1N(C)C,CN(C)N=O,0.259761,0.000202,16.726746,68.332031,-3.165344,0.005302,14.733154,-201.996094,-2.205811,0.002065
Cc1cccc(C)c1N(C)C,c1ccc(C2CCCCC2)cc1,0.273648,0.000248,17.524292,-280.591797,-3.174400,0.005936,15.443054,-584.539062,-2.513794,0.001964
Cc1cccc(C)c1N(C)C,N#Cc1ccncc1,0.251579,0.000202,18.829926,-316.660156,-3.290894,0.004829,16.298157,-602.728516,-2.489906,0.001493
Cc1cccc(C)c1N(C)C,CN(C)C(=S)Nc1ccccc1,0.264509,0.000213,17.978241,353.708984,-3.168655,0.004156,11.813934,-94.957031,-2.057655,0.003255
Cc1cccc(C)c1N(C)C,CCC(N)CC,0.255343,0.000207,17.079254,-138.505859,-3.196289,0.005844,16.623657,-556.771484,-2.634186,0.002352
Cc1cccc(C)c1N(C)C,COC(=O)CO,0.263554,0.000213,16.706635,254.976562,-3.165413,0.004675,13.753204,-11.134766,-2.172981,0.002738
Cc1cccc(C)c1N(C)C,Cc1c(N)cccc1Cl,0.259730,0.000214,17.965240,-55.386719,-3.221535,0.004885,14.858704,-478.250000,-2.389801,0.002350
Cc1cccc(C)c1N(C)C,CC1CCC(C(C)(C)OO)CC1,0.263586,0.000224,17.516479,259.580078,-3.129951,0.004292,14.244598,-363.496094,-2.516808,0.003770
Cc1cccc(C)c1N(C)C,CC(F)(Cl)CF,0.265189,0.000230,17.712555,-367.025391,-3.237656,0.005777,15.991577,-449.414062,-2.434883,0.001111
Cc1cccc(C)c1N(C)C,CCCCC1OC(C)CC(C)(C)O1,0.260653,0.000222,17.828430,-371.685547,-3.142044,0.005240,16.428406,-707.736328,-2.611084,0.001821
Cc1cccc(C)c1N(C)C,CC(C)(C)OCC1CO1,0.260741,0.000225,18.280426,-408.097656,-3.265999,0.005529,16.965881,-705.373047,-2.627319,0.001590
Cc1cccc(C)c1N(C)C,O=P(O)(O)OP(=O)(O)O,0.206895,0.000095,13.188324,3641.576172,-2.253952,0.000085,6.526489,2464.839844,-1.907227,0.008689
Cc1cccc(C)c1N(C)C,CC(=O)Nc1ccc(C)cc1,0.281441,0.000243,16.632507,761.015625,-3.081528,0.004220,11.042877,109.181641,-2.193268,0.004814
Cc1cccc(C)c1N(C)C,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.245254,0.000166,17.714783,771.382812,-3.314522,0.004846,10.865143,597.791016,-1.878906,0.002283
Cc1cccc(C)c1N(C)C,CC(C)(O)CCC1CCCCC1,0.279806,0.000247,16.584137,616.791016,-3.131416,0.004852,12.237732,-90.175781,-2.371246,0.004796
Cc1cccc(C)c1N(C)C,COCC(F)(F)F,0.265452,0.000226,16.709991,-260.453125,-3.100937,0.005644,15.799988,-398.328125,-2.422440,0.001443
Cc1cccc(C)c1N(C)C,COCC(O)COC,0.259951,0.000213,17.532471,-156.986328,-3.221497,0.005181,15.772278,-520.589844,-2.440155,0.002102
Cc1cccc(C)c1N(C)C,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.260805,0.000201,15.953918,1803.228516,-2.898956,0.001524,8.826691,760.679688,-2.175835,0.007197
Cc1cccc(C)c1N(C)C,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.254402,0.000189,16.309784,1249.554688,-2.997917,0.002462,10.381592,495.242188,-2.050667,0.005613
Cc1cccc(C)c1N(C)C,CC(C)C(F)F,0.271882,0.000244,17.152435,-352.003906,-3.158081,0.006068,15.970917,-514.855469,-2.503777,0.001407
Cc1cccc(C)c1N(C)C,CCCCC1C=C(C)CC(C)O1,0.259661,0.000220,17.616455,-395.191406,-3.108307,0.005242,16.349518,-676.968750,-2.583031,0.001617
Cc1cccc(C)c1N(C)C,COc1ccc(C(C)=O)cc1,0.265393,0.000223,18.027527,-173.406250,-3.233162,0.005401,14.926361,-460.083984,-2.381477,0.001889
Cc1cccc(C)c1N(C)C,Oc1cc(O)ncn1,0.258797,0.000191,13.448425,2013.857422,-2.804932,0.002747,10.279541,1012.263672,-2.256973,0.007646
Cc1cccc(C)c1N(C)C,COCCCCl,0.263874,0.000223,17.014801,-392.994141,-3.092621,0.005600,16.537567,-611.498047,-2.550415,0.001502
Cc1cccc(C)c1N(C)C,CCCOC,0.256865,0.000212,17.359131,-464.189453,-3.088448,0.005241,16.862030,-674.878906,-2.599297,0.001303
Cc1cccc(C)c1N(C)C,Fc1c(F)c(F)c(F)c(F)c1F,0.270288,0.000234,16.090088,-214.732422,-2.944588,0.005698,14.458649,-396.724609,-2.330803,0.001686
Cc1cccc(C)c1N(C)C,CCP(CC)CC,0.256223,0.000215,17.860046,-451.539062,-3.134865,0.005212,16.543945,-685.433594,-2.569923,0.001337
Cc1cccc(C)c1N(C)C,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.263233,0.000229,18.166443,-273.378906,-3.213539,0.005293,16.356415,-739.044922,-2.651749,0.002311
Cc1cccc(C)c1N(C)C,Fc1cc(F)c(F)cc1F,0.264029,0.000231,17.880066,-378.501953,-3.231583,0.005743,16.045563,-554.828125,-2.494156,0.001339
Cc1cccc(C)c1N(C)C,CCCCc1ccc(C(=O)O)cc1,0.269324,0.000231,17.396484,441.962891,-3.112747,0.004113,12.985077,-210.937500,-2.414909,0.004145
Cc1cccc(C)c1N(C)C,C=Cc1c(C)cc(C)cc1C,0.273925,0.000250,17.671509,-306.824219,-3.207214,0.006043,15.737854,-593.673828,-2.540749,0.001849
Cc1cccc(C)c1N(C)C,C=C(C)C(=O)OC(C)(C)C,0.262680,0.000230,18.308228,-409.597656,-3.271980,0.005645,16.519836,-674.203125,-2.585365,0.001502
Cc1cccc(C)c1N(C)C,FC1CCCN1,0.260858,0.000218,17.592377,-214.324219,-3.215996,0.005281,15.963043,-454.410156,-2.459000,0.001619
Cc1cccc(C)c1N(C)C,CCCCCCCC(=O)NC,0.277909,0.000240,17.134827,695.482422,-3.065445,0.004157,11.903656,-62.562500,-2.327446,0.004795
Cc1cccc(C)c1N(C)C,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.271466,0.000227,14.810974,301.597656,-2.863937,0.005678,13.483124,-30.550781,-2.348778,0.003181
Cc1cccc(C)c1N(C)C,C1=CC2C=CC1C2,0.270390,0.000239,17.012329,-339.925781,-3.115753,0.005986,15.923981,-561.636719,-2.520454,0.001556
Cc1cccc(C)c1N(C)C,CCC(C)(O)CCC=C(C)C,0.276560,0.000244,16.716400,492.937500,-3.151482,0.004911,12.816589,-199.046875,-2.401917,0.004517
