SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
Cc1coc2ccccc2c1=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.250973,0.000212,19.184509,-482.703125,-3.304634,0.004996,17.161346,-785.222656,-2.660019,0.001373
Cc1coc2ccccc2c1=O,CC(=O)Nc1ccc(C=O)cc1,0.248825,0.000195,17.907623,-247.099609,-3.088547,0.004666,15.087891,-685.019531,-2.409782,0.002146
Cc1coc2ccccc2c1=O,Cc1cccc(CO)c1,0.240603,0.000180,17.940643,-489.806641,-3.075882,0.004718,15.304565,-702.257812,-2.346619,0.001163
Cc1coc2ccccc2c1=O,COC(C)CO,0.248946,0.000198,17.734711,-378.158203,-3.105324,0.005036,16.775513,-678.748047,-2.593849,0.001463
Cc1coc2ccccc2c1=O,Nc1nc(=O)c2ccccc2o1,0.231942,0.000156,19.102722,68.712891,-3.097557,0.003258,11.717560,-585.732422,-2.031586,0.003144
Cc1coc2ccccc2c1=O,CC(Cl)Br,0.255746,0.000207,17.000427,-589.289062,-3.017250,0.005479,18.281708,-503.775391,-2.843529,0.001087
Cc1coc2ccccc2c1=O,CCCOC(F)F,0.268355,0.000226,15.932373,-371.482422,-2.863411,0.005344,16.771606,-385.300781,-2.703346,0.001821
Cc1coc2ccccc2c1=O,COC1CC2CCC1(C)C2(C)C,0.252872,0.000187,14.983948,-243.529297,-2.554970,0.004032,14.901367,-183.701172,-2.507065,0.002633
Cc1coc2ccccc2c1=O,CCC(=O)C1=NCCC1,0.250408,0.000200,17.296143,-617.185547,-2.930458,0.004543,17.346741,-590.708984,-2.664352,0.000894
Cc1coc2ccccc2c1=O,NC(CF)(CF)CF,0.250579,0.000198,16.947235,-312.875000,-3.100266,0.005553,17.064026,-520.652344,-2.586456,0.001378
Cc1coc2ccccc2c1=O,CC(C)CCCC(C)CC=O,0.257306,0.000203,15.967865,-298.568359,-2.764091,0.004553,15.601135,-400.042969,-2.562782,0.002212
Cc1coc2ccccc2c1=O,Cc1coc(C)n1,0.248593,0.000199,17.417053,-510.144531,-3.053276,0.005091,17.177612,-645.976562,-2.599991,0.000889
Cc1coc2ccccc2c1=O,NC(=S)NC(N)=S,0.189768,0.000050,19.863251,-967.125000,-3.158134,0.003886,15.025970,-1167.363281,-2.279488,0.001976
Cc1coc2ccccc2c1=O,FC(F)C(Cl)C(F)F,0.232444,0.000154,19.008514,-850.136719,-3.282059,0.004895,19.113831,-794.136719,-2.822533,0.000940
Cc1coc2ccccc2c1=O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.232203,0.000143,14.831024,70.572266,-2.377487,0.003017,14.894165,-154.964844,-2.583374,0.002808
Cc1coc2ccccc2c1=O,NNC(=O)c1ccccc1,0.257486,0.000212,17.381134,-3.466797,-3.139603,0.005200,16.340759,-520.419922,-2.619278,0.002641
Cc1coc2ccccc2c1=O,ClC=CBr,0.251930,0.000189,16.758728,-705.062500,-2.930481,0.005129,18.510376,-432.044922,-2.922318,0.001459
Cc1coc2ccccc2c1=O,CN(C)N=O,0.255153,0.000207,17.178467,-331.515625,-3.146584,0.005384,17.284210,-566.251953,-2.557442,0.001528
Cc1coc2ccccc2c1=O,c1ccc(C2CCCCC2)cc1,0.264941,0.000209,15.093384,-224.064453,-2.648361,0.004726,15.437073,-156.935547,-2.652855,0.002923
Cc1coc2ccccc2c1=O,N#Cc1ccncc1,0.246577,0.000198,18.263733,-623.861328,-3.123055,0.004778,17.853943,-768.888672,-2.691254,0.000785
