SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
c1ccc(C2CCCN2)cc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.251061,0.000208,19.624908,-366.785156,-3.342529,0.004757,16.119659,-721.298828,-2.526947,0.001578
c1ccc(C2CCCN2)cc1,CC(=O)Nc1ccc(C=O)cc1,0.227994,0.000147,18.457794,-392.035156,-3.102753,0.004135,12.289886,-772.515625,-1.934311,0.001698
c1ccc(C2CCCN2)cc1,Cc1cccc(CO)c1,0.220619,0.000142,18.826630,-771.781250,-3.147194,0.004289,14.331055,-856.291016,-2.105904,0.000446
c1ccc(C2CCCN2)cc1,COC(C)CO,0.239084,0.000181,18.665405,-524.556641,-3.213455,0.004613,16.283875,-769.867188,-2.441269,0.001116
c1ccc(C2CCCN2)cc1,Nc1nc(=O)c2ccccc2o1,0.209719,0.000103,19.760986,-18.722656,-3.020241,0.002745,7.750275,-764.333984,-1.351761,0.002890
c1ccc(C2CCCN2)cc1,CC(Cl)Br,0.254861,0.000210,17.440918,-521.482422,-3.093605,0.005341,17.718445,-621.095703,-2.690575,0.000893
c1ccc(C2CCCN2)cc1,CCCOC(F)F,0.264734,0.000225,16.641205,-335.671875,-2.998955,0.005446,16.396942,-561.738281,-2.568657,0.001488
c1ccc(C2CCCN2)cc1,COC1CC2CCC1(C)C2(C)C,0.258493,0.000211,16.540619,-336.183594,-2.874344,0.004700,16.107971,-506.544922,-2.596260,0.001824
c1ccc(C2CCCN2)cc1,CCC(=O)C1=NCCC1,0.252773,0.000207,17.934906,-476.718750,-3.108551,0.004917,16.854034,-706.736328,-2.599953,0.001271
c1ccc(C2CCCN2)cc1,NC(CF)(CF)CF,0.251117,0.000201,17.861237,-294.398438,-3.158539,0.004832,16.380615,-600.507812,-2.500603,0.001765
c1ccc(C2CCCN2)cc1,CC(C)CCCC(C)CC=O,0.258185,0.000216,17.370178,-367.062500,-3.055664,0.005095,16.446045,-663.994141,-2.599808,0.001637
c1ccc(C2CCCN2)cc1,Cc1coc(C)n1,0.249863,0.000206,18.531647,-527.417969,-3.213051,0.004970,17.518158,-744.843750,-2.656021,0.001051
c1ccc(C2CCCN2)cc1,NC(=S)NC(N)=S,0.212117,0.000089,18.439575,-171.554688,-2.870056,0.003318,9.328003,-771.595703,-1.514854,0.002967
c1ccc(C2CCCN2)cc1,FC(F)C(Cl)C(F)F,0.239204,0.000172,18.313324,-675.623047,-3.115753,0.004586,17.518463,-760.533203,-2.602448,0.000920
c1ccc(C2CCCN2)cc1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.235440,0.000152,15.410217,17.867188,-2.565269,0.003660,13.614685,-332.085938,-2.269180,0.002340
c1ccc(C2CCCN2)cc1,NNC(=O)c1ccccc1,0.250095,0.000195,19.033020,85.373047,-3.140045,0.003486,13.906799,-569.880859,-2.311333,0.002958
c1ccc(C2CCCN2)cc1,ClC=CBr,0.252737,0.000201,17.210754,-605.218750,-3.055473,0.005399,18.198822,-632.644531,-2.767494,0.000892
c1ccc(C2CCCN2)cc1,CN(C)N=O,0.252697,0.000201,17.571960,-230.171875,-3.240692,0.005530,16.570557,-454.740234,-2.436852,0.001626
c1ccc(C2CCCN2)cc1,c1ccc(C2CCCCC2)cc1,0.267101,0.000226,16.246002,-248.837891,-2.899918,0.005182,15.692719,-501.160156,-2.563934,0.002113
c1ccc(C2CCCN2)cc1,N#Cc1ccncc1,0.243922,0.000193,18.737793,-547.431641,-3.165527,0.004501,17.231384,-784.058594,-2.605156,0.001133
c1ccc(C2CCCN2)cc1,CN(C)C(=S)Nc1ccccc1,0.212203,0.000121,18.715118,-688.191406,-3.037498,0.003592,13.912689,-886.132812,-2.018936,0.000825
c1ccc(C2CCCN2)cc1,CCC(N)CC,0.245131,0.000193,17.800201,-385.207031,-3.129547,0.005084,17.334778,-676.056641,-2.694656,0.001573
c1ccc(C2CCCN2)cc1,COC(=O)CO,0.226037,0.000146,17.711975,-629.623047,-3.132072,0.004705,14.277130,-711.734375,-2.017830,0.000695
c1ccc(C2CCCN2)cc1,Cc1c(N)cccc1Cl,0.219985,0.000144,20.175598,-886.148438,-3.265068,0.003880,17.194824,-984.439453,-2.534393,0.000615
c1ccc(C2CCCN2)cc1,CC1CCC(C(C)(C)OO)CC1,0.193488,0.000085,18.820465,-1055.943359,-3.026222,0.003605,13.190430,-1011.689453,-1.862350,-0.000148
