SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C=CC(C)CCCC(C)(C)O,O=P(Cl)(c1ccccc1)c1ccccc1,0.251283,0.000202,18.767639,-313.650391,-3.225555,0.004858,14.994659,-464.558594,-2.370224,0.001356
C=CC(C)CCCC(C)(C)O,CC(=O)Nc1ccc(C=O)cc1,0.253877,0.000195,17.394379,-19.886719,-3.092812,0.004773,13.474213,-396.431641,-2.163788,0.002292
C=CC(C)CCCC(C)(C)O,Cc1cccc(CO)c1,0.247365,0.000195,18.026031,-465.306641,-3.187225,0.005107,15.980530,-671.746094,-2.401596,0.001083
C=CC(C)CCCC(C)(C)O,COC(C)CO,0.241391,0.000182,18.094086,-491.117188,-3.191292,0.004961,16.671844,-749.912109,-2.461906,0.001162
C=CC(C)CCCC(C)(C)O,Nc1nc(=O)c2ccccc2o1,0.241423,0.000164,17.761353,92.951172,-2.988968,0.003708,11.405731,-352.199219,-1.860550,0.002649
C=CC(C)CCCC(C)(C)O,CC(Cl)Br,0.274397,0.000237,14.645782,-254.775391,-2.927216,0.007385,16.746277,247.396484,-2.730461,0.000910
C=CC(C)CCCC(C)(C)O,CCCOC(F)F,0.282046,0.000250,14.455750,-145.527344,-2.890251,0.007163,16.330780,231.656250,-2.758232,0.001678
C=CC(C)CCCC(C)(C)O,COC1CC2CCC1(C)C2(C)C,0.265043,0.000217,15.458466,-389.068359,-2.774521,0.005594,16.966400,-95.462891,-2.801064,0.001579
C=CC(C)CCCC(C)(C)O,CCC(=O)C1=NCCC1,0.246789,0.000188,17.142273,-522.578125,-2.945747,0.004705,16.098145,-575.861328,-2.449425,0.000975
C=CC(C)CCCC(C)(C)O,NC(CF)(CF)CF,0.238606,0.000170,16.805206,-411.246094,-2.993637,0.004740,15.717499,-553.255859,-2.258949,0.001038
C=CC(C)CCCC(C)(C)O,CC(C)CCCC(C)CC=O,0.260949,0.000217,16.694214,-428.234375,-2.958557,0.005394,16.742706,-446.462891,-2.659317,0.001379
C=CC(C)CCCC(C)(C)O,Cc1coc(C)n1,0.227894,0.000155,18.880188,-784.257812,-3.163536,0.004394,16.165100,-833.535156,-2.336845,0.000434
C=CC(C)CCCC(C)(C)O,NC(=S)NC(N)=S,0.235781,0.000135,15.043976,151.986328,-2.698135,0.005246,11.940002,19.357422,-1.698174,0.001691
C=CC(C)CCCC(C)(C)O,FC(F)C(Cl)C(F)F,0.258590,0.000206,16.258118,-483.375000,-3.031525,0.006513,17.448822,-76.431641,-2.730659,0.000667
C=CC(C)CCCC(C)(C)O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.262817,0.000205,13.704132,157.638672,-2.588478,0.005727,13.843140,386.496094,-2.445724,0.002148
C=CC(C)CCCC(C)(C)O,NNC(=O)c1ccccc1,0.249784,0.000191,17.376526,-105.359375,-3.171043,0.005206,15.773712,-473.683594,-2.382210,0.001996
C=CC(C)CCCC(C)(C)O,ClC=CBr,0.272892,0.000233,14.648621,-400.863281,-2.893379,0.007306,17.628326,179.123047,-2.852448,0.000763
C=CC(C)CCCC(C)(C)O,CN(C)N=O,0.246938,0.000185,17.076599,-220.488281,-3.082352,0.004898,15.643188,-412.224609,-2.269196,0.001350
C=CC(C)CCCC(C)(C)O,c1ccc(C2CCCCC2)cc1,0.286661,0.000255,14.092499,-38.544922,-2.829781,0.007073,15.777863,342.115234,-2.810616,0.002493
C=CC(C)CCCC(C)(C)O,N#Cc1ccncc1,0.235960,0.000169,17.980011,-638.550781,-3.022827,0.004409,16.373718,-710.689453,-2.426323,0.000699
C=CC(C)CCCC(C)(C)O,CN(C)C(=S)Nc1ccccc1,0.242559,0.000173,17.145172,-66.849609,-2.864288,0.003720,12.821930,-220.037109,-2.038155,0.001518
C=CC(C)CCCC(C)(C)O,CCC(N)CC,0.209440,0.000114,18.516479,-936.310547,-3.035011,0.003935,15.078491,-970.433594,-2.178436,0.000287
C=CC(C)CCCC(C)(C)O,COC(=O)CO,0.245426,0.000182,16.715088,-273.546875,-3.112534,0.005264,15.811340,-367.296875,-2.212563,0.001119
C=CC(C)CCCC(C)(C)O,Cc1c(N)cccc1Cl,0.242368,0.000183,17.797913,-581.332031,-3.042374,0.004656,16.850922,-595.824219,-2.552544,0.000777
C=CC(C)CCCC(C)(C)O,CC1CCC(C(C)(C)OO)CC1,0.235135,0.000170,18.018188,-626.660156,-3.053009,0.004375,15.910492,-747.035156,-2.370178,0.000717
C=CC(C)CCCC(C)(C)O,CC(F)(Cl)CF,0.276767,0.000242,14.903717,-114.308594,-2.991997,0.007251,16.106110,221.888672,-2.659340,0.001420
C=CC(C)CCCC(C)(C)O,CCCCC1OC(C)CC(C)(C)O1,0.257972,0.000209,16.384949,-396.044922,-2.835594,0.004861,16.629028,-433.818359,-2.667923,0.001572
C=CC(C)CCCC(C)(C)O,CC(C)(C)OCC1CO1,0.256304,0.000211,17.149292,-451.671875,-3.008125,0.005096,17.344330,-514.912109,-2.681175,0.001169
C=CC(C)CCCC(C)(C)O,O=P(O)(O)OP(=O)(O)O,0.156389,-0.000044,17.782135,-956.404297,-3.086128,0.006266,3.449158,-1085.398438,-0.684471,0.001678
C=CC(C)CCCC(C)(C)O,CC(=O)Nc1ccc(C)cc1,0.252694,0.000201,17.515015,-341.171875,-3.078995,0.004937,15.067474,-612.603516,-2.334282,0.001546
C=CC(C)CCCC(C)(C)O,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.251417,0.000181,15.909241,964.779297,-3.011375,0.004356,10.809662,799.656250,-1.915802,0.002818
C=CC(C)CCCC(C)(C)O,CC(C)(O)CCC1CCCCC1,0.254722,0.000211,17.801971,-385.285156,-3.145020,0.005240,16.487610,-666.443359,-2.571899,0.001482
C=CC(C)CCCC(C)(C)O,COCC(F)(F)F,0.273494,0.000235,14.638458,-76.511719,-2.915535,0.006896,15.501587,256.093750,-2.553802,0.001310
C=CC(C)CCCC(C)(C)O,COCC(O)COC,0.241287,0.000183,18.233551,-492.380859,-3.181236,0.004693,16.733307,-744.025391,-2.464874,0.001102
C=CC(C)CCCC(C)(C)O,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.243051,0.000183,19.085449,-56.875000,-3.176781,0.003941,14.456970,-591.007812,-2.354469,0.002391
C=CC(C)CCCC(C)(C)O,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.207950,0.000102,18.298309,-622.800781,-2.986275,0.003573,13.124146,-821.431641,-1.881462,0.001077
C=CC(C)CCCC(C)(C)O,CC(C)C(F)F,0.283853,0.000251,14.119995,-98.580078,-2.878799,0.007291,16.219330,306.673828,-2.784058,0.001916
C=CC(C)CCCC(C)(C)O,CCCCC1C=C(C)CC(C)O1,0.259950,0.000209,15.872223,-427.781250,-2.771957,0.005051,16.579407,-253.611328,-2.708809,0.001562
C=CC(C)CCCC(C)(C)O,COc1ccc(C(C)=O)cc1,0.252235,0.000198,17.615967,-312.009766,-3.043571,0.004715,15.122803,-551.802734,-2.330490,0.001363
C=CC(C)CCCC(C)(C)O,Oc1cc(O)ncn1,0.216948,0.000119,17.432404,-443.417969,-3.052895,0.004425,14.523926,-762.972656,-2.063866,0.001535
C=CC(C)CCCC(C)(C)O,COCCCCl,0.263880,0.000214,15.300140,-337.738281,-2.853767,0.005974,16.172974,-191.046875,-2.563629,0.001233
C=CC(C)CCCC(C)(C)O,CCCOC,0.253718,0.000199,16.268555,-533.037109,-2.901741,0.005388,16.871857,-418.835938,-2.614395,0.000902
C=CC(C)CCCC(C)(C)O,Fc1c(F)c(F)c(F)c(F)c1F,0.282801,0.000242,13.265259,29.722656,-2.677277,0.006783,14.748138,429.419922,-2.631721,0.002363
C=CC(C)CCCC(C)(C)O,CCP(CC)CC,0.258566,0.000205,15.689392,-476.496094,-2.806587,0.005633,16.877045,-98.658203,-2.746651,0.001196
C=CC(C)CCCC(C)(C)O,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.252522,0.000197,16.671173,-384.615234,-2.846939,0.004614,15.997833,-558.109375,-2.569214,0.001806
C=CC(C)CCCC(C)(C)O,Fc1cc(F)c(F)cc1F,0.275626,0.000237,14.633484,-264.937500,-2.882362,0.007188,16.696106,144.773438,-2.763351,0.001288
C=CC(C)CCCC(C)(C)O,CCCCc1ccc(C(=O)O)cc1,0.227748,0.000149,17.945801,-788.990234,-3.043259,0.004566,15.016174,-744.791016,-2.196274,0.000431
C=CC(C)CCCC(C)(C)O,C=Cc1c(C)cc(C)cc1C,0.286650,0.000256,14.086334,-7.136719,-2.870125,0.007263,15.661835,330.746094,-2.769096,0.002389
