SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C=CCOC(=O)CCCCCCCC,O=P(Cl)(c1ccccc1)c1ccccc1,0.246938,0.000198,19.984070,-410.812500,-3.398582,0.004662,15.658600,-535.718750,-2.373817,0.000867
C=CCOC(=O)CCCCCCCC,CC(=O)Nc1ccc(C=O)cc1,0.262224,0.000210,17.660217,429.789062,-3.138313,0.004023,12.540955,12.660156,-2.145607,0.003164
C=CCOC(=O)CCCCCCCC,Cc1cccc(CO)c1,0.251935,0.000208,18.578094,-236.980469,-3.281197,0.004708,16.175598,-518.757812,-2.497963,0.001580
C=CCOC(=O)CCCCCCCC,COC(C)CO,0.258721,0.000211,17.048462,-41.216797,-3.229919,0.005382,16.545410,-328.726562,-2.534576,0.002177
C=CCOC(=O)CCCCCCCC,Nc1nc(=O)c2ccccc2o1,0.239636,0.000157,17.762146,1088.544922,-2.972252,0.002165,8.548431,514.697266,-1.691551,0.004468
C=CCOC(=O)CCCCCCCC,CC(Cl)Br,0.250792,0.000206,18.078156,-641.599609,-3.220436,0.005484,18.377075,-608.785156,-2.732521,0.000517
C=CCOC(=O)CCCCCCCC,CCCOC(F)F,0.259647,0.000223,17.785583,-515.332031,-3.199875,0.005656,17.486115,-599.220703,-2.620056,0.000734
C=CCOC(=O)CCCCCCCC,COC1CC2CCC1(C)C2(C)C,0.256960,0.000215,17.575043,-433.996094,-3.102394,0.005204,16.769226,-629.367188,-2.604477,0.001306
C=CCOC(=O)CCCCCCCC,CCC(=O)C1=NCCC1,0.252423,0.000207,18.020569,-477.841797,-3.213295,0.005221,17.192871,-630.742188,-2.563118,0.001113
C=CCOC(=O)CCCCCCCC,NC(CF)(CF)CF,0.251459,0.000196,16.875641,-157.753906,-3.241562,0.005950,16.433655,-205.021484,-2.330315,0.001285
C=CCOC(=O)CCCCCCCC,CC(C)CCCC(C)CC=O,0.260291,0.000224,18.160980,-398.082031,-3.230957,0.005469,16.876678,-682.587891,-2.623764,0.001495
C=CCOC(=O)CCCCCCCC,Cc1coc(C)n1,0.251195,0.000206,18.411682,-454.525391,-3.330078,0.005458,17.697266,-586.103516,-2.614296,0.000988
C=CCOC(=O)CCCCCCCC,NC(=S)NC(N)=S,0.221246,0.000118,17.208466,194.724609,-3.183136,0.005562,15.541962,62.525391,-2.104027,0.001397
C=CCOC(=O)CCCCCCCC,FC(F)C(Cl)C(F)F,0.230713,0.000162,19.550171,-820.304688,-3.440239,0.004947,18.853668,-714.314453,-2.603607,0.000326
C=CCOC(=O)CCCCCCCC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.242041,0.000173,15.385437,-71.492188,-2.687317,0.004215,14.630280,-205.388672,-2.354446,0.001694
C=CCOC(=O)CCCCCCCC,NNC(=O)c1ccccc1,0.263240,0.000206,16.588562,586.544922,-3.202217,0.004990,12.774963,229.851562,-2.128151,0.003313
C=CCOC(=O)CCCCCCCC,ClC=CBr,0.248956,0.000195,17.904022,-774.199219,-3.164352,0.005362,18.990570,-625.984375,-2.882515,0.000676
C=CCOC(=O)CCCCCCCC,CN(C)N=O,0.244324,0.000175,16.990784,32.042969,-3.299629,0.005832,15.682709,62.734375,-2.201134,0.000880
C=CCOC(=O)CCCCCCCC,c1ccc(C2CCCCC2)cc1,0.262103,0.000226,17.670410,-433.740234,-3.147194,0.005490,16.791534,-616.373047,-2.632263,0.001387
C=CCOC(=O)CCCCCCCC,N#Cc1ccncc1,0.244790,0.000192,18.980896,-438.320312,-3.327057,0.004809,17.104492,-607.003906,-2.539337,0.001086
C=CCOC(=O)CCCCCCCC,CN(C)C(=S)Nc1ccccc1,0.238169,0.000173,19.219788,-184.468750,-3.225739,0.003779,14.722778,-433.535156,-2.220810,0.001409
C=CCOC(=O)CCCCCCCC,CCC(N)CC,0.254296,0.000205,16.843506,-216.318359,-3.192184,0.006139,17.530640,-484.314453,-2.715691,0.001928
C=CCOC(=O)CCCCCCCC,COC(=O)CO,0.252613,0.000196,16.749176,-9.464844,-3.232613,0.005314,15.589478,-42.472656,-2.190140,0.001435
C=CCOC(=O)CCCCCCCC,Cc1c(N)cccc1Cl,0.230432,0.000166,19.733521,-703.390625,-3.308289,0.004340,17.897644,-832.636719,-2.649651,0.000784
C=CCOC(=O)CCCCCCCC,CC1CCC(C(C)(C)OO)CC1,0.234600,0.000180,19.413116,-582.689453,-3.240959,0.004168,16.849091,-787.404297,-2.536240,0.000821
C=CCOC(=O)CCCCCCCC,CC(F)(Cl)CF,0.254155,0.000212,18.152557,-515.626953,-3.283104,0.005558,17.477753,-553.000000,-2.568779,0.000701
C=CCOC(=O)CCCCCCCC,CCCCC1OC(C)CC(C)(C)O1,0.257851,0.000218,18.030090,-409.212891,-3.175133,0.005221,17.005310,-709.476562,-2.652100,0.001540
C=CCOC(=O)CCCCCCCC,CC(C)(C)OCC1CO1,0.258710,0.000222,18.250092,-463.496094,-3.283257,0.005566,17.424774,-638.187500,-2.628670,0.001181
C=CCOC(=O)CCCCCCCC,O=P(O)(O)OP(=O)(O)O,0.196125,0.000036,16.338348,-74.197266,-2.880356,0.005129,5.724854,-334.003906,-0.848946,0.003212
C=CCOC(=O)CCCCCCCC,CC(=O)Nc1ccc(C)cc1,0.261824,0.000218,18.250916,56.746094,-3.212875,0.004455,14.500519,-330.023438,-2.388130,0.002423
C=CCOC(=O)CCCCCCCC,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.233877,0.000147,17.751099,629.687500,-3.327934,0.005020,12.328735,646.244141,-1.931786,0.001380
C=CCOC(=O)CCCCCCCC,CC(C)(O)CCC1CCCCC1,0.261741,0.000224,18.001282,-10.101562,-3.241463,0.005107,15.830444,-475.792969,-2.611122,0.002615
C=CCOC(=O)CCCCCCCC,COCC(F)(F)F,0.258248,0.000218,17.324554,-411.478516,-3.207802,0.005626,17.207489,-443.558594,-2.531601,0.000950
C=CCOC(=O)CCCCCCCC,COCC(O)COC,0.258006,0.000210,17.242767,-243.867188,-3.248039,0.005789,16.830902,-388.984375,-2.469139,0.001398
C=CCOC(=O)CCCCCCCC,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.255459,0.000199,18.676819,644.900391,-3.145882,0.002944,11.330414,21.886719,-2.091751,0.003948
C=CCOC(=O)CCCCCCCC,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.216118,0.000124,19.534607,-364.824219,-3.208473,0.003259,14.423767,-621.539062,-2.100075,0.001564
C=CCOC(=O)CCCCCCCC,CC(C)C(F)F,0.263878,0.000228,17.071655,-448.203125,-3.142052,0.005852,17.101654,-521.460938,-2.597839,0.000986
C=CCOC(=O)CCCCCCCC,CCCCC1C=C(C)CC(C)O1,0.256068,0.000215,17.779663,-435.541016,-3.128311,0.005172,16.870087,-671.927734,-2.616013,0.001294
C=CCOC(=O)CCCCCCCC,COc1ccc(C(C)=O)cc1,0.258503,0.000211,18.253601,-247.726562,-3.279404,0.005387,15.620941,-409.626953,-2.395828,0.001395
C=CCOC(=O)CCCCCCCC,Oc1cc(O)ncn1,0.234252,0.000151,17.356354,209.833984,-3.114578,0.004122,13.638885,-230.816406,-2.073402,0.002848
C=CCOC(=O)CCCCCCCC,COCCCCl,0.261476,0.000221,17.208679,-418.593750,-3.161949,0.005720,17.105621,-563.689453,-2.581856,0.001195
C=CCOC(=O)CCCCCCCC,CCCOC,0.258032,0.000216,17.254425,-462.345703,-3.126892,0.005410,17.395203,-624.917969,-2.675140,0.001247
C=CCOC(=O)CCCCCCCC,Fc1c(F)c(F)c(F)c(F)c1F,0.261655,0.000217,16.158417,-318.845703,-2.954987,0.005268,15.679840,-381.916016,-2.491425,0.001564
C=CCOC(=O)CCCCCCCC,CCP(CC)CC,0.256085,0.000216,17.937958,-476.085938,-3.175705,0.005344,17.110168,-668.054688,-2.618172,0.001073
