SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(=O)NC(CS)C(=O)O,O=P(Cl)(c1ccccc1)c1ccccc1,0.249015,0.000192,16.442413,-339.865234,-2.816856,0.004557,15.705566,-546.216797,-2.511055,0.001639
CC(=O)NC(CS)C(=O)O,CC(=O)Nc1ccc(C=O)cc1,0.248503,0.000191,17.052917,-354.847656,-3.002319,0.005116,15.236053,-660.929688,-2.381805,0.001627
CC(=O)NC(CS)C(=O)O,Cc1cccc(CO)c1,0.249588,0.000188,15.521240,-219.845703,-2.834007,0.005471,15.385345,-466.916016,-2.429642,0.001815
CC(=O)NC(CS)C(=O)O,COC(C)CO,0.237551,0.000169,16.901001,-379.044922,-2.950699,0.004798,16.360931,-698.521484,-2.523254,0.001607
CC(=O)NC(CS)C(=O)O,Nc1nc(=O)c2ccccc2o1,0.237830,0.000171,17.808899,-403.166016,-3.023758,0.004393,15.146332,-787.505859,-2.353317,0.001736
CC(=O)NC(CS)C(=O)O,CC(Cl)Br,0.276439,0.000224,12.979553,-289.291016,-2.488708,0.006149,17.211029,398.011719,-2.943916,0.002073
CC(=O)NC(CS)C(=O)O,CCCOC(F)F,0.281310,0.000227,11.830750,66.423828,-2.284294,0.005470,15.523834,698.195312,-2.884521,0.003278
CC(=O)NC(CS)C(=O)O,COC1CC2CCC1(C)C2(C)C,0.248213,0.000161,11.062531,290.339844,-1.904968,0.003168,14.192535,745.859375,-2.642647,0.003822
CC(=O)NC(CS)C(=O)O,CCC(=O)C1=NCCC1,0.240503,0.000161,14.696350,-512.673828,-2.448181,0.003643,15.827271,-343.173828,-2.435181,0.001557
CC(=O)NC(CS)C(=O)O,NC(CF)(CF)CF,0.236824,0.000165,16.222504,-507.894531,-2.792976,0.004584,15.757477,-628.447266,-2.360062,0.000877
CC(=O)NC(CS)C(=O)O,CC(C)CCCC(C)CC=O,0.258022,0.000184,13.366119,-41.451172,-2.275734,0.003926,14.087280,24.871094,-2.477631,0.003304
CC(=O)NC(CS)C(=O)O,Cc1coc(C)n1,0.219145,0.000126,16.402802,-672.568359,-2.698151,0.003783,14.553711,-765.585938,-2.140274,0.000676
CC(=O)NC(CS)C(=O)O,NC(=S)NC(N)=S,0.196098,0.000075,19.826782,-1189.623047,-3.092003,0.003840,17.586243,-1155.771484,-2.617714,0.000714
CC(=O)NC(CS)C(=O)O,FC(F)C(Cl)C(F)F,0.262829,0.000197,14.320251,-499.009766,-2.622116,0.005589,18.024353,71.390625,-2.978378,0.001784
CC(=O)NC(CS)C(=O)O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.232819,0.000132,8.962921,934.449219,-1.633087,0.002470,14.850220,1737.408203,-2.976242,0.004593
CC(=O)NC(CS)C(=O)O,NNC(=O)c1ccccc1,0.238242,0.000178,18.286102,-492.111328,-3.153763,0.004848,16.643494,-816.330078,-2.547180,0.001367
CC(=O)NC(CS)C(=O)O,ClC=CBr,0.273531,0.000212,12.026276,-243.292969,-2.307800,0.005549,17.498383,601.298828,-3.019249,0.002615
CC(=O)NC(CS)C(=O)O,CN(C)N=O,0.234136,0.000164,18.049744,-707.537109,-3.096954,0.004833,17.595276,-754.095703,-2.641083,0.000819
CC(=O)NC(CS)C(=O)O,c1ccc(C2CCCCC2)cc1,0.264010,0.000190,10.438568,511.960938,-1.960663,0.004221,14.580841,1256.335938,-2.990280,0.004486
CC(=O)NC(CS)C(=O)O,N#Cc1ccncc1,0.221498,0.000136,17.929352,-925.488281,-2.926468,0.004068,16.665070,-919.695312,-2.449188,0.000372
CC(=O)NC(CS)C(=O)O,CN(C)C(=S)Nc1ccccc1,0.239654,0.000172,17.038879,-665.732422,-2.875778,0.004542,17.387817,-650.537109,-2.670876,0.000889
CC(=O)NC(CS)C(=O)O,CCC(N)CC,0.204003,0.000081,13.884247,-543.748047,-2.409897,0.004182,11.249084,-594.072266,-1.735252,0.001371
CC(=O)NC(CS)C(=O)O,COC(=O)CO,0.244876,0.000191,17.939850,-472.855469,-3.139999,0.005052,16.806030,-709.605469,-2.551849,0.001095
