SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(=O)Nc1cccc(C)c1,O=P(Cl)(c1ccccc1)c1ccccc1,0.254905,0.000209,17.564484,-446.861328,-3.079292,0.005251,16.940430,-504.105469,-2.690842,0.001439
CC(=O)Nc1cccc(C)c1,CC(=O)Nc1ccc(C=O)cc1,0.249581,0.000193,17.379364,-337.212891,-2.989868,0.004646,15.110291,-682.150391,-2.383858,0.001820
CC(=O)Nc1cccc(C)c1,Cc1cccc(CO)c1,0.247365,0.000192,17.389862,-465.736328,-3.006348,0.004824,15.638672,-670.259766,-2.413040,0.001192
CC(=O)Nc1cccc(C)c1,COC(C)CO,0.241000,0.000179,17.630707,-502.359375,-3.036354,0.004685,16.367462,-748.466797,-2.481224,0.001194
CC(=O)Nc1cccc(C)c1,Nc1nc(=O)c2ccccc2o1,0.240250,0.000168,17.550018,-88.201172,-2.939064,0.003856,12.673615,-567.742188,-2.132072,0.002860
CC(=O)Nc1cccc(C)c1,CC(Cl)Br,0.280992,0.000243,13.567841,-228.375000,-2.743683,0.007477,17.506500,528.150391,-2.981560,0.001435
CC(=O)Nc1cccc(C)c1,CCCOC(F)F,0.288038,0.000250,12.733398,1.521484,-2.599350,0.006980,16.523773,700.392578,-2.988464,0.002534
CC(=O)Nc1cccc(C)c1,COC1CC2CCC1(C)C2(C)C,0.270107,0.000210,12.671021,-25.744141,-2.353378,0.005065,16.389374,639.947266,-2.948723,0.003025
CC(=O)Nc1cccc(C)c1,CCC(=O)C1=NCCC1,0.252604,0.000193,15.465179,-594.455078,-2.713387,0.004961,17.556824,-221.267578,-2.745071,0.001061
CC(=O)Nc1cccc(C)c1,NC(CF)(CF)CF,0.245574,0.000183,16.451538,-400.017578,-2.830635,0.004468,15.956573,-610.656250,-2.422539,0.001218
CC(=O)Nc1cccc(C)c1,CC(C)CCCC(C)CC=O,0.262983,0.000205,14.661591,-378.439453,-2.605461,0.005268,16.357086,-78.267578,-2.732544,0.001982
CC(=O)Nc1cccc(C)c1,Cc1coc(C)n1,0.230704,0.000154,17.342102,-757.181641,-2.928864,0.004486,16.253998,-711.189453,-2.414688,0.000556
CC(=O)Nc1cccc(C)c1,NC(=S)NC(N)=S,0.224082,0.000122,16.882935,-435.099609,-2.818474,0.004174,14.806000,-719.263672,-2.217140,0.001882
CC(=O)Nc1cccc(C)c1,FC(F)C(Cl)C(F)F,0.264078,0.000212,15.116852,-483.302734,-2.870033,0.006825,18.195923,60.121094,-2.931145,0.000854
CC(=O)Nc1cccc(C)c1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.266882,0.000200,11.325806,609.191406,-2.229240,0.005488,12.874268,1028.734375,-2.515869,0.003336
CC(=O)Nc1cccc(C)c1,NNC(=O)c1ccccc1,0.248335,0.000193,17.518951,-309.027344,-3.067955,0.004930,16.273315,-690.068359,-2.538170,0.001862
CC(=O)Nc1cccc(C)c1,ClC=CBr,0.280193,0.000235,13.121552,-280.921875,-2.628632,0.006973,17.891205,547.443359,-3.071983,0.001857
CC(=O)Nc1cccc(C)c1,CN(C)N=O,0.246714,0.000184,16.865784,-502.773438,-2.990921,0.005256,17.072662,-527.636719,-2.600845,0.001269
CC(=O)Nc1cccc(C)c1,c1ccc(C2CCCCC2)cc1,0.289101,0.000244,11.754303,189.671875,-2.411339,0.006556,15.679504,1047.474609,-3.019806,0.003576
CC(=O)Nc1cccc(C)c1,N#Cc1ccncc1,0.233698,0.000160,17.393829,-808.261719,-2.906570,0.004533,17.004547,-704.156250,-2.553955,0.000569
CC(=O)Nc1cccc(C)c1,CN(C)C(=S)Nc1ccccc1,0.245532,0.000181,16.713867,-500.753906,-2.849442,0.004612,16.118774,-503.087891,-2.510330,0.001297
CC(=O)Nc1cccc(C)c1,CCC(N)CC,0.220553,0.000127,16.293152,-644.609375,-2.727715,0.003997,14.499054,-825.353516,-2.159790,0.000949
CC(=O)Nc1cccc(C)c1,COC(=O)CO,0.242325,0.000182,17.529388,-492.654297,-3.091156,0.004782,16.350800,-648.826172,-2.414566,0.000985
CC(=O)Nc1cccc(C)c1,Cc1c(N)cccc1Cl,0.249173,0.000196,17.018402,-589.093750,-2.940842,0.005037,17.679382,-522.296875,-2.751938,0.000891
CC(=O)Nc1cccc(C)c1,CC1CCC(C(C)(C)OO)CC1,0.245497,0.000182,16.488525,-485.845703,-2.806244,0.004606,15.774384,-553.242188,-2.497520,0.001417
CC(=O)Nc1cccc(C)c1,CC(F)(Cl)CF,0.284994,0.000250,13.612152,-83.894531,-2.794861,0.007549,16.761536,536.230469,-2.908638,0.001863
CC(=O)Nc1cccc(C)c1,CCCCC1OC(C)CC(C)(C)O1,0.267996,0.000212,13.621918,-103.259766,-2.466934,0.004760,16.194183,171.687500,-2.776299,0.002798
CC(=O)Nc1cccc(C)c1,CC(C)(C)OCC1CO1,0.261390,0.000210,14.978668,-355.931641,-2.730270,0.005249,17.458649,-109.291016,-2.766754,0.001462
CC(=O)Nc1cccc(C)c1,O=P(O)(O)OP(=O)(O)O,0.158686,-0.000031,18.387207,-999.759766,-3.123703,0.006015,4.219757,-1261.324219,-0.973221,0.001887
CC(=O)Nc1cccc(C)c1,CC(=O)Nc1ccc(C)cc1,0.253671,0.000204,17.201965,-436.478516,-2.978226,0.004928,15.954987,-648.277344,-2.506088,0.001406
CC(=O)Nc1cccc(C)c1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.265766,0.000219,17.004333,245.298828,-3.090324,0.005117,14.523560,-1.710938,-2.448288,0.002496
CC(=O)Nc1cccc(C)c1,CC(C)(O)CCC1CCCCC1,0.258635,0.000204,15.583282,-1.847656,-2.781174,0.004762,14.555420,-405.808594,-2.443520,0.002779
CC(=O)Nc1cccc(C)c1,COCC(F)(F)F,0.278877,0.000237,13.465973,-38.818359,-2.672531,0.006584,15.660065,521.416016,-2.738098,0.001885
CC(=O)Nc1cccc(C)c1,COCC(O)COC,0.237888,0.000175,17.901581,-619.728516,-3.034538,0.004455,16.891022,-782.164062,-2.516853,0.000798
