SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(C)CC(F)(F)C(F)F,O=P(Cl)(c1ccccc1)c1ccccc1,0.253718,0.000210,19.135712,-270.216797,-3.304771,0.004792,15.375397,-572.785156,-2.426079,0.001694
CC(C)CC(F)(F)C(F)F,CC(=O)Nc1ccc(C=O)cc1,0.277750,0.000234,16.237457,1083.773438,-2.958733,0.003529,10.569824,348.732422,-2.219482,0.005526
CC(C)CC(F)(F)C(F)F,Cc1cccc(CO)c1,0.278375,0.000244,16.364319,509.099609,-3.129082,0.005058,13.089691,-70.076172,-2.411499,0.004324
CC(C)CC(F)(F)C(F)F,COC(C)CO,0.262955,0.000222,17.549530,-35.044922,-3.195328,0.004933,16.396515,-581.464844,-2.655273,0.002946
CC(C)CC(F)(F)C(F)F,Nc1nc(=O)c2ccccc2o1,0.260502,0.000198,14.589386,2219.361328,-2.722977,0.001284,8.339447,1279.990234,-2.173416,0.007830
CC(C)CC(F)(F)C(F)F,CC(Cl)Br,0.270216,0.000237,16.640900,-286.927734,-3.075623,0.005839,15.873993,-441.433594,-2.465729,0.001508
CC(C)CC(F)(F)C(F)F,CCCOC(F)F,0.268818,0.000240,17.616547,-433.533203,-3.180626,0.005879,16.895142,-621.226562,-2.625534,0.001303
CC(C)CC(F)(F)C(F)F,COC1CC2CCC1(C)C2(C)C,0.257877,0.000215,17.406494,-391.277344,-3.024452,0.004973,16.289307,-630.714844,-2.575813,0.001582
CC(C)CC(F)(F)C(F)F,CCC(=O)C1=NCCC1,0.255773,0.000213,18.125763,-426.089844,-3.176064,0.005085,17.130920,-723.343750,-2.652809,0.001617
CC(C)CC(F)(F)C(F)F,NC(CF)(CF)CF,0.266912,0.000225,16.819519,-65.539062,-3.168320,0.005808,15.875854,-432.519531,-2.495628,0.002325
CC(C)CC(F)(F)C(F)F,CC(C)CCCC(C)CC=O,0.259597,0.000223,18.286987,-357.349609,-3.207100,0.005222,16.558136,-707.375000,-2.617386,0.001777
CC(C)CC(F)(F)C(F)F,Cc1coc(C)n1,0.255455,0.000215,18.374603,-445.349609,-3.256660,0.005270,17.585480,-721.089844,-2.691780,0.001481
CC(C)CC(F)(F)C(F)F,NC(=S)NC(N)=S,0.237537,0.000145,14.686981,1580.734375,-3.040161,0.004921,11.513824,1190.130859,-2.114532,0.004111
CC(C)CC(F)(F)C(F)F,FC(F)C(Cl)C(F)F,0.263504,0.000231,18.057953,-481.242188,-3.283241,0.005935,17.111847,-567.277344,-2.570335,0.000963
CC(C)CC(F)(F)C(F)F,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.268154,0.000230,16.196075,-164.947266,-2.866707,0.005142,15.112549,-501.628906,-2.478142,0.002125
CC(C)CC(F)(F)C(F)F,NNC(=O)c1ccccc1,0.281147,0.000238,15.339203,936.171875,-3.043236,0.004809,11.694763,315.699219,-2.246651,0.005116
CC(C)CC(F)(F)C(F)F,ClC=CBr,0.269054,0.000234,16.445892,-324.443359,-3.020844,0.005825,15.861359,-439.974609,-2.454308,0.001286
CC(C)CC(F)(F)C(F)F,CN(C)N=O,0.256535,0.000203,17.574188,-152.689453,-3.181801,0.005090,16.271240,-470.751953,-2.446068,0.001977
CC(C)CC(F)(F)C(F)F,c1ccc(C2CCCCC2)cc1,0.274452,0.000245,16.709595,-178.386719,-3.027657,0.005685,15.142456,-506.880859,-2.500572,0.002211
CC(C)CC(F)(F)C(F)F,N#Cc1ccncc1,0.257533,0.000213,18.352936,-274.955078,-3.236076,0.005023,16.515930,-617.695312,-2.573738,0.001871
CC(C)CC(F)(F)C(F)F,CN(C)C(=S)Nc1ccccc1,0.262250,0.000215,18.023804,134.322266,-3.190353,0.004505,13.794342,-265.705078,-2.299553,0.002804
CC(C)CC(F)(F)C(F)F,CCC(N)CC,0.253339,0.000208,17.853577,-341.927734,-3.165703,0.005282,17.071869,-690.666016,-2.655792,0.001719
CC(C)CC(F)(F)C(F)F,COC(=O)CO,0.265567,0.000219,16.958618,157.376953,-3.199951,0.004854,14.624817,-195.794922,-2.342918,0.002872
CC(C)CC(F)(F)C(F)F,Cc1c(N)cccc1Cl,0.269162,0.000229,16.631287,88.517578,-3.108994,0.005327,14.750427,-347.457031,-2.448097,0.002965
CC(C)CC(F)(F)C(F)F,CC1CCC(C(C)(C)OO)CC1,0.276874,0.000249,16.782837,345.119141,-3.122627,0.005031,14.601776,-338.312500,-2.632607,0.004283
CC(C)CC(F)(F)C(F)F,CC(F)(Cl)CF,0.268695,0.000238,17.566528,-388.146484,-3.218498,0.005914,16.834320,-567.435547,-2.580162,0.001435
CC(C)CC(F)(F)C(F)F,CCCCC1OC(C)CC(C)(C)O1,0.256855,0.000217,18.115631,-393.619141,-3.129265,0.004918,16.854034,-749.949219,-2.669617,0.001787
CC(C)CC(F)(F)C(F)F,CC(C)(C)OCC1CO1,0.258443,0.000223,18.670013,-458.921875,-3.265640,0.005295,17.600433,-784.621094,-2.736511,0.001589
CC(C)CC(F)(F)C(F)F,O=P(O)(O)OP(=O)(O)O,0.184812,0.000060,12.670807,4244.126953,-2.153877,-0.001369,6.786285,2999.884766,-2.188583,0.009341
CC(C)CC(F)(F)C(F)F,CC(=O)Nc1ccc(C)cc1,0.281170,0.000248,16.810699,610.537109,-3.076691,0.004477,12.418488,-31.919922,-2.382225,0.004586
CC(C)CC(F)(F)C(F)F,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.253357,0.000184,17.715637,628.271484,-3.254845,0.004683,11.694458,351.164062,-2.016327,0.002610
CC(C)CC(F)(F)C(F)F,CC(C)(O)CCC1CCCCC1,0.277570,0.000249,16.709442,468.699219,-3.118935,0.004995,13.764709,-206.472656,-2.554115,0.004506
CC(C)CC(F)(F)C(F)F,COCC(F)(F)F,0.264250,0.000229,17.507660,-406.876953,-3.167915,0.005632,17.012909,-599.533203,-2.610245,0.001364
CC(C)CC(F)(F)C(F)F,COCC(O)COC,0.258241,0.000215,18.135284,-311.988281,-3.240082,0.005146,17.196014,-710.669922,-2.671310,0.002063
CC(C)CC(F)(F)C(F)F,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.270278,0.000220,15.309540,1546.019531,-2.923431,0.002695,10.628387,622.695312,-2.408119,0.006759
CC(C)CC(F)(F)C(F)F,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.266927,0.000209,14.575623,1550.093750,-2.898911,0.002950,10.258484,735.177734,-2.227165,0.006492
CC(C)CC(F)(F)C(F)F,CC(C)C(F)F,0.270479,0.000243,17.500366,-429.320312,-3.178825,0.006008,16.935333,-619.878906,-2.635452,0.001332
CC(C)CC(F)(F)C(F)F,CCCCC1C=C(C)CC(C)O1,0.254667,0.000211,17.772339,-408.203125,-3.064301,0.004831,16.625031,-701.050781,-2.611603,0.001551
CC(C)CC(F)(F)C(F)F,COc1ccc(C(C)=O)cc1,0.261670,0.000222,18.391907,-263.962891,-3.257439,0.005220,15.844849,-567.804688,-2.498581,0.001842
CC(C)CC(F)(F)C(F)F,Oc1cc(O)ncn1,0.270598,0.000211,12.546661,2075.125000,-2.766335,0.003348,10.386139,1116.013672,-2.364662,0.007871
CC(C)CC(F)(F)C(F)F,COCCCCl,0.263546,0.000222,16.915649,-381.267578,-3.037193,0.005403,16.500793,-608.416016,-2.558937,0.001585
CC(C)CC(F)(F)C(F)F,CCCOC,0.255789,0.000213,17.732727,-499.730469,-3.111496,0.005212,17.411530,-724.031250,-2.676460,0.001225
CC(C)CC(F)(F)C(F)F,Fc1c(F)c(F)c(F)c(F)c1F,0.269896,0.000239,17.178223,-375.070312,-3.092163,0.005792,15.992218,-566.554688,-2.541229,0.001607
CC(C)CC(F)(F)C(F)F,CCP(CC)CC,0.257338,0.000216,17.556213,-426.423828,-3.068283,0.005113,16.732880,-662.439453,-2.614952,0.001419
CC(C)CC(F)(F)C(F)F,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.256740,0.000221,18.823547,-364.320312,-3.237411,0.004916,17.121155,-817.503906,-2.750031,0.002077
CC(C)CC(F)(F)C(F)F,Fc1cc(F)c(F)cc1F,0.269021,0.000240,17.576172,-425.886719,-3.180077,0.005941,16.695892,-629.755859,-2.606422,0.001395
CC(C)CC(F)(F)C(F)F,CCCCc1ccc(C(=O)O)cc1,0.282566,0.000254,16.252228,568.720703,-3.072105,0.004883,13.016724,-126.802734,-2.488411,0.004742
CC(C)CC(F)(F)C(F)F,C=Cc1c(C)cc(C)cc1C,0.271258,0.000242,17.097748,-256.109375,-3.081055,0.005692,15.598877,-554.490234,-2.527161,0.001912
CC(C)CC(F)(F)C(F)F,C=C(C)C(=O)OC(C)(C)C,0.258413,0.000224,18.650757,-441.634766,-3.276527,0.005366,16.967316,-722.402344,-2.645424,0.001431
CC(C)CC(F)(F)C(F)F,FC1CCCN1,0.259595,0.000222,18.206848,-371.925781,-3.265976,0.005380,17.099121,-625.113281,-2.614883,0.001522
CC(C)CC(F)(F)C(F)F,CCCCCCCC(=O)NC,0.270716,0.000236,17.822113,349.394531,-3.124031,0.004257,14.045135,-323.271484,-2.545204,0.003967
CC(C)CC(F)(F)C(F)F,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.271134,0.000239,16.719727,-196.564453,-3.016235,0.005595,15.582947,-550.394531,-2.538422,0.002146
CC(C)CC(F)(F)C(F)F,C1=CC2C=CC1C2,0.272029,0.000239,16.613617,-297.492188,-3.017166,0.005744,15.869110,-517.392578,-2.548134,0.001805
CC(C)CC(F)(F)C(F)F,CCC(C)(O)CCC=C(C)C,0.273338,0.000244,17.108795,266.152344,-3.155952,0.005091,14.544098,-355.332031,-2.585930,0.003909
CC(C)CC(F)(F)C(F)F,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.260958,0.000229,18.326569,-3.970703,-3.182846,0.004411,16.982513,-744.765625,-2.983177,0.003642
CC(C)CC(F)(F)C(F)F,CCC(C)CCF,0.270626,0.000240,17.034332,-348.597656,-3.097176,0.005873,16.405273,-596.082031,-2.595779,0.001616
CC(C)CC(F)(F)C(F)F,C=Cc1cccc(CC)c1,0.271822,0.000243,17.247437,-267.021484,-3.109428,0.005746,15.765778,-576.851562,-2.547646,0.001929
CC(C)CC(F)(F)C(F)F,CC(C)(C(O)(F)F)C(F)(F)F,0.252118,0.000211,18.429443,-363.904297,-3.276649,0.005281,17.520844,-680.068359,-2.694160,0.001495
CC(C)CC(F)(F)C(F)F,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.271174,0.000234,16.088135,-235.779297,-2.887993,0.005383,15.223694,-426.457031,-2.502419,0.002070
CC(C)CC(F)(F)C(F)F,CCN(CC)c1ccc(N)cc1,0.262349,0.000222,17.818115,-45.205078,-3.207199,0.004939,15.871674,-539.671875,-2.587593,0.002793
CC(C)CC(F)(F)C(F)F,FC(F)CC(F)(F)F,0.270973,0.000242,17.503418,-337.835938,-3.218781,0.005999,16.214233,-522.878906,-2.507835,0.001644
CC(C)CC(F)(F)C(F)F,N#CCCOCCC#N,0.253762,0.000193,18.518250,173.509766,-3.267929,0.004718,12.662262,-25.054688,-2.057213,0.001645
CC(C)CC(F)(F)C(F)F,CCC(C)C(C)C(C)C,0.271452,0.000230,15.816742,-131.484375,-2.815475,0.005046,14.512817,-348.029297,-2.467186,0.002708
CC(C)CC(F)(F)C(F)F,Cn1c(=O)ccc2ccccc21,0.254395,0.000204,18.730072,-170.802734,-3.233818,0.004615,15.590454,-533.003906,-2.466240,0.001989
CC(C)CC(F)(F)C(F)F,CCOC(=O)c1ccccc1N,0.270363,0.000235,17.391144,54.791016,-3.155731,0.005105,14.923340,-435.082031,-2.521637,0.003053
CC(C)CC(F)(F)C(F)F,ClC1CN2CCC1CC2,0.255268,0.000211,17.752228,-440.408203,-3.098694,0.004957,16.864441,-664.646484,-2.598618,0.001369
CC(C)CC(F)(F)C(F)F,CC=CCCCCCCCC#N,0.261721,0.000228,18.565643,-331.453125,-3.263542,0.005310,16.532623,-711.371094,-2.624741,0.001911
CC(C)CC(F)(F)C(F)F,COCCl,0.266151,0.000230,17.271271,-289.939453,-3.184418,0.005761,16.278168,-453.345703,-2.478668,0.001475
CC(C)CC(F)(F)C(F)F,NCCc1cccnc1,0.262419,0.000214,17.219025,43.187500,-3.213791,0.005370,15.808807,-443.101562,-2.532791,0.002942
CC(C)CC(F)(F)C(F)F,Cc1cccc(C(=O)O)c1,0.279487,0.000246,16.288422,563.910156,-3.095833,0.004852,12.962280,-65.759766,-2.428024,0.004486
CC(C)CC(F)(F)C(F)F,C=CCNC,0.256942,0.000215,17.849030,-401.910156,-3.141335,0.005142,17.006012,-700.794922,-2.643951,0.001576
CC(C)CC(F)(F)C(F)F,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.270634,0.000224,14.942688,-61.121094,-2.663452,0.004798,14.250885,-270.632812,-2.440178,0.002747
CC(C)CC(F)(F)C(F)F,CC(CO)C(F)(F)F,0.281542,0.000250,16.003174,388.681641,-3.096428,0.005544,14.319580,-171.453125,-2.534081,0.004071
CC(C)CC(F)(F)C(F)F,CC(C)C(=O)C(F)(F)F,0.267044,0.000239,18.156769,-436.500000,-3.249489,0.005810,16.890350,-666.000000,-2.632294,0.001448
CC(C)CC(F)(F)C(F)F,O=C(C(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0.271182,0.000237,17.031982,-203.240234,-3.020996,0.005266,14.827972,-546.324219,-2.457382,0.002526
CC(C)CC(F)(F)C(F)F,CC(C)CC(C#N)(CC(C)C)C(C#N)(CC(C)C)CC(C)C,0.261321,0.000229,18.691986,-285.271484,-3.240295,0.005119,16.599976,-762.710938,-2.724037,0.002278
CC(C)CC(F)(F)C(F)F,C=CCN(C)CC=C,0.260005,0.000219,17.306793,-478.066406,-3.031624,0.005163,17.044830,-694.570312,-2.651680,0.001369
CC(C)CC(F)(F)C(F)F,COCC(F)C(F)(F)F,0.269337,0.000236,17.235931,-323.796875,-3.128067,0.005725,16.651245,-610.132812,-2.613327,0.001775
CC(C)CC(F)(F)C(F)F,CNC(C)(C)C,0.251981,0.000204,17.686798,-425.539062,-3.064445,0.004835,17.037170,-720.677734,-2.643318,0.001492
CC(C)CC(F)(F)C(F)F,C1COCCOCCOCCO1,0.253898,0.000202,17.921417,-255.744141,-3.190948,0.004940,17.016754,-707.869141,-2.662285,0.002319
CC(C)CC(F)(F)C(F)F,O=NF,0.251207,0.000199,17.845184,-301.494141,-3.322502,0.005919,17.007385,-289.859375,-2.357796,0.000877
CC(C)CC(F)(F)C(F)F,CCN(CC)CCN,0.253137,0.000208,18.369537,-297.996094,-3.245651,0.005155,17.842560,-769.039062,-2.805077,0.002287
CC(C)CC(F)(F)C(F)F,CC(C)(C)OC(F)(F)C(F)(F)C(F)(F)F,0.271519,0.000241,17.134827,-290.468750,-3.083946,0.005668,16.099701,-585.759766,-2.610291,0.002080
CC(C)CC(F)(F)C(F)F,CC(=O)Nc1ccc(Br)cc1,0.278067,0.000240,16.393616,917.306641,-3.030052,0.003893,11.289215,272.677734,-2.296448,0.005137
CC(C)CC(F)(F)C(F)F,c1ccc(COc2ccccc2)cc1,0.270492,0.000239,17.197235,-223.171875,-3.121391,0.005652,15.254608,-510.183594,-2.462723,0.002052
CC(C)CC(F)(F)C(F)F,FC(F)(F)C(F)(F)C(Cl)(Cl)C(F)(F)F,0.270001,0.000229,15.841278,-237.746094,-2.828156,0.005227,15.253693,-450.910156,-2.511688,0.002239
CC(C)CC(F)(F)C(F)F,CC(C)(C)OCF,0.261182,0.000227,18.261261,-477.472656,-3.241341,0.005544,17.389404,-698.279297,-2.669357,0.001231
CC(C)CC(F)(F)C(F)F,OCCCCOC1CCCO1,0.261654,0.000220,17.758759,-94.667969,-3.193504,0.004973,16.339661,-647.003906,-2.662186,0.002875
CC(C)CC(F)(F)C(F)F,OCCCCC(O)CO,0.267500,0.000205,13.409332,2074.755859,-2.809944,0.003104,10.317352,1050.605469,-2.379456,0.007963
CC(C)CC(F)(F)C(F)F,CC(C)C(=O)C(=O)O,0.266011,0.000229,17.507080,-139.210938,-3.152008,0.005069,16.142761,-632.894531,-2.634750,0.002616
CC(C)CC(F)(F)C(F)F,N#CCl,0.255077,0.000208,17.274292,-268.328125,-3.151878,0.005235,16.594177,-459.291016,-2.503471,0.001313
CC(C)CC(F)(F)C(F)F,CC(C)(C)CCO,0.277601,0.000247,16.487000,519.048828,-3.108681,0.005042,13.878693,-164.664062,-2.568054,0.004581
CC(C)CC(F)(F)C(F)F,CCc1cc(C(N)=S)ccn1,0.270872,0.000220,15.882477,1045.617188,-3.005341,0.004028,11.850586,323.447266,-2.312355,0.005360
CC(C)CC(F)(F)C(F)F,CCCCCCCCCCCCC(N)=O,0.273358,0.000235,16.639069,832.621094,-3.083855,0.004383,12.687469,2.703125,-2.488708,0.005231
CC(C)CC(F)(F)C(F)F,CCOc1ccccc1F,0.265840,0.000233,17.754089,-381.259766,-3.167786,0.005550,16.325226,-622.544922,-2.569595,0.001607
CC(C)CC(F)(F)C(F)F,CCCCCCCCCCCCCCCC(=O)O,0.284062,0.000258,15.742798,702.294922,-3.024788,0.004984,13.347015,-101.451172,-2.616501,0.005386
CC(C)CC(F)(F)C(F)F,CC=CCCCCCC,0.271426,0.000234,16.170319,-200.468750,-2.882339,0.005263,14.926056,-420.443359,-2.489616,0.002331
