SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC1OC(=O)C(C)OC1=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.246014,0.000195,17.894348,-362.921875,-3.032593,0.004459,16.382202,-627.212891,-2.606468,0.001573
CC1OC(=O)C(C)OC1=O,CC(=O)Nc1ccc(C=O)cc1,0.253157,0.000202,16.998016,-94.447266,-3.012299,0.004887,14.667480,-464.171875,-2.419128,0.002353
CC1OC(=O)C(C)OC1=O,Cc1cccc(CO)c1,0.250188,0.000198,16.133545,-80.925781,-2.976311,0.005510,15.596130,-287.369141,-2.553612,0.002078
CC1OC(=O)C(C)OC1=O,COC(C)CO,0.246027,0.000191,16.343994,-192.990234,-2.980011,0.005413,16.874146,-409.437500,-2.685623,0.001760
CC1OC(=O)C(C)OC1=O,Nc1nc(=O)c2ccccc2o1,0.242480,0.000180,18.152557,258.601562,-3.095657,0.003656,12.877655,-368.480469,-2.306076,0.003670
CC1OC(=O)C(C)OC1=O,CC(Cl)Br,0.254709,0.000195,15.774933,-592.320312,-2.727737,0.004849,17.460266,-223.408203,-2.766350,0.001314
CC1OC(=O)C(C)OC1=O,CCCOC(F)F,0.259843,0.000200,15.139587,-402.277344,-2.626022,0.004553,15.777313,-156.212891,-2.569664,0.002041
CC1OC(=O)C(C)OC1=O,COC1CC2CCC1(C)C2(C)C,0.238516,0.000150,12.927734,117.634766,-2.170151,0.003208,13.871857,357.753906,-2.516602,0.003906
CC1OC(=O)C(C)OC1=O,CCC(=O)C1=NCCC1,0.245995,0.000181,15.901855,-453.154297,-2.689514,0.003951,16.217194,-363.587891,-2.567421,0.001771
CC1OC(=O)C(C)OC1=O,NC(CF)(CF)CF,0.244256,0.000190,16.898834,-429.001953,-3.058769,0.005695,17.452759,-512.769531,-2.647194,0.000888
CC1OC(=O)C(C)OC1=O,CC(C)CCCC(C)CC=O,0.243896,0.000167,14.444824,-56.517578,-2.466805,0.003964,14.327362,-32.732422,-2.512321,0.003171
CC1OC(=O)C(C)OC1=O,Cc1coc(C)n1,0.244995,0.000183,16.109406,-422.138672,-2.834732,0.004886,16.576263,-405.593750,-2.601135,0.001395
CC1OC(=O)C(C)OC1=O,NC(=S)NC(N)=S,0.188995,0.000068,21.202942,-1223.814453,-3.304985,0.003528,18.426270,-1193.755859,-2.705589,0.000570
CC1OC(=O)C(C)OC1=O,FC(F)C(Cl)C(F)F,0.231446,0.000145,17.936829,-934.509766,-3.050797,0.004424,18.996948,-531.937500,-2.821060,0.000915
CC1OC(=O)C(C)OC1=O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.236795,0.000142,11.993103,306.529297,-1.931961,0.002197,15.022583,636.466797,-2.712692,0.004115
CC1OC(=O)C(C)OC1=O,NNC(=O)c1ccccc1,0.257963,0.000216,17.389954,2.820312,-3.138657,0.005311,16.171295,-483.935547,-2.653343,0.002623
CC1OC(=O)C(C)OC1=O,ClC=CBr,0.251827,0.000180,14.902924,-595.275391,-2.616325,0.004641,17.501373,-43.962891,-2.769211,0.001800
CC1OC(=O)C(C)OC1=O,CN(C)N=O,0.246635,0.000199,17.990173,-522.085938,-3.155663,0.005052,17.833191,-696.767578,-2.656990,0.000742
CC1OC(=O)C(C)OC1=O,c1ccc(C2CCCCC2)cc1,0.250469,0.000173,13.389587,30.945312,-2.306870,0.003844,14.322388,265.728516,-2.591476,0.003648
CC1OC(=O)C(C)OC1=O,N#Cc1ccncc1,0.239517,0.000184,18.189178,-681.421875,-3.075661,0.004575,18.028503,-776.898438,-2.701134,0.000531
CC1OC(=O)C(C)OC1=O,CN(C)C(=S)Nc1ccccc1,0.220393,0.000147,19.182556,-897.986328,-3.094757,0.003785,17.864990,-876.400391,-2.617821,0.000063
CC1OC(=O)C(C)OC1=O,CCC(N)CC,0.234519,0.000151,13.601532,-32.812500,-2.576881,0.005660,16.115631,-13.804688,-2.643593,0.002583
CC1OC(=O)C(C)OC1=O,COC(=O)CO,0.247164,0.000201,18.042358,-473.826172,-3.137100,0.004962,17.108368,-642.628906,-2.600769,0.000826
CC1OC(=O)C(C)OC1=O,Cc1c(N)cccc1Cl,0.229024,0.000156,18.010559,-736.587891,-2.964081,0.004021,17.129028,-737.523438,-2.573280,0.000655
CC1OC(=O)C(C)OC1=O,CC1CCC(C(C)(C)OO)CC1,0.240207,0.000170,15.778473,-94.128906,-2.728638,0.004264,14.051758,-302.236328,-2.342857,0.002456
CC1OC(=O)C(C)OC1=O,CC(F)(Cl)CF,0.256857,0.000205,16.525146,-555.705078,-2.879372,0.004995,17.304626,-380.488281,-2.720451,0.001246
CC1OC(=O)C(C)OC1=O,CCCCC1OC(C)CC(C)(C)O1,0.241096,0.000157,13.938019,38.068359,-2.313644,0.003375,14.239197,67.457031,-2.544586,0.003685
CC1OC(=O)C(C)OC1=O,CC(C)(C)OCC1CO1,0.250012,0.000188,15.836578,-341.712891,-2.722412,0.004333,15.769470,-316.083984,-2.600227,0.002217
CC1OC(=O)C(C)OC1=O,O=P(O)(O)OP(=O)(O)O,0.148734,-0.000040,19.934326,-1234.558594,-3.161476,0.004145,6.257599,-1325.134766,-1.141876,0.001505
CC1OC(=O)C(C)OC1=O,CC(=O)Nc1ccc(C)cc1,0.255531,0.000205,16.379333,-161.283203,-2.879189,0.004775,14.679199,-449.839844,-2.402596,0.002067
CC1OC(=O)C(C)OC1=O,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.250783,0.000209,18.848877,-341.208984,-3.292610,0.004971,17.130341,-718.503906,-2.647408,0.001569
CC1OC(=O)C(C)OC1=O,CC(C)(O)CCC1CCCCC1,0.247449,0.000174,13.299896,585.771484,-2.566841,0.005125,13.531616,369.394531,-2.545166,0.004527
CC1OC(=O)C(C)OC1=O,COCC(F)(F)F,0.255763,0.000200,15.964935,-403.832031,-2.742752,0.004447,15.874023,-312.484375,-2.528770,0.001564
CC1OC(=O)C(C)OC1=O,COCC(O)COC,0.243240,0.000191,17.445892,-459.158203,-3.113617,0.005425,17.788208,-604.234375,-2.721458,0.001047
CC1OC(=O)C(C)OC1=O,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.254648,0.000211,17.814850,383.074219,-3.211891,0.004498,15.850677,-373.050781,-2.777817,0.004046
CC1OC(=O)C(C)OC1=O,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.206303,0.000118,20.358276,-875.462891,-3.269058,0.003584,16.708252,-1013.958984,-2.459442,0.000569
CC1OC(=O)C(C)OC1=O,CC(C)C(F)F,0.261466,0.000200,14.231812,-322.392578,-2.557915,0.004744,15.787811,27.867188,-2.620895,0.002504
CC1OC(=O)C(C)OC1=O,CCCCC1C=C(C)CC(C)O1,0.238564,0.000152,13.399109,93.632812,-2.243599,0.003138,14.101227,200.537109,-2.500580,0.003776
CC1OC(=O)C(C)OC1=O,COc1ccc(C(C)=O)cc1,0.252471,0.000202,16.844574,-396.201172,-2.967361,0.005063,16.599213,-526.464844,-2.622841,0.001577
CC1OC(=O)C(C)OC1=O,Oc1cc(O)ncn1,0.225055,0.000143,17.971680,-147.998047,-3.092354,0.004200,14.086792,-630.478516,-2.238106,0.002486
CC1OC(=O)C(C)OC1=O,COCCCCl,0.253346,0.000189,14.542206,-331.798828,-2.605698,0.004522,15.734863,-127.503906,-2.537704,0.002198
CC1OC(=O)C(C)OC1=O,CCCOC,0.241569,0.000163,13.515717,-225.189453,-2.429932,0.004138,15.627991,111.093750,-2.563110,0.002633
CC1OC(=O)C(C)OC1=O,Fc1c(F)c(F)c(F)c(F)c1F,0.242894,0.000158,12.320496,52.691406,-2.187332,0.003858,14.797699,546.042969,-2.647896,0.003284
CC1OC(=O)C(C)OC1=O,CCP(CC)CC,0.244347,0.000162,13.344788,-111.121094,-2.284607,0.003540,14.538849,151.720703,-2.444908,0.003203
CC1OC(=O)C(C)OC1=O,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.242253,0.000158,14.019653,332.906250,-2.312492,0.003036,13.751190,123.365234,-2.607574,0.004715
CC1OC(=O)C(C)OC1=O,Fc1cc(F)c(F)cc1F,0.258586,0.000193,14.542145,-333.507812,-2.536949,0.004637,15.382996,-65.386719,-2.566208,0.002400
CC1OC(=O)C(C)OC1=O,CCCCc1ccc(C(=O)O)cc1,0.238425,0.000168,16.387054,-370.490234,-2.757439,0.004187,13.809296,-575.414062,-2.161751,0.001475
CC1OC(=O)C(C)OC1=O,C=Cc1c(C)cc(C)cc1C,0.254018,0.000180,13.622345,0.812500,-2.384605,0.004127,14.602051,158.285156,-2.602600,0.003652
CC1OC(=O)C(C)OC1=O,C=C(C)C(=O)OC(C)(C)C,0.248538,0.000180,14.979401,-176.351562,-2.584824,0.004171,14.404968,-84.830078,-2.467117,0.002787
CC1OC(=O)C(C)OC1=O,FC1CCCN1,0.242634,0.000190,17.293793,-505.380859,-3.056488,0.005192,17.352570,-562.134766,-2.615829,0.000629
CC1OC(=O)C(C)OC1=O,CCCCCCCC(=O)NC,0.248133,0.000182,14.966095,337.455078,-2.705933,0.004468,14.818512,-31.814453,-2.636765,0.003707
CC1OC(=O)C(C)OC1=O,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.235456,0.000146,12.181885,469.394531,-2.139816,0.003342,13.697876,621.328125,-2.663330,0.004208
CC1OC(=O)C(C)OC1=O,C1=CC2C=CC1C2,0.250719,0.000175,12.975189,-149.806641,-2.315613,0.004164,15.474579,377.291016,-2.700844,0.003267
CC1OC(=O)C(C)OC1=O,CCC(C)(O)CCC=C(C)C,0.244473,0.000168,13.391998,441.257812,-2.559837,0.005208,13.729126,277.777344,-2.512390,0.004078
CC1OC(=O)C(C)OC1=O,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.190103,0.000080,14.533600,1581.863281,-1.959648,-0.001450,13.309662,853.925781,-3.005913,0.006709
CC1OC(=O)C(C)OC1=O,CCC(C)CCF,0.249421,0.000173,13.006958,-79.947266,-2.314644,0.004010,14.935547,293.357422,-2.601379,0.003335
