SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCC(C)(F)C(F)(F)OC,O=P(Cl)(c1ccccc1)c1ccccc1,0.259174,0.000217,18.992004,-230.656250,-3.288269,0.004957,15.049500,-552.531250,-2.408783,0.001809
CCC(C)(F)C(F)(F)OC,CC(=O)Nc1ccc(C=O)cc1,0.278390,0.000234,15.881073,1176.101562,-2.949104,0.003637,10.590851,395.156250,-2.269806,0.005664
CCC(C)(F)C(F)(F)OC,Cc1cccc(CO)c1,0.279338,0.000247,16.272583,432.671875,-3.124748,0.005225,13.390350,-150.123047,-2.425850,0.004104
CCC(C)(F)C(F)(F)OC,COC(C)CO,0.270735,0.000232,16.591827,108.306641,-3.142044,0.005378,15.916687,-463.238281,-2.621849,0.003287
CCC(C)(F)C(F)(F)OC,Nc1nc(=O)c2ccccc2o1,0.261895,0.000200,15.007904,2143.607422,-2.724106,0.001221,8.249237,1119.068359,-2.158630,0.007754
CCC(C)(F)C(F)(F)OC,CC(Cl)Br,0.261398,0.000223,17.263275,-482.851562,-3.092690,0.005596,16.501709,-554.791016,-2.496735,0.000832
CCC(C)(F)C(F)(F)OC,CCCOC(F)F,0.269469,0.000239,17.299683,-453.376953,-3.131554,0.005915,16.770325,-601.326172,-2.601326,0.001242
CCC(C)(F)C(F)(F)OC,COC1CC2CCC1(C)C2(C)C,0.267311,0.000228,16.552429,-275.929688,-2.944992,0.005227,16.001160,-530.634766,-2.606758,0.002154
CCC(C)(F)C(F)(F)OC,CCC(=O)C1=NCCC1,0.264685,0.000226,17.312439,-311.132812,-3.119781,0.005467,16.695007,-660.005859,-2.630142,0.001962
CCC(C)(F)C(F)(F)OC,NC(CF)(CF)CF,0.269053,0.000228,16.517914,-61.218750,-3.163826,0.006059,15.929169,-428.248047,-2.510193,0.002329
CCC(C)(F)C(F)(F)OC,CC(C)CCCC(C)CC=O,0.269313,0.000237,17.266083,-226.792969,-3.117813,0.005614,16.091522,-644.164062,-2.608482,0.002251
CCC(C)(F)C(F)(F)OC,Cc1coc(C)n1,0.262185,0.000224,17.626862,-328.855469,-3.226463,0.005806,17.312195,-642.587891,-2.674637,0.001768
CCC(C)(F)C(F)(F)OC,NC(=S)NC(N)=S,0.241649,0.000154,15.660553,1077.433594,-3.130081,0.005312,12.511597,614.482422,-2.049599,0.003367
CCC(C)(F)C(F)(F)OC,FC(F)C(Cl)C(F)F,0.256187,0.000219,18.433411,-595.619141,-3.268524,0.005590,17.672729,-672.097656,-2.634697,0.000667
CCC(C)(F)C(F)(F)OC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.261594,0.000213,15.691406,-198.208984,-2.730598,0.004668,15.175446,-446.556641,-2.457848,0.001942
CCC(C)(F)C(F)(F)OC,NNC(=O)c1ccccc1,0.282604,0.000239,14.719574,1089.925781,-3.026840,0.004818,11.263916,421.466797,-2.229080,0.005524
CCC(C)(F)C(F)(F)OC,ClC=CBr,0.260061,0.000219,16.919708,-516.882812,-3.029472,0.005580,16.583008,-546.533203,-2.490219,0.000648
CCC(C)(F)C(F)(F)OC,CN(C)N=O,0.265318,0.000216,16.872894,-40.169922,-3.137390,0.005500,15.571533,-375.001953,-2.388321,0.002228
CCC(C)(F)C(F)(F)OC,c1ccc(C2CCCCC2)cc1,0.273804,0.000243,16.645935,-262.710938,-3.007507,0.005688,15.416077,-506.736328,-2.524742,0.002023
CCC(C)(F)C(F)(F)OC,N#Cc1ccncc1,0.258837,0.000216,18.568573,-305.402344,-3.264542,0.005112,16.376770,-646.603516,-2.555672,0.001867
CCC(C)(F)C(F)(F)OC,CN(C)C(=S)Nc1ccccc1,0.262187,0.000212,17.704987,74.078125,-3.106537,0.004514,13.655670,-296.826172,-2.255424,0.002483
CCC(C)(F)C(F)(F)OC,CCC(N)CC,0.261103,0.000216,16.430023,-136.568359,-3.107735,0.006255,16.847412,-508.289062,-2.694283,0.002315
CCC(C)(F)C(F)(F)OC,COC(=O)CO,0.270897,0.000229,16.326538,179.357422,-3.163025,0.005170,14.721497,-200.472656,-2.376266,0.002982
CCC(C)(F)C(F)(F)OC,Cc1c(N)cccc1Cl,0.261154,0.000219,17.464844,-166.281250,-3.146004,0.005177,15.610687,-568.521484,-2.480736,0.002169
CCC(C)(F)C(F)(F)OC,CC1CCC(C(C)(C)OO)CC1,0.276160,0.000248,16.589600,301.376953,-3.118652,0.005136,15.029999,-369.025391,-2.663651,0.004094
CCC(C)(F)C(F)(F)OC,CC(F)(Cl)CF,0.264457,0.000232,17.939453,-476.613281,-3.236732,0.005814,17.098328,-613.095703,-2.594849,0.001091
CCC(C)(F)C(F)(F)OC,CCCCC1OC(C)CC(C)(C)O1,0.266357,0.000231,17.129242,-257.210938,-3.048615,0.005323,16.394287,-676.091797,-2.659248,0.002224
CCC(C)(F)C(F)(F)OC,CC(C)(C)OCC1CO1,0.267351,0.000235,17.719879,-343.257812,-3.194382,0.005668,17.215271,-713.306641,-2.720047,0.001931
CCC(C)(F)C(F)(F)OC,O=P(O)(O)OP(=O)(O)O,0.221361,0.000115,12.820251,3219.615234,-2.399338,0.000743,7.087036,1910.832031,-1.973251,0.009194
CCC(C)(F)C(F)(F)OC,CC(=O)Nc1ccc(C)cc1,0.285335,0.000254,16.399933,656.273438,-3.050301,0.004624,12.112457,-5.832031,-2.353470,0.004673
CCC(C)(F)C(F)(F)OC,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.261232,0.000197,16.992188,680.417969,-3.248177,0.005085,11.795319,322.167969,-2.071091,0.003126
CCC(C)(F)C(F)(F)OC,CC(C)(O)CCC1CCCCC1,0.285003,0.000257,15.568878,614.496094,-3.061935,0.005526,13.501099,-96.720703,-2.538261,0.004910
CCC(C)(F)C(F)(F)OC,COCC(F)(F)F,0.268062,0.000235,17.370636,-363.970703,-3.153229,0.005779,16.645721,-582.449219,-2.587334,0.001559
CCC(C)(F)C(F)(F)OC,COCC(O)COC,0.267843,0.000229,17.040161,-176.246094,-3.171196,0.005569,16.799347,-618.861328,-2.633713,0.002399
CCC(C)(F)C(F)(F)OC,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.271914,0.000223,15.742645,1428.455078,-2.965874,0.002905,10.630432,472.085938,-2.381371,0.006530
CCC(C)(F)C(F)(F)OC,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.265815,0.000209,15.682983,1145.826172,-2.999352,0.003277,10.873566,358.494141,-2.165108,0.005620
CCC(C)(F)C(F)(F)OC,CC(C)C(F)F,0.270371,0.000242,17.309387,-442.064453,-3.143990,0.006008,16.651031,-594.664062,-2.592072,0.001272
CCC(C)(F)C(F)(F)OC,CCCCC1C=C(C)CC(C)O1,0.264757,0.000226,16.910431,-278.724609,-2.999512,0.005221,16.190674,-611.693359,-2.615532,0.002037
CCC(C)(F)C(F)(F)OC,COc1ccc(C(C)=O)cc1,0.269781,0.000233,17.656494,-161.189453,-3.185448,0.005537,15.431519,-520.814453,-2.497360,0.002171
CCC(C)(F)C(F)(F)OC,Oc1cc(O)ncn1,0.270673,0.000213,13.436646,1737.365234,-2.861374,0.003697,10.899841,785.644531,-2.323463,0.007172
CCC(C)(F)C(F)(F)OC,COCCCCl,0.270154,0.000232,16.313843,-302.894531,-2.995903,0.005721,16.356598,-591.427734,-2.582764,0.001888
CCC(C)(F)C(F)(F)OC,CCCOC,0.263713,0.000224,16.714661,-371.044922,-3.031471,0.005579,16.961090,-635.009766,-2.663742,0.001658
CCC(C)(F)C(F)(F)OC,Fc1c(F)c(F)c(F)c(F)c1F,0.270405,0.000235,16.733551,-365.130859,-3.010277,0.005629,15.455322,-485.505859,-2.478531,0.001762
CCC(C)(F)C(F)(F)OC,CCP(CC)CC,0.265140,0.000226,16.732635,-324.568359,-2.988945,0.005323,16.353058,-580.589844,-2.621437,0.001887
CCC(C)(F)C(F)(F)OC,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.268863,0.000237,17.385498,-200.478516,-3.110870,0.005408,16.640686,-712.316406,-2.737328,0.002552
CCC(C)(F)C(F)(F)OC,Fc1cc(F)c(F)cc1F,0.263626,0.000229,17.693390,-499.003906,-3.172165,0.005734,16.790710,-643.515625,-2.583260,0.001130
CCC(C)(F)C(F)(F)OC,CCCCc1ccc(C(=O)O)cc1,0.278704,0.000248,16.162811,423.337891,-3.042236,0.004863,13.680573,-228.539062,-2.509834,0.004291
