SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCC(F)(F)C(F)(F)Cl,O=P(Cl)(c1ccccc1)c1ccccc1,0.256797,0.000208,18.908966,-85.400391,-3.253525,0.004687,14.012909,-426.671875,-2.274712,0.001962
CCC(F)(F)C(F)(F)Cl,CC(=O)Nc1ccc(C=O)cc1,0.278190,0.000226,15.323059,1493.734375,-2.862885,0.003213,9.548767,592.128906,-2.191208,0.006379
CCC(F)(F)C(F)(F)Cl,Cc1cccc(CO)c1,0.282301,0.000246,15.800659,625.656250,-3.083496,0.005056,11.999084,11.312500,-2.278557,0.004558
CCC(F)(F)C(F)(F)Cl,COC(C)CO,0.271337,0.000229,16.610352,195.152344,-3.135567,0.005039,14.873077,-398.701172,-2.499756,0.003474
CCC(F)(F)C(F)(F)Cl,Nc1nc(=O)c2ccccc2o1,0.250732,0.000175,14.868469,2456.726562,-2.695045,0.000863,7.749908,1408.931641,-2.167755,0.007805
CCC(F)(F)C(F)(F)Cl,CC(Cl)Br,0.269646,0.000235,16.887268,-282.820312,-3.099815,0.005780,15.196777,-398.402344,-2.364586,0.001362
CCC(F)(F)C(F)(F)Cl,CCCOC(F)F,0.270784,0.000243,17.689606,-375.705078,-3.214355,0.005955,16.214844,-591.605469,-2.538528,0.001570
CCC(F)(F)C(F)(F)Cl,COC1CC2CCC1(C)C2(C)C,0.263125,0.000224,17.143707,-256.214844,-3.057510,0.005287,15.794983,-620.531250,-2.544930,0.002017
CCC(F)(F)C(F)(F)Cl,CCC(=O)C1=NCCC1,0.262355,0.000221,17.641388,-239.121094,-3.195473,0.005331,16.546997,-647.720703,-2.603897,0.002177
CCC(F)(F)C(F)(F)Cl,NC(CF)(CF)CF,0.271670,0.000227,16.217102,94.310547,-3.134499,0.005864,14.686676,-317.113281,-2.366158,0.002695
CCC(F)(F)C(F)(F)Cl,CC(C)CCCC(C)CC=O,0.265933,0.000231,17.748260,-207.226562,-3.192230,0.005480,15.858521,-657.361328,-2.566971,0.002329
CCC(F)(F)C(F)(F)Cl,Cc1coc(C)n1,0.262058,0.000222,17.772827,-282.597656,-3.233864,0.005539,16.663086,-613.486328,-2.592377,0.001858
CCC(F)(F)C(F)(F)Cl,NC(=S)NC(N)=S,0.219798,0.000109,14.873901,2014.767578,-3.064743,0.004250,10.493958,1523.451172,-2.112076,0.004341
CCC(F)(F)C(F)(F)Cl,FC(F)C(Cl)C(F)F,0.266275,0.000231,17.815826,-373.500000,-3.271492,0.006007,16.150940,-469.013672,-2.456139,0.001138
CCC(F)(F)C(F)(F)Cl,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.268328,0.000233,16.840546,-166.509766,-3.003784,0.005306,14.814697,-501.843750,-2.420479,0.002225
CCC(F)(F)C(F)(F)Cl,NNC(=O)c1ccccc1,0.282474,0.000232,14.352325,1290.664062,-2.965340,0.004529,10.458649,530.191406,-2.161804,0.005939
CCC(F)(F)C(F)(F)Cl,ClC=CBr,0.269358,0.000234,16.466400,-312.386719,-3.026581,0.005833,15.370911,-419.183594,-2.382088,0.001292
CCC(F)(F)C(F)(F)Cl,CN(C)N=O,0.262766,0.000208,16.878784,51.748047,-3.147301,0.005249,15.144226,-329.650391,-2.340836,0.002314
CCC(F)(F)C(F)(F)Cl,c1ccc(C2CCCCC2)cc1,0.276051,0.000247,16.636658,-169.345703,-3.035774,0.005823,14.713440,-499.125000,-2.439346,0.002226
CCC(F)(F)C(F)(F)Cl,N#Cc1ccncc1,0.261587,0.000215,18.119751,-138.091797,-3.224777,0.005024,15.550232,-541.058594,-2.466103,0.002248
CCC(F)(F)C(F)(F)Cl,CN(C)C(=S)Nc1ccccc1,0.265173,0.000212,17.573273,385.193359,-3.132088,0.004406,12.755310,-102.660156,-2.236099,0.003216
CCC(F)(F)C(F)(F)Cl,CCC(N)CC,0.258334,0.000215,17.393829,-181.562500,-3.222694,0.005859,16.883636,-602.941406,-2.672394,0.002250
CCC(F)(F)C(F)(F)Cl,COC(=O)CO,0.272421,0.000225,16.023865,345.529297,-3.147873,0.004989,13.451691,-66.304688,-2.221466,0.003335
CCC(F)(F)C(F)(F)Cl,Cc1c(N)cccc1Cl,0.270288,0.000227,16.620697,247.884766,-3.127617,0.005151,13.726013,-251.638672,-2.339859,0.003234
CCC(F)(F)C(F)(F)Cl,CC1CCC(C(C)(C)OO)CC1,0.282366,0.000252,16.085358,537.371094,-3.078423,0.005006,13.211365,-213.339844,-2.487030,0.004756
