SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCCCCCCCCC(C)=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.246540,0.000196,19.740997,-387.394531,-3.382874,0.004703,15.556213,-493.531250,-2.342903,0.000825
CCCCCCCCCCCCC(C)=O,CC(=O)Nc1ccc(C=O)cc1,0.251572,0.000190,17.902466,203.669922,-3.163780,0.004059,12.904816,-118.056641,-2.069557,0.002458
CCCCCCCCCCCCC(C)=O,Cc1cccc(CO)c1,0.242025,0.000187,18.581482,-410.552734,-3.249649,0.004666,15.917816,-590.816406,-2.367630,0.001033
CCCCCCCCCCCCC(C)=O,COC(C)CO,0.253796,0.000203,16.960052,-140.507812,-3.234116,0.005608,17.282684,-366.312500,-2.533913,0.001725
CCCCCCCCCCCCC(C)=O,Nc1nc(=O)c2ccccc2o1,0.234560,0.000147,18.273041,768.298828,-2.997154,0.002515,8.469025,278.466797,-1.518143,0.003697
CCCCCCCCCCCCC(C)=O,CC(Cl)Br,0.250614,0.000204,17.865784,-642.691406,-3.197845,0.005542,18.346497,-563.763672,-2.728867,0.000460
CCCCCCCCCCCCC(C)=O,CCCOC(F)F,0.259447,0.000219,17.225067,-477.320312,-3.125198,0.005527,17.211243,-538.228516,-2.591408,0.000862
CCCCCCCCCCCCC(C)=O,COC1CC2CCC1(C)C2(C)C,0.256349,0.000213,17.538574,-447.013672,-3.111191,0.005292,16.823303,-587.013672,-2.617661,0.001297
CCCCCCCCCCCCC(C)=O,CCC(=O)C1=NCCC1,0.250582,0.000204,18.029907,-502.082031,-3.241188,0.005303,17.394226,-586.437500,-2.550217,0.000883
CCCCCCCCCCCCC(C)=O,NC(CF)(CF)CF,0.244608,0.000183,16.591034,-160.453125,-3.230675,0.006058,16.860107,-124.144531,-2.305756,0.001049
CCCCCCCCCCCCC(C)=O,CC(C)CCCC(C)CC=O,0.258292,0.000221,18.185425,-440.062500,-3.235153,0.005485,16.886688,-668.115234,-2.599258,0.001258
CCCCCCCCCCCCC(C)=O,Cc1coc(C)n1,0.249414,0.000202,18.063232,-441.423828,-3.329987,0.005740,18.001038,-531.716797,-2.604210,0.000906
