SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCO[N+](=O)[O-],O=P(Cl)(c1ccccc1)c1ccccc1,0.252703,0.000209,19.869171,-354.326172,-3.366974,0.004733,15.563293,-627.480469,-2.446976,0.001368
CCCCCO[N+](=O)[O-],CC(=O)Nc1ccc(C=O)cc1,0.278758,0.000238,17.061737,776.722656,-3.083931,0.004139,10.911713,199.242188,-2.177353,0.004512
CCCCCO[N+](=O)[O-],Cc1cccc(CO)c1,0.274443,0.000238,17.123688,410.328125,-3.182152,0.004947,12.732880,-65.626953,-2.332581,0.003678
CCCCCO[N+](=O)[O-],COC(C)CO,0.263478,0.000222,17.568665,55.357422,-3.196564,0.004784,15.458618,-416.167969,-2.553108,0.002819
CCCCCO[N+](=O)[O-],Nc1nc(=O)c2ccccc2o1,0.257083,0.000196,16.510132,1746.640625,-2.896919,0.001499,8.771759,941.433594,-2.106880,0.006475
CCCCCO[N+](=O)[O-],CC(Cl)Br,0.258129,0.000222,18.080261,-569.453125,-3.224640,0.005685,17.044556,-598.128906,-2.544434,0.000547
CCCCCO[N+](=O)[O-],CCCOC(F)F,0.268551,0.000237,17.281677,-421.609375,-3.118172,0.005836,16.086334,-540.005859,-2.499023,0.001232
CCCCCO[N+](=O)[O-],COC1CC2CCC1(C)C2(C)C,0.256598,0.000210,16.978851,-353.158203,-3.001511,0.005038,16.344391,-621.142578,-2.581581,0.001614
CCCCCO[N+](=O)[O-],CCC(=O)C1=NCCC1,0.257430,0.000216,17.957306,-449.460938,-3.176971,0.005266,17.209412,-719.554688,-2.652573,0.001442
CCCCCO[N+](=O)[O-],NC(CF)(CF)CF,0.262912,0.000217,17.297302,-108.849609,-3.210861,0.005775,15.438538,-388.208984,-2.409523,0.001926
CCCCCO[N+](=O)[O-],CC(C)CCCC(C)CC=O,0.260208,0.000222,17.722015,-346.732422,-3.165817,0.005360,16.784058,-688.732422,-2.650848,0.001753
CCCCCO[N+](=O)[O-],Cc1coc(C)n1,0.258639,0.000219,18.311218,-385.554688,-3.274544,0.005433,16.983215,-644.701172,-2.617256,0.001424
CCCCCO[N+](=O)[O-],NC(=S)NC(N)=S,0.243140,0.000165,16.882141,489.705078,-3.235771,0.005712,14.732269,183.503906,-2.231834,0.002002
CCCCCO[N+](=O)[O-],FC(F)C(Cl)C(F)F,0.256522,0.000218,18.573822,-530.416016,-3.295998,0.005573,16.898407,-608.185547,-2.552002,0.000843
CCCCCO[N+](=O)[O-],FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.261071,0.000210,15.696838,175.546875,-2.737869,0.004338,13.548279,-183.169922,-2.348930,0.002902
CCCCCO[N+](=O)[O-],NNC(=O)c1ccccc1,0.277576,0.000232,16.399628,772.693359,-3.135712,0.004738,11.376862,207.839844,-2.143570,0.004535
CCCCCO[N+](=O)[O-],ClC=CBr,0.258678,0.000220,17.654419,-565.898438,-3.167877,0.005711,17.097839,-563.662109,-2.577591,0.000652
