SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CN1CCC=C(C(=O)O)C1,O=P(Cl)(c1ccccc1)c1ccccc1,0.256170,0.000208,16.908203,-403.740234,-3.014473,0.005562,15.903046,-281.007812,-2.571426,0.001267
CN1CCC=C(C(=O)O)C1,CC(=O)Nc1ccc(C=O)cc1,0.252355,0.000200,17.426208,-316.408203,-3.007187,0.004761,14.808350,-631.435547,-2.367821,0.001811
CN1CCC=C(C(=O)O)C1,Cc1cccc(CO)c1,0.252464,0.000202,17.065552,-365.203125,-2.970680,0.004918,15.673798,-589.669922,-2.451515,0.001331
CN1CCC=C(C(=O)O)C1,COC(C)CO,0.244323,0.000185,17.455933,-365.966797,-2.965324,0.004351,15.785950,-707.988281,-2.467384,0.001661
CN1CCC=C(C(=O)O)C1,Nc1nc(=O)c2ccccc2o1,0.238073,0.000168,18.128876,-356.636719,-3.052986,0.004441,13.583008,-757.326172,-2.166191,0.001995
CN1CCC=C(C(=O)O)C1,CC(Cl)Br,0.286809,0.000253,12.581024,-48.144531,-2.711632,0.008074,16.505646,897.310547,-2.930298,0.001475
CN1CCC=C(C(=O)O)C1,CCCOC(F)F,0.295181,0.000263,11.766357,172.582031,-2.574196,0.007717,15.020691,1011.498047,-2.843781,0.002498
CN1CCC=C(C(=O)O)C1,COC1CC2CCC1(C)C2(C)C,0.259406,0.000189,12.927582,-207.132812,-2.340149,0.005345,14.313232,459.296875,-2.502167,0.001815
CN1CCC=C(C(=O)O)C1,CCC(=O)C1=NCCC1,0.240727,0.000171,15.712372,-581.921875,-2.683777,0.004813,15.335602,-344.984375,-2.370926,0.000385
CN1CCC=C(C(=O)O)C1,NC(CF)(CF)CF,0.234739,0.000157,16.525848,-542.738281,-2.833603,0.004544,14.108032,-694.177734,-2.128288,0.000976
CN1CCC=C(C(=O)O)C1,CC(C)CCCC(C)CC=O,0.264445,0.000208,13.810760,-151.255859,-2.556168,0.005608,15.047394,232.232422,-2.581406,0.001716
CN1CCC=C(C(=O)O)C1,Cc1coc(C)n1,0.224790,0.000144,17.300903,-741.021484,-2.867065,0.004145,15.035278,-699.265625,-2.221123,0.000276
CN1CCC=C(C(=O)O)C1,NC(=S)NC(N)=S,0.223878,0.000122,17.903656,-563.699219,-2.941963,0.003968,15.691986,-776.248047,-2.453461,0.002256
CN1CCC=C(C(=O)O)C1,FC(F)C(Cl)C(F)F,0.270973,0.000222,14.354279,-404.380859,-2.851120,0.007258,18.266663,332.316406,-3.027000,0.001091
CN1CCC=C(C(=O)O)C1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.271146,0.000209,10.854462,595.734375,-2.216377,0.005837,13.668549,1212.728516,-2.690559,0.003327
CN1CCC=C(C(=O)O)C1,NNC(=O)c1ccccc1,0.247240,0.000193,18.149475,-370.822266,-3.165947,0.005161,16.191010,-732.458984,-2.516365,0.001765
CN1CCC=C(C(=O)O)C1,ClC=CBr,0.288507,0.000249,12.016937,-118.916016,-2.594147,0.007830,16.627777,899.923828,-2.972000,0.001842
CN1CCC=C(C(=O)O)C1,CN(C)N=O,0.249211,0.000194,16.763824,-386.847656,-3.036133,0.005714,16.269348,-295.800781,-2.491425,0.000661
CN1CCC=C(C(=O)O)C1,c1ccc(C2CCCCC2)cc1,0.292271,0.000249,10.716309,358.603516,-2.368477,0.007463,13.957001,1437.843750,-2.812576,0.003007
CN1CCC=C(C(=O)O)C1,N#Cc1ccncc1,0.238666,0.000173,17.069519,-742.140625,-2.858559,0.004622,16.572693,-580.230469,-2.504257,0.000330
CN1CCC=C(C(=O)O)C1,CN(C)C(=S)Nc1ccccc1,0.254998,0.000201,15.923615,-246.488281,-2.867470,0.005360,15.519928,-66.960938,-2.541718,0.001396
CN1CCC=C(C(=O)O)C1,CCC(N)CC,0.199492,0.000081,16.050690,-746.593750,-2.714500,0.004043,11.766144,-854.992188,-1.750816,0.000672
CN1CCC=C(C(=O)O)C1,COC(=O)CO,0.253170,0.000204,17.169830,-271.828125,-3.035973,0.005013,15.651062,-487.537109,-2.440414,0.001359
CN1CCC=C(C(=O)O)C1,Cc1c(N)cccc1Cl,0.248890,0.000191,16.747437,-695.478516,-2.944069,0.005600,17.581207,-335.142578,-2.752388,0.000522
CN1CCC=C(C(=O)O)C1,CC1CCC(C(C)(C)OO)CC1,0.251228,0.000192,15.990051,-271.105469,-2.754089,0.004498,15.157776,-470.007812,-2.472923,0.001986
CN1CCC=C(C(=O)O)C1,CC(F)(Cl)CF,0.291957,0.000265,12.841644,89.988281,-2.780632,0.008085,15.922760,829.408203,-2.880013,0.001962
CN1CCC=C(C(=O)O)C1,CCCCC1OC(C)CC(C)(C)O1,0.250961,0.000181,14.386810,-271.742188,-2.470024,0.004496,14.542999,-113.687500,-2.431091,0.001800
