SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
Clc1ccc(Cl)c(Cl)c1,O=P(Cl)(c1ccccc1)c1ccccc1,0.247861,0.000202,20.201935,-395.070312,-3.371681,0.004517,15.824371,-741.941406,-2.502014,0.001562
Clc1ccc(Cl)c(Cl)c1,CC(=O)Nc1ccc(C=O)cc1,0.276846,0.000229,16.609497,1044.292969,-2.977493,0.003653,10.763580,184.681641,-2.235558,0.005461
Clc1ccc(Cl)c(Cl)c1,Cc1cccc(CO)c1,0.279289,0.000244,16.389038,517.058594,-3.101982,0.004862,12.812988,-134.789062,-2.380508,0.004368
Clc1ccc(Cl)c(Cl)c1,COC(C)CO,0.259741,0.000216,17.609955,-22.103516,-3.181213,0.004760,16.421265,-638.460938,-2.662346,0.002973
Clc1ccc(Cl)c(Cl)c1,Nc1nc(=O)c2ccccc2o1,0.258925,0.000193,15.597870,2163.101562,-2.720161,0.001119,8.355499,1034.609375,-2.194199,0.007521
Clc1ccc(Cl)c(Cl)c1,CC(Cl)Br,0.271468,0.000242,17.074219,-375.216797,-3.138474,0.006000,16.222809,-519.748047,-2.520248,0.001332
Clc1ccc(Cl)c(Cl)c1,CCCOC(F)F,0.271529,0.000239,16.695679,-298.820312,-3.042900,0.005768,15.600647,-509.451172,-2.473717,0.001610
Clc1ccc(Cl)c(Cl)c1,COC1CC2CCC1(C)C2(C)C,0.250505,0.000202,17.538879,-482.980469,-3.030396,0.004827,16.840820,-712.968750,-2.614586,0.001260
Clc1ccc(Cl)c(Cl)c1,CCC(=O)C1=NCCC1,0.248632,0.000200,18.558380,-530.527344,-3.190689,0.004906,17.522614,-827.781250,-2.711853,0.001441
Clc1ccc(Cl)c(Cl)c1,NC(CF)(CF)CF,0.263934,0.000214,16.344086,103.873047,-3.113358,0.005587,14.969879,-328.888672,-2.377884,0.002690
Clc1ccc(Cl)c(Cl)c1,CC(C)CCCC(C)CC=O,0.253698,0.000212,18.519806,-452.517578,-3.227119,0.005134,17.201965,-791.238281,-2.697784,0.001615
Clc1ccc(Cl)c(Cl)c1,Cc1coc(C)n1,0.249015,0.000200,18.815643,-513.222656,-3.270569,0.005020,17.490570,-814.628906,-2.680069,0.001492
Clc1ccc(Cl)c(Cl)c1,NC(=S)NC(N)=S,0.239940,0.000145,14.719818,1538.896484,-3.074158,0.005241,11.948120,1071.353516,-2.149490,0.004057
Clc1ccc(Cl)c(Cl)c1,FC(F)C(Cl)C(F)F,0.275242,0.000238,15.884308,21.441406,-3.104164,0.006284,14.693695,-133.828125,-2.298126,0.002111
Clc1ccc(Cl)c(Cl)c1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.262831,0.000203,12.876495,896.658203,-2.587341,0.004565,11.931396,468.541016,-2.271523,0.004499
Clc1ccc(Cl)c(Cl)c1,NNC(=O)c1ccccc1,0.280792,0.000238,15.825226,769.140625,-3.067146,0.004836,12.108063,51.509766,-2.259567,0.004893
Clc1ccc(Cl)c(Cl)c1,ClC=CBr,0.271865,0.000241,16.658356,-383.289062,-3.052849,0.005991,16.117096,-514.025391,-2.519447,0.001262
Clc1ccc(Cl)c(Cl)c1,CN(C)N=O,0.251662,0.000195,17.947388,-228.892578,-3.210846,0.004988,16.583832,-573.064453,-2.498253,0.001844
Clc1ccc(Cl)c(Cl)c1,c1ccc(C2CCCCC2)cc1,0.273777,0.000245,16.966034,-243.271484,-3.059799,0.005710,15.248260,-573.253906,-2.520683,0.002153
Clc1ccc(Cl)c(Cl)c1,N#Cc1ccncc1,0.254861,0.000208,18.584106,-337.601562,-3.250290,0.004972,16.927246,-730.607422,-2.642776,0.001900
Clc1ccc(Cl)c(Cl)c1,CN(C)C(=S)Nc1ccccc1,0.262679,0.000217,18.258484,-2.574219,-3.201279,0.004676,14.502380,-451.746094,-2.389038,0.002526
Clc1ccc(Cl)c(Cl)c1,CCC(N)CC,0.244916,0.000189,17.843048,-345.181641,-3.153404,0.004988,17.053558,-700.636719,-2.658340,0.001850
Clc1ccc(Cl)c(Cl)c1,COC(=O)CO,0.263798,0.000215,16.705872,171.349609,-3.189728,0.004846,14.696533,-245.615234,-2.346710,0.002944
