SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C=C(C)C1CC=C(CO)CC1,O=P(Cl)(c1ccccc1)c1ccccc1,0.250604,0.000205,18.788849,-386.777344,-3.215652,0.004810,15.569061,-562.716797,-2.413628,0.001075
C=C(C)C1CC=C(CO)CC1,CC(=O)Nc1ccc(C=O)cc1,0.250491,0.000193,17.857056,-193.970703,-3.110359,0.004624,13.912445,-577.876953,-2.207542,0.002056
C=C(C)C1CC=C(CO)CC1,Cc1cccc(CO)c1,0.252976,0.000209,18.146423,-383.041016,-3.227409,0.005210,16.457581,-673.408203,-2.521362,0.001409
C=C(C)C1CC=C(CO)CC1,COC(C)CO,0.240604,0.000186,18.922699,-542.744141,-3.278648,0.004742,17.202148,-828.164062,-2.564240,0.001141
C=C(C)C1CC=C(CO)CC1,Nc1nc(=O)c2ccccc2o1,0.246123,0.000178,17.984375,88.769531,-3.048439,0.003831,12.131989,-377.845703,-2.013229,0.002686
C=C(C)C1CC=C(CO)CC1,CC(Cl)Br,0.277991,0.000243,14.296600,-197.882812,-2.901741,0.007565,16.596100,338.232422,-2.756546,0.001055
C=C(C)C1CC=C(CO)CC1,CCCOC(F)F,0.283699,0.000252,14.230438,-92.062500,-2.862671,0.007152,15.987915,286.396484,-2.751015,0.001830
C=C(C)C1CC=C(CO)CC1,COC1CC2CCC1(C)C2(C)C,0.259903,0.000207,15.379059,-408.154297,-2.721489,0.005238,16.575867,-128.335938,-2.709465,0.001355
C=C(C)C1CC=C(CO)CC1,CCC(=O)C1=NCCC1,0.241771,0.000181,17.373047,-622.138672,-2.921989,0.004426,16.403107,-638.652344,-2.466934,0.000666
C=C(C)C1CC=C(CO)CC1,NC(CF)(CF)CF,0.239848,0.000172,17.087738,-450.335938,-2.991989,0.004505,15.431519,-627.984375,-2.260086,0.001125
C=C(C)C1CC=C(CO)CC1,CC(C)CCCC(C)CC=O,0.260873,0.000217,16.447723,-409.298828,-2.914078,0.005329,16.874359,-414.849609,-2.690323,0.001312
C=C(C)C1CC=C(CO)CC1,Cc1coc(C)n1,0.227291,0.000154,18.803406,-816.658203,-3.112511,0.004226,16.420258,-851.056641,-2.390060,0.000383
C=C(C)C1CC=C(CO)CC1,NC(=S)NC(N)=S,0.236871,0.000143,15.450775,99.531250,-2.781418,0.005137,12.869812,-180.232422,-1.863029,0.001829
C=C(C)C1CC=C(CO)CC1,FC(F)C(Cl)C(F)F,0.266426,0.000221,15.511780,-351.542969,-2.964653,0.006757,17.204468,20.181641,-2.763756,0.000985
