SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(C)(C)c1ccc(N)cc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.239455,0.000184,19.336243,-579.269531,-3.255379,0.004544,17.107300,-852.224609,-2.629318,0.001293
CC(C)(C)c1ccc(N)cc1,CC(=O)Nc1ccc(C=O)cc1,0.245992,0.000184,17.432495,-241.402344,-2.984207,0.004308,14.766266,-695.199219,-2.345551,0.002294
CC(C)(C)c1ccc(N)cc1,Cc1cccc(CO)c1,0.252521,0.000205,17.757385,-322.937500,-3.100334,0.004835,16.359375,-690.152344,-2.565178,0.001754
CC(C)(C)c1ccc(N)cc1,COC(C)CO,0.231560,0.000163,19.188538,-673.835938,-3.188965,0.004149,17.671021,-920.662109,-2.683426,0.001238
CC(C)(C)c1ccc(N)cc1,Nc1nc(=O)c2ccccc2o1,0.242901,0.000173,18.095093,182.226562,-3.018822,0.003394,12.685455,-477.615234,-2.181557,0.003405
CC(C)(C)c1ccc(N)cc1,CC(Cl)Br,0.267381,0.000225,15.985016,-371.222656,-2.952888,0.005874,17.612244,-376.046875,-2.801834,0.001634
CC(C)(C)c1ccc(N)cc1,CCCOC(F)F,0.269929,0.000230,16.026306,-331.292969,-2.921158,0.005643,16.929413,-375.669922,-2.739693,0.001838
CC(C)(C)c1ccc(N)cc1,COC1CC2CCC1(C)C2(C)C,0.251560,0.000191,16.091736,-497.478516,-2.751556,0.004151,17.415985,-378.269531,-2.751282,0.001855
CC(C)(C)c1ccc(N)cc1,CCC(=O)C1=NCCC1,0.232534,0.000162,18.428467,-825.187500,-3.002151,0.004028,18.004211,-846.058594,-2.722778,0.000732
CC(C)(C)c1ccc(N)cc1,NC(CF)(CF)CF,0.243114,0.000184,17.428345,-448.148438,-2.984528,0.004395,16.839325,-673.619141,-2.530197,0.001128
CC(C)(C)c1ccc(N)cc1,CC(C)CCCC(C)CC=O,0.248232,0.000192,17.539032,-562.634766,-2.966293,0.004497,17.387695,-713.765625,-2.729546,0.001413
CC(C)(C)c1ccc(N)cc1,Cc1coc(C)n1,0.226567,0.000150,18.942535,-882.857422,-3.114029,0.004114,17.968903,-923.097656,-2.653816,0.000593
CC(C)(C)c1ccc(N)cc1,NC(=S)NC(N)=S,0.239625,0.000157,15.816132,67.529297,-2.917519,0.005472,16.106018,-355.916016,-2.338394,0.002385
CC(C)(C)c1ccc(N)cc1,FC(F)C(Cl)C(F)F,0.258807,0.000208,16.366913,-357.148438,-2.966408,0.005416,16.915527,-481.554688,-2.624939,0.001495
CC(C)(C)c1ccc(N)cc1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.249303,0.000177,13.521454,457.500000,-2.474884,0.004351,13.217621,176.115234,-2.345726,0.003165
CC(C)(C)c1ccc(N)cc1,NNC(=O)c1ccccc1,0.256782,0.000208,17.239410,-94.128906,-3.060310,0.004905,16.718658,-641.900391,-2.658005,0.002593
CC(C)(C)c1ccc(N)cc1,ClC=CBr,0.269718,0.000226,15.463074,-363.896484,-2.876373,0.005910,17.814697,-306.095703,-2.857124,0.001835
CC(C)(C)c1ccc(N)cc1,CN(C)N=O,0.235508,0.000166,18.345367,-539.156250,-3.139702,0.004454,17.977539,-798.501953,-2.672379,0.001334
CC(C)(C)c1ccc(N)cc1,c1ccc(C2CCCCC2)cc1,0.272783,0.000228,15.262756,-210.742188,-2.738907,0.005199,16.074738,-247.537109,-2.743797,0.002799
CC(C)(C)c1ccc(N)cc1,N#Cc1ccncc1,0.233991,0.000164,18.347076,-710.251953,-3.040215,0.004141,17.938843,-851.044922,-2.689377,0.000939
CC(C)(C)c1ccc(N)cc1,CN(C)C(=S)Nc1ccccc1,0.224671,0.000145,18.445679,-631.701172,-3.033081,0.003821,15.680115,-844.378906,-2.336502,0.001119
CC(C)(C)c1ccc(N)cc1,CCC(N)CC,0.214227,0.000122,18.645386,-949.931641,-2.975319,0.003516,16.977783,-987.132812,-2.475128,0.000601
CC(C)(C)c1ccc(N)cc1,COC(=O)CO,0.235692,0.000170,18.457184,-512.320312,-3.197731,0.004399,16.973145,-753.585938,-2.515495,0.001323
CC(C)(C)c1ccc(N)cc1,Cc1c(N)cccc1Cl,0.249676,0.000201,17.677948,-415.222656,-3.060104,0.004739,16.897400,-675.613281,-2.604439,0.001284
CC(C)(C)c1ccc(N)cc1,CC1CCC(C(C)(C)OO)CC1,0.243530,0.000186,17.901093,-461.037109,-3.060272,0.004583,16.189270,-794.642578,-2.518723,0.001562
CC(C)(C)c1ccc(N)cc1,CC(F)(Cl)CF,0.267857,0.000228,16.391144,-289.453125,-3.018867,0.005825,16.929321,-450.613281,-2.680862,0.001788
CC(C)(C)c1ccc(N)cc1,CCCCC1OC(C)CC(C)(C)O1,0.244366,0.000181,17.234344,-563.255859,-2.829422,0.003891,17.395905,-683.009766,-2.771751,0.001701
CC(C)(C)c1ccc(N)cc1,CC(C)(C)OCC1CO1,0.238238,0.000175,18.483978,-726.550781,-3.063179,0.004243,18.304657,-834.990234,-2.800659,0.001018
CC(C)(C)c1ccc(N)cc1,O=P(O)(O)OP(=O)(O)O,0.189777,0.000027,15.892059,-301.833984,-3.056236,0.006006,6.147369,-787.318359,-0.911781,0.002803
CC(C)(C)c1ccc(N)cc1,CC(=O)Nc1ccc(C)cc1,0.246322,0.000188,17.600861,-441.181641,-3.009186,0.004599,15.554749,-741.683594,-2.424149,0.001591
CC(C)(C)c1ccc(N)cc1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.247941,0.000190,18.580078,-79.802734,-3.186523,0.004391,15.301697,-466.341797,-2.379166,0.001833
CC(C)(C)c1ccc(N)cc1,CC(C)(O)CCC1CCCCC1,0.247096,0.000190,17.624420,-439.353516,-2.998779,0.004472,16.121490,-750.933594,-2.540718,0.001737
CC(C)(C)c1ccc(N)cc1,COCC(F)(F)F,0.261106,0.000214,16.213379,-329.556641,-2.891602,0.005114,16.524780,-433.623047,-2.584618,0.001457
CC(C)(C)c1ccc(N)cc1,COCC(O)COC,0.222280,0.000144,20.050110,-890.308594,-3.249893,0.003988,18.337585,-1032.105469,-2.767006,0.000939
CC(C)(C)c1ccc(N)cc1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.248423,0.000199,18.766693,57.843750,-3.180275,0.003729,15.682617,-710.917969,-2.641975,0.003481
CC(C)(C)c1ccc(N)cc1,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.231458,0.000156,17.785217,-265.015625,-3.044044,0.004004,14.839905,-751.304688,-2.253960,0.002160
CC(C)(C)c1ccc(N)cc1,CC(C)C(F)F,0.272840,0.000232,15.468231,-293.410156,-2.854469,0.005760,16.750305,-266.000000,-2.755859,0.002077
CC(C)(C)c1ccc(N)cc1,CCCCC1C=C(C)CC(C)O1,0.247274,0.000184,16.489777,-525.017578,-2.757874,0.003918,17.261597,-507.484375,-2.731956,0.001718
CC(C)(C)c1ccc(N)cc1,COc1ccc(C(C)=O)cc1,0.243624,0.000186,18.315186,-583.994141,-3.112083,0.004568,17.623718,-809.652344,-2.681267,0.001230
CC(C)(C)c1ccc(N)cc1,Oc1cc(O)ncn1,0.237575,0.000156,16.077698,21.294922,-2.885666,0.004465,13.619598,-602.037109,-2.172546,0.003107
CC(C)(C)c1ccc(N)cc1,COCCCCl,0.250297,0.000193,16.751251,-580.701172,-2.899292,0.004550,17.731323,-589.656250,-2.700546,0.001221
CC(C)(C)c1ccc(N)cc1,CCCOC,0.240002,0.000173,17.060944,-707.869141,-2.888588,0.004018,18.407196,-641.498047,-2.750626,0.001062
CC(C)(C)c1ccc(N)cc1,Fc1c(F)c(F)c(F)c(F)c1F,0.264701,0.000208,14.201111,-101.990234,-2.596649,0.005190,15.449188,-27.154297,-2.641624,0.002601
CC(C)(C)c1ccc(N)cc1,CCP(CC)CC,0.250642,0.000188,15.754639,-518.859375,-2.722054,0.004104,17.974304,-331.564453,-2.814850,0.001859
CC(C)(C)c1ccc(N)cc1,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.241124,0.000174,17.497894,-575.365234,-2.823898,0.003626,17.700134,-738.945312,-2.832069,0.001903
CC(C)(C)c1ccc(N)cc1,Fc1cc(F)c(F)cc1F,0.269365,0.000223,15.225952,-242.396484,-2.793953,0.005563,16.299622,-291.966797,-2.669029,0.002165
CC(C)(C)c1ccc(N)cc1,CCCCc1ccc(C(=O)O)cc1,0.238267,0.000171,17.580505,-498.263672,-2.974648,0.004375,15.303802,-788.617188,-2.365639,0.001497
CC(C)(C)c1ccc(N)cc1,C=Cc1c(C)cc(C)cc1C,0.272474,0.000230,15.551239,-206.625000,-2.814110,0.005380,16.333893,-310.076172,-2.753021,0.002699
CC(C)(C)c1ccc(N)cc1,C=C(C)C(=O)OC(C)(C)C,0.249653,0.000198,17.848846,-590.253906,-3.038841,0.004686,17.724976,-685.335938,-2.777229,0.001282
CC(C)(C)c1ccc(N)cc1,FC1CCCN1,0.238127,0.000181,19.233063,-669.679688,-3.254753,0.004499,18.534332,-835.523438,-2.779510,0.000868
CC(C)(C)c1ccc(N)cc1,CCCCCCCC(=O)NC,0.238868,0.000176,18.325226,-519.662109,-3.035706,0.004072,16.870697,-858.181641,-2.646255,0.001696
CC(C)(C)c1ccc(N)cc1,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.262257,0.000200,13.573364,405.191406,-2.582222,0.005112,13.853760,195.046875,-2.539642,0.003739
CC(C)(C)c1ccc(N)cc1,C1=CC2C=CC1C2,0.271570,0.000223,14.926880,-280.300781,-2.718147,0.005388,16.716614,-174.796875,-2.809044,0.002564
CC(C)(C)c1ccc(N)cc1,CCC(C)(O)CCC=C(C)C,0.244872,0.000187,17.781830,-493.130859,-3.023575,0.004511,16.066650,-764.693359,-2.508888,0.001540
CC(C)(C)c1ccc(N)cc1,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.238447,0.000179,18.346497,-234.351562,-2.937714,0.003459,18.722473,-863.820312,-3.176979,0.002912
CC(C)(C)c1ccc(N)cc1,CCC(C)CCF,0.270775,0.000226,15.479858,-286.144531,-2.808571,0.005411,16.679016,-319.380859,-2.763641,0.002358
CC(C)(C)c1ccc(N)cc1,C=Cc1cccc(CC)c1,0.273044,0.000231,15.512970,-211.083984,-2.811943,0.005404,16.360046,-311.083984,-2.751526,0.002672
CC(C)(C)c1ccc(N)cc1,CC(C)(C(O)(F)F)C(F)(F)F,0.169835,0.000023,19.468842,-1325.507812,-3.174194,0.003929,12.038391,-1188.462891,-1.725372,-0.000229
CC(C)(C)c1ccc(N)cc1,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.270975,0.000219,14.599823,-251.810547,-2.651566,0.005287,16.248291,-149.851562,-2.747002,0.002670
CC(C)(C)c1ccc(N)cc1,CCN(CC)c1ccc(N)cc1,0.240436,0.000192,19.341125,-507.101562,-3.244873,0.004320,18.153137,-869.041016,-2.801758,0.001363
CC(C)(C)c1ccc(N)cc1,FC(F)CC(F)(F)F,0.267504,0.000222,15.317383,-70.476562,-2.895607,0.005710,15.221252,-233.667969,-2.427963,0.002035
CC(C)(C)c1ccc(N)cc1,N#CCCOCCC#N,0.246959,0.000191,18.576904,-219.474609,-3.175919,0.004450,15.332642,-476.908203,-2.357315,0.001383
CC(C)(C)c1ccc(N)cc1,CCC(C)C(C)C(C)C,0.270370,0.000212,13.612732,-7.642578,-2.496529,0.004868,15.432861,180.716797,-2.789253,0.003787
CC(C)(C)c1ccc(N)cc1,Cn1c(=O)ccc2ccccc21,0.225396,0.000146,19.055359,-788.287109,-3.114380,0.003945,17.128571,-953.085938,-2.543579,0.001036
CC(C)(C)c1ccc(N)cc1,CCOC(=O)c1ccccc1N,0.251111,0.000207,18.153534,-438.150391,-3.123230,0.004736,17.490753,-734.103516,-2.715828,0.001367
CC(C)(C)c1ccc(N)cc1,ClC1CN2CCC1CC2,0.226966,0.000146,17.756287,-863.921875,-2.917717,0.003745,17.475891,-843.529297,-2.520821,0.000606
CC(C)(C)c1ccc(N)cc1,CC=CCCCCCCCC#N,0.247888,0.000197,18.379486,-526.076172,-3.136650,0.004732,17.631226,-815.412109,-2.756348,0.001495
CC(C)(C)c1ccc(N)cc1,COCCl,0.262883,0.000221,16.704041,-379.773438,-3.044876,0.005731,17.201294,-440.306641,-2.680977,0.001315
CC(C)(C)c1ccc(N)cc1,NCCc1cccnc1,0.216585,0.000131,20.221558,-816.652344,-3.233353,0.003529,17.815430,-1131.185547,-2.704659,0.001551
CC(C)(C)c1ccc(N)cc1,Cc1cccc(C(=O)O)c1,0.234563,0.000164,17.853302,-555.867188,-3.038391,0.004375,15.589630,-794.816406,-2.350540,0.001230
CC(C)(C)c1ccc(N)cc1,C=CCNC,0.224517,0.000144,18.248688,-881.699219,-2.972267,0.003899,17.470917,-908.669922,-2.571175,0.000520
CC(C)(C)c1ccc(N)cc1,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.236340,0.000146,11.302704,701.544922,-2.157921,0.004020,12.846527,971.861328,-2.548958,0.003930
