SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(CO)CC(C)c1ccccc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.247841,0.000200,18.808075,-432.085938,-3.215530,0.004801,15.575012,-575.109375,-2.391556,0.000934
CC(CO)CC(C)c1ccccc1,CC(=O)Nc1ccc(C=O)cc1,0.252933,0.000198,17.682770,-150.648438,-3.130554,0.004838,14.092010,-496.908203,-2.228172,0.002031
CC(CO)CC(C)c1ccccc1,Cc1cccc(CO)c1,0.252125,0.000207,18.023132,-401.189453,-3.217766,0.005342,16.583527,-630.654297,-2.518166,0.001180
CC(CO)CC(C)c1ccccc1,COC(C)CO,0.241036,0.000186,18.658691,-528.222656,-3.260002,0.004872,17.154053,-790.404297,-2.548248,0.001068
CC(CO)CC(C)c1ccccc1,Nc1nc(=O)c2ccccc2o1,0.247409,0.000179,17.818726,147.400391,-3.082870,0.004092,12.153900,-296.693359,-2.009933,0.002797
CC(CO)CC(C)c1ccccc1,CC(Cl)Br,0.279226,0.000244,13.967682,-135.234375,-2.881058,0.007704,16.382629,445.154297,-2.750610,0.001122
CC(CO)CC(C)c1ccccc1,CCCOC(F)F,0.284585,0.000253,13.925140,-43.824219,-2.853592,0.007389,15.898132,434.468750,-2.756874,0.001768
CC(CO)CC(C)c1ccccc1,COC1CC2CCC1(C)C2(C)C,0.260870,0.000205,14.819977,-370.134766,-2.673569,0.005512,16.359802,80.357422,-2.715004,0.001383
CC(CO)CC(C)c1ccccc1,CCC(=O)C1=NCCC1,0.242014,0.000181,17.275482,-635.722656,-2.937019,0.004657,16.398621,-576.208984,-2.466736,0.000509
CC(CO)CC(C)c1ccccc1,NC(CF)(CF)CF,0.240457,0.000172,16.715302,-395.132812,-2.969208,0.004653,15.260254,-553.718750,-2.208778,0.001161
