SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCC(C)O[N+](=O)[O-],O=P(Cl)(c1ccccc1)c1ccccc1,0.256051,0.000215,19.652222,-300.275391,-3.337112,0.004798,15.511536,-670.380859,-2.489975,0.001748
CCC(C)O[N+](=O)[O-],CC(=O)Nc1ccc(C=O)cc1,0.279239,0.000241,17.147156,803.480469,-3.089409,0.004207,11.204742,128.642578,-2.284477,0.004824
CCC(C)O[N+](=O)[O-],Cc1cccc(CO)c1,0.277784,0.000244,16.812714,496.900391,-3.158691,0.005077,12.656158,-65.908203,-2.379837,0.004149
CCC(C)O[N+](=O)[O-],COC(C)CO,0.267198,0.000228,17.268646,156.148438,-3.177162,0.004883,15.282745,-410.785156,-2.595161,0.003353
CCC(C)O[N+](=O)[O-],Nc1nc(=O)c2ccccc2o1,0.260342,0.000202,16.323730,1820.503906,-2.881157,0.001637,8.993195,893.119141,-2.227859,0.006929
CCC(C)O[N+](=O)[O-],CC(Cl)Br,0.260519,0.000226,17.891602,-549.453125,-3.198112,0.005717,16.958923,-594.017578,-2.565315,0.000709
CCC(C)O[N+](=O)[O-],CCCOC(F)F,0.269610,0.000238,17.103027,-380.367188,-3.083954,0.005788,16.019043,-543.462891,-2.519302,0.001412
CCC(C)O[N+](=O)[O-],COC1CC2CCC1(C)C2(C)C,0.260650,0.000216,16.552368,-251.962891,-2.925858,0.004954,15.945312,-571.933594,-2.587616,0.002069
CCC(C)O[N+](=O)[O-],CCC(=O)C1=NCCC1,0.260099,0.000220,17.608734,-388.388672,-3.119492,0.005234,16.872498,-701.714844,-2.653656,0.001697
CCC(C)O[N+](=O)[O-],NC(CF)(CF)CF,0.266262,0.000225,17.098114,-64.826172,-3.182999,0.005852,15.626465,-462.527344,-2.505341,0.002366
CCC(C)O[N+](=O)[O-],CC(C)CCCC(C)CC=O,0.263030,0.000225,17.397919,-264.412109,-3.106300,0.005301,16.307404,-664.533203,-2.633057,0.002088
CCC(C)O[N+](=O)[O-],Cc1coc(C)n1,0.261226,0.000223,17.789734,-334.875000,-3.198509,0.005502,16.859253,-660.763672,-2.642532,0.001754
CCC(C)O[N+](=O)[O-],NC(=S)NC(N)=S,0.251780,0.000183,17.009460,412.660156,-3.184929,0.005481,14.546265,-17.089844,-2.287872,0.002530
CCC(C)O[N+](=O)[O-],FC(F)C(Cl)C(F)F,0.257146,0.000218,18.352844,-533.703125,-3.244377,0.005518,16.995636,-652.052734,-2.601692,0.000959
CCC(C)O[N+](=O)[O-],FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.260893,0.000210,15.722107,147.994141,-2.719124,0.004247,13.846893,-232.480469,-2.411156,0.002956
CCC(C)O[N+](=O)[O-],NNC(=O)c1ccccc1,0.279296,0.000237,16.245422,849.853516,-3.125778,0.004789,11.687836,165.816406,-2.278831,0.005016
CCC(C)O[N+](=O)[O-],ClC=CBr,0.260847,0.000223,17.355164,-533.841797,-3.118126,0.005758,17.023285,-545.861328,-2.593315,0.000807
CCC(C)O[N+](=O)[O-],CN(C)N=O,0.258613,0.000210,17.933289,-182.111328,-3.224884,0.005186,15.914276,-488.828125,-2.440437,0.001849
CCC(C)O[N+](=O)[O-],c1ccc(C2CCCCC2)cc1,0.270451,0.000236,16.734314,-257.597656,-2.989349,0.005437,15.149323,-483.218750,-2.498497,0.002126
CCC(C)O[N+](=O)[O-],N#Cc1ccncc1,0.257553,0.000217,18.954895,-383.628906,-3.294403,0.005103,16.774200,-735.216797,-2.622070,0.001754
CCC(C)O[N+](=O)[O-],CN(C)C(=S)Nc1ccccc1,0.253604,0.000208,19.637848,-247.246094,-3.302063,0.004506,15.102509,-575.544922,-2.408569,0.001643
CCC(C)O[N+](=O)[O-],CCC(N)CC,0.258985,0.000210,16.284271,-82.466797,-3.070114,0.005972,16.542969,-507.736328,-2.681557,0.002566
CCC(C)O[N+](=O)[O-],COC(=O)CO,0.268490,0.000227,17.031433,149.986328,-3.208473,0.004943,14.280304,-206.585938,-2.370003,0.002882
CCC(C)O[N+](=O)[O-],Cc1c(N)cccc1Cl,0.258323,0.000219,18.262390,-275.769531,-3.218147,0.005118,16.226929,-671.994141,-2.590088,0.001934
CCC(C)O[N+](=O)[O-],CC1CCC(C(C)(C)OO)CC1,0.272782,0.000243,17.453033,238.474609,-3.164276,0.004842,14.605438,-341.466797,-2.639725,0.003832
CCC(C)O[N+](=O)[O-],CC(F)(Cl)CF,0.264176,0.000233,18.256348,-463.460938,-3.260689,0.005749,16.581482,-617.642578,-2.549232,0.001210
CCC(C)O[N+](=O)[O-],CCCCC1OC(C)CC(C)(C)O1,0.261320,0.000221,17.259460,-243.156250,-3.050072,0.005053,16.486633,-697.890625,-2.676659,0.002270
CCC(C)O[N+](=O)[O-],CC(C)(C)OCC1CO1,0.260613,0.000224,18.107697,-374.708984,-3.212204,0.005321,17.145935,-728.832031,-2.702164,0.001774
CCC(C)O[N+](=O)[O-],O=P(O)(O)OP(=O)(O)O,0.236306,0.000148,13.962494,2595.728516,-2.612617,0.001682,9.394348,1496.013672,-2.190193,0.007931
CCC(C)O[N+](=O)[O-],CC(=O)Nc1ccc(C)cc1,0.280983,0.000251,17.291687,554.392578,-3.116486,0.004449,12.174927,-65.503906,-2.387657,0.004404
CCC(C)O[N+](=O)[O-],CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.260035,0.000202,18.165649,297.880859,-3.291107,0.004917,12.728455,23.375000,-2.154663,0.002311
CCC(C)O[N+](=O)[O-],CC(C)(O)CCC1CCCCC1,0.278813,0.000248,16.630249,544.839844,-3.122345,0.005018,13.360809,-124.166016,-2.555695,0.004670
CCC(C)O[N+](=O)[O-],COCC(F)(F)F,0.266794,0.000231,17.136841,-296.130859,-3.084839,0.005546,16.089600,-558.677734,-2.540329,0.001733
CCC(C)O[N+](=O)[O-],COCC(O)COC,0.262907,0.000222,17.936737,-177.728516,-3.213875,0.005146,16.143219,-616.375000,-2.583626,0.002253
CCC(C)O[N+](=O)[O-],CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.270123,0.000224,16.817871,1332.601562,-3.017387,0.002687,10.479553,422.449219,-2.404190,0.006250
CCC(C)O[N+](=O)[O-],Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.265711,0.000217,17.388580,709.316406,-3.140007,0.003667,11.841400,34.916016,-2.252914,0.004556
CCC(C)O[N+](=O)[O-],CC(C)C(F)F,0.271217,0.000239,16.762695,-360.921875,-3.030396,0.005761,15.679382,-484.251953,-2.500267,0.001550
CCC(C)O[N+](=O)[O-],CCCCC1C=C(C)CC(C)O1,0.259319,0.000215,16.832977,-249.369141,-2.974899,0.004979,16.160461,-645.097656,-2.609161,0.002069
CCC(C)O[N+](=O)[O-],COc1ccc(C(C)=O)cc1,0.266060,0.000229,18.193665,-203.904297,-3.215866,0.005318,15.529663,-583.662109,-2.524666,0.002039
CCC(C)O[N+](=O)[O-],Oc1cc(O)ncn1,0.270372,0.000215,14.138245,1652.480469,-2.921822,0.003854,10.971527,784.140625,-2.367111,0.006811
CCC(C)O[N+](=O)[O-],COCCCCl,0.266748,0.000229,16.865448,-345.748047,-3.054306,0.005585,16.420471,-614.777344,-2.594604,0.001728
CCC(C)O[N+](=O)[O-],CCCOC,0.259227,0.000214,16.538940,-338.335938,-2.992203,0.005373,16.553711,-600.492188,-2.616867,0.001685
