SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCC=CCCC=CC(OCC)OCC,O=P(Cl)(c1ccccc1)c1ccccc1,0.247187,0.000197,19.616821,-404.560547,-3.390686,0.004813,16.198120,-558.097656,-2.438492,0.000955
CCC=CCCC=CC(OCC)OCC,CC(=O)Nc1ccc(C=O)cc1,0.257541,0.000201,17.640808,384.486328,-3.148178,0.004059,13.447723,-53.210938,-2.242996,0.003044
CCC=CCCC=CC(OCC)OCC,Cc1cccc(CO)c1,0.242008,0.000184,17.972778,-386.105469,-3.106850,0.004417,15.927216,-598.675781,-2.403839,0.001184
CCC=CCCC=CC(OCC)OCC,COC(C)CO,0.253110,0.000204,17.122528,-153.880859,-3.205643,0.005250,17.263153,-433.972656,-2.582916,0.001830
CCC=CCCC=CC(OCC)OCC,Nc1nc(=O)c2ccccc2o1,0.236894,0.000146,17.436035,960.849609,-2.865784,0.002220,7.610107,377.769531,-1.484200,0.004558
CCC=CCCC=CC(OCC)OCC,CC(Cl)Br,0.248130,0.000196,17.893127,-746.820312,-3.168182,0.005390,18.917389,-624.271484,-2.812218,0.000430
CCC=CCCC=CC(OCC)OCC,CCCOC(F)F,0.258368,0.000219,17.399658,-560.478516,-3.138222,0.005608,17.945343,-606.843750,-2.679352,0.000632
CCC=CCCC=CC(OCC)OCC,COC1CC2CCC1(C)C2(C)C,0.256383,0.000211,17.242950,-460.683594,-3.056244,0.005216,17.294220,-594.083984,-2.678337,0.001344
CCC=CCCC=CC(OCC)OCC,CCC(=O)C1=NCCC1,0.249858,0.000202,17.900787,-528.353516,-3.191498,0.005217,17.743774,-657.974609,-2.618950,0.000878
CCC=CCCC=CC(OCC)OCC,NC(CF)(CF)CF,0.246393,0.000189,16.938507,-206.117188,-3.230064,0.005767,17.138611,-261.953125,-2.389526,0.001114
CCC=CCCC=CC(OCC)OCC,CC(C)CCCC(C)CC=O,0.257149,0.000218,18.010559,-466.787109,-3.206520,0.005454,17.367645,-702.269531,-2.657417,0.001211
CCC=CCCC=CC(OCC)OCC,Cc1coc(C)n1,0.248799,0.000202,18.206543,-498.333984,-3.299744,0.005424,18.454010,-664.132812,-2.687431,0.000983
CCC=CCCC=CC(OCC)OCC,NC(=S)NC(N)=S,0.223616,0.000107,16.125305,187.080078,-2.828407,0.004715,12.872803,88.048828,-1.714531,0.001739
CCC=CCCC=CC(OCC)OCC,FC(F)C(Cl)C(F)F,0.224530,0.000142,19.645660,-922.169922,-3.461769,0.004868,19.651215,-742.285156,-2.661194,0.000377
CCC=CCCC=CC(OCC)OCC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.234259,0.000153,15.124298,-224.822266,-2.600227,0.003961,15.216156,-211.308594,-2.413452,0.001537
CCC=CCCC=CC(OCC)OCC,NNC(=O)c1ccccc1,0.257742,0.000194,16.573914,727.240234,-3.153603,0.004589,12.891968,286.357422,-2.151283,0.003590
CCC=CCCC=CC(OCC)OCC,ClC=CBr,0.244412,0.000182,17.909912,-859.593750,-3.173996,0.005143,19.479248,-635.904297,-2.898056,0.000651
CCC=CCCC=CC(OCC)OCC,CN(C)N=O,0.243811,0.000176,16.781158,-39.734375,-3.272713,0.005865,16.518066,-48.904297,-2.284279,0.000981
CCC=CCCC=CC(OCC)OCC,c1ccc(C2CCCCC2)cc1,0.261257,0.000221,17.298615,-464.439453,-3.086151,0.005419,17.187408,-599.068359,-2.676865,0.001357
