SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCCCC1CC(C)OC1=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.246191,0.000201,19.720703,-500.679688,-3.387581,0.004969,17.014465,-757.439453,-2.605690,0.001125
CCCCCCCC1CC(C)OC1=O,CC(=O)Nc1ccc(C=O)cc1,0.243273,0.000183,18.360962,-200.804688,-3.172295,0.004497,14.847473,-656.546875,-2.324455,0.001995
CCCCCCCC1CC(C)OC1=O,Cc1cccc(CO)c1,0.231451,0.000165,18.998535,-575.931641,-3.224396,0.004477,15.959900,-764.097656,-2.405914,0.000975
CCCCCCCC1CC(C)OC1=O,COC(C)CO,0.248035,0.000196,17.318665,-270.330078,-3.200027,0.005621,17.443573,-521.345703,-2.632782,0.001457
CCCCCCCC1CC(C)OC1=O,Nc1nc(=O)c2ccccc2o1,0.230391,0.000150,19.109955,261.429688,-3.091782,0.002817,10.864410,-352.257812,-1.868095,0.003214
CCCCCCCC1CC(C)OC1=O,CC(Cl)Br,0.237924,0.000174,18.486877,-856.261719,-3.205437,0.005031,19.112732,-703.843750,-2.812462,0.000341
CCCCCCCC1CC(C)OC1=O,CCCOC(F)F,0.253578,0.000208,17.416992,-598.525391,-3.059685,0.005223,17.655273,-589.958984,-2.672821,0.000668
CCCCCCCC1CC(C)OC1=O,COC1CC2CCC1(C)C2(C)C,0.247506,0.000186,16.051971,-415.490234,-2.811066,0.004746,15.864655,-240.949219,-2.585670,0.001850
CCCCCCCC1CC(C)OC1=O,CCC(=O)C1=NCCC1,0.250800,0.000202,17.627533,-549.820312,-3.082779,0.005048,17.246063,-649.023438,-2.596291,0.000874
CCCCCCCC1CC(C)OC1=O,NC(CF)(CF)CF,0.239801,0.000179,17.092896,-317.875000,-3.228012,0.005997,17.483826,-373.474609,-2.498886,0.001046
CCCCCCCC1CC(C)OC1=O,CC(C)CCCC(C)CC=O,0.251051,0.000201,17.083466,-441.582031,-3.043762,0.005289,16.739960,-489.947266,-2.633636,0.001424
CCCCCCCC1CC(C)OC1=O,Cc1coc(C)n1,0.247557,0.000198,17.774658,-489.373047,-3.223030,0.005632,17.890350,-614.681641,-2.663246,0.000877
CCCCCCCC1CC(C)OC1=O,NC(=S)NC(N)=S,0.195412,0.000057,19.976074,-765.400391,-3.322601,0.004751,16.334045,-871.986328,-2.319077,0.002025
CCCCCCCC1CC(C)OC1=O,FC(F)C(Cl)C(F)F,0.211717,0.000113,20.991302,-1096.904297,-3.559181,0.004646,19.898285,-947.291016,-2.811562,0.000499
