SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCCCCCCCCC(=O)OC,O=P(Cl)(c1ccccc1)c1ccccc1,0.247969,0.000196,19.593658,-311.351562,-3.384682,0.004706,15.040497,-402.683594,-2.284569,0.000908
CCCCCCCCCCCCC(=O)OC,CC(=O)Nc1ccc(C=O)cc1,0.260909,0.000204,17.182434,537.093750,-3.144997,0.004160,12.252686,179.318359,-2.064392,0.003192
CCCCCCCCCCCCC(=O)OC,Cc1cccc(CO)c1,0.252036,0.000205,18.215973,-173.691406,-3.270264,0.004789,15.786926,-422.039062,-2.424309,0.001607
CCCCCCCCCCCCC(=O)OC,COC(C)CO,0.259398,0.000210,16.628174,26.841797,-3.212585,0.005451,16.277252,-223.744141,-2.460159,0.002242
CCCCCCCCCCCCC(=O)OC,Nc1nc(=O)c2ccccc2o1,0.232704,0.000142,17.082520,1354.652344,-2.947235,0.002167,8.351044,866.257812,-1.676559,0.004417
CCCCCCCCCCCCC(=O)OC,CC(Cl)Br,0.254336,0.000210,17.476257,-569.775391,-3.176994,0.005637,18.211212,-512.898438,-2.718330,0.000665
CCCCCCCCCCCCC(=O)OC,CCCOC(F)F,0.261846,0.000225,17.380157,-455.429688,-3.187386,0.005718,17.258698,-522.726562,-2.593681,0.000914
CCCCCCCCCCCCC(=O)OC,COC1CC2CCC1(C)C2(C)C,0.258592,0.000219,17.653870,-461.046875,-3.135696,0.005396,16.904266,-635.404297,-2.610565,0.001185
CCCCCCCCCCCCC(=O)OC,CCC(=O)C1=NCCC1,0.253796,0.000207,17.712891,-421.992188,-3.209152,0.005323,16.912048,-535.337891,-2.507111,0.001106
CCCCCCCCCCCCC(=O)OC,NC(CF)(CF)CF,0.248417,0.000189,16.509186,-113.251953,-3.259407,0.006098,16.399750,-75.339844,-2.243790,0.001055
CCCCCCCCCCCCC(=O)OC,CC(C)CCCC(C)CC=O,0.260947,0.000225,18.084137,-403.646484,-3.242592,0.005568,16.800751,-651.597656,-2.596542,0.001427
CCCCCCCCCCCCC(=O)OC,Cc1coc(C)n1,0.251787,0.000204,17.964752,-399.187500,-3.309128,0.005638,17.549347,-491.570312,-2.552162,0.001003
CCCCCCCCCCCCC(=O)OC,NC(=S)NC(N)=S,0.213417,0.000101,16.434692,485.261719,-3.127548,0.005836,14.681366,495.921875,-1.895638,0.000893
CCCCCCCCCCCCC(=O)OC,FC(F)C(Cl)C(F)F,0.235107,0.000168,18.792847,-700.652344,-3.356850,0.005076,18.163910,-533.759766,-2.500214,0.000318
CCCCCCCCCCCCC(=O)OC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.244392,0.000177,14.831329,-43.791016,-2.701538,0.004757,14.136261,2.837891,-2.250023,0.001408
CCCCCCCCCCCCC(=O)OC,NNC(=O)c1ccccc1,0.257097,0.000192,16.299927,670.966797,-3.228912,0.005192,12.912659,410.822266,-2.070168,0.002956
CCCCCCCCCCCCC(=O)OC,ClC=CBr,0.251407,0.000198,17.479828,-740.480469,-3.140442,0.005474,19.013885,-555.326172,-2.893158,0.000772
CCCCCCCCCCCCC(=O)OC,CN(C)N=O,0.235600,0.000157,16.772980,201.396484,-3.336426,0.006010,15.523254,345.132812,-2.193069,0.000688
CCCCCCCCCCCCC(=O)OC,c1ccc(C2CCCCC2)cc1,0.263427,0.000228,17.558441,-426.699219,-3.156975,0.005652,16.816650,-607.628906,-2.631340,0.001365
CCCCCCCCCCCCC(=O)OC,N#Cc1ccncc1,0.244546,0.000188,18.569641,-376.662109,-3.307457,0.004874,16.769714,-479.011719,-2.436035,0.000972
CCCCCCCCCCCCC(=O)OC,CN(C)C(=S)Nc1ccccc1,0.237402,0.000167,18.571747,-100.734375,-3.145882,0.003728,14.056793,-289.982422,-2.081123,0.001340
CCCCCCCCCCCCC(=O)OC,CCC(N)CC,0.252878,0.000203,17.038086,-254.556641,-3.244377,0.006258,17.792603,-482.082031,-2.706619,0.001715
