SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCCOC(=O)OCCCCCC,O=P(Cl)(c1ccccc1)c1ccccc1,0.245898,0.000194,19.872467,-386.226562,-3.399811,0.004646,15.608185,-482.980469,-2.345848,0.000817
CCCCCCOC(=O)OCCCCCC,CC(=O)Nc1ccc(C=O)cc1,0.261833,0.000206,17.323761,449.699219,-3.126091,0.004177,12.611267,70.146484,-2.116959,0.003086
CCCCCCOC(=O)OCCCCCC,Cc1cccc(CO)c1,0.253421,0.000209,18.247253,-186.802734,-3.267982,0.004822,16.057312,-450.003906,-2.477386,0.001657
CCCCCCOC(=O)OCCCCCC,COC(C)CO,0.258453,0.000209,16.770508,-25.384766,-3.224655,0.005524,16.626007,-260.095703,-2.502235,0.002077
CCCCCCOC(=O)OCCCCCC,Nc1nc(=O)c2ccccc2o1,0.231954,0.000140,17.287811,1252.214844,-2.966614,0.002242,8.839691,724.482422,-1.728439,0.004345
CCCCCCOC(=O)OCCCCCC,CC(Cl)Br,0.249977,0.000202,17.981476,-659.009766,-3.219948,0.005421,18.562317,-604.699219,-2.763054,0.000588
CCCCCCOC(=O)OCCCCCC,CCCOC(F)F,0.260733,0.000225,17.564209,-510.955078,-3.196678,0.005651,17.547211,-559.125000,-2.630707,0.000778
CCCCCCOC(=O)OCCCCCC,COC1CC2CCC1(C)C2(C)C,0.256395,0.000214,17.578949,-468.074219,-3.112274,0.005272,16.927246,-633.248047,-2.604362,0.001155
CCCCCCOC(=O)OCCCCCC,CCC(=O)C1=NCCC1,0.252901,0.000206,17.842102,-460.316406,-3.217903,0.005292,17.205109,-574.343750,-2.549232,0.001067
CCCCCCOC(=O)OCCCCCC,NC(CF)(CF)CF,0.249514,0.000191,16.596771,-152.263672,-3.242508,0.006143,16.649445,-131.042969,-2.301888,0.001121
CCCCCCOC(=O)OCCCCCC,CC(C)CCCC(C)CC=O,0.259520,0.000223,18.218445,-439.199219,-3.249855,0.005525,17.076172,-683.154297,-2.628456,0.001311
CCCCCCOC(=O)OCCCCCC,Cc1coc(C)n1,0.250536,0.000203,18.277740,-447.310547,-3.326866,0.005514,17.724274,-542.416016,-2.585831,0.000909
CCCCCCOC(=O)OCCCCCC,NC(=S)NC(N)=S,0.217682,0.000108,16.777344,314.818359,-3.167496,0.005633,15.365570,225.568359,-2.045525,0.001261
CCCCCCOC(=O)OCCCCCC,FC(F)C(Cl)C(F)F,0.229777,0.000158,19.473083,-810.666016,-3.457809,0.004997,18.947510,-670.146484,-2.590843,0.000367
