SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCOC(=O)c1ccccc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.248652,0.000204,19.929596,-453.818359,-3.414360,0.004840,16.098419,-609.681641,-2.455688,0.000982
CCCCCOC(=O)c1ccccc1,CC(=O)Nc1ccc(C=O)cc1,0.266577,0.000219,17.509125,401.611328,-3.135826,0.004424,13.016266,-88.732422,-2.262978,0.003361
CCCCCOC(=O)c1ccccc1,Cc1cccc(CO)c1,0.255218,0.000213,18.225220,-177.587891,-3.273705,0.005083,16.192078,-515.027344,-2.540482,0.001907
CCCCCOC(=O)c1ccccc1,COC(C)CO,0.259037,0.000214,17.191772,-89.740234,-3.227959,0.005491,16.968475,-463.744141,-2.632454,0.002296
CCCCCOC(=O)c1ccccc1,Nc1nc(=O)c2ccccc2o1,0.252126,0.000181,17.537476,928.796875,-3.005615,0.002892,9.350922,319.664062,-1.823067,0.004633
CCCCCOC(=O)c1ccccc1,CC(Cl)Br,0.252638,0.000212,18.241089,-624.732422,-3.253754,0.005621,18.401520,-640.718750,-2.748718,0.000533
CCCCCOC(=O)c1ccccc1,CCCOC(F)F,0.262724,0.000228,17.539734,-440.882812,-3.171326,0.005708,17.074036,-588.927734,-2.608459,0.001056
CCCCCOC(=O)c1ccccc1,COC1CC2CCC1(C)C2(C)C,0.256019,0.000209,17.079376,-394.964844,-2.994690,0.004961,16.309967,-520.365234,-2.603157,0.001652
CCCCCOC(=O)c1ccccc1,CCC(=O)C1=NCCC1,0.253633,0.000210,18.183716,-503.494141,-3.202087,0.005205,17.160034,-687.113281,-2.594925,0.001123
CCCCCOC(=O)c1ccccc1,NC(CF)(CF)CF,0.254507,0.000202,16.714996,-126.716797,-3.216705,0.006087,16.552826,-284.716797,-2.430588,0.001709
CCCCCOC(=O)c1ccccc1,CC(C)CCCC(C)CC=O,0.257920,0.000219,18.103577,-421.556641,-3.202332,0.005357,16.752106,-692.105469,-2.606018,0.001433
CCCCCOC(=O)c1ccccc1,Cc1coc(C)n1,0.251625,0.000207,18.223724,-443.876953,-3.300346,0.005543,17.725647,-641.613281,-2.650200,0.001214
CCCCCOC(=O)c1ccccc1,NC(=S)NC(N)=S,0.223352,0.000124,17.438110,64.939453,-3.203514,0.005332,16.060211,-139.582031,-2.221626,0.001684
CCCCCOC(=O)c1ccccc1,FC(F)C(Cl)C(F)F,0.234667,0.000171,19.448364,-792.878906,-3.417091,0.004975,18.824097,-726.486328,-2.654961,0.000424
CCCCCOC(=O)c1ccccc1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.242994,0.000175,15.289093,12.640625,-2.665977,0.004107,14.645325,-189.369141,-2.386467,0.001924
CCCCCOC(=O)c1ccccc1,NNC(=O)c1ccccc1,0.269719,0.000219,16.279083,518.556641,-3.158638,0.005281,13.262512,71.345703,-2.240410,0.003672
CCCCCOC(=O)c1ccccc1,ClC=CBr,0.249679,0.000199,18.035400,-753.460938,-3.183777,0.005453,18.919708,-637.611328,-2.883377,0.000673
CCCCCOC(=O)c1ccccc1,CN(C)N=O,0.253140,0.000195,17.153778,-125.199219,-3.271416,0.005710,16.093719,-217.435547,-2.300934,0.001368
CCCCCOC(=O)c1ccccc1,c1ccc(C2CCCCC2)cc1,0.262594,0.000224,17.434082,-407.019531,-3.088089,0.005323,16.367371,-570.468750,-2.599403,0.001578
CCCCCOC(=O)c1ccccc1,N#Cc1ccncc1,0.246841,0.000198,18.957275,-479.675781,-3.321701,0.004961,17.555084,-675.693359,-2.608513,0.001118
CCCCCOC(=O)c1ccccc1,CN(C)C(=S)Nc1ccccc1,0.240051,0.000183,19.442291,-316.716797,-3.276550,0.004052,15.985443,-595.798828,-2.423897,0.001401
CCCCCOC(=O)c1ccccc1,CCC(N)CC,0.249875,0.000195,16.480835,-185.781250,-3.132591,0.006150,17.206299,-444.351562,-2.695343,0.002034
CCCCCOC(=O)c1ccccc1,COC(=O)CO,0.256469,0.000205,16.680298,-90.363281,-3.213142,0.005511,16.293427,-183.515625,-2.317688,0.001606
CCCCCOC(=O)c1ccccc1,Cc1c(N)cccc1Cl,0.235978,0.000178,19.646179,-662.156250,-3.330383,0.004611,18.011444,-838.101562,-2.700897,0.000905
CCCCCOC(=O)c1ccccc1,CC1CCC(C(C)(C)OO)CC1,0.241700,0.000191,18.903748,-466.677734,-3.194084,0.004366,16.546875,-760.486328,-2.555992,0.001296
CCCCCOC(=O)c1ccccc1,CC(F)(Cl)CF,0.255900,0.000217,18.159821,-523.115234,-3.284798,0.005675,17.712891,-594.068359,-2.623947,0.000755
CCCCCOC(=O)c1ccccc1,CCCCC1OC(C)CC(C)(C)O1,0.256379,0.000214,17.769867,-400.863281,-3.110298,0.005074,16.697632,-706.472656,-2.621826,0.001599
CCCCCOC(=O)c1ccccc1,CC(C)(C)OCC1CO1,0.257541,0.000220,18.319733,-468.115234,-3.265442,0.005445,17.422668,-691.115234,-2.659607,0.001263
CCCCCOC(=O)c1ccccc1,O=P(O)(O)OP(=O)(O)O,0.194642,0.000039,16.566986,-143.513672,-2.949867,0.004979,6.318329,-442.386719,-0.880173,0.003058
CCCCCOC(=O)c1ccccc1,CC(=O)Nc1ccc(C)cc1,0.265206,0.000226,18.107178,53.509766,-3.197495,0.004660,14.773285,-410.736328,-2.474876,0.002694
CCCCCOC(=O)c1ccccc1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.244879,0.000171,17.787109,359.939453,-3.330925,0.005347,13.281952,318.054688,-2.057167,0.001397
CCCCCOC(=O)c1ccccc1,CC(C)(O)CCC1CCCCC1,0.262935,0.000223,17.331696,82.646484,-3.165535,0.005263,15.585449,-424.060547,-2.615150,0.003041
CCCCCOC(=O)c1ccccc1,COCC(F)(F)F,0.260265,0.000220,17.120300,-367.343750,-3.169014,0.005629,16.884918,-452.447266,-2.542023,0.001139
CCCCCOC(=O)c1ccccc1,COCC(O)COC,0.257016,0.000211,17.692291,-287.261719,-3.280609,0.005694,17.206299,-540.273438,-2.588615,0.001652
CCCCCOC(=O)c1ccccc1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.260773,0.000211,18.434113,548.308594,-3.155861,0.003436,12.472046,-98.035156,-2.284477,0.003964
CCCCCOC(=O)c1ccccc1,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.219688,0.000135,19.693695,-322.718750,-3.258308,0.003368,14.801758,-656.417969,-2.191048,0.001712
CCCCCOC(=O)c1ccccc1,CC(C)C(F)F,0.265959,0.000231,16.894196,-404.347656,-3.104927,0.005867,16.840149,-505.537109,-2.601089,0.001200
CCCCCOC(=O)c1ccccc1,CCCCC1C=C(C)CC(C)O1,0.254895,0.000209,17.499573,-415.460938,-3.044876,0.004902,16.462494,-629.630859,-2.592102,0.001514
CCCCCOC(=O)c1ccccc1,COc1ccc(C(C)=O)cc1,0.259196,0.000215,18.215668,-289.535156,-3.291542,0.005566,16.191437,-511.414062,-2.493713,0.001550
CCCCCOC(=O)c1ccccc1,Oc1cc(O)ncn1,0.241658,0.000167,16.937622,327.927734,-3.082153,0.004338,13.781891,-221.750000,-2.187515,0.003292
CCCCCOC(=O)c1ccccc1,COCCCCl,0.261655,0.000222,17.221558,-414.201172,-3.139328,0.005635,16.910675,-595.015625,-2.587769,0.001310
CCCCCOC(=O)c1ccccc1,CCCOC,0.254531,0.000208,17.101868,-470.132812,-3.065399,0.005236,17.123810,-613.398438,-2.658188,0.001283
CCCCCOC(=O)c1ccccc1,Fc1c(F)c(F)c(F)c(F)c1F,0.257777,0.000208,15.862976,-271.376953,-2.888885,0.005192,15.444489,-292.253906,-2.475533,0.001621
CCCCCOC(=O)c1ccccc1,CCP(CC)CC,0.254730,0.000209,17.471558,-459.197266,-3.065041,0.005101,16.740387,-612.242188,-2.593422,0.001255
CCCCCOC(=O)c1ccccc1,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.257739,0.000217,17.882965,-316.980469,-3.136833,0.005038,16.634979,-735.001953,-2.659431,0.002031
CCCCCOC(=O)c1ccccc1,Fc1cc(F)c(F)cc1F,0.250822,0.000204,17.991333,-557.001953,-3.172005,0.005177,17.186829,-651.265625,-2.614449,0.000917
CCCCCOC(=O)c1ccccc1,CCCCc1ccc(C(=O)O)cc1,0.237150,0.000178,18.740173,-546.419922,-3.148445,0.004334,15.873291,-782.490234,-2.422760,0.001122
CCCCCOC(=O)c1ccccc1,C=Cc1c(C)cc(C)cc1C,0.263918,0.000228,17.552399,-400.851562,-3.135780,0.005510,16.657837,-595.902344,-2.633873,0.001573
CCCCCOC(=O)c1ccccc1,C=C(C)C(=O)OC(C)(C)C,0.259066,0.000224,18.283936,-440.089844,-3.245285,0.005494,16.733246,-671.634766,-2.597435,0.001282
CCCCCOC(=O)c1ccccc1,FC1CCCN1,0.251455,0.000207,18.178467,-424.791016,-3.296745,0.005369,17.764832,-551.404297,-2.604340,0.001017
CCCCCOC(=O)c1ccccc1,CCCCCCCC(=O)NC,0.266888,0.000228,17.721344,199.916016,-3.158119,0.004903,14.983368,-384.949219,-2.576065,0.003296
CCCCCOC(=O)c1ccccc1,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.254282,0.000197,15.128906,127.675781,-2.836288,0.005167,14.653748,-119.609375,-2.446342,0.002521
CCCCCOC(=O)c1ccccc1,C1=CC2C=CC1C2,0.263093,0.000222,16.796722,-430.988281,-3.035423,0.005601,16.933655,-451.388672,-2.678993,0.001448
CCCCCOC(=O)c1ccccc1,CCC(C)(O)CCC=C(C)C,0.259437,0.000219,17.667450,-62.113281,-3.202507,0.005358,16.055206,-520.875000,-2.618813,0.002536
CCCCCOC(=O)c1ccccc1,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.254384,0.000220,19.036896,-201.498047,-3.242210,0.004446,18.009766,-842.179688,-3.026169,0.002722
CCCCCOC(=O)c1ccccc1,CCC(C)CCF,0.265777,0.000227,16.658813,-379.308594,-3.013016,0.005567,16.495789,-493.093750,-2.615784,0.001568
CCCCCOC(=O)c1ccccc1,C=Cc1cccc(CC)c1,0.262584,0.000228,17.809998,-426.109375,-3.182289,0.005589,16.891022,-634.162109,-2.636086,0.001391
CCCCCOC(=O)c1ccccc1,CC(C)(C(O)(F)F)C(F)(F)F,0.162234,0.000011,21.241882,-1548.009766,-3.259369,0.003321,14.104340,-1306.732422,-1.972626,-0.000164
CCCCCOC(=O)c1ccccc1,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.262701,0.000217,16.423737,-420.796875,-2.942833,0.005128,16.548981,-426.947266,-2.677803,0.001837
CCCCCOC(=O)c1ccccc1,CCN(CC)c1ccc(N)cc1,0.252412,0.000208,18.884125,-311.531250,-3.316376,0.005011,16.856201,-625.818359,-2.608719,0.001703
CCCCCOC(=O)c1ccccc1,FC(F)CC(F)(F)F,0.255932,0.000210,17.034271,-360.218750,-3.127220,0.005428,16.515137,-423.718750,-2.467560,0.001139
