SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCOc1ccc2ccccc2c1,O=P(Cl)(c1ccccc1)c1ccccc1,0.251242,0.000205,19.387573,-351.083984,-3.356514,0.004929,15.804321,-614.160156,-2.440964,0.001371
CCCCOc1ccc2ccccc2c1,CC(=O)Nc1ccc(C=O)cc1,0.272728,0.000221,15.945068,1047.921875,-3.000603,0.003978,11.227112,335.093750,-2.227394,0.005108
CCCCOc1ccc2ccccc2c1,Cc1cccc(CO)c1,0.271519,0.000230,16.242493,411.750000,-3.151329,0.005286,13.771332,-80.093750,-2.422897,0.003755
CCCCOc1ccc2ccccc2c1,COC(C)CO,0.261170,0.000215,16.740936,53.341797,-3.190971,0.005379,16.501892,-420.882812,-2.618195,0.002812
CCCCOc1ccc2ccccc2c1,Nc1nc(=O)c2ccccc2o1,0.243476,0.000163,14.704407,2199.837891,-2.763596,0.001482,8.971436,1361.128906,-2.167152,0.007008
CCCCOc1ccc2ccccc2c1,CC(Cl)Br,0.261110,0.000222,17.092468,-515.562500,-3.122368,0.005634,17.315399,-559.185547,-2.605728,0.000833
CCCCOc1ccc2ccccc2c1,CCCOC(F)F,0.268196,0.000233,16.594574,-365.501953,-3.053368,0.005757,16.315948,-506.634766,-2.530411,0.001328
CCCCOc1ccc2ccccc2c1,COC1CC2CCC1(C)C2(C)C,0.254352,0.000203,16.737488,-435.066406,-2.934921,0.004919,16.335144,-520.085938,-2.561195,0.001448
CCCCOc1ccc2ccccc2c1,CCC(=O)C1=NCCC1,0.253758,0.000209,17.910431,-478.224609,-3.168556,0.005202,17.240021,-702.285156,-2.614838,0.001235
CCCCOc1ccc2ccccc2c1,NC(CF)(CF)CF,0.261400,0.000208,15.505463,129.037109,-3.121674,0.006219,15.633972,-100.900391,-2.387695,0.002440
CCCCOc1ccc2ccccc2c1,CC(C)CCCC(C)CC=O,0.255690,0.000213,17.960815,-432.201172,-3.180405,0.005293,16.863312,-699.476562,-2.599525,0.001388
CCCCOc1ccc2ccccc2c1,Cc1coc(C)n1,0.252009,0.000204,17.771057,-418.667969,-3.236542,0.005525,17.692932,-641.509766,-2.642570,0.001284
CCCCOc1ccc2ccccc2c1,NC(=S)NC(N)=S,0.225484,0.000123,14.658844,1165.355469,-3.090218,0.005752,14.613190,854.814453,-2.178650,0.002728
CCCCOc1ccc2ccccc2c1,FC(F)C(Cl)C(F)F,0.258235,0.000213,16.705841,-380.564453,-3.120140,0.005663,16.830261,-388.658203,-2.443810,0.000992
CCCCOc1ccc2ccccc2c1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.249531,0.000178,13.057404,461.001953,-2.552002,0.004840,12.628906,356.460938,-2.186852,0.002922
CCCCOc1ccc2ccccc2c1,NNC(=O)c1ccccc1,0.275275,0.000223,14.607330,954.720703,-3.048973,0.005211,12.619446,373.835938,-2.263527,0.004878
CCCCOc1ccc2ccccc2c1,ClC=CBr,0.262839,0.000221,16.524170,-535.386719,-3.008484,0.005474,17.427399,-502.191406,-2.682907,0.001075
CCCCOc1ccc2ccccc2c1,CN(C)N=O,0.252636,0.000194,17.021118,-111.945312,-3.225403,0.005495,16.301575,-299.205078,-2.337265,0.001482
CCCCOc1ccc2ccccc2c1,c1ccc(C2CCCCC2)cc1,0.268080,0.000230,16.756744,-349.865234,-3.007545,0.005479,15.895874,-498.648438,-2.553085,0.001790
CCCCOc1ccc2ccccc2c1,N#Cc1ccncc1,0.252904,0.000203,18.114288,-322.611328,-3.249466,0.005102,17.048157,-609.025391,-2.577766,0.001570
CCCCOc1ccc2ccccc2c1,CN(C)C(=S)Nc1ccccc1,0.257310,0.000206,17.960388,-77.363281,-3.167648,0.004701,14.593079,-408.582031,-2.309189,0.002034
CCCCOc1ccc2ccccc2c1,CCC(N)CC,0.246504,0.000187,16.305145,-190.541016,-3.069946,0.005903,17.037201,-463.925781,-2.668297,0.002024
CCCCOc1ccc2ccccc2c1,COC(=O)CO,0.261918,0.000212,16.254181,98.458984,-3.174171,0.005261,15.526520,-131.302734,-2.328529,0.002360
CCCCOc1ccc2ccccc2c1,Cc1c(N)cccc1Cl,0.259662,0.000215,17.068604,-178.050781,-3.152939,0.005358,16.211060,-538.933594,-2.514854,0.002032
CCCCOc1ccc2ccccc2c1,CC1CCC(C(C)(C)OO)CC1,0.266878,0.000227,16.705017,224.421875,-3.114990,0.005119,15.171814,-364.814453,-2.602402,0.003577
CCCCOc1ccc2ccccc2c1,CC(F)(Cl)CF,0.263562,0.000226,17.128571,-426.777344,-3.174698,0.005879,16.914551,-471.113281,-2.520325,0.000967
CCCCOc1ccc2ccccc2c1,CCCCC1OC(C)CC(C)(C)O1,0.254766,0.000208,17.334198,-418.041016,-3.036957,0.004994,16.579559,-691.474609,-2.582832,0.001510
CCCCOc1ccc2ccccc2c1,CC(C)(C)OCC1CO1,0.255594,0.000214,18.097321,-471.005859,-3.221237,0.005372,17.395508,-717.906250,-2.646706,0.001272
CCCCOc1ccc2ccccc2c1,O=P(O)(O)OP(=O)(O)O,0.197533,0.000064,12.407776,3085.675781,-2.363998,0.001658,6.566803,2262.000000,-1.626663,0.007154
CCCCOc1ccc2ccccc2c1,CC(=O)Nc1ccc(C)cc1,0.276444,0.000237,16.532623,544.810547,-3.102264,0.004696,12.961670,-82.974609,-2.370384,0.004213
CCCCOc1ccc2ccccc2c1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.243158,0.000167,17.654572,408.937500,-3.356461,0.005392,13.284424,315.927734,-2.086052,0.001520
CCCCOc1ccc2ccccc2c1,CC(C)(O)CCC1CCCCC1,0.272668,0.000233,16.038300,491.412109,-3.085693,0.005351,13.630951,-95.804688,-2.500366,0.004295
CCCCOc1ccc2ccccc2c1,COCC(F)(F)F,0.265813,0.000223,15.843933,-242.531250,-3.000229,0.005779,16.144257,-367.072266,-2.463577,0.001548
CCCCOc1ccc2ccccc2c1,COCC(O)COC,0.255040,0.000208,17.728058,-291.240234,-3.261856,0.005372,17.296906,-615.273438,-2.593704,0.001713
CCCCOc1ccc2ccccc2c1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.263773,0.000208,15.803009,1361.546875,-2.978447,0.002765,11.423004,456.410156,-2.411491,0.006141
CCCCOc1ccc2ccccc2c1,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.255527,0.000191,15.629761,931.826172,-3.022980,0.003560,12.554565,291.613281,-2.172394,0.004667
CCCCOc1ccc2ccccc2c1,CC(C)C(F)F,0.269295,0.000233,16.326385,-375.687500,-3.025780,0.005885,16.370422,-469.113281,-2.541092,0.001309
CCCCOc1ccc2ccccc2c1,CCCCC1C=C(C)CC(C)O1,0.254012,0.000204,17.079956,-428.630859,-2.984634,0.004891,16.447052,-625.552734,-2.564392,0.001448
CCCCOc1ccc2ccccc2c1,COc1ccc(C(C)=O)cc1,0.259516,0.000216,18.140625,-290.943359,-3.268295,0.005496,16.283783,-557.544922,-2.514175,0.001581
CCCCOc1ccc2ccccc2c1,Oc1cc(O)ncn1,0.255489,0.000182,12.561523,1890.123047,-2.807014,0.003613,12.400208,1013.578125,-2.432045,0.007055
CCCCOc1ccc2ccccc2c1,COCCCCl,0.260451,0.000216,16.796051,-422.138672,-3.052628,0.005528,16.991089,-621.535156,-2.586868,0.001321
CCCCOc1ccc2ccccc2c1,CCCOC,0.251994,0.000201,16.893799,-477.097656,-3.035858,0.005230,17.216736,-634.140625,-2.634560,0.001189
CCCCOc1ccc2ccccc2c1,Fc1c(F)c(F)c(F)c(F)c1F,0.263090,0.000212,14.815308,-195.591797,-2.743774,0.005282,14.532990,-187.814453,-2.359383,0.001843
CCCCOc1ccc2ccccc2c1,CCP(CC)CC,0.251350,0.000201,17.129944,-469.455078,-3.006447,0.004998,16.722595,-630.083984,-2.554924,0.001128
CCCCOc1ccc2ccccc2c1,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.255520,0.000210,17.607819,-343.429688,-3.084099,0.004946,16.687897,-727.794922,-2.635834,0.001893
