SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCOC(=O)C(CC)C(C)=O,O=P(Cl)(c1ccccc1)c1ccccc1,0.247258,0.000206,20.008270,-521.644531,-3.402588,0.004891,17.105164,-809.427734,-2.639114,0.001208
CCOC(=O)C(CC)C(C)=O,CC(=O)Nc1ccc(C=O)cc1,0.256339,0.000211,18.745941,-15.505859,-3.216621,0.004347,14.866455,-516.916016,-2.471985,0.002500
CCOC(=O)C(CC)C(C)=O,Cc1cccc(CO)c1,0.245326,0.000195,18.499634,-442.414062,-3.195290,0.004794,16.196503,-685.083984,-2.485405,0.001164
CCOC(=O)C(CC)C(C)=O,COC(C)CO,0.257268,0.000214,17.476349,-201.464844,-3.199921,0.005619,17.278931,-572.875000,-2.687492,0.001891
CCOC(=O)C(CC)C(C)=O,Nc1nc(=O)c2ccccc2o1,0.240915,0.000170,19.474152,301.406250,-3.101334,0.002840,10.594696,-310.208984,-1.943710,0.003418
CCOC(=O)C(CC)C(C)=O,CC(Cl)Br,0.245453,0.000192,18.114349,-776.406250,-3.145981,0.005254,18.789795,-667.660156,-2.836975,0.000449
CCOC(=O)C(CC)C(C)=O,CCCOC(F)F,0.257537,0.000216,17.534607,-559.113281,-3.093353,0.005299,17.660461,-611.166016,-2.703461,0.000950
CCOC(=O)C(CC)C(C)=O,COC1CC2CCC1(C)C2(C)C,0.255801,0.000199,15.702087,-220.173828,-2.774117,0.004771,15.201355,-269.218750,-2.554405,0.002555
CCOC(=O)C(CC)C(C)=O,CCC(=O)C1=NCCC1,0.255533,0.000213,17.844025,-506.048828,-3.121193,0.005157,17.199463,-697.650391,-2.643517,0.001203
CCOC(=O)C(CC)C(C)=O,NC(CF)(CF)CF,0.248659,0.000202,18.403900,-407.605469,-3.328514,0.005719,17.789185,-629.378906,-2.649963,0.001115
CCOC(=O)C(CC)C(C)=O,CC(C)CCCC(C)CC=O,0.258438,0.000212,16.719971,-278.146484,-2.992142,0.005262,16.075348,-485.318359,-2.619644,0.002115
CCOC(=O)C(CC)C(C)=O,Cc1coc(C)n1,0.251839,0.000209,18.326965,-492.289062,-3.252922,0.005442,17.760254,-714.306641,-2.685181,0.001061
CCOC(=O)C(CC)C(C)=O,NC(=S)NC(N)=S,0.195279,0.000068,20.650085,-904.980469,-3.289261,0.003691,16.375977,-1067.691406,-2.374977,0.001634
CCOC(=O)C(CC)C(C)=O,FC(F)C(Cl)C(F)F,0.222042,0.000137,20.591156,-1080.917969,-3.495415,0.004653,20.134186,-910.964844,-2.919235,0.000574
CCOC(=O)C(CC)C(C)=O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.233302,0.000149,15.444336,-268.283203,-2.448792,0.003171,16.071014,-301.222656,-2.676559,0.002029
CCOC(=O)C(CC)C(C)=O,NNC(=O)c1ccccc1,0.260810,0.000213,17.926575,180.466797,-3.206329,0.004915,14.750061,-335.275391,-2.464417,0.002873
CCOC(=O)C(CC)C(C)=O,ClC=CBr,0.242271,0.000174,17.991638,-870.542969,-3.123787,0.004962,19.194244,-593.667969,-2.925339,0.000908
CCOC(=O)C(CC)C(C)=O,CN(C)N=O,0.255847,0.000207,17.692505,-256.904297,-3.256813,0.005583,16.712189,-466.371094,-2.479752,0.001532
CCOC(=O)C(CC)C(C)=O,c1ccc(C2CCCCC2)cc1,0.260329,0.000210,16.386414,-315.640625,-2.858215,0.004747,15.607941,-395.623047,-2.584229,0.002299
CCOC(=O)C(CC)C(C)=O,N#Cc1ccncc1,0.240900,0.000189,19.476135,-694.986328,-3.282631,0.004541,18.225220,-864.560547,-2.762535,0.000943
CCOC(=O)C(CC)C(C)=O,CN(C)C(=S)Nc1ccccc1,0.224120,0.000152,19.899780,-746.406250,-3.199982,0.003722,17.178833,-932.503906,-2.557892,0.000861
CCOC(=O)C(CC)C(C)=O,CCC(N)CC,0.251509,0.000195,15.679199,-126.365234,-3.050949,0.006645,17.141876,-387.121094,-2.713615,0.002169
CCOC(=O)C(CC)C(C)=O,COC(=O)CO,0.252041,0.000207,17.811340,-387.431641,-3.248611,0.005378,17.416016,-562.125000,-2.562149,0.001094
