SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CNC(=O)Oc1ccc(F)cc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.240821,0.000187,18.595642,-594.289062,-3.169037,0.004651,16.935059,-752.359375,-2.545967,0.000753
CNC(=O)Oc1ccc(F)cc1,CC(=O)Nc1ccc(C=O)cc1,0.248541,0.000194,17.582397,-307.097656,-3.045052,0.004613,15.661957,-642.025391,-2.461632,0.001735
CNC(=O)Oc1ccc(F)cc1,Cc1cccc(CO)c1,0.253495,0.000205,16.933868,-357.187500,-2.994576,0.005140,16.173798,-556.474609,-2.497360,0.001212
CNC(=O)Oc1ccc(F)cc1,COC(C)CO,0.235469,0.000171,18.187592,-629.841797,-3.083069,0.004428,17.317993,-811.259766,-2.587601,0.000854
CNC(=O)Oc1ccc(F)cc1,Nc1nc(=O)c2ccccc2o1,0.243023,0.000177,18.054047,-18.119141,-3.037384,0.003779,13.370789,-550.970703,-2.238045,0.002931
CNC(=O)Oc1ccc(F)cc1,CC(Cl)Br,0.273681,0.000232,14.711273,-412.876953,-2.804382,0.006518,17.989532,86.880859,-2.934311,0.001303
CNC(=O)Oc1ccc(F)cc1,CCCOC(F)F,0.279122,0.000240,14.454376,-329.310547,-2.735367,0.006337,17.485321,87.767578,-2.930191,0.001892
CNC(=O)Oc1ccc(F)cc1,COC1CC2CCC1(C)C2(C)C,0.254355,0.000185,14.219025,-383.626953,-2.432976,0.004002,17.179626,-0.291016,-2.801521,0.002333
CNC(=O)Oc1ccc(F)cc1,CCC(=O)C1=NCCC1,0.238701,0.000169,16.876434,-827.099609,-2.816261,0.004308,18.109222,-558.314453,-2.741928,0.000614
CNC(=O)Oc1ccc(F)cc1,NC(CF)(CF)CF,0.234914,0.000168,17.365936,-680.765625,-2.964363,0.004540,16.844574,-717.863281,-2.437332,0.000296
CNC(=O)Oc1ccc(F)cc1,CC(C)CCCC(C)CC=O,0.256310,0.000199,15.561920,-434.298828,-2.683640,0.004571,17.180389,-302.033203,-2.751038,0.001641
CNC(=O)Oc1ccc(F)cc1,Cc1coc(C)n1,0.222655,0.000142,18.155426,-915.484375,-2.987740,0.004087,17.047607,-849.640625,-2.445175,0.000044
CNC(=O)Oc1ccc(F)cc1,NC(=S)NC(N)=S,0.224630,0.000134,17.720520,-429.730469,-2.980331,0.004162,16.507202,-721.212891,-2.438148,0.001558
CNC(=O)Oc1ccc(F)cc1,FC(F)C(Cl)C(F)F,0.260228,0.000208,16.192230,-608.546875,-2.929565,0.005750,18.842834,-315.892578,-2.988342,0.001212
CNC(=O)Oc1ccc(F)cc1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.263042,0.000195,12.234375,396.117188,-2.280403,0.004593,14.302612,651.201172,-2.621887,0.003445
CNC(=O)Oc1ccc(F)cc1,NNC(=O)c1ccccc1,0.249047,0.000199,17.812439,-332.478516,-3.105103,0.004831,17.019928,-680.865234,-2.635025,0.001638
CNC(=O)Oc1ccc(F)cc1,ClC=CBr,0.273890,0.000228,14.195282,-425.128906,-2.705132,0.006197,18.159790,186.177734,-2.996269,0.001697
CNC(=O)Oc1ccc(F)cc1,CN(C)N=O,0.234337,0.000167,18.218964,-676.498047,-3.117744,0.004663,17.890350,-794.244141,-2.602264,0.000571
CNC(=O)Oc1ccc(F)cc1,c1ccc(C2CCCCC2)cc1,0.282197,0.000233,12.888275,-12.166016,-2.451454,0.005496,16.360535,528.574219,-2.979996,0.003576
CNC(=O)Oc1ccc(F)cc1,N#Cc1ccncc1,0.231568,0.000162,18.172058,-837.718750,-3.027435,0.004387,17.693359,-831.769531,-2.587517,0.000226
CNC(=O)Oc1ccc(F)cc1,CN(C)C(=S)Nc1ccccc1,0.245055,0.000191,17.489105,-440.335938,-2.965584,0.004311,16.969696,-628.988281,-2.576111,0.000986
CNC(=O)Oc1ccc(F)cc1,CCC(N)CC,0.207144,0.000100,16.784515,-896.144531,-2.746483,0.003721,14.913086,-895.585938,-2.145119,0.000411
CNC(=O)Oc1ccc(F)cc1,COC(=O)CO,0.242969,0.000189,18.032471,-543.628906,-3.179001,0.004887,17.301880,-673.353516,-2.538170,0.000760
CNC(=O)Oc1ccc(F)cc1,Cc1c(N)cccc1Cl,0.244967,0.000192,17.472443,-590.611328,-3.002342,0.004760,17.570221,-630.425781,-2.638306,0.000501
CNC(=O)Oc1ccc(F)cc1,CC1CCC(C(C)(C)OO)CC1,0.244423,0.000185,16.814484,-433.312500,-2.865089,0.004459,16.008331,-609.048828,-2.492630,0.001229
CNC(=O)Oc1ccc(F)cc1,CC(F)(Cl)CF,0.275529,0.000239,15.318665,-386.234375,-2.911819,0.006619,18.092010,-35.687500,-2.942291,0.001456
CNC(=O)Oc1ccc(F)cc1,CCCCC1OC(C)CC(C)(C)O1,0.247049,0.000177,15.477875,-494.746094,-2.573112,0.003923,16.835693,-385.312500,-2.686417,0.001726
CNC(=O)Oc1ccc(F)cc1,CC(C)(C)OCC1CO1,0.243499,0.000182,16.940186,-647.546875,-2.862259,0.004396,18.201477,-597.039062,-2.774231,0.000846
CNC(=O)Oc1ccc(F)cc1,O=P(O)(O)OP(=O)(O)O,0.171683,-0.000002,18.161896,-840.337891,-3.043167,0.005124,6.762848,-1131.351562,-1.232269,0.002165
CNC(=O)Oc1ccc(F)cc1,CC(=O)Nc1ccc(C)cc1,0.249923,0.000198,17.213074,-452.847656,-2.972443,0.004773,16.191650,-641.521484,-2.500328,0.001130
