SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
Cc1ccc(N=CN(C)C)cc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.248356,0.000207,19.761200,-504.642578,-3.399010,0.004983,17.243317,-785.609375,-2.633377,0.001162
Cc1ccc(N=CN(C)C)cc1,CC(=O)Nc1ccc(C=O)cc1,0.263690,0.000217,17.830322,376.953125,-3.131752,0.004391,13.735443,-245.568359,-2.417923,0.003469
Cc1ccc(N=CN(C)C)cc1,Cc1cccc(CO)c1,0.244722,0.000186,17.455780,-359.740234,-2.988449,0.004364,14.957825,-613.986328,-2.327873,0.001492
Cc1ccc(N=CN(C)C)cc1,COC(C)CO,0.250270,0.000200,17.366028,-281.642578,-3.117661,0.005105,17.117676,-605.646484,-2.615852,0.001572
Cc1ccc(N=CN(C)C)cc1,Nc1nc(=O)c2ccccc2o1,0.231966,0.000137,18.043884,847.941406,-2.895683,0.002488,7.244904,-80.734375,-1.548729,0.005091
Cc1ccc(N=CN(C)C)cc1,CC(Cl)Br,0.255185,0.000209,17.099884,-630.835938,-3.058609,0.005538,18.289459,-571.607422,-2.777885,0.000639
Cc1ccc(N=CN(C)C)cc1,CCCOC(F)F,0.263084,0.000221,16.396454,-457.177734,-2.956512,0.005399,17.094513,-502.283203,-2.655746,0.001186
Cc1ccc(N=CN(C)C)cc1,COC1CC2CCC1(C)C2(C)C,0.256902,0.000198,15.413055,-286.833984,-2.707436,0.004698,15.416992,-254.703125,-2.540611,0.002300
Cc1ccc(N=CN(C)C)cc1,CCC(=O)C1=NCCC1,0.252468,0.000206,17.555786,-549.011719,-3.072533,0.005079,17.516785,-679.517578,-2.657463,0.000954
Cc1ccc(N=CN(C)C)cc1,NC(CF)(CF)CF,0.255242,0.000205,16.931152,-148.630859,-3.149811,0.005660,16.627563,-441.662109,-2.531715,0.001769
Cc1ccc(N=CN(C)C)cc1,CC(C)CCCC(C)CC=O,0.258125,0.000210,16.624634,-357.621094,-2.946701,0.005087,16.333771,-513.457031,-2.598663,0.001748
Cc1ccc(N=CN(C)C)cc1,Cc1coc(C)n1,0.250427,0.000203,17.727173,-497.750000,-3.161720,0.005424,17.854340,-683.884766,-2.676048,0.000944
Cc1ccc(N=CN(C)C)cc1,NC(=S)NC(N)=S,0.238204,0.000145,17.617249,355.771484,-2.875244,0.004023,11.930511,-314.554688,-1.906235,0.003337
Cc1ccc(N=CN(C)C)cc1,FC(F)C(Cl)C(F)F,0.236882,0.000169,18.734222,-769.759766,-3.248528,0.004741,18.382050,-762.335938,-2.637985,0.000585
Cc1ccc(N=CN(C)C)cc1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.243182,0.000169,14.369873,274.177734,-2.479385,0.003774,13.619293,-30.962891,-2.356384,0.002751
Cc1ccc(N=CN(C)C)cc1,NNC(=O)c1ccccc1,0.264881,0.000214,17.193848,648.062500,-3.108536,0.004293,12.937256,-24.519531,-2.305420,0.004099
Cc1ccc(N=CN(C)C)cc1,ClC=CBr,0.253790,0.000199,16.840973,-713.632812,-2.980354,0.005253,18.704651,-511.751953,-2.899178,0.000974
Cc1ccc(N=CN(C)C)cc1,CN(C)N=O,0.251656,0.000198,17.425446,-306.941406,-3.203354,0.005426,17.459412,-527.763672,-2.535423,0.001357
Cc1ccc(N=CN(C)C)cc1,c1ccc(C2CCCCC2)cc1,0.264995,0.000216,15.658203,-292.523438,-2.774414,0.004949,15.398468,-331.253906,-2.533936,0.002184
Cc1ccc(N=CN(C)C)cc1,N#Cc1ccncc1,0.241953,0.000189,18.888550,-637.582031,-3.212639,0.004685,18.097168,-819.845703,-2.699287,0.000836
