SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
Cc1ccc(OCC(=O)O)cc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.216643,0.000134,18.885742,-867.896484,-3.112640,0.004277,14.817871,-929.929688,-2.205238,0.000365
Cc1ccc(OCC(=O)O)cc1,CC(=O)Nc1ccc(C=O)cc1,0.223682,0.000145,18.768860,-626.884766,-3.187805,0.004497,13.985077,-886.169922,-2.116112,0.001146
Cc1ccc(OCC(=O)O)cc1,Cc1cccc(CO)c1,0.242284,0.000181,17.683533,-452.283203,-3.063293,0.004792,15.241608,-725.398438,-2.349922,0.001383
Cc1ccc(OCC(=O)O)cc1,COC(C)CO,0.204973,0.000104,19.734467,-899.568359,-3.142715,0.003838,14.689789,-1154.201172,-2.286186,0.001298
Cc1ccc(OCC(=O)O)cc1,Nc1nc(=O)c2ccccc2o1,0.220029,0.000137,18.811157,-504.003906,-3.154526,0.004240,12.774597,-902.154297,-1.971497,0.001623
Cc1ccc(OCC(=O)O)cc1,CC(Cl)Br,0.278973,0.000240,13.881042,-274.677734,-2.762505,0.007097,17.060608,254.623047,-2.875481,0.001443
Cc1ccc(OCC(=O)O)cc1,CCCOC(F)F,0.277270,0.000234,13.888336,-220.740234,-2.668892,0.006322,16.279358,175.572266,-2.794365,0.001917
Cc1ccc(OCC(=O)O)cc1,COC1CC2CCC1(C)C2(C)C,0.228579,0.000134,15.035767,-587.222656,-2.361725,0.003205,14.256439,-382.105469,-2.263290,0.001596
Cc1ccc(OCC(=O)O)cc1,CCC(=O)C1=NCCC1,0.201516,0.000091,17.932434,-1069.582031,-2.766548,0.003558,14.102264,-1049.060547,-2.140228,0.000424
Cc1ccc(OCC(=O)O)cc1,NC(CF)(CF)CF,0.199061,0.000087,17.854431,-915.513672,-3.008484,0.004326,12.617645,-1019.410156,-1.821480,0.000372
Cc1ccc(OCC(=O)O)cc1,CC(C)CCCC(C)CC=O,0.231230,0.000149,16.463989,-645.189453,-2.687073,0.003906,15.198486,-621.298828,-2.351562,0.001106
Cc1ccc(OCC(=O)O)cc1,Cc1coc(C)n1,0.186464,0.000063,19.025543,-1189.962891,-3.003281,0.003659,13.583221,-1181.912109,-1.994202,0.000263
Cc1ccc(OCC(=O)O)cc1,NC(=S)NC(N)=S,0.243737,0.000176,16.438354,-53.152344,-3.009018,0.005269,17.371063,-348.076172,-2.578781,0.001599
Cc1ccc(OCC(=O)O)cc1,FC(F)C(Cl)C(F)F,0.271265,0.000229,14.602875,-318.974609,-2.818695,0.006600,17.025452,-20.179688,-2.798431,0.001196
Cc1ccc(OCC(=O)O)cc1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.262232,0.000190,11.271271,761.160156,-2.166389,0.004799,12.217712,1004.044922,-2.479050,0.003848
Cc1ccc(OCC(=O)O)cc1,NNC(=O)c1ccccc1,0.216846,0.000132,18.878632,-668.376953,-3.231033,0.004569,14.115082,-1020.072266,-2.136490,0.001261
Cc1ccc(OCC(=O)O)cc1,ClC=CBr,0.280068,0.000234,13.154907,-281.988281,-2.629265,0.006899,16.774750,376.814453,-2.880821,0.001802
Cc1ccc(OCC(=O)O)cc1,CN(C)N=O,0.205218,0.000106,19.505096,-1025.783203,-3.226341,0.004305,15.851898,-1066.787109,-2.263245,0.000253
Cc1ccc(OCC(=O)O)cc1,c1ccc(C2CCCCC2)cc1,0.280365,0.000228,12.629089,57.554688,-2.438126,0.005895,14.674225,504.080078,-2.724266,0.003253
Cc1ccc(OCC(=O)O)cc1,N#Cc1ccncc1,0.204451,0.000102,18.773438,-1097.941406,-3.027992,0.004067,15.284485,-1099.417969,-2.245010,0.000228
Cc1ccc(OCC(=O)O)cc1,CN(C)C(=S)Nc1ccccc1,0.246851,0.000198,17.914459,-493.505859,-3.057022,0.004595,17.434662,-595.509766,-2.670815,0.000893
Cc1ccc(OCC(=O)O)cc1,CCC(N)CC,0.170831,0.000015,17.843414,-1170.263672,-2.988274,0.004245,9.232147,-1217.746094,-1.454163,0.000477
Cc1ccc(OCC(=O)O)cc1,COC(=O)CO,0.229787,0.000161,19.002625,-640.035156,-3.239128,0.004499,16.019257,-859.085938,-2.366669,0.000949
Cc1ccc(OCC(=O)O)cc1,Cc1c(N)cccc1Cl,0.244446,0.000188,17.282990,-545.060547,-2.970512,0.004761,16.785339,-667.224609,-2.557426,0.000836
Cc1ccc(OCC(=O)O)cc1,CC1CCC(C(C)(C)OO)CC1,0.244925,0.000188,17.401611,-340.988281,-2.969666,0.004488,15.735168,-698.648438,-2.491814,0.001725
Cc1ccc(OCC(=O)O)cc1,CC(F)(Cl)CF,0.278999,0.000243,14.401215,-221.673828,-2.839775,0.006981,16.899658,139.351562,-2.838165,0.001587
Cc1ccc(OCC(=O)O)cc1,CCCCC1OC(C)CC(C)(C)O1,0.212564,0.000108,16.339752,-736.351562,-2.494240,0.003026,13.692657,-826.974609,-2.152809,0.001305
Cc1ccc(OCC(=O)O)cc1,CC(C)(C)OCC1CO1,0.215336,0.000123,18.027130,-859.705078,-2.831093,0.003504,15.478638,-931.109375,-2.342079,0.000738
Cc1ccc(OCC(=O)O)cc1,O=P(O)(O)OP(=O)(O)O,0.205614,0.000083,17.290497,-504.753906,-3.017097,0.004984,12.206329,-843.171875,-1.751846,0.002084
Cc1ccc(OCC(=O)O)cc1,CC(=O)Nc1ccc(C)cc1,0.229037,0.000156,18.073547,-681.843750,-3.059998,0.004572,14.567810,-820.619141,-2.193558,0.000738
Cc1ccc(OCC(=O)O)cc1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.244031,0.000191,19.129517,-293.166016,-3.242508,0.004399,16.391541,-635.359375,-2.508934,0.001312
Cc1ccc(OCC(=O)O)cc1,CC(C)(O)CCC1CCCCC1,0.225818,0.000136,15.972473,-340.955078,-2.730286,0.004262,12.722015,-687.125000,-2.060280,0.002061
Cc1ccc(OCC(=O)O)cc1,COCC(F)(F)F,0.257453,0.000200,14.809235,-376.228516,-2.688515,0.005467,15.939911,-126.005859,-2.537727,0.000969
Cc1ccc(OCC(=O)O)cc1,COCC(O)COC,0.191851,0.000079,20.707458,-1160.785156,-3.202751,0.003674,15.212189,-1293.818359,-2.345512,0.000864
Cc1ccc(OCC(=O)O)cc1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.220790,0.000144,19.694214,-481.052734,-3.221161,0.003917,14.201324,-1045.900391,-2.270721,0.002164
Cc1ccc(OCC(=O)O)cc1,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.243079,0.000191,18.760590,-326.779297,-3.234642,0.004572,16.771088,-740.734375,-2.576431,0.001648
Cc1ccc(OCC(=O)O)cc1,CC(C)C(F)F,0.282490,0.000239,13.131622,-91.318359,-2.619347,0.006692,15.838837,406.789062,-2.808258,0.002382
Cc1ccc(OCC(=O)O)cc1,CCCCC1C=C(C)CC(C)O1,0.220387,0.000118,15.278015,-642.060547,-2.388474,0.003129,13.479370,-585.095703,-2.116890,0.001441
Cc1ccc(OCC(=O)O)cc1,COc1ccc(C(C)=O)cc1,0.215399,0.000124,18.458984,-940.441406,-3.040794,0.004225,15.034180,-962.369141,-2.194969,0.000358
Cc1ccc(OCC(=O)O)cc1,Oc1cc(O)ncn1,0.248913,0.000189,17.105560,-49.689453,-3.141975,0.005578,15.879181,-598.349609,-2.480057,0.002616
Cc1ccc(OCC(=O)O)cc1,COCCCCl,0.232192,0.000148,16.167938,-752.001953,-2.699959,0.004332,15.483032,-657.925781,-2.347061,0.000805
Cc1ccc(OCC(=O)O)cc1,CCCOC,0.218296,0.000119,16.289398,-808.000000,-2.615608,0.003625,14.824341,-728.392578,-2.239761,0.000795
Cc1ccc(OCC(=O)O)cc1,Fc1c(F)c(F)c(F)c(F)c1F,0.279222,0.000220,11.502228,203.447266,-2.308968,0.006000,13.808319,777.746094,-2.639938,0.003279
Cc1ccc(OCC(=O)O)cc1,CCP(CC)CC,0.218994,0.000109,14.795258,-802.191406,-2.368385,0.003637,14.209869,-425.949219,-2.257164,0.001321
Cc1ccc(OCC(=O)O)cc1,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.201811,0.000081,16.411316,-762.251953,-2.483742,0.003094,11.839722,-1011.917969,-1.929428,0.001773
Cc1ccc(OCC(=O)O)cc1,Fc1cc(F)c(F)cc1F,0.281868,0.000236,12.760925,-35.578125,-2.565651,0.006550,14.971741,420.015625,-2.678230,0.002407
Cc1ccc(OCC(=O)O)cc1,CCCCc1ccc(C(=O)O)cc1,0.254421,0.000208,17.158813,-343.892578,-2.989128,0.004889,16.308624,-657.732422,-2.575005,0.001627
Cc1ccc(OCC(=O)O)cc1,C=Cc1c(C)cc(C)cc1C,0.277972,0.000227,13.189087,-26.445312,-2.532555,0.006039,15.188171,364.091797,-2.740524,0.002920
Cc1ccc(OCC(=O)O)cc1,C=C(C)C(=O)OC(C)(C)C,0.236561,0.000161,16.534637,-641.646484,-2.754082,0.004323,15.363007,-561.134766,-2.397156,0.001134
Cc1ccc(OCC(=O)O)cc1,FC1CCCN1,0.224880,0.000150,19.009155,-826.296875,-3.145866,0.004253,17.551117,-845.455078,-2.620277,0.000565
