SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(C)(C)c1cc(O)ccc1O,O=P(Cl)(c1ccccc1)c1ccccc1,0.192742,0.000080,20.003448,-1200.910156,-3.286118,0.004106,15.137878,-1011.712891,-2.155159,0.000083
CC(C)(C)c1cc(O)ccc1O,CC(=O)Nc1ccc(C=O)cc1,0.182659,0.000049,19.248718,-1233.896484,-3.231384,0.004098,13.380768,-1015.664062,-1.811188,0.000087
CC(C)(C)c1cc(O)ccc1O,Cc1cccc(CO)c1,0.202704,0.000100,18.921600,-1079.650391,-3.150627,0.004076,15.581421,-907.162109,-2.161392,-0.000136
CC(C)(C)c1cc(O)ccc1O,COC(C)CO,0.159996,0.000003,22.030853,-1602.771484,-3.477386,0.003664,14.704132,-1457.921875,-2.050018,0.000298
CC(C)(C)c1cc(O)ccc1O,Nc1nc(=O)c2ccccc2o1,0.200410,0.000091,18.179718,-889.103516,-3.028221,0.004257,12.837524,-815.302734,-1.864418,0.000491
CC(C)(C)c1cc(O)ccc1O,CC(Cl)Br,0.279081,0.000239,13.492035,-103.265625,-2.730965,0.007110,17.069061,524.720703,-2.952133,0.001776
CC(C)(C)c1cc(O)ccc1O,CCCOC(F)F,0.270902,0.000224,14.101288,-181.312500,-2.664604,0.005987,16.929047,320.623047,-2.906891,0.001901
CC(C)(C)c1cc(O)ccc1O,COC1CC2CCC1(C)C2(C)C,0.216894,0.000106,15.915039,-933.873047,-2.501762,0.003380,15.831085,-294.181641,-2.472458,0.001257
CC(C)(C)c1cc(O)ccc1O,CCC(=O)C1=NCCC1,0.175374,0.000026,19.197540,-1607.521484,-2.953156,0.003808,15.192230,-1024.583984,-2.220627,0.000056
CC(C)(C)c1cc(O)ccc1O,NC(CF)(CF)CF,0.176987,0.000036,18.067413,-1330.658203,-3.020584,0.004028,12.174774,-971.691406,-1.619110,-0.000821
CC(C)(C)c1cc(O)ccc1O,CC(C)CCCC(C)CC=O,0.192922,0.000063,18.667145,-1320.552734,-3.044937,0.003940,16.539337,-819.175781,-2.333374,0.000286
