SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(C)C1=CCC(C=O)=CC1,O=P(Cl)(c1ccccc1)c1ccccc1,0.250861,0.000213,19.933411,-522.884766,-3.406929,0.005046,16.649170,-741.984375,-2.560989,0.001026
CC(C)C1=CCC(C=O)=CC1,CC(=O)Nc1ccc(C=O)cc1,0.247495,0.000190,19.023438,-142.695312,-3.209122,0.004209,13.475861,-588.308594,-2.193672,0.002125
CC(C)C1=CCC(C=O)=CC1,Cc1cccc(CO)c1,0.242330,0.000189,18.790497,-434.105469,-3.225494,0.004602,15.727142,-721.523438,-2.423607,0.001373
CC(C)C1=CCC(C=O)=CC1,COC(C)CO,0.255728,0.000211,17.555847,-230.785156,-3.211090,0.005604,17.160645,-587.705078,-2.636765,0.001790
CC(C)C1=CCC(C=O)=CC1,Nc1nc(=O)c2ccccc2o1,0.239204,0.000165,19.435181,446.046875,-3.063354,0.002493,9.731110,-198.839844,-1.814484,0.003621
CC(C)C1=CCC(C=O)=CC1,CC(Cl)Br,0.250273,0.000203,18.178467,-721.320312,-3.197350,0.005578,18.496246,-644.564453,-2.791786,0.000478
CC(C)C1=CCC(C=O)=CC1,CCCOC(F)F,0.263304,0.000227,17.321960,-497.218750,-3.106331,0.005642,17.068390,-586.292969,-2.631912,0.001049
CC(C)C1=CCC(C=O)=CC1,COC1CC2CCC1(C)C2(C)C,0.257204,0.000206,16.342224,-313.080078,-2.886780,0.004981,15.650085,-369.908203,-2.573090,0.002095
CC(C)C1=CCC(C=O)=CC1,CCC(=O)C1=NCCC1,0.254492,0.000214,18.191284,-515.531250,-3.172409,0.005177,16.859955,-692.996094,-2.585892,0.001057
CC(C)C1=CCC(C=O)=CC1,NC(CF)(CF)CF,0.250598,0.000201,17.636108,-259.736328,-3.300163,0.005961,16.936127,-471.226562,-2.524498,0.001510
CC(C)C1=CCC(C=O)=CC1,CC(C)CCCC(C)CC=O,0.260827,0.000221,17.182892,-330.029297,-3.072647,0.005406,16.251343,-575.544922,-2.609230,0.001828
CC(C)C1=CCC(C=O)=CC1,Cc1coc(C)n1,0.254172,0.000213,18.191071,-436.472656,-3.272736,0.005669,17.336670,-652.398438,-2.638504,0.001196
CC(C)C1=CCC(C=O)=CC1,NC(=S)NC(N)=S,0.207667,0.000091,19.698120,-541.005859,-3.235123,0.004303,14.800537,-791.798828,-2.168121,0.001826
CC(C)C1=CCC(C=O)=CC1,FC(F)C(Cl)C(F)F,0.227955,0.000152,20.343719,-978.001953,-3.477814,0.004872,19.395264,-881.062500,-2.786064,0.000511
CC(C)C1=CCC(C=O)=CC1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.236931,0.000162,16.122375,-204.353516,-2.630081,0.003696,15.112244,-445.724609,-2.470932,0.001744
CC(C)C1=CCC(C=O)=CC1,NNC(=O)c1ccccc1,0.259558,0.000209,17.805237,246.488281,-3.187462,0.004770,14.076599,-256.214844,-2.344017,0.002900
