SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC1(C)C2CC=C(CO)C1C2,O=P(Cl)(c1ccccc1)c1ccccc1,0.249368,0.000201,18.750519,-378.494141,-3.192513,0.004685,15.570831,-539.705078,-2.417580,0.001107
CC1(C)C2CC=C(CO)C1C2,CC(=O)Nc1ccc(C=O)cc1,0.253389,0.000198,17.723175,-116.841797,-3.119179,0.004678,14.062836,-518.457031,-2.246872,0.002255
CC1(C)C2CC=C(CO)C1C2,Cc1cccc(CO)c1,0.253724,0.000210,18.101624,-363.371094,-3.237350,0.005295,16.706024,-666.519531,-2.550629,0.001456
CC1(C)C2CC=C(CO)C1C2,COC(C)CO,0.242354,0.000189,18.801788,-508.646484,-3.265999,0.004801,17.121918,-801.593750,-2.556747,0.001218
CC1(C)C2CC=C(CO)C1C2,Nc1nc(=O)c2ccccc2o1,0.244650,0.000176,18.176788,49.929688,-3.064804,0.003787,12.433258,-400.781250,-2.031616,0.002522
CC1(C)C2CC=C(CO)C1C2,CC(Cl)Br,0.275937,0.000240,14.625488,-200.894531,-2.952873,0.007504,16.622284,301.968750,-2.747238,0.001033
CC1(C)C2CC=C(CO)C1C2,CCCOC(F)F,0.282700,0.000251,14.308044,-68.962891,-2.888367,0.007209,15.752777,306.564453,-2.710342,0.001780
CC1(C)C2CC=C(CO)C1C2,COC1CC2CCC1(C)C2(C)C,0.262413,0.000211,15.198944,-391.130859,-2.717957,0.005486,16.623352,-53.359375,-2.738045,0.001344
CC1(C)C2CC=C(CO)C1C2,CCC(=O)C1=NCCC1,0.245818,0.000187,16.967926,-555.017578,-2.897919,0.004698,16.215912,-521.126953,-2.473366,0.000747
CC1(C)C2CC=C(CO)C1C2,NC(CF)(CF)CF,0.240338,0.000173,17.004822,-419.576172,-3.002861,0.004638,15.441467,-598.072266,-2.252113,0.001199
CC1(C)C2CC=C(CO)C1C2,CC(C)CCCC(C)CC=O,0.261577,0.000218,16.440247,-405.458984,-2.921921,0.005437,16.866516,-385.705078,-2.696915,0.001327
CC1(C)C2CC=C(CO)C1C2,Cc1coc(C)n1,0.229097,0.000159,18.714264,-769.492188,-3.107094,0.004230,16.248474,-823.505859,-2.368477,0.000452
CC1(C)C2CC=C(CO)C1C2,NC(=S)NC(N)=S,0.238202,0.000149,16.034363,157.328125,-2.861061,0.005103,13.280487,-196.306641,-1.952385,0.002020
CC1(C)C2CC=C(CO)C1C2,FC(F)C(Cl)C(F)F,0.263751,0.000216,15.929169,-370.378906,-3.025215,0.006658,17.175873,-9.060547,-2.746956,0.000988
