SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCCCCCCCCCCC1CCCC1,O=P(Cl)(c1ccccc1)c1ccccc1,0.224812,0.000139,19.395416,276.363281,-3.410835,0.004522,12.724091,300.699219,-1.986923,0.000283
CCCCCCCCCCCCCC1CCCC1,CC(=O)Nc1ccc(C=O)cc1,0.214670,0.000108,15.913116,2203.751953,-2.928955,0.001506,8.925201,1768.939453,-2.012772,0.004614
CCCCCCCCCCCCCC1CCCC1,Cc1cccc(CO)c1,0.270571,0.000217,15.208282,836.277344,-3.067932,0.004501,11.507874,484.443359,-2.049164,0.004001
CCCCCCCCCCCCCC1CCCC1,COC(C)CO,0.258676,0.000197,15.632416,447.357422,-3.145622,0.005130,14.719025,199.501953,-2.230446,0.002690
CCCCCCCCCCCCCC1CCCC1,Nc1nc(=O)c2ccccc2o1,0.172109,0.000040,14.809998,3546.455078,-2.512840,-0.001550,6.687531,2951.593750,-1.975250,0.006194
CCCCCCCCCCCCCC1CCCC1,CC(Cl)Br,0.261632,0.000216,16.801849,-266.224609,-3.202789,0.005964,15.542511,-155.421875,-2.233185,0.000589
CCCCCCCCCCCCCC1CCCC1,CCCOC(F)F,0.266848,0.000225,16.442230,-179.056641,-3.135452,0.005815,15.361572,-160.273438,-2.264862,0.001071
CCCCCCCCCCCCCC1CCCC1,COC1CC2CCC1(C)C2(C)C,0.257794,0.000219,17.918030,-460.867188,-3.246231,0.005541,17.546875,-646.431641,-2.628670,0.001111
CCCCCCCCCCCCCC1CCCC1,CCC(=O)C1=NCCC1,0.256216,0.000200,16.844666,-95.816406,-3.219650,0.005325,15.571716,-206.623047,-2.235428,0.001491
CCCCCCCCCCCCCC1CCCC1,NC(CF)(CF)CF,0.233804,0.000147,14.972504,756.142578,-3.235603,0.006130,13.769562,898.318359,-2.044258,0.001655
CCCCCCCCCCCCCC1CCCC1,CC(C)CCCC(C)CC=O,0.260390,0.000217,18.008362,-318.666016,-3.263565,0.005397,15.947083,-458.974609,-2.418015,0.001216
CCCCCCCCCCCCCC1CCCC1,Cc1coc(C)n1,0.249621,0.000189,17.072601,-121.076172,-3.277985,0.005578,16.313354,-156.976562,-2.308693,0.000945
CCCCCCCCCCCCCC1CCCC1,NC(=S)NC(N)=S,0.140977,-0.000017,10.855133,3160.755859,-2.641838,0.003894,13.323456,3595.630859,-2.146782,0.002746
CCCCCCCCCCCCCC1CCCC1,FC(F)C(Cl)C(F)F,0.236449,0.000162,16.632416,146.255859,-3.358307,0.006503,14.829346,548.441406,-2.013985,-0.000367
