SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCCCc1ccc(C(=O)O)cc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.223033,0.000148,19.044586,-748.828125,-3.156937,0.004301,14.921875,-876.966797,-2.214287,0.000589
CCCCc1ccc(C(=O)O)cc1,CC(=O)Nc1ccc(C=O)cc1,0.234317,0.000161,18.193604,-428.736328,-3.123108,0.004503,13.977020,-795.828125,-2.131645,0.001678
CCCCc1ccc(C(=O)O)cc1,Cc1cccc(CO)c1,0.244411,0.000187,18.071259,-438.076172,-3.144753,0.004809,15.688599,-747.542969,-2.402733,0.001480
CCCCc1ccc(C(=O)O)cc1,COC(C)CO,0.213690,0.000124,19.735321,-779.255859,-3.206573,0.004030,15.377197,-1116.908203,-2.364677,0.001508
CCCCc1ccc(C(=O)O)cc1,Nc1nc(=O)c2ccccc2o1,0.228772,0.000146,18.393860,-269.189453,-3.112534,0.004187,12.145416,-721.128906,-1.882103,0.001958
CCCCc1ccc(C(=O)O)cc1,CC(Cl)Br,0.280403,0.000245,13.751556,-146.396484,-2.851944,0.007781,16.517761,455.039062,-2.799217,0.001177
CCCCc1ccc(C(=O)O)cc1,CCCOC(F)F,0.278707,0.000242,14.000397,-137.017578,-2.799812,0.007139,16.144135,322.992188,-2.756088,0.001453
CCCCc1ccc(C(=O)O)cc1,COC1CC2CCC1(C)C2(C)C,0.227485,0.000139,16.273560,-756.468750,-2.660683,0.004013,15.488068,-555.085938,-2.396240,0.000942
CCCCc1ccc(C(=O)O)cc1,CCC(=O)C1=NCCC1,0.206429,0.000104,18.475220,-983.007812,-2.906914,0.003692,14.397247,-1027.435547,-2.161583,0.000544
CCCCc1ccc(C(=O)O)cc1,NC(CF)(CF)CF,0.209354,0.000106,17.167206,-685.742188,-2.951385,0.004348,12.558350,-898.832031,-1.802704,0.000810
CCCCc1ccc(C(=O)O)cc1,CC(C)CCCC(C)CC=O,0.233947,0.000159,17.277832,-714.152344,-2.872124,0.004357,16.027496,-714.460938,-2.450676,0.000905
CCCCc1ccc(C(=O)O)cc1,Cc1coc(C)n1,0.191699,0.000077,19.546997,-1131.578125,-3.104584,0.003730,14.202026,-1172.048828,-2.067139,0.000326
CCCCc1ccc(C(=O)O)cc1,NC(=S)NC(N)=S,0.253776,0.000183,14.462830,487.677734,-2.926102,0.006610,14.931458,372.142578,-2.128998,0.001648
CCCCc1ccc(C(=O)O)cc1,FC(F)C(Cl)C(F)F,0.273370,0.000234,14.434631,-165.037109,-2.888817,0.007162,16.256439,257.718750,-2.692657,0.001047
CCCCc1ccc(C(=O)O)cc1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.270560,0.000212,11.516754,650.914062,-2.372047,0.005991,12.308258,1053.326172,-2.419762,0.002981
CCCCc1ccc(C(=O)O)cc1,NNC(=O)c1ccccc1,0.225849,0.000146,18.473572,-473.183594,-3.212425,0.004543,14.403778,-929.919922,-2.163658,0.001788
CCCCc1ccc(C(=O)O)cc1,ClC=CBr,0.283692,0.000247,13.214783,-221.562500,-2.743233,0.007580,16.886597,506.607422,-2.905548,0.001387
CCCCc1ccc(C(=O)O)cc1,CN(C)N=O,0.217423,0.000127,18.748047,-705.531250,-3.164673,0.004355,15.613007,-934.919922,-2.260773,0.001019
CCCCc1ccc(C(=O)O)cc1,c1ccc(C2CCCCC2)cc1,0.284009,0.000244,13.146729,-5.837891,-2.661575,0.007089,15.517029,617.591797,-2.832321,0.002359
CCCCc1ccc(C(=O)O)cc1,N#Cc1ccncc1,0.215182,0.000122,18.343750,-831.271484,-3.024544,0.004138,15.065002,-975.220703,-2.210663,0.000736
CCCCc1ccc(C(=O)O)cc1,CN(C)C(=S)Nc1ccccc1,0.253689,0.000204,17.235596,-256.156250,-3.021362,0.004993,16.032379,-358.724609,-2.525383,0.001288
CCCCc1ccc(C(=O)O)cc1,CCC(N)CC,0.171614,0.000025,18.956726,-1221.013672,-3.142769,0.004086,10.313049,-1257.679688,-1.552925,0.000202
CCCCc1ccc(C(=O)O)cc1,COC(=O)CO,0.235750,0.000171,18.399292,-421.839844,-3.246101,0.004551,16.195770,-719.339844,-2.362633,0.001429
CCCCc1ccc(C(=O)O)cc1,Cc1c(N)cccc1Cl,0.246630,0.000190,17.153229,-454.376953,-2.999153,0.004900,16.227142,-606.291016,-2.458916,0.000967
CCCCc1ccc(C(=O)O)cc1,CC1CCC(C(C)(C)OO)CC1,0.248294,0.000195,17.741028,-355.435547,-3.080360,0.004780,16.227844,-725.214844,-2.539818,0.001755
CCCCc1ccc(C(=O)O)cc1,CC(F)(Cl)CF,0.281357,0.000248,14.024414,-26.593750,-2.915260,0.007730,15.925415,421.990234,-2.713776,0.001505
CCCCc1ccc(C(=O)O)cc1,CCCCC1OC(C)CC(C)(C)O1,0.214970,0.000118,17.429352,-786.500000,-2.714630,0.003461,14.041168,-938.789062,-2.186226,0.001098
CCCCc1ccc(C(=O)O)cc1,CC(C)(C)OCC1CO1,0.221104,0.000137,18.529816,-803.447266,-2.953049,0.003706,15.884918,-929.044922,-2.397530,0.000851
CCCCc1ccc(C(=O)O)cc1,O=P(O)(O)OP(=O)(O)O,0.224139,0.000109,15.325775,18.144531,-2.923988,0.005876,11.620209,-306.712891,-1.525352,0.002571
CCCCc1ccc(C(=O)O)cc1,CC(=O)Nc1ccc(C)cc1,0.233202,0.000162,18.115570,-639.076172,-3.091881,0.004675,14.592896,-819.226562,-2.190933,0.000975
CCCCc1ccc(C(=O)O)cc1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.250912,0.000190,17.888000,171.003906,-3.132904,0.004333,13.715942,-156.912109,-2.170212,0.001980
CCCCc1ccc(C(=O)O)cc1,CC(C)(O)CCC1CCCCC1,0.231195,0.000153,17.417938,-468.837891,-2.958084,0.004359,13.887085,-820.191406,-2.174240,0.001694
CCCCc1ccc(C(=O)O)cc1,COCC(F)(F)F,0.256697,0.000201,14.908295,-315.828125,-2.772362,0.006037,15.536163,-48.796875,-2.431450,0.000553
CCCCc1ccc(C(=O)O)cc1,COCC(O)COC,0.203707,0.000102,20.214905,-950.515625,-3.251114,0.003883,15.442230,-1210.593750,-2.312195,0.001221
CCCCc1ccc(C(=O)O)cc1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.227639,0.000151,19.301117,-377.404297,-3.175751,0.003879,13.868011,-943.025391,-2.200737,0.002308
CCCCc1ccc(C(=O)O)cc1,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.253582,0.000201,17.284760,-39.320312,-3.114662,0.004717,15.918060,-477.316406,-2.445023,0.002328
CCCCc1ccc(C(=O)O)cc1,CC(C)C(F)F,0.284315,0.000247,13.203918,-33.923828,-2.741272,0.007455,15.869415,556.060547,-2.803955,0.001901
CCCCc1ccc(C(=O)O)cc1,CCCCC1C=C(C)CC(C)O1,0.221148,0.000126,16.280151,-769.765625,-2.640099,0.003898,14.424377,-721.761719,-2.206352,0.000842
CCCCc1ccc(C(=O)O)cc1,COc1ccc(C(C)=O)cc1,0.222034,0.000138,18.513458,-790.687500,-3.065353,0.004237,15.069794,-919.095703,-2.214165,0.000736
CCCCc1ccc(C(=O)O)cc1,Oc1cc(O)ncn1,0.254948,0.000194,16.068024,69.064453,-3.090729,0.005912,16.035309,-400.634766,-2.414856,0.002760
CCCCc1ccc(C(=O)O)cc1,COCCCCl,0.234716,0.000155,16.280548,-665.667969,-2.794037,0.004794,15.236206,-609.212891,-2.302895,0.000739
CCCCc1ccc(C(=O)O)cc1,CCCOC,0.220430,0.000129,17.260071,-839.658203,-2.831802,0.004091,15.508057,-837.191406,-2.315590,0.000634
CCCCc1ccc(C(=O)O)cc1,Fc1c(F)c(F)c(F)c(F)c1F,0.286071,0.000241,11.731049,181.080078,-2.476624,0.006990,13.787323,853.968750,-2.595047,0.002551
CCCCc1ccc(C(=O)O)cc1,CCP(CC)CC,0.220031,0.000122,16.103943,-869.556641,-2.634323,0.004171,15.280853,-576.234375,-2.368858,0.000746
CCCCc1ccc(C(=O)O)cc1,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.202005,0.000087,17.850433,-841.902344,-2.732635,0.003273,12.838348,-1112.527344,-2.068970,0.001638
CCCCc1ccc(C(=O)O)cc1,Fc1cc(F)c(F)cc1F,0.284324,0.000245,12.899933,0.478516,-2.699692,0.007414,15.034332,572.890625,-2.676468,0.001889
CCCCc1ccc(C(=O)O)cc1,CCCCc1ccc(C(=O)O)cc1,0.259686,0.000221,17.595367,-314.033203,-3.107140,0.005145,16.845215,-655.162109,-2.665688,0.001708
CCCCc1ccc(C(=O)O)cc1,C=Cc1c(C)cc(C)cc1C,0.281809,0.000242,13.507202,-68.417969,-2.724930,0.007218,15.857697,526.314453,-2.826065,0.002062
CCCCc1ccc(C(=O)O)cc1,C=C(C)C(=O)OC(C)(C)C,0.239239,0.000172,17.213501,-681.843750,-2.917496,0.004734,16.309265,-626.109375,-2.503960,0.000838
CCCCc1ccc(C(=O)O)cc1,FC1CCCN1,0.230703,0.000165,19.033600,-627.294922,-3.208298,0.004333,17.229706,-824.132812,-2.556923,0.000877
CCCCc1ccc(C(=O)O)cc1,CCCCCCCC(=O)NC,0.208086,0.000109,18.709778,-828.783203,-3.075623,0.004040,13.563324,-1053.017578,-2.044418,0.000997
CCCCc1ccc(C(=O)O)cc1,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.281113,0.000230,11.467041,599.625000,-2.461884,0.006765,12.697632,974.539062,-2.520897,0.003384
CCCCc1ccc(C(=O)O)cc1,C1=CC2C=CC1C2,0.283219,0.000240,12.719879,-63.048828,-2.620224,0.007279,16.015015,675.003906,-2.869919,0.002155
CCCCc1ccc(C(=O)O)cc1,CCC(C)(O)CCC=C(C)C,0.227156,0.000147,17.761627,-576.873047,-2.999222,0.004284,13.952637,-855.593750,-2.150574,0.001365
CCCCc1ccc(C(=O)O)cc1,CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,0.222431,0.000147,18.509644,-373.718750,-2.869972,0.003014,17.416016,-994.187500,-2.862968,0.002329
CCCCc1ccc(C(=O)O)cc1,CCC(C)CCF,0.279699,0.000237,13.347351,-150.439453,-2.658607,0.006910,16.341949,416.193359,-2.851318,0.001894
CCCCc1ccc(C(=O)O)cc1,C=Cc1cccc(CC)c1,0.281986,0.000244,13.662079,-72.490234,-2.749672,0.007207,16.011566,483.564453,-2.837662,0.002038
CCCCc1ccc(C(=O)O)cc1,CC(C)(C(O)(F)F)C(F)(F)F,0.214401,0.000114,17.401428,-1013.910156,-2.836266,0.004184,15.608978,-690.470703,-2.315292,0.000164
CCCCc1ccc(C(=O)O)cc1,FC(Cl)(Cl)C(F)(F)C(Cl)(Cl)Cl,0.287548,0.000243,11.981384,-18.421875,-2.500618,0.006889,15.472534,739.291016,-2.839302,0.002728
CCCCc1ccc(C(=O)O)cc1,CCN(CC)c1ccc(N)cc1,0.210586,0.000122,19.308990,-787.169922,-3.203621,0.004159,14.854279,-1047.214844,-2.216751,0.000856
CCCCc1ccc(C(=O)O)cc1,FC(F)CC(F)(F)F,0.281596,0.000243,13.092133,138.267578,-2.764221,0.007361,14.314575,596.675781,-2.510475,0.001767
CCCCc1ccc(C(=O)O)cc1,N#CCCOCCC#N,0.242756,0.000178,18.023254,-155.388672,-3.131241,0.004600,13.797974,-344.857422,-2.080032,0.001140
CCCCc1ccc(C(=O)O)cc1,CCC(C)C(C)C(C)C,0.282323,0.000229,11.359802,198.992188,-2.360794,0.006447,14.846741,1111.531250,-2.892273,0.003387
CCCCc1ccc(C(=O)O)cc1,Cn1c(=O)ccc2ccccc21,0.190738,0.000071,19.482086,-1082.242188,-3.196251,0.004231,12.789185,-1191.615234,-1.859093,0.000530
CCCCc1ccc(C(=O)O)cc1,CCOC(=O)c1ccccc1N,0.246607,0.000190,17.466003,-462.687500,-3.002838,0.004667,16.053436,-692.441406,-2.458862,0.001257
CCCCc1ccc(C(=O)O)cc1,ClC1CN2CCC1CC2,0.186302,0.000056,18.205078,-1165.218750,-2.911156,0.003728,12.752594,-1151.353516,-1.852737,0.000218
CCCCc1ccc(C(=O)O)cc1,CC=CCCCCCCCC#N,0.245444,0.000188,17.551331,-563.732422,-2.999489,0.004733,16.931793,-669.419922,-2.616623,0.001114
CCCCc1ccc(C(=O)O)cc1,COCCl,0.267245,0.000224,14.936249,-210.265625,-2.936295,0.007087,16.457153,265.562500,-2.679825,0.000792
CCCCc1ccc(C(=O)O)cc1,NCCc1cccnc1,0.178102,0.000044,21.072113,-1038.722656,-3.392639,0.004193,11.149384,-1487.503906,-1.858864,0.001813
CCCCc1ccc(C(=O)O)cc1,Cc1cccc(C(=O)O)c1,0.255739,0.000215,17.973236,-367.455078,-3.179840,0.005136,16.892609,-673.916016,-2.616859,0.001490
CCCCc1ccc(C(=O)O)cc1,C=CCNC,0.181284,0.000050,19.129181,-1154.248047,-3.113434,0.003999,12.012756,-1242.144531,-1.821281,0.000356
CCCCc1ccc(C(=O)O)cc1,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.243550,0.000155,8.604584,1204.716797,-1.994606,0.004911,12.183319,2078.369141,-2.728462,0.004048
CCCCc1ccc(C(=O)O)cc1,CC(CO)C(F)(F)F,0.254436,0.000199,16.560059,-171.404297,-3.060577,0.005671,15.494385,-494.970703,-2.408028,0.001919
CCCCc1ccc(C(=O)O)cc1,CC(C)C(=O)C(F)(F)F,0.270912,0.000225,14.048767,-184.296875,-2.686996,0.006305,15.721710,199.570312,-2.632492,0.001307
CCCCc1ccc(C(=O)O)cc1,O=C(C(=O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0.263243,0.000196,11.843658,694.556641,-2.346542,0.004942,12.429047,950.203125,-2.486938,0.003340
CCCCc1ccc(C(=O)O)cc1,CC(C)CC(C#N)(CC(C)C)C(C#N)(CC(C)C)CC(C)C,0.247560,0.000191,17.146332,-438.220703,-2.899483,0.004531,16.531158,-660.855469,-2.664062,0.001700
CCCCc1ccc(C(=O)O)cc1,C=CCN(C)CC=C,0.202727,0.000083,16.315643,-927.529297,-2.621620,0.003803,12.216309,-938.652344,-1.852402,0.000623
CCCCc1ccc(C(=O)O)cc1,COCC(F)C(F)(F)F,0.258762,0.000202,14.637787,-241.857422,-2.725868,0.005870,14.733429,-86.189453,-2.334160,0.000915
CCCCc1ccc(C(=O)O)cc1,CNC(C)(C)C,0.173282,0.000026,18.791138,-1229.054688,-2.993454,0.003929,9.782562,-1277.380859,-1.573257,0.000509
CCCCc1ccc(C(=O)O)cc1,C1COCCOCCOCCO1,0.198289,0.000079,19.348480,-916.837891,-2.994850,0.003492,13.889069,-1234.187500,-2.180580,0.001887
