SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CCNc1nc(NCC)nc(OC)n1,O=P(Cl)(c1ccccc1)c1ccccc1,0.236768,0.000177,18.555420,-609.525391,-3.159370,0.004552,17.276062,-797.390625,-2.572456,0.000793
CCNc1nc(NCC)nc(OC)n1,CC(=O)Nc1ccc(C=O)cc1,0.250110,0.000195,17.574097,-179.830078,-3.072754,0.004619,15.925812,-599.822266,-2.522034,0.002148
CCNc1nc(NCC)nc(OC)n1,Cc1cccc(CO)c1,0.249998,0.000197,16.916992,-371.126953,-2.956200,0.004738,16.419403,-593.480469,-2.531235,0.001270
CCNc1nc(NCC)nc(OC)n1,COC(C)CO,0.228982,0.000159,18.165070,-679.353516,-3.068970,0.004285,17.280975,-820.216797,-2.521194,0.000561
CCNc1nc(NCC)nc(OC)n1,Nc1nc(=O)c2ccccc2o1,0.229462,0.000152,18.929169,-103.675781,-3.091087,0.003414,13.103516,-648.607422,-2.117050,0.002557
CCNc1nc(NCC)nc(OC)n1,CC(Cl)Br,0.262774,0.000213,15.738647,-572.251953,-2.888588,0.005843,19.574951,-208.101562,-3.144882,0.001388
CCNc1nc(NCC)nc(OC)n1,CCCOC(F)F,0.275166,0.000235,14.979950,-344.558594,-2.792496,0.005888,18.115204,-103.164062,-3.000435,0.002042
CCNc1nc(NCC)nc(OC)n1,COC1CC2CCC1(C)C2(C)C,0.249584,0.000173,13.862183,-440.416016,-2.345062,0.003794,17.909302,144.488281,-2.936096,0.002425
CCNc1nc(NCC)nc(OC)n1,CCC(=O)C1=NCCC1,0.240221,0.000170,16.476898,-815.783203,-2.800583,0.004533,18.854919,-446.572266,-2.871292,0.000818
CCNc1nc(NCC)nc(OC)n1,NC(CF)(CF)CF,0.231914,0.000161,17.359985,-618.765625,-2.955399,0.004336,16.928040,-707.136719,-2.441940,0.000408
CCNc1nc(NCC)nc(OC)n1,CC(C)CCCC(C)CC=O,0.253784,0.000193,15.522125,-450.847656,-2.696762,0.004663,17.418640,-329.369141,-2.766327,0.001627
CCNc1nc(NCC)nc(OC)n1,Cc1coc(C)n1,0.224193,0.000140,17.509583,-948.617188,-2.928627,0.004462,17.072968,-744.353516,-2.452423,0.000067
CCNc1nc(NCC)nc(OC)n1,NC(=S)NC(N)=S,0.221281,0.000119,18.699554,-414.060547,-3.094246,0.003802,16.493225,-789.183594,-2.459793,0.002225
