SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C#CCCCCCCCCCCCCCCCCCC,O=P(Cl)(c1ccccc1)c1ccccc1,0.238843,0.000174,19.169861,-154.533203,-3.388039,0.004846,14.910645,-178.361328,-2.185364,0.000504
C#CCCCCCCCCCCCCCCCCCC,CC(=O)Nc1ccc(C=O)cc1,0.234088,0.000145,15.596863,1707.650391,-2.981743,0.002756,10.652710,1328.021484,-2.130432,0.004342
C#CCCCCCCCCCCCCCCCCCC,Cc1cccc(CO)c1,0.269660,0.000219,15.437927,640.710938,-3.100975,0.005164,12.844543,347.769531,-2.206169,0.003621
C#CCCCCCCCCCCCCCCCCCC,COC(C)CO,0.253110,0.000195,16.567688,148.962891,-3.182358,0.004807,16.119659,-109.251953,-2.383766,0.002422
C#CCCCCCCCCCCCCCCCCCC,Nc1nc(=O)c2ccccc2o1,0.194304,0.000077,13.571075,3109.511719,-2.640427,0.000498,8.135529,2753.458984,-2.064743,0.005874
C#CCCCCCCCCCCCCCCCCCC,CC(Cl)Br,0.262377,0.000221,16.401459,-329.410156,-3.168205,0.006095,16.552734,-212.929688,-2.379745,0.000668
C#CCCCCCCCCCCCCCCCCCC,CCCOC(F)F,0.266042,0.000226,16.325500,-310.722656,-3.092857,0.005720,16.478943,-324.326172,-2.455711,0.001139
C#CCCCCCCCCCCCCCCCCCC,COC1CC2CCC1(C)C2(C)C,0.247028,0.000197,17.836456,-607.783203,-3.122177,0.005027,17.843353,-695.787109,-2.627357,0.000525
C#CCCCCCCCCCCCCCCCCCC,CCC(=O)C1=NCCC1,0.247130,0.000189,17.414185,-379.974609,-3.183128,0.005066,17.138916,-456.253906,-2.427414,0.000956
C#CCCCCCCCCCCCCCCCCCC,NC(CF)(CF)CF,0.241862,0.000165,14.909271,516.683594,-3.169098,0.006185,14.807373,630.062500,-2.124588,0.001675
C#CCCCCCCCCCCCCCCCCCC,CC(C)CCCC(C)CC=O,0.252173,0.000208,18.432343,-478.509766,-3.275703,0.005279,17.434937,-642.404297,-2.596382,0.000952
C#CCCCCCCCCCCCCCCCCCC,Cc1coc(C)n1,0.247844,0.000192,17.578735,-333.330078,-3.237694,0.005185,17.405487,-410.576172,-2.455276,0.000921
C#CCCCCCCCCCCCCCCCCCC,NC(=S)NC(N)=S,0.163437,0.000021,10.624725,2435.369141,-2.775246,0.005619,15.443207,3099.056641,-2.188530,0.001559
C#CCCCCCCCCCCCCCCCCCC,FC(F)C(Cl)C(F)F,0.247687,0.000187,16.016510,-101.765625,-3.285141,0.006766,16.342041,266.812500,-2.192871,-0.000138
C#CCCCCCCCCCCCCCCCCCC,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.250601,0.000182,12.559021,613.621094,-2.759354,0.006152,11.900177,905.027344,-1.994637,0.002229
C#CCCCCCCCCCCCCCCCCCC,NNC(=O)c1ccccc1,0.238515,0.000150,13.863739,1616.884766,-3.035782,0.004613,12.042480,1430.609375,-2.177902,0.003861
C#CCCCCCCCCCCCCCCCCCC,ClC=CBr,0.264192,0.000222,15.697845,-392.052734,-3.071579,0.006124,17.072754,-233.814453,-2.516243,0.000874
C#CCCCCCCCCCCCCCCCCCC,CN(C)N=O,0.214302,0.000115,16.492859,418.919922,-3.257042,0.005293,16.324829,649.986328,-2.188927,0.000312
C#CCCCCCCCCCCCCCCCCCC,c1ccc(C2CCCCC2)cc1,0.265890,0.000232,17.357269,-350.298828,-3.201553,0.005875,16.565613,-539.906250,-2.551369,0.001418
C#CCCCCCCCCCCCCCCCCCC,N#Cc1ccncc1,0.245589,0.000180,17.482635,-91.125000,-3.237305,0.005042,15.816406,-173.697266,-2.211143,0.001142
C#CCCCCCCCCCCCCCCCCCC,CN(C)C(=S)Nc1ccccc1,0.233203,0.000151,17.817657,594.541016,-3.292229,0.004260,12.635376,492.908203,-1.988869,0.001764
C#CCCCCCCCCCCCCCCCCCC,CCC(N)CC,0.243063,0.000181,16.785156,-353.478516,-3.107849,0.005263,17.567291,-530.068359,-2.568130,0.001334
C#CCCCCCCCCCCCCCCCCCC,COC(=O)CO,0.224562,0.000135,15.986633,766.310547,-3.264145,0.004877,14.219971,906.419922,-2.106903,0.001386
C#CCCCCCCCCCCCCCCCCCC,Cc1c(N)cccc1Cl,0.258154,0.000202,16.023346,80.000000,-3.101677,0.005256,15.311584,-115.949219,-2.263756,0.002120
C#CCCCCCCCCCCCCCCCCCC,CC1CCC(C(C)(C)OO)CC1,0.266179,0.000223,16.915009,253.091797,-3.170547,0.004915,15.183533,-241.091797,-2.557465,0.003244
C#CCCCCCCCCCCCCCCCCCC,CC(F)(Cl)CF,0.260520,0.000212,16.032104,-163.179688,-3.187241,0.006442,15.805420,40.890625,-2.227821,0.000484
C#CCCCCCCCCCCCCCCCCCC,CCCCC1OC(C)CC(C)(C)O1,0.245395,0.000194,18.241486,-572.697266,-3.159721,0.004824,17.883545,-751.578125,-2.646507,0.000856
C#CCCCCCCCCCCCCCCCCCC,CC(C)(C)OCC1CO1,0.247805,0.000197,18.094940,-460.867188,-3.276863,0.005231,17.778381,-563.861328,-2.554947,0.000833
C#CCCCCCCCCCCCCCCCCCC,O=P(O)(O)OP(=O)(O)O,0.134150,-0.000021,9.680573,4402.625000,-1.906929,0.000729,10.751221,4460.414062,-2.006927,0.004876
C#CCCCCCCCCCCCCCCCCCC,CC(=O)Nc1ccc(C)cc1,0.267775,0.000213,15.952393,828.515625,-3.053391,0.004112,12.043732,383.421875,-2.154884,0.004121
C#CCCCCCCCCCCCCCCCCCC,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.185201,0.000058,16.020905,1674.382812,-3.168091,0.003594,12.913452,1900.150391,-2.094879,0.001758
C#CCCCCCCCCCCCCCCCCCC,CC(C)(O)CCC1CCCCC1,0.271075,0.000231,16.921021,384.046875,-3.158592,0.004911,13.978973,-119.937500,-2.467873,0.003606
C#CCCCCCCCCCCCCCCCCCC,COCC(F)(F)F,0.261192,0.000209,15.336212,-75.464844,-3.022858,0.005822,15.380493,47.478516,-2.201927,0.001137
C#CCCCCCCCCCCCCCCCCCC,COCC(O)COC,0.242736,0.000176,17.376404,-69.796875,-3.276794,0.004964,16.250732,-216.193359,-2.274139,0.001278
C#CCCCCCCCCCCCCCCCCCC,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.232450,0.000142,14.619049,2235.722656,-2.897293,0.001526,10.049194,1498.806641,-2.341263,0.006421
C#CCCCCCCCCCCCCCCCCCC,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.210164,0.000103,13.897186,2155.492188,-2.926056,0.002383,11.214813,1871.314453,-2.168747,0.004755
C#CCCCCCCCCCCCCCCCCCC,CC(C)C(F)F,0.268131,0.000230,15.972076,-283.861328,-3.096169,0.006015,16.430573,-287.111328,-2.440033,0.001208
C#CCCCCCCCCCCCCCCCCCC,CCCCC1C=C(C)CC(C)O1,0.244491,0.000194,18.238098,-620.705078,-3.156769,0.004873,17.928131,-725.826172,-2.633980,0.000528
C#CCCCCCCCCCCCCCCCCCC,COc1ccc(C(C)=O)cc1,0.246143,0.000182,17.782257,-105.599609,-3.268013,0.005209,15.513550,-138.730469,-2.222610,0.000738
C#CCCCCCCCCCCCCCCCCCC,Oc1cc(O)ncn1,0.208691,0.000098,11.787872,2533.898438,-2.822327,0.003340,11.545868,2320.693359,-2.296768,0.005169
C#CCCCCCCCCCCCCCCCCCC,COCCCCl,0.255394,0.000203,16.464172,-360.359375,-3.078667,0.005449,17.014099,-392.556641,-2.446724,0.000915
C#CCCCCCCCCCCCCCCCCCC,CCCOC,0.249318,0.000199,17.337952,-572.851562,-3.119324,0.004885,18.208008,-649.615234,-2.695915,0.000863
C#CCCCCCCCCCCCCCCCCCC,Fc1c(F)c(F)c(F)c(F)c1F,0.267062,0.000221,14.496613,-96.398438,-2.886383,0.006063,14.397003,8.027344,-2.270164,0.001579
C#CCCCCCCCCCCCCCCCCCC,CCP(CC)CC,0.245597,0.000195,17.981201,-628.207031,-3.141174,0.004994,17.932465,-687.080078,-2.623222,0.000403
C#CCCCCCCCCCCCCCCCCCC,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,0.241724,0.000190,19.060425,-571.804688,-3.255981,0.004649,18.120880,-833.066406,-2.700073,0.001041
C#CCCCCCCCCCCCCCCCCCC,Fc1cc(F)c(F)cc1F,0.266361,0.000226,15.827362,-276.689453,-3.063568,0.005863,15.816284,-266.750000,-2.371040,0.001343
C#CCCCCCCCCCCCCCCCCCC,CCCCc1ccc(C(=O)O)cc1,0.270634,0.000227,16.507904,536.367188,-3.106308,0.004425,13.275940,-6.085938,-2.373283,0.003968
C#CCCCCCCCCCCCCCCCCCC,C=Cc1c(C)cc(C)cc1C,0.265470,0.000232,17.451782,-376.306641,-3.221939,0.005760,16.789459,-555.154297,-2.587242,0.001420
C#CCCCCCCCCCCCCCCCCCC,C=C(C)C(=O)OC(C)(C)C,0.249006,0.000205,18.754700,-530.496094,-3.336090,0.005331,17.609436,-615.876953,-2.577965,0.000576
C#CCCCCCCCCCCCCCCCCCC,FC1CCCN1,0.254607,0.000200,16.543762,-67.984375,-3.176666,0.005354,16.403259,-121.816406,-2.335579,0.001411
C#CCCCCCCCCCCCCCCCCCC,CCCCCCCC(=O)NC,0.265848,0.000216,17.170288,532.986328,-3.097794,0.004126,13.189667,26.978516,-2.308395,0.003616
C#CCCCCCCCCCCCCCCCCCC,CC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,0.265814,0.000211,13.179291,389.347656,-2.837303,0.006388,13.172852,452.539062,-2.161201,0.002625
C#CCCCCCCCCCCCCCCCCCC,C1=CC2C=CC1C2,0.266781,0.000229,16.476837,-361.701172,-3.103653,0.005756,16.752258,-450.238281,-2.581329,0.001431
C#CCCCCCCCCCCCCCCCCCC,CCC(C)(O)CCC=C(C)C,0.266027,0.000226,17.232574,175.472656,-3.204086,0.005023,14.768250,-266.578125,-2.490791,0.003015
