SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
C(=Nc1ccccc1)c1ccccc1,O=P(Cl)(c1ccccc1)c1ccccc1,0.247258,0.000205,19.845581,-497.796875,-3.416382,0.004916,17.036804,-742.166016,-2.597359,0.001157
C(=Nc1ccccc1)c1ccccc1,CC(=O)Nc1ccc(C=O)cc1,0.267565,0.000219,17.368896,663.396484,-3.093735,0.003974,12.482727,6.744141,-2.322548,0.004192
C(=Nc1ccccc1)c1ccccc1,Cc1cccc(CO)c1,0.262797,0.000220,17.157532,187.855469,-3.148712,0.004839,14.768494,-310.966797,-2.498474,0.003132
C(=Nc1ccccc1)c1ccccc1,COC(C)CO,0.254971,0.000208,17.305023,-80.087891,-3.175156,0.004947,16.844177,-535.990234,-2.661537,0.002462
C(=Nc1ccccc1)c1ccccc1,Nc1nc(=O)c2ccccc2o1,0.242912,0.000161,16.359161,1613.800781,-2.863708,0.001868,8.667847,763.742188,-1.958313,0.006299
C(=Nc1ccccc1)c1ccccc1,CC(Cl)Br,0.257509,0.000218,17.381256,-562.587891,-3.132111,0.005483,17.641907,-608.468750,-2.650414,0.000652
C(=Nc1ccccc1)c1ccccc1,CCCOC(F)F,0.264100,0.000227,16.877411,-421.703125,-3.046593,0.005560,16.737183,-550.126953,-2.590996,0.001147
C(=Nc1ccccc1)c1ccccc1,COC1CC2CCC1(C)C2(C)C,0.251262,0.000194,16.300812,-371.771484,-2.846680,0.004648,16.174805,-394.654297,-2.612015,0.001898
C(=Nc1ccccc1)c1ccccc1,CCC(=O)C1=NCCC1,0.248586,0.000202,18.134308,-582.373047,-3.145203,0.005007,17.579529,-737.562500,-2.651947,0.000827
C(=Nc1ccccc1)c1ccccc1,NC(CF)(CF)CF,0.258603,0.000208,16.342560,22.152344,-3.178230,0.005977,15.985626,-213.812500,-2.447441,0.002139
C(=Nc1ccccc1)c1ccccc1,CC(C)CCCC(C)CC=O,0.253863,0.000209,17.610870,-401.367188,-3.100288,0.005075,16.732117,-657.402344,-2.621689,0.001519
C(=Nc1ccccc1)c1ccccc1,Cc1coc(C)n1,0.247517,0.000198,17.938660,-494.070312,-3.200249,0.005268,17.741241,-671.240234,-2.649620,0.000984
C(=Nc1ccccc1)c1ccccc1,NC(=S)NC(N)=S,0.234791,0.000149,16.217896,606.582031,-3.105324,0.005332,15.179016,258.427734,-2.178322,0.002113
C(=Nc1ccccc1)c1ccccc1,FC(F)C(Cl)C(F)F,0.248647,0.000196,17.547852,-536.626953,-3.139740,0.005241,17.465393,-554.414062,-2.557007,0.000775
C(=Nc1ccccc1)c1ccccc1,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.247146,0.000174,13.570984,494.066406,-2.524628,0.004238,13.073517,260.820312,-2.310303,0.003129
C(=Nc1ccccc1)c1ccccc1,NNC(=O)c1ccccc1,0.271778,0.000221,15.917297,826.441406,-3.113663,0.004858,12.442932,248.482422,-2.256012,0.004510
C(=Nc1ccccc1)c1ccccc1,ClC=CBr,0.260003,0.000216,16.772186,-600.248047,-2.995575,0.005285,18.002319,-524.664062,-2.786896,0.001017
C(=Nc1ccccc1)c1ccccc1,CN(C)N=O,0.250125,0.000197,17.669342,-314.646484,-3.244003,0.005337,17.405884,-497.607422,-2.483627,0.001342
C(=Nc1ccccc1)c1ccccc1,c1ccc(C2CCCCC2)cc1,0.265288,0.000223,16.624512,-340.707031,-2.929695,0.005068,15.829987,-444.230469,-2.587219,0.002013
C(=Nc1ccccc1)c1ccccc1,N#Cc1ccncc1,0.248386,0.000200,18.415955,-497.634766,-3.228172,0.004984,17.775604,-743.818359,-2.655182,0.001219
C(=Nc1ccccc1)c1ccccc1,CN(C)C(=S)Nc1ccccc1,0.246999,0.000192,18.328156,-296.259766,-3.172523,0.004438,16.033936,-589.427734,-2.464897,0.001616
C(=Nc1ccccc1)c1ccccc1,CCC(N)CC,0.244936,0.000186,16.343018,-176.882812,-3.073952,0.005846,17.039551,-456.835938,-2.696243,0.002071
C(=Nc1ccccc1)c1ccccc1,COC(=O)CO,0.253257,0.000204,17.369568,-132.406250,-3.221046,0.004935,16.553711,-357.240234,-2.444534,0.001754
C(=Nc1ccccc1)c1ccccc1,Cc1c(N)cccc1Cl,0.253437,0.000209,17.938965,-299.570312,-3.177727,0.004957,16.727600,-660.523438,-2.599045,0.001735
C(=Nc1ccccc1)c1ccccc1,CC1CCC(C(C)(C)OO)CC1,0.244972,0.000190,17.669556,-206.972656,-3.031738,0.004157,15.583679,-598.894531,-2.513954,0.002144
C(=Nc1ccccc1)c1ccccc1,CC(F)(Cl)CF,0.259913,0.000222,17.410583,-487.000000,-3.187225,0.005771,17.368317,-541.076172,-2.588661,0.000793
C(=Nc1ccccc1)c1ccccc1,CCCCC1OC(C)CC(C)(C)O1,0.252340,0.000203,17.325409,-425.976562,-2.990540,0.004685,16.783173,-633.525391,-2.641891,0.001618
C(=Nc1ccccc1)c1ccccc1,CC(C)(C)OCC1CO1,0.251236,0.000207,18.211609,-528.490234,-3.198463,0.005191,17.638580,-742.677734,-2.685310,0.001043
C(=Nc1ccccc1)c1ccccc1,O=P(O)(O)OP(=O)(O)O,0.204044,0.000052,15.136200,1086.169922,-2.845535,0.004683,1.444489,425.542969,-0.554810,0.005434
C(=Nc1ccccc1)c1ccccc1,CC(=O)Nc1ccc(C)cc1,0.270806,0.000231,17.287048,407.175781,-3.119972,0.004382,13.589294,-188.136719,-2.458115,0.003854
C(=Nc1ccccc1)c1ccccc1,CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.251286,0.000189,18.071350,89.919922,-3.314743,0.005163,14.282898,-87.273438,-2.197418,0.001565
C(=Nc1ccccc1)c1ccccc1,CC(C)(O)CCC1CCCCC1,0.265378,0.000222,16.278992,365.904297,-3.057671,0.005126,14.523621,-197.869141,-2.593147,0.004013
C(=Nc1ccccc1)c1ccccc1,COCC(F)(F)F,0.262465,0.000220,16.202942,-311.792969,-3.003372,0.005569,16.476349,-423.505859,-2.515999,0.001273
C(=Nc1ccccc1)c1ccccc1,COCC(O)COC,0.250352,0.000204,18.329102,-380.451172,-3.287392,0.005127,17.791901,-715.935547,-2.682137,0.001550
C(=Nc1ccccc1)c1ccccc1,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,0.261614,0.000210,17.582611,974.455078,-3.063164,0.002824,12.071686,68.972656,-2.406502,0.005298
C(=Nc1ccccc1)c1ccccc1,Nc1ccc(C(=O)O)cc1[N+](=O)[O-],0.232718,0.000157,18.653809,183.900391,-3.144829,0.003118,12.881012,-335.107422,-2.058350,0.002779
C(=Nc1ccccc1)c1ccccc1,CC(C)C(F)F,0.265842,0.000228,16.615417,-430.261719,-3.003258,0.005563,16.679230,-482.142578,-2.609093,0.001248
C(=Nc1ccccc1)c1ccccc1,CCCCC1C=C(C)CC(C)O1,0.250893,0.000198,16.928528,-397.701172,-2.932045,0.004627,16.540314,-539.871094,-2.633377,0.001708
C(=Nc1ccccc1)c1ccccc1,COc1ccc(C(C)=O)cc1,0.254772,0.000214,18.621765,-435.175781,-3.307457,0.005391,17.344574,-697.296875,-2.648041,0.001344
C(=Nc1ccccc1)c1ccccc1,Oc1cc(O)ncn1,0.242634,0.000160,15.245331,1188.580078,-2.869949,0.003243,11.848846,339.683594,-2.190483,0.005562
C(=Nc1ccccc1)c1ccccc1,COCCCCl,0.256880,0.000211,16.942261,-475.074219,-3.051445,0.005415,17.268982,-599.234375,-2.652130,0.001176
C(=Nc1ccccc1)c1ccccc1,CCCOC,0.247177,0.000192,16.635193,-483.783203,-2.970001,0.005024,17.378906,-517.162109,-2.707626,0.001284
C(=Nc1ccccc1)c1ccccc1,Fc1c(F)c(F)c(F)c(F)c1F,0.255309,0.000199,15.317078,-214.714844,-2.753204,0.004981,14.933136,-182.654297,-2.427032,0.001673
C(=Nc1ccccc1)c1ccccc1,CCP(CC)CC,0.248804,0.000195,17.054443,-444.726562,-2.969177,0.004729,16.944519,-560.753906,-2.649918,0.001445
