SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(=O)c1c(C)cc(C)cc1C,O=P(Cl)(c1ccccc1)c1ccccc1,0.248930,0.000208,20.040741,-510.224609,-3.413818,0.004911,16.471375,-713.275391,-2.521584,0.001011
CC(=O)c1c(C)cc(C)cc1C,CC(=O)Nc1ccc(C=O)cc1,0.252332,0.000198,18.697083,30.603516,-3.177216,0.004093,13.390289,-466.791016,-2.232292,0.002576
CC(=O)c1c(C)cc(C)cc1C,Cc1cccc(CO)c1,0.242406,0.000188,18.634613,-448.181641,-3.187057,0.004571,15.567108,-703.552734,-2.384506,0.001263
CC(=O)c1c(C)cc(C)cc1C,COC(C)CO,0.254896,0.000209,17.388794,-233.884766,-3.181305,0.005442,17.085785,-578.500000,-2.618835,0.001806
CC(=O)c1c(C)cc(C)cc1C,Nc1nc(=O)c2ccccc2o1,0.239121,0.000160,19.023865,559.107422,-3.019562,0.002532,9.191101,-106.890625,-1.748344,0.003964
CC(=O)c1c(C)cc(C)cc1C,CC(Cl)Br,0.249072,0.000202,18.084564,-688.505859,-3.168655,0.005406,18.181824,-664.958984,-2.716446,0.000377
CC(=O)c1c(C)cc(C)cc1C,CCCOC(F)F,0.261613,0.000221,17.095673,-469.736328,-3.049782,0.005444,16.762634,-580.134766,-2.581856,0.001113
CC(=O)c1c(C)cc(C)cc1C,COC1CC2CCC1(C)C2(C)C,0.258198,0.000207,16.222137,-306.357422,-2.847549,0.004827,15.627991,-373.707031,-2.585312,0.002266
CC(=O)c1c(C)cc(C)cc1C,CCC(=O)C1=NCCC1,0.254913,0.000213,17.956604,-513.541016,-3.140701,0.005190,16.856201,-686.238281,-2.576935,0.001062
CC(=O)c1c(C)cc(C)cc1C,NC(CF)(CF)CF,0.251483,0.000199,17.096252,-204.117188,-3.209633,0.005848,16.596558,-401.310547,-2.478889,0.001625
CC(=O)c1c(C)cc(C)cc1C,CC(C)CCCC(C)CC=O,0.260369,0.000218,17.126678,-352.253906,-3.038422,0.005254,16.083069,-578.574219,-2.577248,0.001841
CC(=O)c1c(C)cc(C)cc1C,Cc1coc(C)n1,0.252705,0.000208,17.995178,-442.218750,-3.227875,0.005493,17.298462,-640.068359,-2.618202,0.001161
CC(=O)c1c(C)cc(C)cc1C,NC(=S)NC(N)=S,0.214748,0.000102,18.578705,-384.519531,-3.096222,0.004215,14.298309,-661.179688,-2.068405,0.002006
