SMILES0,SMILES1,a_1,a_2,t_12_1,t_12_2,t_12_3,t_12_4,t_21_1,t_21_2,t_21_3,t_21_4
CC(C)(CCC(=O)O)C(=O)O,O=P(Cl)(c1ccccc1)c1ccccc1,0.231685,0.000149,16.127441,-756.957031,-2.782532,0.005116,15.268433,-488.722656,-2.407127,0.000836
CC(C)(CCC(=O)O)C(=O)O,CC(=O)Nc1ccc(C=O)cc1,0.227584,0.000145,17.025421,-663.123047,-2.949532,0.004846,14.509888,-772.777344,-2.190208,0.000848
CC(C)(CCC(=O)O)C(=O)O,Cc1cccc(CO)c1,0.240761,0.000172,16.451080,-467.892578,-2.839928,0.004677,15.167908,-663.972656,-2.321556,0.001215
CC(C)(CCC(=O)O)C(=O)O,COC(C)CO,0.203655,0.000099,18.379486,-924.007812,-2.992599,0.003938,14.947662,-1084.015625,-2.216911,0.000702
CC(C)(CCC(=O)O)C(=O)O,Nc1nc(=O)c2ccccc2o1,0.215715,0.000123,17.583282,-701.320312,-2.990654,0.004550,13.673248,-882.425781,-2.053116,0.000930
CC(C)(CCC(=O)O)C(=O)O,CC(Cl)Br,0.288788,0.000245,10.870850,45.146484,-2.384911,0.007675,16.610352,1368.429688,-3.120781,0.002112
CC(C)(CCC(=O)O)C(=O)O,CCCOC(F)F,0.286350,0.000237,10.681244,70.177734,-2.253136,0.006799,16.286743,1317.134766,-3.107933,0.002499
CC(C)(CCC(=O)O)C(=O)O,COC1CC2CCC1(C)C2(C)C,0.235221,0.000130,12.254211,-535.503906,-2.067024,0.004368,13.466339,166.257812,-2.239136,0.001945
CC(C)(CCC(=O)O)C(=O)O,CCC(=O)C1=NCCC1,0.205868,0.000090,15.772186,-1070.414062,-2.551941,0.004145,14.277374,-707.732422,-2.140434,0.000298
CC(C)(CCC(=O)O)C(=O)O,NC(CF)(CF)CF,0.197490,0.000078,16.410645,-993.851562,-2.862930,0.004719,12.539185,-862.880859,-1.781654,-0.000350
CC(C)(CCC(=O)O)C(=O)O,CC(C)CCCC(C)CC=O,0.243680,0.000159,14.107147,-539.707031,-2.374466,0.004512,14.904755,-183.861328,-2.440063,0.001767
CC(C)(CCC(=O)O)C(=O)O,Cc1coc(C)n1,0.186326,0.000056,17.632477,-1224.900391,-2.940475,0.004140,12.862793,-983.226562,-1.831886,-0.000384
CC(C)(CCC(=O)O)C(=O)O,NC(=S)NC(N)=S,0.251188,0.000178,14.509491,-206.378906,-2.654633,0.005131,17.219818,-192.753906,-2.746506,0.002168
CC(C)(CCC(=O)O)C(=O)O,FC(F)C(Cl)C(F)F,0.288524,0.000249,11.860107,-61.001953,-2.515617,0.007386,17.252930,905.808594,-3.104691,0.002177
CC(C)(CCC(=O)O)C(=O)O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.260009,0.000177,6.987427,1016.029297,-1.598640,0.004201,14.346344,2430.617188,-3.014114,0.004107
CC(C)(CCC(=O)O)C(=O)O,NNC(=O)c1ccccc1,0.210542,0.000118,18.326813,-866.988281,-3.124413,0.004642,14.824188,-992.681641,-2.169380,0.000471
CC(C)(CCC(=O)O)C(=O)O,ClC=CBr,0.286996,0.000236,10.082184,25.626953,-2.250084,0.007225,17.014801,1535.853516,-3.199158,0.002397
CC(C)(CCC(=O)O)C(=O)O,CN(C)N=O,0.213452,0.000114,17.779449,-981.273438,-3.031380,0.004877,16.332397,-787.671875,-2.437057,0.000562
CC(C)(CCC(=O)O)C(=O)O,c1ccc(C2CCCCC2)cc1,0.280363,0.000218,8.743896,486.453125,-1.925072,0.006205,15.292572,2101.646484,-3.200836,0.003429
CC(C)(CCC(=O)O)C(=O)O,N#Cc1ccncc1,0.207629,0.000102,17.063721,-1105.654297,-2.821762,0.004458,15.420166,-869.906250,-2.268013,0.000046
CC(C)(CCC(=O)O)C(=O)O,CN(C)C(=S)Nc1ccccc1,0.261813,0.000211,14.821259,-340.304688,-2.733459,0.005961,17.724243,82.316406,-2.892982,0.001228
CC(C)(CCC(=O)O)C(=O)O,CCC(N)CC,0.161193,-0.000013,17.144562,-1368.658203,-3.074310,0.004899,7.502808,-1099.275391,-1.063736,-0.000293
CC(C)(CCC(=O)O)C(=O)O,COC(=O)CO,0.230883,0.000163,18.197113,-650.433594,-3.081398,0.004437,16.433472,-807.339844,-2.421158,0.000625
CC(C)(CCC(=O)O)C(=O)O,Cc1c(N)cccc1Cl,0.251258,0.000186,15.108826,-542.574219,-2.670586,0.005310,16.990021,-311.781250,-2.678589,0.001223
